House of Representatives - 2001 Election: Tasmania																																
First Preference Votes and TCP																																
By Candidate by Polling Place																																

Franklin (67119)																																
	BASTICK			MANSKEY			# QUICK			MULLOY			HODGMAN			FORMAL			INFORMAL			TOTAL			Two Candidate Preferred							
	Patricia			Karen			Harry			Art			Peter												# QUICK 			 HODGMAN 				
	GRN			DEM			ALP			HAN			LP												ALP			LP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Adventure Bay	33	20.37		3	1.85		71	43.83		2	1.23		53	32.72		162	98.18		3	1.82		165	0.26		106	65.43		56	34.57			
Alonnah	43	22.75		8	4.23		83	43.92		12	6.35		43	22.75		189	98.95		2	1.05		191	0.30		137	72.49		52	27.51			
Barnes Bay	40	32.26		8	6.45		43	34.68		2	1.61		31	25.00		124	100.00		0	0.00		124	0.19		85	68.55		39	31.45			
Bellerive	257	9.03		133	4.67		1229	43.20		48	1.69		1178	41.41		2845	97.57		71	2.43		2916	4.51		1535	53.95		1310	46.05			
Blackmans Bay	258	9.46		158	5.79		1060	38.87		41	1.50		1210	44.37		2727	97.53		69	2.47		2796	4.33		1385	50.79		1342	49.21			
Bligh	47	4.87		34	3.52		675	69.95		27	2.80		182	18.86		965	96.31		37	3.69		1002	1.55		755	78.24		210	21.76			
Bridgewater	74	3.23		57	2.49		1696	74.06		50	2.18		413	18.03		2290	94.08		144	5.92		2434	3.77		1834	80.09		456	19.91			
Cambridge	83	8.86		55	5.87		347	37.03		28	2.99		424	45.25		937	97.81		21	2.19		958	1.48		452	48.24		485	51.76
Clarendon Vale	30	4.59		23	3.52		499	76.42		13	1.99		88	13.48		653	95.05		34	4.95		687	1.06		551	84.38		102	15.62
Cradoc	48	17.08		10	3.56		94	33.45		11	3.91		118	41.99		281	97.23		8	2.77		289	0.45		145	51.60		136	48.40
Cygnet	264	16.74		49	3.11		736	46.67		37	2.35		491	31.14		1577	97.17		46	2.83		1623	2.51		1015	64.36		562	35.64
Dover	36	7.06		18	3.53		250	49.02		14	2.75		192	37.65		510	97.33		14	2.67		524	0.81		300	58.82		210	41.18
Franklin	69	13.94		15	3.03		195	39.39		18	3.64		198	40.00		495	95.93		21	4.07		516	0.80		275	55.56		220	44.44
Gagebrook	51	3.22		35	2.21		1089	68.75		39	2.46		370	23.36		1584	95.77		70	4.23		1654	2.56		1190	75.13		394	24.87
Geeveston	36	5.07		24	3.38		330	46.48		26	3.66		294	41.41		710	95.43		34	4.57		744	1.15		387	54.51		323	45.49
Geilston Bay	117	7.13		93	5.67		788	48.05		19	1.16		623	37.99		1640	97.27		46	2.73		1686	2.61		952	58.05		688	41.95
Glen Huon	30	12.10		9	3.63		84	33.87		7	2.82		118	47.58		248	95.75		11	4.25		259	0.40		123	49.60		125	50.40
Grove	91	17.11		30	5.64		159	29.89		20	3.76		232	43.61		532	95.86		23	4.14		555	0.86		257	48.31		275	51.69
Howden	45	15.85		11	3.87		111	39.08		6	2.11		111	39.08		284	98.61		4	1.39		288	0.45		165	58.10		119	41.90
Howrah	164	5.82		129	4.57		1215	43.09		44	1.56		1268	44.96		2820	97.24		80	2.76		2900	4.49		1461	51.81		1359	48.19
Huonville	141	9.78		63	4.37		575	39.90		38	2.64		624	43.30		1441	94.87		78	5.13		1519	2.35		745	51.70		696	48.30
Judbury	39	18.75		4	1.92		64	30.77		3	1.44		98	47.12		208	97.20		6	2.80		214	0.33		103	49.52		105	50.48
Kettering	82	18.68		23	5.24		133	30.30		9	2.05		192	43.74		439	97.34		12	2.66		451	0.70		219	49.89		220	50.11
Kingston	409	9.40		248	5.70		1656	38.07		76	1.75		1961	45.08		4350	96.97		136	3.03		4486	6.94		2193	50.41		2157	49.59
Kingston Beach	321	12.17		158	5.99		966	36.63		47	1.78		1145	43.42		2637	98.14		50	1.86		2687	4.16		1354	51.35		1283	48.65
Lauderdale	229	9.43		155	6.38		1087	44.77		42	1.73		915	37.69		2428	97.04		74	2.96		2502	3.87		1396	57.50		1032	42.50
Lindisfarne	200	8.11		116	4.70		992	40.21		29	1.18		1130	45.80		2467	98.37		41	1.63		2508	3.88		1226	49.70		1241	50.30
Loatta Road	119	7.47		87	5.46		690	43.31		22	1.38		675	42.37		1593	98.09		31	1.91		1624	2.51		841	52.79		752	47.21
Margate	263	17.88		74	5.03		549	37.32		28	1.90		557	37.87		1471	96.78		49	3.22		1520	2.35		828	56.29		643	43.71
Middleton	41	15.89		8	3.10		112	43.41		6	2.33		91	35.27		258	96.63		9	3.37		267	0.41		156	60.47		102	39.53
Montagu Bay	97	7.86		70	5.67		555	44.98		22	1.78		490	39.71		1234	98.33		21	1.67		1255	1.94		698	56.56		536	43.44
Mornington	21	4.95		13	3.07		259	61.08		14	3.30		117	27.59		424	95.50		20	4.50		444	0.69		296	69.81		128	30.19
Opossum Bay	11	6.96		6	3.80		57	36.08		4	2.53		80	50.63		158	97.53		4	2.47		162	0.25		70	44.30		88	55.70
Port Huon	11	5.02		4	1.83		95	43.38		1	0.46		108	49.32		219	96.90		7	3.10		226	0.35		107	48.86		112	51.14
Ranelagh	82	13.18		23	3.70		259	41.64		11	1.77		247	39.71		622	95.69		28	4.31		650	1.01		350	56.27		272	43.73
Risdon Vale	63	4.34		44	3.03		1049	72.25		37	2.55		259	17.84		1452	95.97		61	4.03		1513	2.34		1157	79.68		295	20.32
Rokeby	76	4.70		54	3.34		1112	68.73		41	2.53		335	20.70		1618	95.80		71	4.20		1689	2.61		1243	76.82		375	23.18
Sandfly	149	19.61		32	4.21		255	33.55		22	2.89		302	39.74		760	96.57		27	3.43		787	1.22		413	54.34		347	45.66
Sandford	181	17.24		54	5.14		423	40.29		17	1.62		375	35.71		1050	97.40		28	2.60		1078	1.67		610	58.10		440	41.90
Seven Mile Beach	91	13.11		28	4.03		283	40.78		14	2.02		278	40.06		694	98.86		8	1.14		702	1.09		381	54.90		313	45.10			
