House of Representatives - 2001 Election: Tasmania																																	
First Preference Votes and TCP 																																	
By Candidate by Polling Place																																	
																																	
Lyons (62942)																																	
	BATCHELOR			# ADAMS			MORRIS			PAGE			ANDERSON			FORMAL			INFORMAL			TOTAL			Two Candidate Preferred								
	Neil			Dick			Tim			Geoff			Sonia												# ADAMS			PAGE					
	HAN			ALP			GRN			LP			DEM												ALP			LP					
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%				
Avoca	13	6.19		136	64.76		5	2.38		51	24.29		5	2.38		210	96.33		8	3.67		218	0.36		146	69.52		64	30.48				
Bagdad	46	7.28		329	52.06		30	4.75		183	28.96		44	6.96		632	98.60		9	1.40		641	1.06		403	63.77		229	36.23				
Beaconsfield	47	5.16		528	57.96		58	6.37		241	26.45		37	4.06		911	95.59		42	4.41		953	1.57		623	68.39		288	31.61				
Beauty Point	30	4.35		378	54.86		25	3.63		215	31.20		41	5.95		689	96.09		28	3.91		717	1.18		437	63.43		252	36.57				
Bicheno	33	5.82		236	41.62		40	7.05		229	40.39		29	5.11		567	95.94		24	4.06		591	0.98		307	54.14		260	45.86				
Bishopsbourne	4	4.35		26	28.26		0	0.00		56	60.87		6	6.52		92	96.84		3	3.16		95	0.16		28	30.43		64	69.57				
Bothwell	29	8.50		164	48.09		6	1.76		133	39.00		9	2.64		341	96.60		12	3.40		353	0.58		187	54.84		154	45.16				
Bracknell	22	5.29		168	40.38		46	11.06		167	40.14		13	3.13		416	96.97		13	3.03		429	0.71		220	52.88		196	47.12				
Brighton	68	4.75		801	55.97		50	3.49		449	31.38		63	4.40		1431	96.43		53	3.57		1484	2.45		903	63.10		528	36.90				
Broadmarsh	16	9.64		55	33.13		14	8.43		77	46.39		4	2.41		166	97.65		4	2.35		170	0.28		73	43.98		93	56.02				
Bronte	9	10.59		42	49.41		2	2.35		30	35.29		2	2.35		85	93.41		6	6.59		91	0.15		50	58.82		35	41.18				
Buckland	8	7.27		45	40.91		0	0.00		53	48.18		4	3.64		110	94.83		6	5.17		116	0.19		55	50.00		55	50.00				
Campania	17	3.82		180	40.45		23	5.17		203	45.62		22	4.94		445	95.29		22	4.71		467	0.77		212	47.64		233	52.36				
Campbell Town	50	7.95		383	60.89		21	3.34		157	24.96		18	2.86		629	94.59		36	5.41		665	1.10		435	69.16		194	30.84				
Carrick	23	5.00		159	34.57		32	6.96		216	46.96		30	6.52		460	97.05		14	2.95		474	0.78		199	43.26		261	56.74				
Chudleigh	23	8.85		72	27.69		29	11.15		120	46.15		16	6.15		260	96.30		10	3.70		270	0.45		111	42.69		149	57.31				
Claude Road	8	4.85		60	36.36		23	13.94		68	41.21		6	3.64		165	96.49		6	3.51		171	0.28		87	52.73		78	47.27				
Colebrook	15	6.67		127	56.44		10	4.44		62	27.56		11	4.89		225	93.36		16	6.64		241	0.40		151	67.11		74	32.89				
Coles Bay	3	1.97		56	36.84		16	10.53		71	46.71		6	3.95		152	96.82		5	3.18		157	0.26		72	47.37		80	52.63				
Copping	9	4.55		71	35.86		42	21.21		70	35.35		6	3.03		198	97.06		6	2.94		204	0.34		117	59.09		81	40.91				
Cressy	79	11.47		323	46.88		29	4.21		238	34.54		20	2.90		689	96.50		25	3.50		714	1.18		403	58.49		286	41.51				
Deloraine	92	4.68		680	34.61		206	10.48		900	45.80		87	4.43		1965	96.18		78	3.82		2043	3.37		932	47.43		1033	52.57				
Dodges Ferry	62	3.68		875	51.96		164	9.74		477	28.33		106	6.29		1684	96.34		64	3.66		1748	2.89		1104	65.56		580	34.44				
Dromedary	19	7.39		123	47.86		13	5.06		87	33.85		15	5.84		257	98.09		5	1.91		262	0.43		148	57.59		109	42.41				
Dunalley	22	5.34		194	47.09		34	8.25		152	36.89		10	2.43		412	97.86		9	2.14		421	0.70		238	57.77		174	42.23				
Elizabeth Town	21	6.40		95	28.96		35	10.67		167	50.91		10	3.05		328	92.13		28	7.87		356	0.59		143	43.60		185	56.40				
Ellendale	10	6.41		82	52.56		11	7.05		51	32.69		2	1.28		156	92.86		12	7.14		168	0.28		97	62.18		59	37.82				
Epping	11	6.47		68	40.00		3	1.76		80	47.06		8	4.71		170	97.14		5	2.86		175	0.29		80	47.06		90	52.94				
Evandale	35	3.38		430	41.47		97	9.35		410	39.54		65	6.27		1037	96.64		36	3.36		1073	1.77		550	53.04		487	46.96				
Exeter	44	3.93		422	37.68		97	8.66		474	42.32		83	7.41		1120	97.90		24	2.10		1144	1.89		579	51.70		541	48.30				
Fingal	14	5.02		199	71.33		4	1.43		55	19.71		7	2.51		279	96.88		9	3.13		288	0.48		216	77.42		63	22.58				
Forcett	22	6.59		128	38.32		32	9.58		128	38.32		24	7.19		334	95.43		16	4.57		350	0.58		176	52.69		158	47.31				
Frankford	6	4.65		51	39.53		14	10.85		54	41.86		4	3.10		129	92.81		10	7.19		139	0.23		72	55.81		57	44.19				
Glengarry	14	4.84		122	42.21		25	8.65		118	40.83		10	3.46		289	97.64		7	2.36		296	0.49		156	53.98		133	46.02				
Glenora	15	6.88		134	61.47		11	5.05		54	24.77		4	1.83		218	94.78		12	5.22		230	0.38		157	72.02		61	27.98				
Granton	20	6.73		124	41.75		15	5.05		128	43.10		10	3.37		297	97.70		7	2.30		304	0.50		151	50.84		146	49.16				
Gravelly Beach	13	2.11		243	39.51		67	10.89		256	41.63		36	5.85		615	97.62		15	2.38		630	1.04		317	51.54		298	48.46				
Gretna	7	3.98		83	47.16		7	3.98		70	39.77		9	5.11		176	93.62		12	6.38		188	0.31		96	54.55		80	45.45				
Hadspen	33	3.13		460	43.60		53	5.02		453	42.94		56	5.31		1055	96.88		34	3.12		1089	1.80		539	51.09		516	48.91				
Hagley	15	4.82		68	21.86		30	9.65		182	58.52		16	5.14		311	96.88		10	3.12		321	0.53		105	33.76		206	66.24				
Hamilton	7	4.29		96	58.90		6	3.68		50	30.67		4	2.45		163	96.45		6	3.55		169	0.28		101	61.96		62	38.04				
Kelso	12	8.05		59	39.60		8	5.37		64	42.95		6	4.03		149	98.68		2	1.32		151	0.25		78	52.35		71	47.65				
Kempton	21	7.61		168	60.87		11	3.99		67	24.28		9	3.26		276	95.83		12	4.17		288	0.48		192	69.57		84	30.43				
Lachlan	8	2.81		144	50.53		47	16.49		73	25.61		13	4.56		285	95.00		15	5.00		300	0.50		199	69.82		86	30.18				
Legana (Lyons)	23	3.05		226	29.93		65	8.61		406	53.77		35	4.64		755	97.67		18	2.33		773	1.28		306	40.53		449	59.47				
Levendale	5	4.46		57	50.89		3	2.68		42	37.50		5	4.46		112	98.25		2	1.75		114	0.19		68	60.71		44	39.29				
Longford	158	7.76		954	46.88		94	4.62		746	36.66		83	4.08		2035	96.72		69	3.28		2104	3.48		1172	57.59		863	42.41				
Lower Barrington	17	4.35		118	30.18		30	7.67		208	53.20		18	4.60		391	97.26		11	2.74		402	0.66		165	42.20		226	57.80				
Magra	34	7.56		271	60.22		14	3.11		120	26.67		11	2.44		450	96.15		18	3.85		468	0.77		304	67.56		146	32.44				
Mathinna	13	12.26		71	66.98		10	9.43		12	11.32		0	0.00		106	99.07		1	0.93		107	0.18		87	82.08		19	17.92				
Maydena	10	6.33		76	48.10		26	16.46		42	26.58		4	2.53		158	90.29		17	9.71		175	0.29		98	62.03		60	37.97				
Meander	19	9.00		50	23.70		48	22.75		87	41.23		7	3.32		211	98.14		4	1.86		215	0.36		100	47.39		111	52.61				
Midway Point	54	3.87		732	52.44		65	4.66		481	34.46		64	4.58		1396	95.10		72	4.90		1468	2.42		859	61.53		537	38.47				
Miena	6	5.66		53	50.00		4	3.77		40	37.74		3	2.83		106	97.25		3	2.75		109	0.18		63	59.43		43	40.57				
Mole Creek	33	9.19		111	30.92		33	9.19		167	46.52		15	4.18		359	94.47		21	5.53		380	0.63		163	45.40		196	54.60				
Molesworth	11	4.26		137	53.10		34	13.18		62	24.03		14	5.43		258	96.99		8	3.01		266	0.44		179	69.38		79	30.62				
New Norfolk	117	5.11		1389	60.63		115	5.02		588	25.67		82	3.58		2291	94.51		133	5.49		2424	4.00		1594	69.58		697	30.42				
New Norfolk North	49	5.21		678	72.05		32	3.40		152	16.15		30	3.19		941	95.15		48	4.85		989	1.63		754	80.13		187	19.87				
Nubeena	19	3.45		279	50.64		67	12.16		169	30.67		17	3.09		551	96.50		20	3.50		571	0.94		354	64.25		197	35.75				
Oatlands	29	4.84		309	51.59		29	4.84		218	36.39		14	2.34		599	97.40		16	2.60		615	1.02		361	60.27		238	39.73				
Orford	17	3.73		178	39.04		27	5.92		211	46.27		23	5.04		456	97.64		11	2.36		467	0.77		222	48.68		234	51.32				
Ouse	13	5.73		117	51.54		7	3.08		82	36.12		8	3.52		227	94.58		13	5.42		240	0.40		134	59.03		93	40.97				
Parattah	5	3.38		86	58.11		6	4.05		42	28.38		9	6.08		148	98.01		3	1.99		151	0.25		99	66.89		49	33.11				
Perth	75	4.58		822	50.15		78	4.76		598	36.49		66	4.03		1639	97.15		48	2.85		1687	2.79		958	58.45		681	41.55				
Pontville	18	4.03		223	49.89		29	6.49		155	34.68		22	4.92		447	96.54		16	3.46		463	0.76		264	59.06		183	40.94				
Port Arthur	8	4.42		87	48.07		17	9.39		60	33.15		9	4.97		181	96.79		6	3.21		187	0.31		112	61.88		69	38.12				
Primrose Sands	20	5.15		259	66.75		18	4.64		73	18.81		18	4.64		388	97.24		11	2.76		399	0.66		291	75.00		97	25.00				
Pyengana	2	1.87		35	32.71		19	17.76		48	44.86		3	2.80		107	95.54		5	4.46		112	0.19		49	45.79		58	54.21				
Queenstown	65	5.37		687	56.73		41	3.39		392	32.37		26	2.15		1211	95.73		54	4.27		1265	2.09		768	63.42		443	36.58				
Railton	44	6.18		340	47.75		29	4.07		262	36.80		37	5.20		712	94.93		38	5.07		750	1.24		400	56.18		312	43.82				
