Senate - 2001 Election: Tasmania																																																																																																																																																																																																																																																												
First Preference Votes by Candidate																																																																																																																																																																																																																																																												
By Polling Place																																																																																																																																																																																																																																																												
Bass (65927)																																																																																																																																																																																																																																																												
			 A Tasmania First Party															 B Hope Party Australia												 C Pauline Hanson's One Nation												 D 												 E Australian Greens									 F Liberal Party of Australia - Tasmanian Division																		 G 												 H Australian Democrats												 I Australian Labor Party (Tasmanian Branch)															 J liberals for forests												 K Republican Party of Australia												Ungrouped																																																																																																												
	    		TICKET VOTES			CRACK			JACKSON			PRESSER			Group Total			TICKET VOTES			BRISTOW			PETHERBRIDGE-DE TISSERA			Group Total			TICKET VOTES			BOAG			STOKES			Group Total			TICKET VOTES			BONNER			HOWARD			Group Total			TICKET VOTES			# BROWN			Group Total			TICKET VOTES			# CALVERT			# WATSON			# COLBECK			PARRY			Group Total			TICKET VOTES			BAINBRIDGE			CLEARY			Group Total			TICKET VOTES			BUTLER			TOOHEY			Group Total			TICKET VOTES			# MACKAY			# SHERRY			BILYK			Group Total			TICKET VOTES			PULLINGER			THOMAS			Group Total			TICKET VOTES			CONSANDINE			LAWATSCH			Group Total			LARNER			MARMARINOS			LANE			LOCKETT			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																																																							
	    					Merilyn			David			John									James Tate			Shamara									Bronwyn			Peter									Stephen			Geoff									Bob									Paul			John			Richard			Stephen									Alex			Sarah									Debbie			Brendan									Sue			Nick			Catryna									Peter			Michael									Peter			Bert						Rob			John Victor			Helen			Eric																																																																																																			
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																																																																						
	Blessington Upper		3	4.48		1	1.49		0	0.00		0	0.00		4	5.97		0	0.00		0	0.00		0	0.00		0	0.00		6	8.96		0	0.00		0	0.00		6	8.96		0	0.00		1	1.49		0	0.00		1	1.49		7	10.45		2	2.99		9	13.43		22	32.84		2	2.99		2	2.99		0	0.00		0	0.00		26	38.81		0	0.00		0	0.00		0	0.00		0	0.00		3	4.48		1	1.49		0	0.00		4	5.97		15	22.39		1	1.49		1	1.49		0	0.00		17	25.37		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		67	91.78		6	8.22		73	0.12																																																																																						
	Branxholm		2	0.97		0	0.00		0	0.00		0	0.00		2	0.97		0	0.00		0	0.00		0	0.00		0	0.00		12	5.83		2	0.97		0	0.00		14	6.80		0	0.00		0	0.00		0	0.00		0	0.00		12	5.83		3	1.46		15	7.28		66	32.04		5	2.43		4	1.94		0	0.00		0	0.00		75	36.41		0	0.00		0	0.00		0	0.00		0	0.00		6	2.91		1	0.49		0	0.00		7	3.40		77	37.38		13	6.31		0	0.00		0	0.00		90	43.69		2	0.97		0	0.00		0	0.00		2	0.97		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.49		1	0.49		206	98.56		3	1.44		209	0.33																																																																																						
	Bridport		18	1.56		1	0.09		0	0.00		2	0.17		21	1.82		0	0.00		0	0.00		0	0.00		0	0.00		31	2.68		9	0.78		2	0.17		42	3.63		3	0.26		0	0.00		0	0.00		3	0.26		82	7.09		48	4.15		130	11.24		501	43.30		35	3.03		34	2.94		3	0.26		2	0.17		575	49.70		1	0.09		0	0.00		0	0.00		1	0.09		29	2.51		7	0.61		0	0.00		36	3.11		291	25.15		25	2.16		22	1.90		3	0.26		341	29.47		4	0.35		1	0.09		0	0.00		5	0.43		1	0.09		0	0.00		0	0.00		1	0.09		1	0.09		0	0.00		0	0.00		1	0.09		2	0.17		1157	95.94		49	4.06		1206	1.90																																																																																						
	Cape Barren Island		1	3.13		0	0.00		0	0.00		0	0.00		1	3.13		0	0.00		1	3.13		0	0.00		1	3.13		1	3.13		0	0.00		0	0.00		1	3.13		0	0.00		0	0.00		0	0.00		0	0.00		5	15.63		0	0.00		5	15.63		7	21.88		0	0.00		0	0.00		0	0.00		0	0.00		7	21.88		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		17	53.13		0	0.00		0	0.00		0	0.00		17	53.13		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		32	96.97		1	3.03		33	0.05																																																																																						
	Cosgrove Park		1	0.29		1	0.29		0	0.00		2	0.58		4	1.16		0	0.00		0	0.00		0	0.00		0	0.00		6	1.74		0	0.00		0	0.00		6	1.74		0	0.00		0	0.00		0	0.00		0	0.00		15	4.36		12	3.49		27	7.85		143	41.57		11	3.20		12	3.49		1	0.29		0	0.00		167	48.55		0	0.00		0	0.00		0	0.00		0	0.00		8	2.33		4	1.16		0	0.00		12	3.49		108	31.40		7	2.03		6	1.74		1	0.29		122	35.47		4	1.16		0	0.00		0	0.00		4	1.16		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.58		2	0.58		344	95.82		15	4.18		359	0.57																																																																																						
	Derby		1	0.75		0	0.00		0	0.00		0	0.00		1	0.75		0	0.00		0	0.00		0	0.00		0	0.00		4	3.01		2	1.50		1	0.75		7	5.26		0	0.00		0	0.00		0	0.00		0	0.00		10	7.52		4	3.01		14	10.53		49	36.84		8	6.02		1	0.75		1	0.75		0	0.00		59	44.36		0	0.00		0	0.00		0	0.00		0	0.00		2	1.50		0	0.00		0	0.00		2	1.50		41	30.83		5	3.76		2	1.50		0	0.00		48	36.09		0	0.00		2	1.50		0	0.00		2	1.50		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		133	95.00		7	5.00		140	0.22																																																																																						
	Dilston		8	1.18		1	0.15		1	0.15		0	0.00		10	1.47		2	0.29		0	0.00		0	0.00		2	0.29		17	2.50		8	1.18		0	0.00		25	3.68		0	0.00		1	0.15		0	0.00		1	0.15		82	12.06		54	7.94		136	20.00		267	39.26		16	2.35		16	2.35		4	0.59		0	0.00		303	44.56		0	0.00		0	0.00		2	0.29		2	0.29		20	2.94		6	0.88		0	0.00		26	3.82		142	20.88		13	1.91		11	1.62		1	0.15		167	24.56		2	0.29		1	0.15		0	0.00		3	0.44		2	0.29		0	0.00		0	0.00		2	0.29		2	0.29		1	0.15		0	0.00		0	0.00		3	0.44		680	97.84		15	2.16		695	1.10																																																																																						
	East Launceston		9	0.69		0	0.00		0	0.00		2	0.15		11	0.84		0	0.00		0	0.00		0	0.00		0	0.00		8	0.61		3	0.23		2	0.15		13	1.00		1	0.08		0	0.00		0	0.00		1	0.08		179	13.75		120	9.22		299	22.96		525	40.32		24	1.84		40	3.07		6	0.46		3	0.23		598	45.93		0	0.00		0	0.00		0	0.00		0	0.00		59	4.53		18	1.38		0	0.00		77	5.91		239	18.36		30	2.30		26	2.00		3	0.23		298	22.89		2	0.15		1	0.08		0	0.00		3	0.23		1	0.08		0	0.00		0	0.00		1	0.08		1	0.08		0	0.00		0	0.00		0	0.00		1	0.08		1302	97.38		35	2.62		1337	2.11																																																																																						
	Elphin		4	0.65		3	0.49		0	0.00		0	0.00		7	1.13		0	0.00		0	0.00		0	0.00		0	0.00		11	1.78		6	0.97		1	0.16		18	2.91		0	0.00		3	0.49		0	0.00		3	0.49		69	11.17		31	5.02		100	16.18		218	35.28		9	1.46		13	2.10		3	0.49		0	0.00		243	39.32		1	0.16		0	0.00		0	0.00		1	0.16		28	4.53		7	1.13		1	0.16		36	5.83		181	29.29		15	2.43		8	1.29		1	0.16		205	33.17		1	0.16		2	0.32		0	0.00		3	0.49		0	0.00		1	0.16		0	0.00		1	0.16		0	0.00		0	0.00		0	0.00		1	0.16		1	0.16		618	96.71		21	3.29		639	1.01																																																																																				
	Emita		0	0.00		1	2.17		0	0.00		0	0.00		1	2.17		0	0.00		0	0.00		0	0.00		0	0.00		3	6.52		0	0.00		1	2.17		4	8.70		0	0.00		0	0.00		0	0.00		0	0.00		3	6.52		5	10.87		8	17.39		20	43.48		3	6.52		2	4.35		0	0.00		0	0.00		25	54.35		0	0.00		0	0.00		0	0.00		0	0.00		1	2.17		2	4.35		0	0.00		3	6.52		5	10.87		0	0.00		0	0.00		0	0.00		5	10.87		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		46	97.87		1	2.13		47	0.07																																																																																				
