Senate - 2001 Election: Tasmania																																																																																																																																																																																																																																																												
First Preference Votes by Candidate 																																																																																																																																																																																																																																																												
By Polling Place																																																																																																																																																																																																																																																												

Braddon (67749)																																																																																																																																																																																																																																																												
			 A Tasmania First Party															 B Hope Party Australia												 C Pauline Hanson's One Nation												 D 												 E Australian Greens									 F Liberal Party of Australia - Tasmanian Division																		 G 												 H Australian Democrats												 I Australian Labor Party (Tasmanian Branch)															 J liberals for forests												 K Republican Party of Australia												Ungrouped																																																																																																												
	    		TICKET VOTES			CRACK			JACKSON			PRESSER			Group Total			TICKET VOTES			BRISTOW			PETHERBRIDGE-DE TISSERA			Group Total			TICKET VOTES			BOAG			STOKES			Group Total			TICKET VOTES			BONNER			HOWARD			Group Total			TICKET VOTES			# BROWN			Group Total			TICKET VOTES			# CALVERT			# WATSON			# COLBECK			PARRY			Group Total			TICKET VOTES			BAINBRIDGE			CLEARY			Group Total			TICKET VOTES			BUTLER			TOOHEY			Group Total			TICKET VOTES			# MACKAY			# SHERRY			BILYK			Group Total			TICKET VOTES			PULLINGER			THOMAS			Group Total			TICKET VOTES			CONSANDINE			LAWATSCH			Group Total			LARNER			MARMARINOS			LANE			LOCKETT			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																																																							
	    					Merilyn			David			John									James Tate			Shamara									Bronwyn			Peter									Stephen			Geoff									Bob									Paul			John			Richard			Stephen									Alex			Sarah									Debbie			Brendan									Sue			Nick			Catryna									Peter			Michael									Peter			Bert						Rob			John Victor			Helen			Eric																																																																																																			
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																																																																						
	Abbotsham		0	0.00		0	0.00		0	0.00		1	0.74		1	0.74		0	0.00		0	0.00		0	0.00		0	0.00		9	6.67		0	0.00		1	0.74		10	7.41		1	0.74		0	0.00		1	0.74		2	1.48		11	8.15		1	0.74		12	8.89		46	34.07		2	1.48		1	0.74		0	0.00		20	14.81		69	51.11		0	0.00		0	0.00		0	0.00		0	0.00		1	0.74		2	1.48		1	0.74		4	2.96		31	22.96		0	0.00		1	0.74		0	0.00		32	23.70		2	1.48		1	0.74		0	0.00		3	2.22		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	1.48		0	0.00		2	1.48		135	96.43		5	3.57		140	0.21																																																																																						
	Acton		32	1.77		7	0.39		2	0.11		1	0.06		42	2.32		2	0.11		0	0.00		0	0.00		2	0.11		70	3.87		12	0.66		1	0.06		83	4.59		1	0.06		1	0.06		0	0.00		2	0.11		54	2.99		36	1.99		90	4.98		352	19.46		14	0.77		5	0.28		0	0.00		59	3.26		430	23.77		2	0.11		0	0.00		0	0.00		2	0.11		52	2.87		13	0.72		0	0.00		65	3.59		927	51.24		49	2.71		89	4.92		9	0.50		1074	59.37		11	0.61		2	0.11		0	0.00		13	0.72		2	0.11		0	0.00		0	0.00		2	0.11		2	0.11		1	0.06		0	0.00		1	0.06		4	0.22		1809	94.07		114	5.93		1923	2.94																																																																																						
	Addison Street		7	0.86		3	0.37		0	0.00		1	0.12		11	1.34		1	0.12		0	0.00		0	0.00		1	0.12		18	2.20		4	0.49		2	0.24		24	2.93		0	0.00		0	0.00		0	0.00		0	0.00		36	4.40		16	1.96		52	6.36		252	30.81		15	1.83		18	2.20		7	0.86		22	2.69		314	38.39		0	0.00		0	0.00		0	0.00		0	0.00		23	2.81		7	0.86		0	0.00		30	3.67		335	40.95		14	1.71		33	4.03		0	0.00		382	46.70		1	0.12		2	0.24		0	0.00		3	0.37		0	0.00		1	0.12		0	0.00		1	0.12		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		818	94.46		48	5.54		866	1.32																																																																																						
	Ambleside		6	1.11		0	0.00		0	0.00		0	0.00		6	1.11		0	0.00		0	0.00		0	0.00		0	0.00		10	1.85		5	0.93		1	0.19		16	2.96		2	0.37		1	0.19		0	0.00		3	0.56		25	4.63		25	4.63		50	9.26		223	41.30		14	2.59		15	2.78		9	1.67		16	2.96		277	51.30		0	0.00		0	0.00		0	0.00		0	0.00		11	2.04		2	0.37		0	0.00		13	2.41		141	26.11		7	1.30		23	4.26		0	0.00		171	31.67		1	0.19		1	0.19		0	0.00		2	0.37		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.19		1	0.19		0	0.00		2	0.37		540	95.58		25	4.42		565	0.86																																																																																						
	Blythe Heads		2	0.92		0	0.00		0	0.00		0	0.00		2	0.92		0	0.00		0	0.00		1	0.46		1	0.46		29	13.36		2	0.92		3	1.38		34	15.67		0	0.00		0	0.00		0	0.00		0	0.00		12	5.53		9	4.15		21	9.68		36	16.59		3	1.38		1	0.46		0	0.00		13	5.99		53	24.42		0	0.00		0	0.00		0	0.00		0	0.00		4	1.84		0	0.00		1	0.46		5	2.30		88	40.55		2	0.92		8	3.69		0	0.00		98	45.16		1	0.46		1	0.46		0	0.00		2	0.92		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.46		1	0.46		217	95.59		10	4.41		227	0.35																																																																																						
	Boat Harbour		1	0.32		1	0.32		0	0.00		0	0.00		2	0.64		0	0.00		0	0.00		0	0.00		0	0.00		8	2.56		3	0.96		1	0.32		12	3.83		0	0.00		0	0.00		0	0.00		0	0.00		29	9.27		27	8.63		56	17.89		113	36.10		8	2.56		8	2.56		3	0.96		40	12.78		172	54.95		0	0.00		0	0.00		0	0.00		0	0.00		7	2.24		3	0.96		1	0.32		11	3.51		45	14.38		2	0.64		6	1.92		1	0.32		54	17.25		1	0.32		2	0.64		0	0.00		3	0.96		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	0.96		3	0.96		313	98.12		6	1.88		319	0.49																																																																																						
	Brooklyn		4	0.66		1	0.16		0	0.00		1	0.16		6	0.99		0	0.00		0	0.00		0	0.00		0	0.00		19	3.12		8	1.31		0	0.00		27	4.43		1	0.16		0	0.00		0	0.00		1	0.16		24	3.94		18	2.96		42	6.90		156	25.62		9	1.48		7	1.15		2	0.33		44	7.22		218	35.80		1	0.16		0	0.00		0	0.00		1	0.16		16	2.63		1	0.16		0	0.00		17	2.79		237	38.92		16	2.63		33	5.42		1	0.16		287	47.13		3	0.49		5	0.82		0	0.00		8	1.31		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.33		2	0.33		609	96.67		21	3.33		630	0.96																																																																																						
	Burnie		3	0.22		3	0.22		1	0.07		1	0.07		8	0.59		1	0.07		0	0.00		0	0.00		1	0.07		30	2.23		10	0.74		2	0.15		42	3.12		0	0.00		0	0.00		1	0.07		1	0.07		86	6.38		84	6.24		170	12.62		364	27.02		16	1.19		12	0.89		3	0.22		158	11.73		553	41.05		0	0.00		0	0.00		0	0.00		0	0.00		38	2.82		14	1.04		1	0.07		53	3.93		412	30.59		24	1.78		63	4.68		5	0.37		504	37.42		6	0.45		2	0.15		0	0.00		8	0.59		0	0.00		0	0.00		0	0.00		0	0.00		1	0.07		1	0.07		1	0.07		4	0.30		7	0.52		1347	98.18		25	1.82		1372	2.10																																																																																				
	Calder		1	1.11		0	0.00		0	0.00		0	0.00		1	1.11		0	0.00		0	0.00		0	0.00		0	0.00		3	3.33		1	1.11		0	0.00		4	4.44		0	0.00		0	0.00		0	0.00		0	0.00		9	10.00		5	5.56		14	15.56		35	38.89		1	1.11		1	1.11		0	0.00		6	6.67		43	47.78		0	0.00		0	0.00		0	0.00		0	0.00		5	5.56		2	2.22		0	0.00		7	7.78		15	16.67		3	3.33		1	1.11		0	0.00		19	21.11		1	1.11		1	1.11		0	0.00		2	2.22		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		90	94.74		5	5.26		95	0.15																																																																																				
	Cooee		7	0.79		2	0.23		0	0.00		0	0.00		9	1.02		2	0.23		0	0.00		0	0.00		2	0.23		22	2.49		4	0.45		1	0.11		27	3.05		0	0.00		0	0.00		0	0.00		0	0.00		40	4.52		41	4.64		81	9.16		268	30.32		9	1.02		8	0.90		3	0.34		125	14.14		413	46.72		1	0.11		0	0.00		0	0.00		1	0.11		35	3.96		11	1.24		0	0.00		46	5.20		234	26.47		14	1.58		47	5.32		0	0.00		295	33.37		1	0.11		8	0.90		0	0.00		9	1.02		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.11		1	0.11		884	96.93		28	3.07		912	1.39																																																																																				
