Senate - 2001 Election: Tasmania																																																																																																																																																																																																																																																												
First Preference Votes by Candidate																																																																																																																																																																																																																																																												
By Polling Place																																																																																																																																																																																																																																																												

Denison (67938)																																																																																																																																																																																																																																																												
			 A Tasmania First Party															 B Hope Party Australia												 C Pauline Hanson's One Nation												 D 												 E Australian Greens									 F Liberal Party of Australia - Tasmanian Division																		 G 												 H Australian Democrats												 I Australian Labor Party (Tasmanian Branch)															 J liberals for forests												 K Republican Party of Australia												Ungrouped																																																																																																												
	    		TICKET VOTES			CRACK			JACKSON			PRESSER			Group Total			TICKET VOTES			BRISTOW			PETHERBRIDGE-DE TISSERA			Group Total			TICKET VOTES			BOAG			STOKES			Group Total			TICKET VOTES			BONNER			HOWARD			Group Total			TICKET VOTES			# BROWN			Group Total			TICKET VOTES			# CALVERT			# WATSON			# COLBECK			PARRY			Group Total			TICKET VOTES			BAINBRIDGE			CLEARY			Group Total			TICKET VOTES			BUTLER			TOOHEY			Group Total			TICKET VOTES			# MACKAY			# SHERRY			BILYK			Group Total			TICKET VOTES			PULLINGER			THOMAS			Group Total			TICKET VOTES			CONSANDINE			LAWATSCH			Group Total			LARNER			MARMARINOS			LANE			LOCKETT			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																																																							
	    					Merilyn			David			John									James Tate			Shamara									Bronwyn			Peter									Stephen			Geoff									Bob									Paul			John			Richard			Stephen									Alex			Sarah									Debbie			Brendan									Sue			Nick			Catryna									Peter			Michael									Peter			Bert						Rob			John Victor			Helen			Eric																																																																																																			
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																																																																						
	Abbotsfield		15	0.88		2	0.12		2	0.12		1	0.06		20	1.18		3	0.18		1	0.06		0	0.00		4	0.24		44	2.59		5	0.29		0	0.00		49	2.89		0	0.00		1	0.06		0	0.00		1	0.06		84	4.95		46	2.71		130	7.66		383	22.57		37	2.18		4	0.24		1	0.06		5	0.29		430	25.34		0	0.00		0	0.00		0	0.00		0	0.00		60	3.54		9	0.53		0	0.00		69	4.07		866	51.03		57	3.36		53	3.12		6	0.35		982	57.87		8	0.47		0	0.00		0	0.00		8	0.47		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.12		2	0.12		4	0.24		1697	97.47		44	2.53		1741	2.68																																																																																						
	Albuera		1	0.16		0	0.00		1	0.16		0	0.00		2	0.33		0	0.00		0	0.00		0	0.00		0	0.00		4	0.65		1	0.16		0	0.00		5	0.81		2	0.33		0	0.00		0	0.00		2	0.33		135	21.95		105	17.07		240	39.02		160	26.02		23	3.74		5	0.81		2	0.33		1	0.16		191	31.06		1	0.16		0	0.00		2	0.33		3	0.49		29	4.72		19	3.09		0	0.00		48	7.80		101	16.42		10	1.63		4	0.65		1	0.16		116	18.86		4	0.65		0	0.00		1	0.16		5	0.81		1	0.16		0	0.00		0	0.00		1	0.16		0	0.00		0	0.00		0	0.00		2	0.33		2	0.33		615	98.87		7	1.13		622	0.96																																																																																						
	Austins Ferry		12	0.80		2	0.13		1	0.07		1	0.07		16	1.07		1	0.07		0	0.00		0	0.00		1	0.07		30	2.00		7	0.47		1	0.07		38	2.54		1	0.07		1	0.07		0	0.00		2	0.13		76	5.08		51	3.41		127	8.48		482	32.20		57	3.81		8	0.53		3	0.20		11	0.73		561	37.47		1	0.07		0	0.00		0	0.00		1	0.07		47	3.14		16	1.07		0	0.00		63	4.21		588	39.28		47	3.14		40	2.67		3	0.20		678	45.29		5	0.33		0	0.00		0	0.00		5	0.33		2	0.13		1	0.07		0	0.00		3	0.20		0	0.00		0	0.00		1	0.07		1	0.07		2	0.13		1497	96.83		49	3.17		1546	2.38																																																																																						
	Battery Point		4	0.33		0	0.00		0	0.00		1	0.08		5	0.41		0	0.00		0	0.00		0	0.00		0	0.00		7	0.57		0	0.00		0	0.00		7	0.57		0	0.00		1	0.08		0	0.00		1	0.08		237	19.28		218	17.74		455	37.02		410	33.36		56	4.56		8	0.65		7	0.57		1	0.08		482	39.22		0	0.00		0	0.00		0	0.00		0	0.00		38	3.09		25	2.03		4	0.33		67	5.45		153	12.45		29	2.36		16	1.30		4	0.33		202	16.44		5	0.41		0	0.00		0	0.00		5	0.41		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	0.33		1	0.08		5	0.41		1229	98.01		25	1.99		1254	1.93																																																																																						
	Bowen Road		17	1.05		7	0.43		1	0.06		1	0.06		26	1.61		0	0.00		0	0.00		0	0.00		0	0.00		35	2.17		10	0.62		0	0.00		45	2.79		3	0.19		0	0.00		0	0.00		3	0.19		128	7.94		81	5.02		209	12.97		333	20.66		38	2.36		3	0.19		5	0.31		4	0.25		383	23.76		1	0.06		0	0.00		0	0.00		1	0.06		57	3.54		23	1.43		2	0.12		82	5.09		740	45.91		58	3.60		42	2.61		7	0.43		847	52.54		8	0.50		3	0.19		0	0.00		11	0.68		0	0.00		1	0.06		0	0.00		1	0.06		0	0.00		1	0.06		2	0.12		1	0.06		4	0.25		1612	95.67		73	4.33		1685	2.59																																																																																						
	Brent Street		7	0.79		2	0.23		3	0.34		2	0.23		14	1.59		2	0.23		0	0.00		0	0.00		2	0.23		26	2.94		2	0.23		2	0.23		30	3.40		0	0.00		0	0.00		0	0.00		0	0.00		40	4.53		38	4.30		78	8.83		233	26.39		47	5.32		5	0.57		4	0.45		6	0.68		295	33.41		0	0.00		0	0.00		0	0.00		0	0.00		27	3.06		5	0.57		1	0.11		33	3.74		382	43.26		22	2.49		16	1.81		3	0.34		423	47.90		4	0.45		1	0.11		0	0.00		5	0.57		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.23		1	0.11		3	0.34		883	95.98		37	4.02		920	1.41																																																																																						
	Cascades		5	0.83		1	0.17		2	0.33		1	0.17		9	1.49		0	0.00		0	0.00		0	0.00		0	0.00		6	0.99		2	0.33		0	0.00		8	1.32		0	0.00		0	0.00		0	0.00		0	0.00		106	17.55		99	16.39		205	33.94		128	21.19		25	4.14		2	0.33		1	0.17		7	1.16		163	26.99		0	0.00		1	0.17		0	0.00		1	0.17		34	5.63		7	1.16		0	0.00		41	6.79		140	23.18		19	3.15		8	1.32		2	0.33		169	27.98		2	0.33		1	0.17		2	0.33		5	0.83		1	0.17		1	0.17		0	0.00		2	0.33		0	0.00		0	0.00		0	0.00		1	0.17		1	0.17		604	97.89		13	2.11		617	0.95																																																																																						
	Chigwell		19	1.05		5	0.28		0	0.00		0	0.00		24	1.33		1	0.06		1	0.06		0	0.00		2	0.11		73	4.04		4	0.22		1	0.06		78	4.32		1	0.06		0	0.00		0	0.00		1	0.06		72	3.99		39	2.16		111	6.15		465	25.75		28	1.55		11	0.61		1	0.06		2	0.11		507	28.07		2	0.11		1	0.06		1	0.06		4	0.22		47	2.60		9	0.50		3	0.17		59	3.27		913	50.55		40	2.21		49	2.71		2	0.11		1004	55.59		8	0.44		1	0.06		0	0.00		9	0.50		2	0.11		0	0.00		0	0.00		2	0.11		1	0.06		0	0.00		0	0.00		4	0.22		5	0.28		1806	96.01		75	3.99		1881	2.89																																																																																				
	Claremont		18	1.28		1	0.07		0	0.00		2	0.14		21	1.50		1	0.07		1	0.07		0	0.00		2	0.14		38	2.71		10	0.71		3	0.21		51	3.64		0	0.00		0	0.00		0	0.00		0	0.00		51	3.64		40	2.85		91	6.49		414	29.51		37	2.64		2	0.14		1	0.07		7	0.50		461	32.86		0	0.00		0	0.00		0	0.00		0	0.00		50	3.56		8	0.57		5	0.36		63	4.49		621	44.26		33	2.35		35	2.49		7	0.50		696	49.61		7	0.50		1	0.07		0	0.00		8	0.57		3	0.21		1	0.07		0	0.00		4	0.29		0	0.00		0	0.00		3	0.21		3	0.21		6	0.43		1403	95.05		73	4.95		1476	2.27																																																																																				
	Collinsvale		4	1.13		1	0.28		1	0.28		1	0.28		7	1.98		1	0.28		0	0.00		0	0.00		1	0.28		9	2.55		1	0.28		0	0.00		10	2.83		0	0.00		0	0.00		0	0.00		0	0.00		45	12.75		39	11.05		84	23.80		54	15.30		13	3.68		3	0.85		1	0.28		0	0.00		71	20.11		0	0.00		1	0.28		0	0.00		1	0.28		11	3.12		7	1.98		1	0.28		19	5.38		142	40.23		5	1.42		9	2.55		1	0.28		157	44.48		3	0.85		0	0.00		0	0.00		3	0.85		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		353	96.71		12	3.29		365	0.56																																																																																				
