Senate - 2001 Election: Tasmania																																																																																																																																																																																																																																																												
First Preference Votes by Candidate 																																																																																																																																																																																																																																																												
By Polling Place																																																																																																																																																																																																																																																												

Franklin (67119)																																																																																																																																																																																																																																																												
			 A Tasmania First Party															 B Hope Party Australia												 C Pauline Hanson's One Nation												 D 												 E Australian Greens									 F Liberal Party of Australia - Tasmanian Division																		 G 												 H Australian Democrats												 I Australian Labor Party (Tasmanian Branch)															 J liberals for forests												 K Republican Party of Australia												Ungrouped																																																																																																												
	    		TICKET VOTES			CRACK			JACKSON			PRESSER			Group Total			TICKET VOTES			BRISTOW			PETHERBRIDGE-DE TISSERA			Group Total			TICKET VOTES			BOAG			STOKES			Group Total			TICKET VOTES			BONNER			HOWARD			Group Total			TICKET VOTES			# BROWN			Group Total			TICKET VOTES			# CALVERT			# WATSON			# COLBECK			PARRY			Group Total			TICKET VOTES			BAINBRIDGE			CLEARY			Group Total			TICKET VOTES			BUTLER			TOOHEY			Group Total			TICKET VOTES			# MACKAY			# SHERRY			BILYK			Group Total			TICKET VOTES			PULLINGER			THOMAS			Group Total			TICKET VOTES			CONSANDINE			LAWATSCH			Group Total			LARNER			MARMARINOS			LANE			LOCKETT			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																																																							
	    					Merilyn			David			John									James Tate			Shamara									Bronwyn			Peter									Stephen			Geoff									Bob									Paul			John			Richard			Stephen									Alex			Sarah									Debbie			Brendan									Sue			Nick			Catryna									Peter			Michael									Peter			Bert						Rob			John Victor			Helen			Eric																																																																																																			
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																																																																						
	Adventure Bay		1	0.62		0	0.00		0	0.00		0	0.00		1	0.62		0	0.00		0	0.00		0	0.00		0	0.00		4	2.47		3	1.85		0	0.00		7	4.32		0	0.00		0	0.00		0	0.00		0	0.00		28	17.28		18	11.11		46	28.40		44	27.16		6	3.70		1	0.62		0	0.00		0	0.00		51	31.48		0	0.00		0	0.00		0	0.00		0	0.00		4	2.47		2	1.23		0	0.00		6	3.70		39	24.07		5	3.09		5	3.09		1	0.62		50	30.86		1	0.62		0	0.00		0	0.00		1	0.62		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		162	98.18		3	1.82		165	0.26																																																																																						
	Alonnah		1	0.53		0	0.00		0	0.00		0	0.00		1	0.53		1	0.53		0	0.00		0	0.00		1	0.53		5	2.67		2	1.07		2	1.07		9	4.81		0	0.00		0	0.00		0	0.00		0	0.00		37	19.79		13	6.95		50	26.74		41	21.93		5	2.67		1	0.53		1	0.53		0	0.00		48	25.67		0	0.00		0	0.00		0	0.00		0	0.00		6	3.21		0	0.00		0	0.00		6	3.21		56	29.95		9	4.81		4	2.14		1	0.53		70	37.43		2	1.07		0	0.00		0	0.00		2	1.07		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		187	97.91		4	2.09		191	0.30																																																																																						
	Barnes Bay		1	0.81		1	0.81		0	0.00		0	0.00		2	1.63		0	0.00		0	0.00		0	0.00		0	0.00		3	2.44		2	1.63		0	0.00		5	4.07		0	0.00		0	0.00		0	0.00		0	0.00		20	16.26		22	17.89		42	34.15		33	26.83		3	2.44		0	0.00		0	0.00		0	0.00		36	29.27		0	0.00		0	0.00		0	0.00		0	0.00		4	3.25		1	0.81		0	0.00		5	4.07		24	19.51		4	3.25		2	1.63		1	0.81		31	25.20		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	1.63		0	0.00		2	1.63		123	99.19		1	0.81		124	0.19																																																																																						
	Bellerive		14	0.49		6	0.21		12	0.42		1	0.04		33	1.16		0	0.00		0	0.00		0	0.00		0	0.00		46	1.62		8	0.28		0	0.00		54	1.91		2	0.07		0	0.00		0	0.00		2	0.07		268	9.46		218	7.70		486	17.15		1065	37.59		115	4.06		15	0.53		11	0.39		5	0.18		1211	42.75		4	0.14		0	0.00		0	0.00		4	0.14		101	3.57		28	0.99		4	0.14		133	4.69		760	26.83		62	2.19		51	1.80		13	0.46		886	31.27		3	0.11		1	0.04		1	0.04		5	0.18		2	0.07		1	0.04		0	0.00		3	0.11		0	0.00		1	0.04		7	0.25		8	0.28		16	0.56		2833	97.05		86	2.95		2919	4.51																																																																																						
	Blackmans Bay		11	0.40		3	0.11		2	0.07		1	0.04		17	0.62		0	0.00		0	0.00		0	0.00		0	0.00		46	1.69		7	0.26		1	0.04		54	1.98		1	0.04		3	0.11		0	0.00		4	0.15		280	10.29		242	8.89		522	19.18		1032	37.93		106	3.90		6	0.22		7	0.26		11	0.40		1162	42.70		0	0.00		1	0.04		0	0.00		1	0.04		144	5.29		47	1.73		5	0.18		196	7.20		598	21.98		64	2.35		47	1.73		27	0.99		736	27.05		12	0.44		2	0.07		0	0.00		14	0.51		3	0.11		0	0.00		0	0.00		3	0.11		0	0.00		0	0.00		9	0.33		3	0.11		12	0.44		2721	97.32		75	2.68		2796	4.32																																																																																						
	Bligh		19	1.99		3	0.31		0	0.00		0	0.00		22	2.31		1	0.10		0	0.00		0	0.00		1	0.10		19	1.99		7	0.73		1	0.10		27	2.83		1	0.10		0	0.00		0	0.00		1	0.10		41	4.30		24	2.52		65	6.82		182	19.10		13	1.36		1	0.10		1	0.10		0	0.00		197	20.67		0	0.00		0	0.00		0	0.00		0	0.00		19	1.99		4	0.42		3	0.31		26	2.73		545	57.19		27	2.83		29	3.04		5	0.52		606	63.59		2	0.21		1	0.10		0	0.00		3	0.31		1	0.10		0	0.00		0	0.00		1	0.10		0	0.00		0	0.00		0	0.00		4	0.42		4	0.42		953	94.92		51	5.08		1004	1.55																																																																																						
	Bridgewater		26	1.13		8	0.35		3	0.13		0	0.00		37	1.61		3	0.13		0	0.00		0	0.00		3	0.13		75	3.27		10	0.44		2	0.09		87	3.80		2	0.09		1	0.04		0	0.00		3	0.13		84	3.66		37	1.61		121	5.28		435	18.98		36	1.57		4	0.17		1	0.04		3	0.13		479	20.90		6	0.26		0	0.00		2	0.09		8	0.35		70	3.05		7	0.31		2	0.09		79	3.45		1311	57.20		67	2.92		66	2.88		7	0.31		1451	63.31		12	0.52		4	0.17		1	0.04		17	0.74		2	0.09		0	0.00		0	0.00		2	0.09		1	0.04		0	0.00		3	0.13		1	0.04		5	0.22		2292	94.24		140	5.76		2432	3.76																																																																																						
	Cambridge		3	0.32		1	0.11		1	0.11		0	0.00		5	0.53		0	0.00		0	0.00		0	0.00		0	0.00		16	1.71		7	0.75		3	0.32		26	2.77		0	0.00		0	0.00		0	0.00		0	0.00		77	8.21		73	7.78		150	15.99		367	39.13		57	6.08		4	0.43		4	0.43		4	0.43		436	46.48		0	0.00		0	0.00		0	0.00		0	0.00		37	3.94		10	1.07		2	0.21		49	5.22		208	22.17		28	2.99		21	2.24		2	0.21		259	27.61		7	0.75		1	0.11		0	0.00		8	0.85		1	0.11		0	0.00		0	0.00		1	0.11		0	0.00		0	0.00		1	0.11		3	0.32		4	0.43		938	97.91		20	2.09		958	1.48																																																																																				
	Clarendon Vale		12	1.83		3	0.46		1	0.15		0	0.00		16	2.44		5	0.76		0	0.00		0	0.00		5	0.76		15	2.29		1	0.15		0	0.00		16	2.44		3	0.46		0	0.00		0	0.00		3	0.46		18	2.75		14	2.14		32	4.89		89	13.59		14	2.14		1	0.15		0	0.00		1	0.15		105	16.03		1	0.15		1	0.15		0	0.00		2	0.31		21	3.21		1	0.15		0	0.00		22	3.36		409	62.44		19	2.90		16	2.44		6	0.92		450	68.70		4	0.61		0	0.00		0	0.00		4	0.61		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		655	95.48		31	4.52		686	1.06																																																																																				
	Cradoc		4	1.41		0	0.00		0	0.00		0	0.00		4	1.41		0	0.00		0	0.00		0	0.00		0	0.00		8	2.83		2	0.71		0	0.00		10	3.53		0	0.00		0	0.00		0	0.00		0	0.00		41	14.49		24	8.48		65	22.97		101	35.69		23	8.13		3	1.06		1	0.35		0	0.00		128	45.23		0	0.00		0	0.00		0	0.00		0	0.00		5	1.77		2	0.71		0	0.00		7	2.47		45	15.90		13	4.59		7	2.47		1	0.35		66	23.32		3	1.06		0	0.00		0	0.00		3	1.06		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		283	97.59		7	2.41		290	0.45																																																																																				
