Senate - 2001 Election: Tasmania																																																																																																																																																																																																																																																												
First Preference Votes by Candidate 																																																																																																																																																																																																																																																												
By Polling Place																																																																																																																																																																																																																																																												

Lyons (62942)																																																																																																																																																																																																																																																												
			 A Tasmania First Party															 B Hope Party Australia												 C Pauline Hanson's One Nation												 D 												 E Australian Greens									 F Liberal Party of Australia - Tasmanian Division																		 G 												 H Australian Democrats												 I Australian Labor Party (Tasmanian Branch)															 J liberals for forests												 K Republican Party of Australia												Ungrouped																																																																																																												
	    		TICKET VOTES			CRACK			JACKSON			PRESSER			Group Total			TICKET VOTES			BRISTOW			PETHERBRIDGE-DE TISSERA			Group Total			TICKET VOTES			BOAG			STOKES			Group Total			TICKET VOTES			BONNER			HOWARD			Group Total			TICKET VOTES			# BROWN			Group Total			TICKET VOTES			# CALVERT			# WATSON			# COLBECK			PARRY			Group Total			TICKET VOTES			BAINBRIDGE			CLEARY			Group Total			TICKET VOTES			BUTLER			TOOHEY			Group Total			TICKET VOTES			# MACKAY			# SHERRY			BILYK			Group Total			TICKET VOTES			PULLINGER			THOMAS			Group Total			TICKET VOTES			CONSANDINE			LAWATSCH			Group Total			LARNER			MARMARINOS			LANE			LOCKETT			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																																																							
	    					Merilyn			David			John									James Tate			Shamara									Bronwyn			Peter									Stephen			Geoff									Bob									Paul			John			Richard			Stephen									Alex			Sarah									Debbie			Brendan									Sue			Nick			Catryna									Peter			Michael									Peter			Bert						Rob			John Victor			Helen			Eric																																																																																																			
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																																																																						
	Avoca		5	2.42		1	0.48		0	0.00		0	0.00		6	2.90		0	0.00		0	0.00		0	0.00		0	0.00		9	4.35		1	0.48		0	0.00		10	4.83		0	0.00		0	0.00		0	0.00		0	0.00		5	2.42		4	1.93		9	4.35		45	21.74		9	4.35		3	1.45		2	0.97		0	0.00		59	28.50		0	0.00		0	0.00		0	0.00		0	0.00		2	0.97		0	0.00		0	0.00		2	0.97		104	50.24		12	5.80		3	1.45		0	0.00		119	57.49		1	0.48		0	0.00		0	0.00		1	0.48		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.48		1	0.48		207	94.95		11	5.05		218	0.36																																																																																						
	Bagdad		9	1.43		1	0.16		1	0.16		3	0.48		14	2.23		0	0.00		0	0.00		0	0.00		0	0.00		33	5.25		5	0.80		1	0.16		39	6.21		1	0.16		0	0.00		0	0.00		1	0.16		33	5.25		23	3.66		56	8.92		173	27.55		23	3.66		1	0.16		3	0.48		1	0.16		201	32.01		2	0.32		1	0.16		0	0.00		3	0.48		21	3.34		7	1.11		1	0.16		29	4.62		249	39.65		15	2.39		15	2.39		2	0.32		281	44.75		3	0.48		0	0.00		0	0.00		3	0.48		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.16		0	0.00		1	0.16		628	97.97		13	2.03		641	1.06																																																																																						
	Beaconsfield		10	1.11		4	0.44		4	0.44		1	0.11		19	2.11		0	0.00		0	0.00		0	0.00		0	0.00		34	3.77		8	0.89		0	0.00		42	4.66		0	0.00		1	0.11		0	0.00		1	0.11		72	7.99		24	2.66		96	10.65		231	25.64		14	1.55		13	1.44		5	0.55		2	0.22		265	29.41		0	0.00		0	0.00		0	0.00		0	0.00		23	2.55		10	1.11		0	0.00		33	3.66		407	45.17		25	2.77		7	0.78		1	0.11		440	48.83		3	0.33		0	0.00		0	0.00		3	0.33		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.11		0	0.00		1	0.11		2	0.22		901	94.94		48	5.06		949	1.56																																																																																						
	Beauty Point		11	1.60		1	0.15		2	0.29		0	0.00		14	2.03		1	0.15		0	0.00		0	0.00		1	0.15		20	2.90		9	1.31		0	0.00		29	4.21		1	0.15		1	0.15		0	0.00		2	0.29		25	3.63		22	3.19		47	6.82		200	29.03		18	2.61		9	1.31		2	0.29		2	0.29		231	33.53		0	0.00		0	0.00		0	0.00		0	0.00		25	3.63		14	2.03		0	0.00		39	5.66		274	39.77		24	3.48		20	2.90		3	0.44		321	46.59		4	0.58		0	0.00		0	0.00		4	0.58		1	0.15		0	0.00		0	0.00		1	0.15		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		689	96.09		28	3.91		717	1.18																																																																																						
	Bicheno		7	1.23		2	0.35		0	0.00		0	0.00		9	1.58		2	0.35		0	0.00		0	0.00		2	0.35		29	5.09		4	0.70		1	0.18		34	5.96		0	0.00		0	0.00		0	0.00		0	0.00		41	7.19		18	3.16		59	10.35		209	36.67		17	2.98		12	2.11		1	0.18		5	0.88		244	42.81		1	0.18		0	0.00		0	0.00		1	0.18		18	3.16		5	0.88		0	0.00		23	4.04		161	28.25		18	3.16		7	1.23		1	0.18		187	32.81		5	0.88		2	0.35		0	0.00		7	1.23		1	0.18		0	0.00		0	0.00		1	0.18		1	0.18		0	0.00		0	0.00		2	0.35		3	0.53		570	96.12		23	3.88		593	0.98																																																																																						
	Bishopsbourne		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	4.49		0	0.00		1	1.12		5	5.62		0	0.00		0	0.00		0	0.00		0	0.00		3	3.37		0	0.00		3	3.37		40	44.94		7	7.87		8	8.99		0	0.00		0	0.00		55	61.80		0	0.00		0	0.00		0	0.00		0	0.00		2	2.25		2	2.25		0	0.00		4	4.49		18	20.22		1	1.12		0	0.00		1	1.12		20	22.47		0	0.00		1	1.12		0	0.00		1	1.12		0	0.00		0	0.00		0	0.00		0	0.00		1	1.12		0	0.00		0	0.00		0	0.00		1	1.12		89	93.68		6	6.32		95	0.16																																																																																						
	Bothwell		11	3.24		1	0.29		0	0.00		0	0.00		12	3.53		0	0.00		0	0.00		0	0.00		0	0.00		24	7.06		1	0.29		0	0.00		25	7.35		0	0.00		0	0.00		0	0.00		0	0.00		8	2.35		4	1.18		12	3.53		131	38.53		14	4.12		4	1.18		2	0.59		2	0.59		153	45.00		1	0.29		0	0.00		0	0.00		1	0.29		1	0.29		1	0.29		0	0.00		2	0.59		122	35.88		6	1.76		5	1.47		0	0.00		133	39.12		1	0.29		1	0.29		0	0.00		2	0.59		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		340	96.05		14	3.95		354	0.58																																																																																						
	Bracknell		4	0.97		0	0.00		0	0.00		0	0.00		4	0.97		0	0.00		0	0.00		0	0.00		0	0.00		19	4.59		4	0.97		0	0.00		23	5.56		0	0.00		0	0.00		0	0.00		0	0.00		42	10.14		21	5.07		63	15.22		137	33.09		20	4.83		25	6.04		4	0.97		0	0.00		186	44.93		1	0.24		0	0.00		0	0.00		1	0.24		10	2.42		3	0.72		0	0.00		13	3.14		107	25.85		4	0.97		4	0.97		3	0.72		118	28.50		1	0.24		2	0.48		0	0.00		3	0.72		0	0.00		0	0.00		0	0.00		0	0.00		2	0.48		0	0.00		1	0.24		0	0.00		3	0.72		414	96.50		15	3.50		429	0.71																																																																																				
	Brighton		11	0.77		3	0.21		3	0.21		2	0.14		19	1.33		1	0.07		0	0.00		0	0.00		1	0.07		59	4.13		6	0.42		2	0.14		67	4.70		0	0.00		3	0.21		0	0.00		3	0.21		70	4.91		34	2.38		104	7.29		438	30.69		52	3.64		4	0.28		7	0.49		2	0.14		503	35.25		0	0.00		1	0.07		1	0.07		2	0.14		37	2.59		6	0.42		1	0.07		44	3.08		605	42.40		36	2.52		25	1.75		6	0.42		672	47.09		9	0.63		0	0.00		0	0.00		9	0.63		0	0.00		0	0.00		1	0.07		1	0.07		0	0.00		0	0.00		1	0.07		1	0.07		2	0.14		1427	96.22		56	3.78		1483	2.44																																																																																				
	Broadmarsh		2	1.20		3	1.81		0	0.00		0	0.00		5	3.01		0	0.00		0	0.00		0	0.00		0	0.00		5	3.01		4	2.41		0	0.00		9	5.42		0	0.00		0	0.00		0	0.00		0	0.00		11	6.63		5	3.01		16	9.64		72	43.37		9	5.42		1	0.60		2	1.20		0	0.00		84	50.60		1	0.60		0	0.00		0	0.00		1	0.60		4	2.41		3	1.81		0	0.00		7	4.22		39	23.49		0	0.00		3	1.81		0	0.00		42	25.30		1	0.60		0	0.00		0	0.00		1	0.60		0	0.00		0	0.00		0	0.00		0	0.00		1	0.60		0	0.00		0	0.00		0	0.00		1	0.60		166	97.65		4	2.35		170	0.28																																																																																				
