House of Representatives - 2001 Election: Tasmania																												
Distribution of Preferences 																												
By Polling Place																												
																												
Bass																												
				COLLINS			DOCKRAY			BOOTH			LARNER			BENNEWORTH			O'BYRNE			COLGRAVE			HARDMAN			
				Denis			Margy			Kim			Caroline			Tony			Michelle			Sancia			Ian			
				HAN			LFF			GRN			CEC			LP			ALP			DEM			TFP			
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total
Blessington Upper                                              																												
	FIRST			6	8.96		5	7.46		8	11.94		0	0.00		24	35.82		18	26.87		5	7.46		1	1.49		67
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		6	8.96		5	7.46		8	11.94					24	35.82		18	26.87		5	7.46		1	1.49		67
	THIRD			0	0.00		1	100.00		0	0.00					0	0.00		0	0.00		0	0.00			Excluded		1
		TOTAL		6	8.96		6	8.96		8	11.94					24	35.82		18	26.87		5	7.46					67
	FOURTH			0	0.00			Excluded		1	16.67					4	66.67		1	16.67		0	0.00					6
		TOTAL		6	8.96					9	13.43					28	41.79		19	28.36		5	7.46					67
	FIFTH				Excluded					5	83.33					1	16.67		0	0.00		0	0.00					6
		TOTAL								14	20.90					29	43.28		19	28.36		5	7.46					67
	SIXTH									2	40.00					1	20.00		2	40.00			Excluded					5
		TOTAL								16	23.88					30	44.78		21	31.34								67
	SEVENTH										Excluded					8	50.00		8	50.00								16
		TOTAL														38	56.72		29	43.28								67
																			Elected									
																												
Branxholm                                                      																												
	FIRST			12	5.97		4	1.99		8	3.98		0	0.00		71	35.32		97	48.26		6	2.99		3	1.49		201
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		12	5.97		4	1.99		8	3.98					71	35.32		97	48.26		6	2.99		3	1.49		201
	THIRD			2	66.67		0	0.00		0	0.00					1	33.33		0	0.00		0	0.00			Excluded		3
		TOTAL		14	6.97		4	1.99		8	3.98					72	35.82		97	48.26		6	2.99					201
	FOURTH			2	50.00			Excluded		0	0.00					2	50.00		0	0.00		0	0.00					4
		TOTAL		16	7.96					8	3.98					74	36.82		97	48.26		6	2.99					201
	FIFTH				Excluded					7	43.75					3	18.75		2	12.50		4	25.00					16
		TOTAL								15	7.46					77	38.31		99	49.25		10	4.98					201
	SIXTH									4	40.00					2	20.00		4	40.00			Excluded					10
		TOTAL								19	9.45					79	39.30		103	51.24								201
	SEVENTH										Excluded					10	52.63		9	47.37								19
		TOTAL														89	44.28		112	55.72								201
																			Elected									
																												
Bridport                                                       																												
	FIRST			35	3.06		20	1.75		61	5.33		1	0.09		554	48.43		432	37.76		27	2.36		14	1.22		1144
	SECOND			0	0.00		1	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		35	3.06		21	1.84		61	5.33					554	48.43		432	37.76		27	2.36		14	1.22		1144
