House of Representatives - 2001 Election: Tasmania																			
Distribution of Preferences 																			
By Polling Place																			
																			
Franklin																			
				BASTICK			MANSKEY			QUICK			MULLOY			HODGMAN			
				Patricia			Karen			Harry			Art			Peter			
				GRN			DEM			ALP			HAN			LP			
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total
Adventure Bay                                                  																			
	FIRST			33	20.37		3	1.85		71	43.83		2	1.23		53	32.72		162
	SECOND			0	0.00		0	0.00		2	100.00			Excluded		0	0.00		2
		TOTAL		33	20.37		3	1.85		73	45.06					53	32.72		162
	THIRD			2	66.67			Excluded		1	33.33					0	0.00		3
		TOTAL		35	21.60					74	45.68					53	32.72		162
	FOURTH				Excluded					32	91.43					3	8.57		35
		TOTAL								106	65.43					56	34.57		162
										Elected									
																			
Alonnah                                                        																			
	FIRST			43	22.75		8	4.23		83	43.92		12	6.35		43	22.75		189
	SECOND			2	16.67		0	0.00		6	50.00			Excluded		4	33.33		12
		TOTAL		45	23.81		8	4.23		89	47.09					47	24.87		189
	THIRD			6	75.00			Excluded		2	25.00					0	0.00		8
		TOTAL		51	26.98					91	48.15					47	24.87		189
	FOURTH				Excluded					46	90.20					5	9.80		51
		TOTAL								137	72.49					52	27.51		189
										Elected									
																			
Barnes Bay                                                     																			
	FIRST			40	32.26		8	6.45		43	34.68		2	1.61		31	25.00		124
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		2	100.00		2
		TOTAL		40	32.26		8	6.45		43	34.68					33	26.61		124
	THIRD			5	62.50			Excluded		1	12.50					2	25.00		8
		TOTAL		45	36.29					44	35.48					35	28.23		124
	FOURTH				Excluded					41	91.11					4	8.89		45
		TOTAL								85	68.55					39	31.45		124
										Elected									
																			
Bellerive                                                      																			
	FIRST			257	9.03		133	4.67		1229	43.20		48	1.69		1178	41.41		2845
	SECOND			10	20.83		11	22.92		13	27.08			Excluded		14	29.17		48
		TOTAL		267	9.38		144	5.06		1242	43.66					1192	41.90		2845
	THIRD			76	52.78			Excluded		35	24.31					33	22.92		144
		TOTAL		343	12.06					1277	44.89					1225	43.06		2845
	FOURTH				Excluded					258	75.22					85	24.78		343
		TOTAL								1535	53.95					1310	46.05		2845
										Elected									
																			
Blackmans Bay                                                  																			
	FIRST			258	9.46		158	5.79		1060	38.87		41	1.50		1210	44.37		2727
	SECOND			6	14.63		5	12.20		16	39.02			Excluded		14	34.15		41
		TOTAL		264	9.68		163	5.98		1076	39.46					1224	44.88		2727
	THIRD			82	50.31			Excluded		50	30.67					31	19.02		163
		TOTAL		346	12.69					1126	41.29					1255	46.02		2727
	FOURTH				Excluded					259	74.86					87	25.14		346
		TOTAL								1385	50.79					1342	49.21		2727
										Elected									
																			
Bligh                                                          																			
	FIRST			47	4.87		34	3.52		675	69.95		27	2.80		182	18.86		965
	SECOND			4	14.81		3	11.11		14	51.85			Excluded		6	22.22		27
		TOTAL		51	5.28		37	3.83		689	71.40					188	19.48		965
	THIRD			19	51.35			Excluded		16	43.24					2	5.41		37
		TOTAL		70	7.25					705	73.06					190	19.69		965
	FOURTH				Excluded					50	71.43					20	28.57		70
		TOTAL								755	78.24					210	21.76		965
										Elected									
																			
Bridgewater                                                    																			
	FIRST			74	3.23		57	2.49		1696	74.06		50	2.18		413	18.03		2290
	SECOND			5	10.00		12	24.00		25	50.00			Excluded		8	16.00		50
		TOTAL		79	3.45		69	3.01		1721	75.15					421	18.38		2290
	THIRD			33	47.83			Excluded		27	39.13					9	13.04		69
		TOTAL		112	4.89					1748	76.33					430	18.78		2290
	FOURTH				Excluded					86	76.79					26	23.21		112
		TOTAL								1834	80.09					456	19.91		2290
										Elected									
																			
Cambridge                                                      																			
	FIRST			83	8.86		55	5.87		347	37.03		28	2.99		424	45.25		937
	SECOND			6	21.43		1	3.57		7	25.00			Excluded		14	50.00		28
		TOTAL		89	9.50		56	5.98		354	37.78					438	46.74		937
	THIRD			26	46.43			Excluded		14	25.00					16	28.57		56
		TOTAL		115	12.27					368	39.27					454	48.45		937
	FOURTH				Excluded					84	73.04					31	26.96		115
		TOTAL								452	48.24					485	51.76		937
										Elected									
																			
Clarendon Vale                                                 																			
	FIRST			30	4.59		23	3.52		499	76.42		13	1.99		88	13.48		653
	SECOND			5	38.46		1	7.69		4	30.77			Excluded		3	23.08		13
		TOTAL		35	5.36		24	3.68		503	77.03					91	13.94		653
	THIRD			12	50.00			Excluded		8	33.33					4	16.67		24
		TOTAL		47	7.20					511	78.25					95	14.55		653
	FOURTH				Excluded					40	85.11					7	14.89		47
		TOTAL								551	84.38					102	15.62		653
										Elected									
																			
Cradoc                                                         																			
	FIRST			48	17.08		10	3.56		94	33.45		11	3.91		118	41.99		281
	SECOND			0	0.00		3	27.27		1	9.09			Excluded		7	63.64		11
		TOTAL		48	17.08		13	4.63		95	33.81					125	44.48		281
	THIRD			9	69.23			Excluded		3	23.08					1	7.69		13
		TOTAL		57	20.28					98	34.88					126	44.84		281
	FOURTH				Excluded					47	82.46					10	17.54		57
		TOTAL								145	51.60					136	48.40		281
										Elected									
																			
Cygnet                                                         																			
	FIRST			264	16.74		49	3.11		736	46.67		37	2.35		491	31.14		1577
	SECOND			3	8.11		6	16.22		17	45.95			Excluded		11	29.73		37
		TOTAL		267	16.93		55	3.49		753	47.75					502	31.83		1577
	THIRD			26	47.27			Excluded		23	41.82					6	10.91		55
		TOTAL		293	18.58					776	49.21					508	32.21		1577
	FOURTH				Excluded					239	81.57					54	18.43		293
		TOTAL								1015	64.36					562	35.64		1577
										Elected									
																			
Dover                                                          																			
	FIRST			36	7.06		18	3.53		250	49.02		14	2.75		192	37.65		510
	SECOND			2	14.29		3	21.43		5	35.71			Excluded		4	28.57		14
		TOTAL		38	7.45		21	4.12		255	50.00					196	38.43		510
	THIRD			9	42.86			Excluded		7	33.33					5	23.81		21
		TOTAL		47	9.22					262	51.37					201	39.41		510
	FOURTH				Excluded					38	80.85					9	19.15		47
		TOTAL								300	58.82					210	41.18		510
										Elected									
																			
Franklin                                                       																			
	FIRST			69	13.94		15	3.03		195	39.39		18	3.64		198	40.00		495
	SECOND			2	11.11		1	5.56		7	38.89			Excluded		8	44.44		18
		TOTAL		71	14.34		16	3.23		202	40.81					206	41.62		495
	THIRD			11	68.75			Excluded		3	18.75					2	12.50		16
		TOTAL		82	16.57					205	41.41					208	42.02		495
	FOURTH				Excluded					70	85.37					12	14.63		82
		TOTAL								275	55.56					220	44.44		495
										Elected									
																			
Gagebrook                                                      																			
	FIRST			51	3.22		35	2.21		1089	68.75		39	2.46		370	23.36		1584
	SECOND			2	5.13		5	12.82		25	64.10			Excluded		7	17.95		39
		TOTAL		53	3.35		40	2.53		1114	70.33					377	23.80		1584
	THIRD			18	45.00			Excluded		18	45.00					4	10.00		40
		TOTAL		71	4.48					1132	71.46					381	24.05		1584
	FOURTH				Excluded					58	81.69					13	18.31		71
		TOTAL								1190	75.13					394	24.87		1584
										Elected									
																			
Geeveston                                                      																			
	FIRST			36	5.07		24	3.38		330	46.48		26	3.66		294	41.41		710
	SECOND			2	7.69		4	15.38		7	26.92			Excluded		13	50.00		26
		TOTAL		38	5.35		28	3.94		337	47.46					307	43.24		710
	THIRD			12	42.86			Excluded		8	28.57					8	28.57		28
		TOTAL		50	7.04					345	48.59					315	44.37		710
	FOURTH				Excluded					42	84.00					8	16.00		50
		TOTAL								387	54.51					323	45.49		710
										Elected									
																			
Geilston Bay                                                   																			
	FIRST			117	7.13		93	5.67		788	48.05		19	1.16		623	37.99		1640
	SECOND			3	15.79		5	26.32		6	31.58			Excluded		5	26.32		19
		TOTAL		120	7.32		98	5.98		794	48.41					628	38.29		1640
	THIRD			44	44.90			Excluded		33	33.67					21	21.43		98
		TOTAL		164	10.00					827	50.43					649	39.57		1640
	FOURTH				Excluded					125	76.22					39	23.78		164
		TOTAL								952	58.05					688	41.95		1640
										Elected									
																			
Glen Huon                                                      																			
	FIRST			30	12.10		9	3.63		84	33.87		7	2.82		118	47.58		248
	SECOND			0	0.00		1	14.29		2	28.57			Excluded		4	57.14		7
		TOTAL		30	12.10		10	4.03		86	34.68					122	49.19		248
	THIRD			5	50.00			Excluded		4	40.00					1	10.00		10
		TOTAL		35	14.11					90	36.29					123	49.60		248
	FOURTH				Excluded					33	94.29					2	5.71		35
		TOTAL								123	49.60					125	50.40		248
										Elected									
																			
Grove                                                          																			
	FIRST			91	17.11		30	5.64		159	29.89		20	3.76		232	43.61		532
	SECOND			3	15.00		2	10.00		1	5.00			Excluded		14	70.00		20
		TOTAL		94	17.67		32	6.02		160	30.08					246	46.24		532
	THIRD			14	43.75			Excluded		8	25.00					10	31.25		32
		TOTAL		108	20.30					168	31.58					256	48.12		532
	FOURTH				Excluded					89	82.41					19	17.59		108
		TOTAL								257	48.31					275	51.69		532
										Elected									
																			
Howden                                                         																			
	FIRST			45	15.85		11	3.87		111	39.08		6	2.11		111	39.08		284
	SECOND			0	0.00		1	16.67		5	83.33			Excluded		0	0.00		6
		TOTAL		45	15.85		12	4.23		116	40.85					111	39.08		284
	THIRD			9	75.00			Excluded		3	25.00					0	0.00		12
		TOTAL		54	19.01					119	41.90					111	39.08		284
	FOURTH				Excluded					46	85.19					8	14.81		54
		TOTAL								165	58.10					119	41.90		284
										Elected									
																			
Howrah                                                         																			
	FIRST			164	5.82		129	4.57		1215	43.09		44	1.56		1268	44.96		2820
	SECOND			9	20.45		7	15.91		14	31.82			Excluded		14	31.82		44
		TOTAL		173	6.13		136	4.82		1229	43.58					1282	45.46		2820
	THIRD			60	44.12			Excluded		48	35.29					28	20.59		136
		TOTAL		233	8.26					1277	45.28					1310	46.45		2820
	FOURTH				Excluded					184	78.97					49	21.03		233
		TOTAL								1461	51.81					1359	48.19		2820
										Elected									
																			
Huonville                                                      																			
	FIRST			141	9.78		63	4.37		575	39.90		38	2.64		624	43.30		1441
	SECOND			6	15.79		7	18.42		9	23.68			Excluded		16	42.11		38
		TOTAL		147	10.20		70	4.86		584	40.53					640	44.41		1441
	THIRD			34	48.57			Excluded		27	38.57					9	12.86		70
		TOTAL		181	12.56					611	42.40					649	45.04		1441
	FOURTH				Excluded					134	74.03					47	25.97		181
		TOTAL								745	51.70					696	48.30		1441
										Elected									
																			
Judbury                                                        																			
	FIRST			39	18.75		4	1.92		64	30.77		3	1.44		98	47.12		208
	SECOND			1	33.33		0	0.00		0	0.00			Excluded		2	66.67		3
		TOTAL		40	19.23		4	1.92		64	30.77					100	48.08		208
	THIRD			0	0.00			Excluded		3	75.00					1	25.00		4
		TOTAL		40	19.23					67	32.21					101	48.56		208
	FOURTH				Excluded					36	90.00					4	10.00		40
		TOTAL								103	49.52					105	50.48		208
										Elected									
																			
Kettering                                                      																			
	FIRST			82	18.68		23	5.24		133	30.30		9	2.05		192	43.74		439
	SECOND			1	11.11		2	22.22		2	22.22			Excluded		4	44.44		9
		TOTAL		83	18.91		25	5.69		135	30.75					196	44.65		439
	THIRD			9	36.00			Excluded		9	36.00					7	28.00		25
		TOTAL		92	20.96					144	32.80					203	46.24		439
	FOURTH				Excluded					75	81.52					17	18.48		92
		TOTAL								219	49.89					220	50.11		439
										Elected									
																			
Kingston                                                       																			
	FIRST			409	9.40		248	5.70		1656	38.07		76	1.75		1961	45.08		4350
	SECOND			14	18.42		13	17.11		19	25.00			Excluded		30	39.47		76
		TOTAL		423	9.72		261	6.00		1675	38.51					1991	45.77		4350
	THIRD			125	47.89			Excluded		88	33.72					48	18.39		261
		TOTAL		548	12.60					1763	40.53					2039	46.87		4350
	FOURTH				Excluded					430	78.47					118	21.53		548
		TOTAL								2193	50.41					2157	49.59		4350
										Elected									
																			
Kingston Beach                                                 																			
	FIRST			321	12.17		158	5.99		966	36.63		47	1.78		1145	43.42		2637
	SECOND			6	12.77		10	21.28		13	27.66			Excluded		18	38.30		47
		TOTAL		327	12.40		168	6.37		979	37.13					1163	44.10		2637
	THIRD			83	49.40			Excluded		52	30.95					33	19.64		168
		TOTAL		410	15.55					1031	39.10					1196	45.35		2637
	FOURTH				Excluded					323	78.78					87	21.22		410
		TOTAL								1354	51.35					1283	48.65		2637
										Elected									
																			
Lauderdale                                                     																			
	FIRST			229	9.43		155	6.38		1087	44.77		42	1.73		915	37.69		2428
	SECOND			8	19.05		5	11.90		16	38.10			Excluded		13	30.95		42
		TOTAL		237	9.76		160	6.59		1103	45.43					928	38.22		2428
	THIRD			79	49.38			Excluded		54	33.75					27	16.88		160
		TOTAL		316	13.01					1157	47.65					955	39.33		2428
	FOURTH				Excluded					239	75.63					77	24.37		316
		TOTAL								1396	57.50					1032	42.50		2428
										Elected									
																			
Lindisfarne                                                    																			
	FIRST			200	8.11		116	4.70		992	40.21		29	1.18		1130	45.80		2467
	SECOND			7	24.14		1	3.45		9	31.03			Excluded		12	41.38		29
		TOTAL		207	8.39		117	4.74		1001	40.58					1142	46.29		2467
	THIRD			59	50.43			Excluded		37	31.62					21	17.95		117
		TOTAL		266	10.78					1038	42.08					1163	47.14		2467
	FOURTH				Excluded					188	70.68					78	29.32		266
		TOTAL								1226	49.70					1241	50.30		2467
										Elected									
																			
Loatta Road                                                    																			
	FIRST			119	7.47		87	5.46		690	43.31		22	1.38		675	42.37		1593
	SECOND			3	13.64		3	13.64		6	27.27			Excluded		10	45.45		22
		TOTAL		122	7.66		90	5.65		696	43.69					685	43.00		1593
	THIRD			54	60.00			Excluded		21	23.33					15	16.67		90
		TOTAL		176	11.05					717	45.01					700	43.94		1593
	FOURTH				Excluded					124	70.45					52	29.55		176
		TOTAL								841	52.79					752	47.21		1593
										Elected									
																			
Margate                                                        																			
	FIRST			263	17.88		74	5.03		549	37.32		28	1.90		557	37.87		1471
	SECOND			2	7.14		3	10.71		10	35.71			Excluded		13	46.43		28
		TOTAL		265	18.01		77	5.23		559	38.00					570	38.75		1471
	THIRD			39	50.65			Excluded		22	28.57					16	20.78		77
		TOTAL		304	20.67					581	39.50					586	39.84		1471
	FOURTH				Excluded					247	81.25					57	18.75		304
		TOTAL								828	56.29					643	43.71		1471
										Elected									
																			
Middleton                                                      																			
