Senate - 2001 Election: Tasmania																																													
First Preference Votes by Group 																																													
By Polling Place																																													

Franklin (67119)																																													
		Group Total TFP			Group Total HPA			Group Total HAN			Group Total 			Group Total GRN			Group Total LP			Group Total 			Group Total DEM			Group Total ALP			Group Total LFF			Group Total RPA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Adventure Bay		1	0.62		0	0.00		7	4.32		0	0.00		46	28.40		51	31.48		0	0.00		6	3.70		50	30.86		1	0.62		0	0.00		0	0.00		162	98.18		3	1.82		165	0.26
Alonnah		1	0.53		1	0.53		9	4.81		0	0.00		50	26.74		48	25.67		0	0.00		6	3.21		70	37.43		2	1.07		0	0.00		0	0.00		187	97.91		4	2.09		191	0.30
Barnes Bay		2	1.63		0	0.00		5	4.07		0	0.00		42	34.15		36	29.27		0	0.00		5	4.07		31	25.20		0	0.00		0	0.00		2	1.63		123	99.19		1	0.81		124	0.19
Bellerive		33	1.16		0	0.00		54	1.91		2	0.07		486	17.15		1211	42.75		4	0.14		133	4.69		886	31.27		5	0.18		3	0.11		16	0.56		2833	97.05		86	2.95		2919	4.51
Blackmans Bay		17	0.62		0	0.00		54	1.98		4	0.15		522	19.18		1162	42.70		1	0.04		196	7.20		736	27.05		14	0.51		3	0.11		12	0.44		2721	97.32		75	2.68		2796	4.32
Bligh		22	2.31		1	0.10		27	2.83		1	0.10		65	6.82		197	20.67		0	0.00		26	2.73		606	63.59		3	0.31		1	0.10		4	0.42		953	94.92		51	5.08		1004	1.55
Bridgewater		37	1.61		3	0.13		87	3.80		3	0.13		121	5.28		479	20.90		8	0.35		79	3.45		1451	63.31		17	0.74		2	0.09		5	0.22		2292	94.24		140	5.76		2432	3.76
Cambridge		5	0.53		0	0.00		26	2.77		0	0.00		150	15.99		436	46.48		0	0.00		49	5.22		259	27.61		8	0.85		1	0.11		4	0.43		938	97.91		20	2.09		958	1.48
Clarendon Vale		16	2.44		5	0.76		16	2.44		3	0.46		32	4.89		105	16.03		2	0.31		22	3.36		450	68.70		4	0.61		0	0.00		0	0.00		655	95.48		31	4.52		686	1.06
Cradoc		4	1.41		0	0.00		10	3.53		0	0.00		65	22.97		128	45.23		0	0.00		7	2.47		66	23.32		3	1.06		0	0.00		0	0.00		283	97.59		7	2.41		290	0.45
Cygnet		16	1.02		3	0.19		47	3.00		2	0.13		386	24.62		514	32.78		2	0.13		45	2.87		540	34.44		7	0.45		1	0.06		5	0.32		1568	96.61		55	3.39		1623	2.51
Dover		4	0.78		2	0.39		28	5.46		0	0.00		67	13.06		189	36.84		0	0.00		20	3.90		192	37.43		9	1.75		0	0.00		2	0.39		513	97.90		11	2.10		524	0.81
Franklin		7	1.41		0	0.00		20	4.03		3	0.60		108	21.77		183	36.90		0	0.00		18	3.63		150	30.24		5	1.01		1	0.20		1	0.20		496	95.94		21	4.06		517	0.80
Gagebrook		35	2.20		4	0.25		63	3.96		2	0.13		73	4.59		396	24.87		2	0.13		53	3.33		950	59.67		10	0.63		3	0.19		1	0.06		1592	96.19		63	3.81		1655	2.56
Geeveston		6	0.85		2	0.28		27	3.82		0	0.00		55	7.78		299	42.29		1	0.14		24	3.39		282	39.89		8	1.13		1	0.14		2	0.28		707	95.15		36	4.85		743	1.15
Geilston Bay		11	0.67		2	0.12		24	1.46		2	0.12		232	14.11		656	39.90		1	0.06		92	5.60		605	36.80		9	0.55		3	0.18		7	0.43		1644	97.51		42	2.49		1686	2.61
Glen Huon		4	1.59		0	0.00		11	4.38		0	0.00		46	18.33		117	46.61		1	0.40		8	3.19		59	23.51		5	1.99		0	0.00		0	0.00		251	96.91		8	3.09		259	0.40
Grove		3	0.55		1	0.18		26	4.80		3	0.55		134	24.72		229	42.25		1	0.18		18	3.32		115	21.22		9	1.66		0	0.00		3	0.55		542	97.48		14	2.52		556	0.86
Howden		3	1.05		0	0.00		6	2.10		0	0.00		94	32.87		102	35.66		0	0.00		10	3.50		69	24.13		1	0.35		0	0.00		1	0.35		286	99.31		2	0.69		288	0.45
Howrah		15	0.53		1	0.04		49	1.73		1	0.04		341	12.05		1311	46.33		4	0.14		143	5.05		936	33.07		9	0.32		2	0.07		18	0.64		2830	97.52		72	2.48		2902	4.49
Huonville		19	1.32		2	0.14		42	2.91		2	0.14		206	14.27		595	41.20		2	0.14		76	5.26		482	33.38		13	0.90		1	0.07		4	0.28		1444	95.06		75	4.94		1519	2.35
Judbury		1	0.47		1	0.47		2	0.95		1	0.47		52	24.64		102	48.34		0	0.00		4	1.90		46	21.80		2	0.95		0	0.00		0	0.00		211	98.60		3	1.40		214	0.33
Kettering		3	0.69		0	0.00		13	2.97		0	0.00		127	29.06		180	41.19		0	0.00		18	4.12		93	21.28		2	0.46		1	0.23		0	0.00		437	96.90		14	3.10		451	0.70
Kingston		31	0.71		6	0.14		68	1.55		13	0.30		724	16.49		1865	42.48		7	0.16		271	6.17		1366	31.12		16	0.36		5	0.11		18	0.41		4390	97.84		97	2.16		4487	6.94
Kingston Beach		16	0.61		3	0.11		52	1.97		6	0.23		608	23.01		1102	41.71		1	0.04		162	6.13		670	25.36		13	0.49		1	0.04		8	0.30		2642	98.33		45	1.67		2687	4.15
