Senate - 2001 Election: Tasmania																																													
First Preference Votes by Group 																																													
By Polling Place																																													

Lyons (62942)																																													
		Group Total TFP			Group Total HPA			Group Total HAN			Group Total 			Group Total GRN			Group Total LP			Group Total 			Group Total DEM			Group Total ALP			Group Total LFF			Group Total RPA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Avoca		6	2.90		0	0.00		10	4.83		0	0.00		9	4.35		59	28.50		0	0.00		2	0.97		119	57.49		1	0.48		0	0.00		1	0.48		207	94.95		11	5.05		218	0.36
Bagdad		14	2.23		0	0.00		39	6.21		1	0.16		56	8.92		201	32.01		3	0.48		29	4.62		281	44.75		3	0.48		0	0.00		1	0.16		628	97.97		13	2.03		641	1.06
Beaconsfield		19	2.11		0	0.00		42	4.66		1	0.11		96	10.65		265	29.41		0	0.00		33	3.66		440	48.83		3	0.33		0	0.00		2	0.22		901	94.94		48	5.06		949	1.56
Beauty Point		14	2.03		1	0.15		29	4.21		2	0.29		47	6.82		231	33.53		0	0.00		39	5.66		321	46.59		4	0.58		1	0.15		0	0.00		689	96.09		28	3.91		717	1.18
Bicheno		9	1.58		2	0.35		34	5.96		0	0.00		59	10.35		244	42.81		1	0.18		23	4.04		187	32.81		7	1.23		1	0.18		3	0.53		570	96.12		23	3.88		593	0.98
Bishopsbourne		0	0.00		0	0.00		5	5.62		0	0.00		3	3.37		55	61.80		0	0.00		4	4.49		20	22.47		1	1.12		0	0.00		1	1.12		89	93.68		6	6.32		95	0.16
Bothwell		12	3.53		0	0.00		25	7.35		0	0.00		12	3.53		153	45.00		1	0.29		2	0.59		133	39.12		2	0.59		0	0.00		0	0.00		340	96.05		14	3.95		354	0.58
Bracknell		4	0.97		0	0.00		23	5.56		0	0.00		63	15.22		186	44.93		1	0.24		13	3.14		118	28.50		3	0.72		0	0.00		3	0.72		414	96.50		15	3.50		429	0.71
Brighton		19	1.33		1	0.07		67	4.70		3	0.21		104	7.29		503	35.25		2	0.14		44	3.08		672	47.09		9	0.63		1	0.07		2	0.14		1427	96.22		56	3.78		1483	2.44
Broadmarsh		5	3.01		0	0.00		9	5.42		0	0.00		16	9.64		84	50.60		1	0.60		7	4.22		42	25.30		1	0.60		0	0.00		1	0.60		166	97.65		4	2.35		170	0.28
Bronte		2	2.44		0	0.00		12	14.63		0	0.00		4	4.88		33	40.24		0	0.00		2	2.44		27	32.93		2	2.44		0	0.00		0	0.00		82	90.11		9	9.89		91	0.15
Buckland		1	0.93		0	0.00		6	5.61		0	0.00		0	0.00		56	52.34		0	0.00		6	5.61		38	35.51		0	0.00		0	0.00		0	0.00		107	92.24		9	7.76		116	0.19
Campania		19	4.20		0	0.00		16	3.54		0	0.00		37	8.19		207	45.80		0	0.00		14	3.10		154	34.07		4	0.88		1	0.22		0	0.00		452	96.79		15	3.21		467	0.77
Campbell Town		21	3.37		1	0.16		39	6.26		1	0.16		39	6.26		178	28.57		1	0.16		9	1.44		323	51.85		3	0.48		2	0.32		6	0.96		623	93.68		42	6.32		665	1.10
Carrick		3	0.66		0	0.00		29	6.37		4	0.88		50	10.99		208	45.71		0	0.00		24	5.27		131	28.79		4	0.88		0	0.00		2	0.44		455	95.99		19	4.01		474	0.78
Chudleigh		7	2.68		0	0.00		18	6.90		3	1.15		38	14.56		120	45.98		0	0.00		14	5.36		56	21.46		4	1.53		1	0.38		0	0.00		261	96.67		9	3.33		270	0.45
