House of Representatives - 2001 Election: Victoria																																			
First Preference Votes and TCP																																			
By Candidate by Polling Place																																			

Aston (90211)																																			
																																			
	LEVICK			# PEARCE			KENDALL			BOLAND			MITCHELL			KIR			FORMAL			INFORMAL			TOTAL										
	Ray			Chris			Ruth			Kieran			Doug			Mick												Two Candidate Preferred							
	CTA			LP			DEM			ALP			CEC			GRN												# PEARCE LP			 BOLAND ALP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Bayswater	39	1.59		1009	41.02		196	7.97		1072	43.58		12	0.49		132	5.37		2460	95.87		106	4.13		2566	2.94		1162	47.24		1298	52.76			
Bayswater South	17	1.36		595	47.52		78	6.23		502	40.10		9	0.72		51	4.07		1252	97.58		31	2.42		1283	1.47		651	52.00		601	48.00			
Bayswater West	21	1.13		907	48.82		113	6.08		749	40.31		9	0.48		59	3.18		1858	96.07		76	3.93		1934	2.21		988	53.18		870	46.82			
Blackwood Park	15	1.06		695	49.05		95	6.70		533	37.61		3	0.21		76	5.36		1417	96.33		54	3.67		1471	1.68		769	54.27		648	45.73			
Charlesworth Park	40	1.20		1773	53.21		184	5.52		1166	34.99		6	0.18		163	4.89		3332	96.92		106	3.08		3438	3.93		1925	57.77		1407	42.23			
Eastmont	19	1.10		925	53.72		120	6.97		587	34.09		6	0.35		65	3.77		1722	97.51		44	2.49		1766	2.02		1018	59.12		704	40.88			
Flamingo	23	1.07		1229	57.38		112	5.23		731	34.13		4	0.19		43	2.01		2142	97.41		57	2.59		2199	2.52		1318	61.53		824	38.47
Heany Park	48	1.21		2034	51.38		246	6.21		1522	38.44		7	0.18		102	2.58		3959	96.47		145	3.53		4104	4.70		2224	56.18		1735	43.82
Heathmont (Aston)	17	2.04		441	52.88		72	8.63		243	29.14		7	0.84		54	6.47		834	97.66		20	2.34		854	0.98		496	59.47		338	40.53
Heathmont East	16	1.42		601	53.37		80	7.10		360	31.97		6	0.53		63	5.60		1126	97.66		27	2.34		1153	1.32		674	59.86		452	40.14
