House of Representatives - 2001 Election: Victoria																																
First Preference Votes and TCP																																
By Candidate by Polling Place																																

Ballarat (85877)																																
	# KING			KELLY			COLLINS			CORIC			BLANCHARD			FORMAL			INFORMAL			TOTAL										
	Catherine			Tony			Charles			Danii			John												Two Candidate Preferred							
	ALP			GRN			LP			DEM			HAN												# KING ALP			 COLLINS LP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Alfredton	230	40.56		21	3.70		286	50.44		19	3.35		11	1.94		567	96.92		18	3.08		585	0.71		257	45.33		310	54.67			
Alfredton West	726	31.51		88	3.82		1342	58.25		115	4.99		33	1.43		2304	97.75		53	2.25		2357	2.84		856	37.15		1448	62.85			
Amphitheatre	55	30.56		8	4.44		105	58.33		5	2.78		7	3.89		180	94.74		10	5.26		190	0.23		66	36.67		114	63.33			
Ascot	29	18.01		9	5.59		113	70.19		5	3.11		5	3.11		161	96.99		5	3.01		166	0.20		40	24.84		121	75.16			
Avoca	357	43.17		40	4.84		383	46.31		14	1.69		33	3.99		827	96.16		33	3.84		860	1.04		408	49.33		419	50.67			
Ballan	800	48.13		115	6.92		611	36.76		71	4.27		65	3.91		1662	96.52		60	3.48		1722	2.08		971	58.42		691	41.58			
Ballarat	685	41.62		176	10.69		646	39.25		111	6.74		28	1.70		1646	96.60		58	3.40		1704	2.05		901	54.74		745	45.26			
Ballarat North	1151	43.80		104	3.96		1231	46.84		94	3.58		48	1.83		2628	97.73		61	2.27		2689	3.24		1309	49.81		1319	50.19
Ballarat North West	548	29.72		153	8.30		1039	56.34		89	4.83		15	0.81		1844	98.40		30	1.60		1874	2.26		727	39.43		1117	60.57
Ballarat South	691	52.91		75	5.74		460	35.22		46	3.52		34	2.60		1306	96.53		47	3.47		1353	1.63		794	60.80		512	39.20
Ballarat South West	940	44.32		153	7.21		909	42.86		86	4.05		33	1.56		2121	97.34		58	2.66		2179	2.63		1127	53.14		994	46.86
Black Hill	1123	42.00		243	9.09		1069	39.98		165	6.17		74	2.77		2674	97.52		68	2.48		2742	3.31		1447	54.11		1227	45.89
Blackwood	119	43.27		44	16.00		89	32.36		14	5.09		9	3.27		275	97.86		6	2.14		281	0.34		174	63.27		101	36.73
Brown Hill	984	48.71		127	6.29		770	38.12		92	4.55		47	2.33		2020	97.16		59	2.84		2079	2.51		1159	57.38		861	42.62
Bungaree	83	23.45		22	6.21		230	64.97		9	2.54		10	2.82		354	96.99		11	3.01		365	0.44		102	28.81		252	71.19
Buninyong	1033	42.86		210	8.71		999	41.45		121	5.02		47	1.95		2410	97.85		53	2.15		2463	2.97		1287	53.40		1123	46.60
Burrumbeet	37	21.64		5	2.92		122	71.35		3	1.75		4	2.34		171	96.07		7	3.93		178	0.21		46	26.90		125	73.10
Canadian	1139	56.16		122	6.02		670	33.04		57	2.81		40	1.97		2028	96.94		64	3.06		2092	2.52		1301	64.15		727	35.85
Clarkes Hill	36	19.35		5	2.69		136	73.12		5	2.69		4	2.15		186	98.41		3	1.59		189	0.23		44	23.66		142	76.34
Clunes	510	51.72		64	6.49		344	34.89		20	2.03		48	4.87		986	96.95		31	3.05		1017	1.23		593	60.14		393	39.86
Concongella	74	32.60		6	2.64		132	58.15		6	2.64		9	3.96		227	97.01		7	2.99		234	0.28		81	35.68		146	64.32
Creswick	832	48.43		120	6.98		629	36.61		85	4.95		52	3.03		1718	98.68		23	1.32		1741	2.10		1013	58.96		705	41.04
Creswick North	219	52.27		35	8.35		143	34.13		11	2.63		11	2.63		419	96.10		17	3.90		436	0.53		258	61.58		161	38.42
Daylesford	875	42.25		395	19.07		655	31.63		76	3.67		70	3.38		2071	96.69		71	3.31		2142	2.58		1301	62.82		770	37.18
Delacombe	790	44.63		35	1.98		819	46.27		82	4.63		44	2.49		1770	97.47		46	2.53		1816	2.19		876	49.49		894	50.51
Drummond	114	53.52		30	14.08		50	23.47		8	3.76		11	5.16		213	96.82		7	3.18		220	0.27		151	70.89		62	29.11
