House of Representatives - 2001 Election: Victoria																																												
First Preference Votes and TCP																																												
By Candidate by Polling Place																																												

Bendigo (88150)																																												
	# GIBBONS			BARROW			ZEGERS			PASQUARELLI			LILLEY			SHARKEY			SMITH			RIVENDELL			ARNOLD			FORMAL			INFORMAL			TOTAL										
	Steve			Ron			Karel			John			Helen			Maurie			Neil H			Bruce			Phil												Two Candidate Preferred							
	ALP						IND			IND			DEM			LP			HAN			GRN			CTA												# GIBBONS ALP			 SHARKEY LP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Axedale	191	34.73		3	0.55		6	1.09		9	1.64		13	2.36		298	54.18		11	2.00		13	2.36		6	1.09		550	97.17		16	2.83		566	0.67		223	40.55		327	59.45			
Bealiba	67	35.83		1	0.53		2	1.07		4	2.14		4	2.14		90	48.13		12	6.42		7	3.74		0	0.00		187	96.89		6	3.11		193	0.23		81	43.32		106	56.68			
Bendigo Base Hospital	122	49.80		2	0.82		4	1.63		3	1.22		11	4.49		82	33.47		1	0.41		11	4.49		9	3.67		245	95.33		12	4.67		257	0.30		150	61.22		95	38.78			
Bendigo Central	727	38.40		12	0.63		38	2.01		22	1.16		129	6.81		694	36.66		26	1.37		191	10.09		54	2.85		1893	96.78		63	3.22		1956	2.30		1039	54.89		854	45.11			
Bendigo East	341	48.92		10	1.43		3	0.43		5	0.72		19	2.73		270	38.74		13	1.87		20	2.87		16	2.30		697	96.01		29	3.99		726	0.85		394	56.53		303	43.47			
Bendigo North	466	55.81		8	0.96		9	1.08		3	0.36		20	2.40		269	32.22		18	2.16		31	3.71		11	1.32		835	95.43		40	4.57		875	1.03		529	63.35		306	36.65			
Big Hill	184	36.65		6	1.20		4	0.80		9	1.79		10	1.99		229	45.62		12	2.39		29	5.78		19	3.78		502	95.08		26	4.92		528	0.62		226	45.02		276	54.98			
Bowenvale	106	43.62		1	0.41		2	0.82		2	0.82		5	2.06		117	48.15		7	2.88		2	0.82		1	0.41		243	95.67		11	4.33		254	0.30		118	48.56		125	51.44
Bridgewater	116	27.42		2	0.47		20	4.73		5	1.18		10	2.36		235	55.56		12	2.84		10	2.36		13	3.07		423	94.21		26	5.79		449	0.53		145	34.28		278	65.72
California Gully	576	53.83		26	2.43		16	1.50		8	0.75		27	2.52		308	28.79		37	3.46		38	3.55		34	3.18		1070	96.57		38	3.43		1108	1.30		669	62.52		401	37.48
Campbells Creek	439	43.68		7	0.70		9	0.90		27	2.69		23	2.29		338	33.63		40	3.98		80	7.96		42	4.18		1005	95.26		50	4.74		1055	1.24		564	56.12		441	43.88
Carisbrook	333	43.93		3	0.40		8	1.06		11	1.45		11	1.45		347	45.78		26	3.43		16	2.11		3	0.40		758	96.07		31	3.93		789	0.93		371	48.94		387	51.06
Castlemaine	1057	44.69		29	1.23		30	1.27		36	1.52		72	3.04		734	31.04		50	2.11		297	12.56		60	2.54		2365	96.81		78	3.19		2443	2.87		1473	62.28		892	37.72
Castlemaine North	662	47.69		16	1.15		11	0.79		26	1.87		35	2.52		417	30.04		32	2.31		135	9.73		54	3.89		1388	96.72		47	3.28		1435	1.69		867	62.46		521	37.54
Central Deborah	281	39.91		2	0.28		6	0.85		4	0.57		32	4.55		295	41.90		19	2.70		55	7.81		10	1.42		704	97.51		18	2.49		722	0.85		366	51.99		338	48.01
Chewton	232	48.95		4	0.84		4	0.84		7	1.48		14	2.95		123	25.95		12	2.53		59	12.45		19	4.01		474	96.93		15	3.07		489	0.57		316	66.67		158	33.33
Comet Hill	797	52.30		47	3.08		29	1.90		18	1.18		26	1.71		508	33.33		26	1.71		50	3.28		23	1.51		1524	95.67		69	4.33		1593	1.87		898	58.92		626	41.08
Dunolly	312	40.73		9	1.17		11	1.44		23	3.00		14	1.83		312	40.73		45	5.87		26	3.39		14	1.83		766	94.80		42	5.20		808	0.95		389	50.78		377	49.22
Eaglehawk	1293	49.90		22	0.85		65	2.51		36	1.39		81	3.13		835	32.23		79	3.05		109	4.21		71	2.74		2591	95.64		118	4.36		2709	3.18		1556	60.05		1035	39.95
Eaglehawk North	230	54.12		4	0.94		8	1.88		7	1.65		19	4.47		120	28.24		11	2.59		17	4.00		9	2.12		425	93.61		29	6.39		454	0.53		277	65.18		148	34.82
Elmore	184	33.03		2	0.36		4	0.72		4	0.72		6	1.08		334	59.96		8	1.44		6	1.08		9	1.62		557	96.70		19	3.30		576	0.68		201	36.09		356	63.91
Elphinstone	118	38.31		3	0.97		8	2.60		1	0.32		10	3.25		119	38.64		6	1.95		35	11.36		8	2.60		308	94.48		18	5.52		326	0.38		166	53.90		142	46.10
Eppalock	111	35.02		4	1.26		5	1.58		7	2.21		17	5.36		138	43.53		4	1.26		28	8.83		3	0.95		317	97.24		9	2.76		326	0.38		159	50.16		158	49.84
Epsom	455	40.16		9	0.79		28	2.47		16	1.41		18	1.59		530	46.78		27	2.38		32	2.82		18	1.59		1133	96.34		43	3.66		1176	1.38		534	47.13		599	52.87
Flora Hill	838	37.15		18	0.80		39	1.73		17	0.75		110	4.88		994	44.06		20	0.89		140	6.21		80	3.55		2256	97.45		59	2.55		2315	2.72		1108	49.11		1148	50.89
Golden Square	1471	45.90		33	1.03		68	2.12		38	1.19		118	3.68		1158	36.13		75	2.34		158	4.93		86	2.68		3205	95.84		139	4.16		3344	3.93		1805	56.32		1400	43.68
Golden Square South	528	41.97		10	0.79		23	1.83		11	0.87		19	1.51		572	45.47		21	1.67		43	3.42		31	2.46		1258	97.75		29	2.25		1287	1.51		614	48.81		644	51.19
Goornong	103	34.80		1	0.34		6	2.03		4	1.35		7	2.36		157	53.04		9	3.04		6	2.03		3	1.01		296	96.42		11	3.58		307	0.36		120	40.54		176	59.46
Guildford	82	35.96		5	2.19		0	0.00		5	2.19		5	2.19		74	32.46		5	2.19		43	18.86		9	3.95		228	98.28		4	1.72		232	0.27		136	59.65		92	40.35
Harcourt	333	41.57		2	0.25		14	1.75		8	1.00		34	4.24		295	36.83		23	2.87		62	7.74		30	3.75		801	96.04		33	3.96		834	0.98		435	54.31		366	45.69
Heathcote	809	45.20		24	1.34		22	1.23		31	1.73		24	1.34		677	37.82		87	4.86		80	4.47		36	2.01		1790	93.91		116	6.09		1906	2.24		967	54.02		823	45.98
Huntly	398	38.83		8	0.78		20	1.95		22	2.15		30	2.93		461	44.98		38	3.71		16	1.56		32	3.12		1025	96.97		32	3.03		1057	1.24		467	45.56		558	54.44
