House of Representatives - 2001 Election Victoria																													
First Preference Votes and TCP 																													
By Candidate by Polling Place																													

Bruce (85447)																													
	COLLIS			STEEL			# GRIFFIN			ROBYNS			FORMAL			INFORMAL			TOTAL										
	David			Reg			Alan			Shaun												Two Candidate Preferred							
	GRN			LP			ALP			DEM												 STEEL LP			# GRIFFIN ALP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Albany Rise	105	3.21		1179	36.06		1729	52.87		257	7.86		3270	96.60		115	3.40		3385	4.16		1306	39.94		1964	60.06			
Brandon Park	161	5.26		1385	45.26		1305	42.65		209	6.83		3060	96.77		102	3.23		3162	3.88		1493	48.79		1567	51.21			
Brentwood	148	5.00		1448	48.92		1194	40.34		170	5.74		2960	97.18		86	2.82		3046	3.74		1561	52.74		1399	47.26			
Camelot	82	5.14		816	51.13		617	38.66		81	5.08		1596	97.73		37	2.27		1633	2.01		884	55.39		712	44.61			
Clareville	87	3.90		733	32.90		1281	57.50		127	5.70		2228	96.41		83	3.59		2311	2.84		811	36.40		1417	63.60			
Dandenong North	108	3.64		801	26.98		1912	64.40		148	4.98		2969	95.25		148	4.75		3117	3.83		895	30.14		2074	69.86			
Dandenong West (Bruce)	26	2.99		269	30.96		516	59.38		58	6.67		869	93.34		62	6.66		931	1.14		303	34.87		566	65.13			
Gladeswood	90	3.25		1066	38.55		1416	51.21		193	6.98		2765	96.17		110	3.83		2875	3.53		1177	42.57		1588	57.43
Glen Waverley Heights	64	4.40		662	45.56		636	43.77		91	6.26		1453	96.74		49	3.26		1502	1.84		706	48.59		747	51.41
Glen Waverley South	57	4.40		572	44.14		585	45.14		82	6.33		1296	95.79		57	4.21		1353	1.66		625	48.23		671	51.77
Harrisfield	101	3.75		747	27.72		1641	60.89		206	7.64		2695	94.46		158	5.54		2853	3.50		842	31.24		1853	68.76
Highvale	94	4.45		1115	52.79		756	35.80		147	6.96		2112	97.60		52	2.40		2164	2.66		1216	57.58		896	42.42
Jells Park	84	3.91		1357	63.09		568	26.41		142	6.60		2151	97.24		61	2.76		2212	2.72		1450	67.41		701	32.59
Lyndale	118	3.27		1031	28.58		2223	61.61		236	6.54		3608	95.12		185	4.88		3793	4.66		1160	32.15		2448	67.85
Melbourne (Bruce)	7	7.87		37	41.57		37	41.57		8	8.99		89	94.68		5	5.32		94	0.12		40	44.94		49	55.06
Monash East	64	5.44		429	36.45		594	50.47		90	7.65		1177	97.19		34	2.81		1211	1.49		488	41.46		689	58.54
Mount View	215	5.02		2546	59.50		1257	29.38		261	6.10		4279	97.63		104	2.37		4383	5.38		2698	63.05		1581	36.95
Mulgrave	74	3.68		775	38.50		1045	51.91		119	5.91		2013	97.11		60	2.89		2073	2.55		843	41.88		1170	58.12
Oakwood Park	53	4.47		295	24.87		778	65.60		60	5.06		1186	96.19		47	3.81		1233	1.51		336	28.33		850	71.67
Pinewood (Bruce)	62	4.94		661	52.67		462	36.81		70	5.58		1255	97.51		32	2.49		1287	1.58		709	56.49		546	43.51
Rosewood Downs	114	3.70		1328	43.05		1414	45.83		229	7.42		3085	95.90		132	4.10		3217	3.95		1450	47.00		1635	53.00
Sandown Park	61	3.23		418	22.10		1321	69.86		91	4.81		1891	95.22		95	4.78		1986	2.44		460	24.33		1431	75.67
Silverton	129	3.25		1009	25.42		2527	63.65		305	7.68		3970	94.86		215	5.14		4185	5.14		1161	29.24		2809	70.76
The Glen	91	4.39		865	41.77		956	46.16		159	7.68		2071	96.91		66	3.09		2137	2.62		935	45.15		1136	54.85			
Waverley Meadows	65	3.32		904	46.15		879	44.87		111	5.67		1959	96.84		64	3.16		2023	2.48		968	49.41		991	50.59			
Wayburne	79	6.07		667	51.27		471	36.20		84	6.46		1301	98.04		26	1.96		1327	1.63		728	55.96		573	44.04			
Wheelers Hill	64	3.57		1069	59.69		560	31.27		98	5.47		1791	96.97		56	3.03		1847	2.27		1131	63.15		660	36.85			
Wheelers Hill South	82	2.82		1512	52.03		1134	39.02		178	6.13		2906	96.93		92	3.07		2998	3.68		1620	55.75		1286	44.25			
Whiteside	30	2.94		212	20.80		744	73.01		33	3.24		1019	94.79		56	5.21		1075	1.32		236	23.16		783	76.84			
Wooranna Park	63	3.21		567	28.87		1200	61.10		134	6.82		1964	95.53		92	4.47		2056	2.52		643	32.74		1321	67.26			
Yarraman Park	58	4.31		366	27.17		816	60.58		107	7.94		1347	94.06		85	5.94		1432	1.76		421	31.25		926	68.75			
Special Hospitals	0	0.00		6	50.00		4	33.33		2	16.67		12	92.31		1	7.69		13	0.02		7	58.33		5	41.67			
Total Ordinary	2636	3.97		26847	40.46		32578	49.10		4286	6.46		66347	96.28		2567	3.72		68914	84.61		29303	44.17		37044	55.83			
ABSENT	409	8.50		1764	36.65		2177	45.23		463	9.62		4813	95.27		239	4.73		5052	6.20		2097	43.57		2716	56.43			
POSTAL	127	3.14		1864	46.08		1865	46.11		189	4.67		4045	98.47		63	1.53		4108	5.04		1979	48.92		2066	51.08			
PRE_POLL	158	5.41		1243	42.60		1310	44.89		207	7.09		2918	97.36		79	2.64		2997	3.68		1403	48.08		1515	51.92			
PROVISIONAL	19	5.38		95	26.91		220	62.32		19	5.38		353	94.39		21	5.61		374	0.46		102	28.90		251	71.10			
Division Summary	3349	4.27		31813	40.54		38150	48.61		5164	6.58		78476	96.35		2969	3.65		81445	95.32		34884	44.45		43592	55.55			
																													
																										
																										
																										
																										
