House of Representatives - 2001 Election: Victoria																													
First Preference Votes and TCP 																													
By Candidate by Polling Place																													

Burke (88943)																													
	WARD			LUTZ			DAWE			# O'CONNOR			FORMAL			INFORMAL			TOTAL										
	Marcus			Geoff			Chris			Brendan											Two Candidate Preferred								
	GRN			DEM			LP			ALP												 DAWE LP			# O'CONNOR ALP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Bacchus Marsh	282	6.51		347	8.01		1890	43.64		1812	41.84		4331	95.56		201	4.44		4532	5.33		2165	49.99		2166	50.01			
Bolinda	21	6.65		9	2.85		173	54.75		113	35.76		316	97.23		9	2.77		325	0.38		185	58.54		131	41.46			
Brookside	58	2.85		107	5.26		608	29.88		1262	62.01		2035	97.46		53	2.54		2088	2.46		662	32.53		1373	67.47			
Bullengarook	83	22.31		17	4.57		143	38.44		129	34.68		372	97.13		11	2.87		383	0.45		187	50.27		185	49.73			
Coburn	175	5.26		231	6.95		1046	31.46		1873	56.33		3325	95.52		156	4.48		3481	4.10		1240	37.29		2085	62.71			
Darley	174	5.69		244	7.98		1152	37.68		1487	48.64		3057	95.41		147	4.59		3204	3.77		1325	43.34		1732	56.66			
Darraweit Guim	14	8.43		19	11.45		75	45.18		58	34.94		166	95.40		8	4.60		174	0.20		93	56.02		73	43.98			
Deer Park	39	4.72		39	4.72		141	17.05		608	73.52		827	95.94		35	4.06		862	1.01		175	21.16		652	78.84
Deer Park Central	94	3.76		158	6.33		495	19.82		1751	70.10		2498	95.56		116	4.44		2614	3.08		599	23.98		1899	76.02
Deer Park West	226	6.32		171	4.78		740	20.70		2438	68.20		3575	95.03		187	4.97		3762	4.43		926	25.90		2649	74.10
Gisborne	288	8.77		219	6.67		1643	50.05		1133	34.51		3283	97.59		81	2.41		3364	3.96		1865	56.81		1418	43.19
Killara	52	5.56		67	7.17		374	40.00		442	47.27		935	96.59		33	3.41		968	1.14		430	45.99		505	54.01
Kurunjang	107	5.50		152	7.81		591	30.39		1095	56.30		1945	96.24		76	3.76		2021	2.38		714	36.71		1231	63.29
Kyneton	364	10.28		148	4.18		1625	45.88		1405	39.67		3542	97.28		99	2.72		3641	4.28		1860	52.51		1682	47.49
Lancefield	116	8.81		77	5.85		637	48.40		486	36.93		1316	97.70		31	2.30		1347	1.58		726	55.17		590	44.83
Macedon	162	14.11		92	8.01		456	39.72		438	38.15		1148	97.37		31	2.63		1179	1.39		560	48.78		588	51.22
Malmsbury	54	15.21		12	3.38		131	36.90		158	44.51		355	96.73		12	3.27		367	0.43		148	41.69		207	58.31
Melbourne (Burke)	12	11.88		10	9.90		37	36.63		42	41.58		101	98.06		2	1.94		103	0.12		45	44.55		56	55.45
Melton	231	6.05		245	6.42		1218	31.90		2124	55.63		3818	96.00		159	4.00		3977	4.68		1467	38.42		2351	61.58
Melton Central	33	8.01		19	4.61		137	33.25		223	54.13		412	96.49		15	3.51		427	0.50		162	39.32		250	60.68
Melton South	188	5.81		201	6.21		1028	31.77		1819	56.21		3236	95.57		150	4.43		3386	3.98		1214	37.52		2022	62.48
Mount Macedon	112	17.92		32	5.12		281	44.96		200	32.00		625	97.81		14	2.19		639	0.75		342	54.72		283	45.28
Myrniong	17	7.87		14	6.48		83	38.43		102	47.22		216	96.86		7	3.14		223	0.26		91	42.13		125	57.87
New Gisborne	116	9.66		59	4.91		585	48.71		441	36.72		1201	97.01		37	2.99		1238	1.46		653	54.37		548	45.63
Newham	56	15.43		23	6.34		173	47.66		111	30.58		363	97.84		8	2.16		371	0.44		209	57.58		154	42.42
Riddell	165	9.27		160	8.99		782	43.96		672	37.77		1779	96.68		61	3.32		1840	2.16		897	50.42		882	49.58
Rockbank	49	4.77		42	4.09		341	33.17		596	57.98		1028	95.99		43	4.01		1071	1.26		384	37.35		644	62.65
Romsey	156	8.01		118	6.06		884	45.40		789	40.52		1947	95.86		84	4.14		2031	2.39		1010	51.87		937	48.13
Sunbury	175	7.24		180	7.44		1163	48.10		900	37.22		2418	96.99		75	3.01		2493	2.93		1324	54.76		1094	45.24
Sunbury East	104	5.63		117	6.33		700	37.90		926	50.14		1847	96.55		66	3.45		1913	2.25		815	44.13		1032	55.87
Sunbury Heights	140	6.15		148	6.50		835	36.67		1154	50.68		2277	97.06		69	2.94		2346	2.76		988	43.39		1289	56.61
Sunbury North	115	5.90		92	4.72		887	45.53		854	43.84		1948	97.74		45	2.26		1993	2.34		1000	51.33		948	48.67
Sunbury West	313	6.37		391	7.95		2085	42.41		2127	43.27		4916	96.52		177	3.48		5093	5.99		2420	49.23		2496	50.77
Toolern	20	5.76		20	5.76		191	55.04		116	33.43		347	97.20		10	2.80		357	0.42		205	59.08		142	40.92
Trentham	126	19.12		19	2.88		270	40.97		244	37.03		659	96.20		26	3.80		685	0.81		335	50.83		324	49.17
Tylden	59	14.86		19	4.79		191	48.11		128	32.24		397	97.78		9	2.22		406	0.48		224	56.42		173	43.58
Wedge Park	115	6.61		116	6.67		647	37.18		862	49.54		1740	96.35		66	3.65		1806	2.12		745	42.82		995	57.18
Westmelton	162	5.40		193	6.43		1032	34.40		1613	53.77		3000	95.69		135	4.31		3135	3.69		1203	40.10		1797	59.90
Woodend	381	13.05		187	6.40		1047	35.86		1305	44.69		2920	96.91		93	3.09		3013	3.54		1269	43.46		1651	56.54
Special Hospitals	1	4.17		0	0.00		11	45.83		12	50.00		24	100.00		0	0.00		24	0.03		12	50.00		12	50.00			
Total Ordinary	5155	7.34		4514	6.43		26528	37.76		34048	48.47		70245	96.38		2637	3.62		72882	85.74		30874	43.95		39371	56.05			
ABSENT	546	10.53		520	10.03		1812	34.95		2306	44.48		5184	95.21		261	4.79		5445	6.41		2285	44.08		2899	55.92			
POSTAL	110	3.85		171	5.98		1385	48.44		1193	41.73		2859	98.62		40	1.38		2899	3.41		1523	53.27		1336	46.73			
PRE_POLL	214	6.54		258	7.89		1413	43.18		1387	42.39		3272	97.61		80	2.39		3352	3.94		1611	49.24		1661	50.76			
