House of Representatives - 2001 Election: Victoria																																												
First Preference Votes and TCP																																												
 By Candidate by Polling Place																																												

Calwell (98330)																																												
	ABBOTTO			THEOPHANOUS			BOCHI			LIVESAY			# VAMVAKINOU			YOHANNA			BARKER			DERVISH			BULLER			FORMAL			INFORMAL			TOTAL										
	John			Andrew			Mohamed Walid			Robert			Maria			Sleiman			Bee			D			Darren												Two Candidate Preferred							
	NGST			IND						DEM			ALP			CEC			GRN			IND			LP												# VAMVAKINOU ALP			 BULLER LP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Bethal	108	4.70		185	8.05		19	0.83		39	1.70		1528	66.46		27	1.17		32	1.39		90	3.91		271	11.79		2299	93.68		155	6.32		2454	2.50		1922	83.60		377	16.40			
Broadmeadows	76	4.19		194	10.68		28	1.54		36	1.98		1160	63.88		10	0.55		34	1.87		49	2.70		229	12.61		1816	92.00		158	8.00		1974	2.01		1470	80.95		346	19.05			
Broadmeadows North	99	2.92		289	8.51		49	1.44		87	2.56		2045	60.22		59	1.74		66	1.94		175	5.15		527	15.52		3396	92.36		281	7.64		3677	3.74		2612	76.91		784	23.09			
Bulla	9	2.60		33	9.54		1	0.29		13	3.76		123	35.55		0	0.00		8	2.31		0	0.00		159	45.95		346	93.26		25	6.74		371	0.38		155	44.80		191	55.20			
Campbellfield	63	3.13		170	8.45		43	2.14		49	2.44		1327	65.99		44	2.19		22	1.09		27	1.34		266	13.23		2011	92.72		158	7.28		2169	2.21		1655	82.30		356	17.70			
Coolaroo	52	2.94		149	8.43		25	1.41		48	2.72		1068	60.44		12	0.68		34	1.92		114	6.45		265	15.00		1767	92.76		138	7.24		1905	1.94		1365	77.25		402	22.75			
Delahey	140	3.59		466	11.96		23	0.59		79	2.03		2564	65.81		8	0.21		49	1.26		33	0.85		534	13.71		3896	93.59		267	6.41		4163	4.23		3134	80.44		762	19.56			
Diggers Rest	31	2.89		83	7.74		1	0.09		42	3.92		521	48.60		2	0.19		26	2.43		11	1.03		355	33.12		1072	93.62		73	6.38		1145	1.16		637	59.42		435	40.58
Gladstone Park	113	2.78		363	8.94		6	0.15		172	4.24		2015	49.63		20	0.49		136	3.35		57	1.40		1178	29.01		4060	93.68		274	6.32		4334	4.41		2589	63.77		1471	36.23
Gladstone Views	86	3.08		326	11.69		8	0.29		100	3.59		1386	49.71		9	0.32		53	1.90		54	1.94		766	27.47		2788	94.09		175	5.91		2963	3.01		1824	65.42		964	34.58
Glenroy West	99	3.59		236	8.56		11	0.40		89	3.23		1362	49.38		12	0.44		109	3.95		37	1.34		803	29.12		2758	93.52		191	6.48		2949	3.00		1781	64.58		977	35.42
Greenvale	129	2.81		354	7.70		15	0.33		226	4.92		1944	42.28		11	0.24		70	1.52		48	1.04		1801	39.17		4598	93.36		327	6.64		4925	5.01		2531	55.05		2067	44.95
