House of Representatives - 2001 Election: Victoria																																						
First Preference Votes and TCP 																																						
By Candidate by Polling Place																																						

Corangamite (85955)																																						
	HILLS			STRAUSS			HODGE			# MCARTHUR			LYGO			ARUNDELL			BJORK-BILLINGS			FORMAL			INFORMAL			TOTAL										
	Graham			Nigel			Robyn			Stewart			Iain			Simon			Michael											Two Candidate Preferred								
	HAN			LFF			DEM			LP			GRN			IND			ALP												# MCARTHUR LP			 BJORK-BILLINGS ALP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Aireys Inlet	14	2.28		26	4.23		39	6.35		199	32.41		130	21.17		6	0.98		200	32.57		614	98.08		12	1.92		626	0.76		261	42.51		353	57.49			
Alvie	13	7.60		3	1.75		6	3.51		100	58.48		2	1.17		14	8.19		33	19.30		171	96.07		7	3.93		178	0.22		124	72.51		47	27.49			
Anglesea	29	1.97		39	2.65		116	7.88		630	42.77		172	11.68		12	0.81		475	32.25		1473	96.72		50	3.28		1523	1.84		759	51.53		714	48.47			
Apollo Bay	26	2.30		104	9.21		48	4.25		470	41.63		159	14.08		17	1.51		305	27.02		1129	96.83		37	3.17		1166	1.41		602	53.32		527	46.68			
Bannockburn	40	2.89		8	0.58		103	7.43		661	47.69		83	5.99		13	0.94		478	34.49		1386	95.78		61	4.22		1447	1.75		766	55.27		620	44.73			
Barongarook	3	2.24		3	2.24		4	2.99		67	50.00		5	3.73		9	6.72		43	32.09		134	89.33		16	10.67		150	0.18		78	58.21		56	41.79			
Barwon Heads	33	2.04		24	1.48		139	8.59		618	38.20		173	10.69		13	0.80		618	38.20		1618	97.53		41	2.47		1659	2.00		752	46.48		866	53.52			
Beeac	17	4.91		1	0.29		4	1.16		205	59.25		9	2.60		12	3.47		98	28.32		346	95.58		16	4.42		362	0.44		224	64.74		122	35.26
Bellbrae	1	0.18		14	2.45		33	5.78		242	42.38		72	12.61		8	1.40		201	35.20		571	98.62		8	1.38		579	0.70		280	49.04		291	50.96
Belmont	36	1.79		32	1.59		131	6.51		969	48.16		128	6.36		26	1.29		690	34.29		2012	96.04		83	3.96		2095	2.53		1114	55.37		898	44.63
Belmont North	32	1.42		71	3.16		184	8.18		988	43.93		138	6.14		21	0.93		815	36.24		2249	96.98		70	3.02		2319	2.80		1178	52.38		1071	47.62
Birregurra	17	2.98		10	1.75		15	2.63		288	50.53		34	5.96		14	2.46		192	33.68		570	95.48		27	4.52		597	0.72		330	57.89		240	42.11
Carlisle River	3	3.09		3	3.09		4	4.12		64	65.98		4	4.12		3	3.09		16	16.49		97	97.98		2	2.02		99	0.12		75	77.32		22	22.68
Ceres	8	1.38		24	4.13		30	5.16		352	60.59		26	4.48		12	2.07		129	22.20		581	97.81		13	2.19		594	0.72		404	69.54		177	30.46
Colac	55	3.25		22	1.30		56	3.31		871	51.51		64	3.78		71	4.20		552	32.64		1691	95.59		78	4.41		1769	2.14		996	58.90		695	41.10
Colac East	78	3.89		30	1.50		95	4.74		1077	53.69		71	3.54		75	3.74		580	28.91		2006	94.62		114	5.38		2120	2.56		1248	62.21		758	37.79
Colac West	68	3.48		33	1.69		82	4.20		1059	54.20		64	3.28		84	4.30		564	28.86		1954	95.74		87	4.26		2041	2.47		1230	62.95		724	37.05
Collendina	58	1.85		85	2.71		243	7.75		1318	42.04		220	7.02		30	0.96		1181	37.67		3135	97.18		91	2.82		3226	3.90		1593	50.81		1542	49.19
Connewarre	9	3.53		2	0.78		11	4.31		110	43.14		20	7.84		3	1.18		100	39.22		255	99.22		2	0.78		257	0.31		128	50.20		127	49.80
Cororooke	18	4.23		4	0.94		22	5.16		223	52.35		18	4.23		25	5.87		116	27.23		426	94.46		25	5.54		451	0.54		273	64.08		153	35.92
Cressy	8	5.56		1	0.69		4	2.78		95	65.97		0	0.00		4	2.78		32	22.22		144	95.36		7	4.64		151	0.18		103	71.53		41	28.47
Deans Marsh	13	5.16		10	3.97		14	5.56		103	40.87		26	10.32		8	3.17		78	30.95		252	98.82		3	1.18		255	0.31		130	51.59		122	48.41
Dereel	24	9.68		2	0.81		16	6.45		72	29.03		11	4.44		5	2.02		118	47.58		248	96.50		9	3.50		257	0.31		98	39.52		150	60.48
Drysdale (Corangamite)	25	3.26		6	0.78		49	6.40		422	55.09		44	5.74		7	0.91		213	27.81		766	96.35		29	3.65		795	0.96		479	62.53		287	37.47
Elliminyt	45	3.15		20	1.40		48	3.36		820	57.42		48	3.36		65	4.55		382	26.75		1428	95.45		68	4.55		1496	1.81		937	65.62		491	34.38
Forrest	15	5.49		8	2.93		12	4.40		111	40.66		46	16.85		13	4.76		68	24.91		273	97.50		7	2.50		280	0.34		143	52.38		130	47.62
Freshwater Creek	4	2.19		4	2.19		12	6.56		114	62.30		9	4.92		5	2.73		35	19.13		183	97.86		4	2.14		187	0.23		133	72.68		50	27.32
Fyansford	5	2.67		4	2.14		12	6.42		111	59.36		14	7.49		0	0.00		41	21.93		187	97.91		4	2.09		191	0.23		125	66.84		62	33.16
Gellibrand River	11	4.21		9	3.45		11	4.21		107	41.00		30	11.49		11	4.21		82	31.42		261	97.03		8	2.97		269	0.32		134	51.34		127	48.66
Grovedale	73	2.00		117	3.21		251	6.88		1616	44.32		140	3.84		55	1.51		1394	38.23		3646	96.53		131	3.47		3777	4.56		1892	51.89		1754	48.11
Grovedale East	28	2.05		73	5.34		65	4.75		635	46.42		46	3.36		16	1.17		505	36.92		1368	97.23		39	2.77		1407	1.70		753	55.04		615	44.96
