House of Representatives - 2001 Election: Victoria																													
First Preference Votes and TCP 																													
By Candidate by Polling Place																													

Deakin (85208)																													
	AYLIFFE			BUCKINGHAM			EVANS			# BARRESI			FORMAL			INFORMAL			TOTAL										
	Nahum			Helen			Robyn			Phil												Two Candidate Preferred							
	DEM			ALP			GRN			LP												 BUCKINGHAM ALP			# BARRESI LP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Antonio Park	111	7.37		502	33.31		152	10.09		742	49.24		1507	97.35		41	2.65		1548	1.91		689	45.72		818	54.28			
Bedford Road	168	11.09		643	42.44		76	5.02		628	41.45		1515	97.62		37	2.38		1552	1.91		796	52.54		719	47.46			
Blackburn	115	8.38		451	32.85		101	7.36		706	51.42		1373	98.21		25	1.79		1398	1.72		607	44.21		766	55.79			
Blackburn Lake	192	8.28		741	31.97		239	10.31		1146	49.44		2318	97.93		49	2.07		2367	2.91		1058	45.64		1260	54.36			
Blackburn North	178	10.11		671	38.13		105	5.97		806	45.80		1760	96.86		57	3.14		1817	2.24		859	48.81		901	51.19			
Blackburn South	223	6.78		1338	40.71		220	6.69		1506	45.82		3287	97.60		81	2.40		3368	4.14		1637	49.80		1650	50.20			
Blackburn West	327	7.57		1842	42.62		319	7.38		1834	42.43		4322	97.10		129	2.90		4451	5.48		2301	53.24		2021	46.76			
Burwood Heights	266	7.51		1699	47.98		121	3.42		1455	41.09		3541	96.96		111	3.04		3652	4.49		1945	54.93		1596	45.07
Croydon South	213	8.35		972	38.10		105	4.12		1261	49.43		2551	97.22		73	2.78		2624	3.23		1174	46.02		1377	53.98
Croydon Town	111	7.86		463	32.79		98	6.94		740	52.41		1412	97.58		35	2.42		1447	1.78		603	42.71		809	57.29
Eastwood	189	8.26		867	37.89		200	8.74		1032	45.10		2288	97.32		63	2.68		2351	2.89		1148	50.17		1140	49.83
Eley Park	180	7.91		1090	47.89		90	3.95		916	40.25		2276	97.10		68	2.90		2344	2.88		1271	55.84		1005	44.16
Forest Hill	78	6.24		492	39.39		73	5.84		606	48.52		1249	97.20		36	2.80		1285	1.58		615	49.24		634	50.76
Glen Park	47	7.37		298	46.71		28	4.39		265	41.54		638	96.23		25	3.77		663	0.82		349	54.70		289	45.30
Heatherdale	130	9.12		566	39.72		107	7.51		622	43.65		1425	97.00		44	3.00		1469	1.81		733	51.44		692	48.56
Heathmont (Deakin)	99	8.49		443	37.99		88	7.55		536	45.97		1166	98.40		19	1.60		1185	1.46		567	48.63		599	51.37
Inala Village	13	3.21		145	35.80		8	1.98		239	59.01		405	98.54		6	1.46		411	0.51		160	39.51		245	60.49
Kalinda	133	7.71		538	31.21		88	5.10		965	55.97		1724	97.62		42	2.38		1766	2.17		684	39.68		1040	60.32
Laburnum	113	6.59		607	35.41		163	9.51		831	48.48		1714	98.62		24	1.38		1738	2.14		812	47.37		902	52.63
Melbourne (Deakin)	7	7.78		32	35.56		12	13.33		39	43.33		90	92.78		7	7.22		97	0.12		45	50.00		45	50.00
Mitcham	118	8.07		598	40.87		90	6.15		657	44.91		1463	97.53		37	2.47		1500	1.85		734	50.17		729	49.83
Mitcham North	198	8.99		898	40.78		149	6.77		957	43.46		2202	97.48		57	2.52		2259	2.78		1137	51.63		1065	48.37
Mullum	117	8.05		501	34.46		72	4.95		764	52.54		1454	97.06		44	2.94		1498	1.84		635	43.67		819	56.33
Norwood	78	7.02		381	34.29		51	4.59		601	54.10		1111	97.46		29	2.54		1140	1.40		464	41.76		647	58.24			
Nunawading	135	7.36		860	46.89		113	6.16		726	39.59		1834	95.67		83	4.33		1917	2.36		1025	55.89		809	44.11			
Nunawading South	237	9.14		1016	39.20		163	6.29		1176	45.37		2592	96.93		82	3.07		2674	3.29		1287	49.65		1305	50.35			
