House of Representatives - 2001 Election: Victoria																																			
First Preference Votes and TCP 																																			
By Candidate by Polling Place																																			

Dunkley (85129)																																			
	# BILLSON			CARTWRIGHT			CONROY			DAVIS			KELSALL			WOODHOUSE			FORMAL			INFORMAL			TOTAL										
	Bruce			Michael			Mark			Fletcher			Henry			Ian												Two Candidate Preferred							
	LP			HAN			ALP			IND			GRN			DEM												# BILLSON LP			 CONROY ALP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Aldercourt	445	29.55		39	2.59		877	58.23		28	1.86		42	2.79		75	4.98		1506	96.54		54	3.46		1560	1.92		525	34.86		981	65.14			
Baden Powell	1200	64.76		20	1.08		382	20.62		28	1.51		131	7.07		92	4.96		1853	97.22		53	2.78		1906	2.34		1286	69.40		567	30.60			
Ballam Park	1022	44.69		40	1.75		940	41.10		33	1.44		126	5.51		126	5.51		2287	96.82		75	3.18		2362	2.90		1148	50.20		1139	49.80			
Belvedere Park (Dunkley)	397	38.51		30	2.91		463	44.91		20	1.94		61	5.92		60	5.82		1031	95.82		45	4.18		1076	1.32		460	44.62		571	55.38			
Bruce Park	754	48.12		26	1.66		611	38.99		14	0.89		91	5.81		71	4.53		1567	96.31		60	3.69		1627	2.00		807	51.50		760	48.50			
Derinya	1377	61.20		20	0.89		531	23.60		12	0.53		160	7.11		150	6.67		2250	97.78		51	2.22		2301	2.83		1524	67.73		726	32.27			
Frankston	1137	48.40		47	2.00		837	35.63		22	0.94		187	7.96		119	5.07		2349	95.57		109	4.43		2458	3.02		1273	54.19		1076	45.81			
Frankston Beach	542	54.91		23	2.33		257	26.04		6	0.61		98	9.93		61	6.18		987	97.05		30	2.95		1017	1.25		614	62.21		373	37.79
Frankston East	922	44.71		35	1.70		843	40.88		43	2.09		120	5.82		99	4.80		2062	96.67		71	3.33		2133	2.62		1023	49.61		1039	50.39
Frankston Forest	496	28.89		70	4.08		960	55.91		33	1.92		51	2.97		107	6.23		1717	94.24		105	5.76		1822	2.24		612	35.64		1105	64.36
Frankston Heights	528	42.72		14	1.13		511	41.34		14	1.13		101	8.17		68	5.50		1236	96.94		39	3.06		1275	1.57		587	47.49		649	52.51
Frankston Rail	570	37.65		39	2.58		685	45.24		10	0.66		116	7.66		94	6.21		1514	95.10		78	4.90		1592	1.96		666	43.99		848	56.01
Frankston South	1551	50.92		45	1.48		1050	34.47		34	1.12		201	6.60		165	5.42		3046	97.04		93	2.96		3139	3.86		1719	56.43		1327	43.57
Kananook	739	37.80		48	2.46		836	42.76		30	1.53		187	9.57		115	5.88		1955	95.83		85	4.17		2040	2.51		888	45.42		1067	54.58
Karingal	1035	41.14		81	3.22		1109	44.08		35	1.39		149	5.92		107	4.25		2516	96.21		99	3.79		2615	3.21		1168	46.42		1348	53.58
