House of Representatives - 2001 Election: Victoria																																						
First Preference Votes and TCP																																						
By Candidate by Polling Place																																						

Flinders (91403)																																						
	WILSON			DOWEY			BLADE			# HUNT			FINCH			ARMSTRONG			DE RANGO			FORMAL			INFORMAL			TOTAL										
	Earle			Kevin Joseph Peter			Ashley			Greg			Wayne			Richard			David												Two Candidate Preferred							
	IND			HAN			IND			LP			ALP			DEM			GRN												# HUNT LP			 FINCH ALP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Balnarring	16	1.00		18	1.12		6	0.37		816	50.75		464	28.86		135	8.40		153	9.51		1608	97.69		38	2.31		1646	1.88		920	57.21		688	42.79			
Bass	5	1.67		12	4.00		3	1.00		167	55.67		80	26.67		7	2.33		26	8.67		300	94.94		16	5.06		316	0.36		184	61.33		116	38.67			
Baxter	24	1.35		54	3.03		10	0.56		891	50.06		586	32.92		117	6.57		98	5.51		1780	96.11		72	3.89		1852	2.11		1026	57.64		754	42.36			
Bayles	4	1.17		6	1.75		5	1.46		209	61.11		91	26.61		17	4.97		10	2.92		342	95.80		15	4.20		357	0.41		229	66.96		113	33.04			
Bittern	16	1.29		35	2.81		8	0.64		583	46.83		403	32.37		91	7.31		109	8.76		1245	95.40		60	4.60		1305	1.49		663	53.25		582	46.75			
Blairgowrie	9	0.60		20	1.34		3	0.20		817	54.61		480	32.09		71	4.75		96	6.42		1496	95.77		66	4.23		1562	1.78		883	59.02		613	40.98			
Blind Bight	9	1.20		24	3.20		5	0.67		369	49.20		282	37.60		32	4.27		29	3.87		750	95.54		35	4.46		785	0.90		409	54.53		341	45.47			
Boneo	4	0.77		3	0.58		0	0.00		297	57.23		143	27.55		34	6.55		38	7.32		519	95.76		23	4.24		542	0.62		331	63.78		188	36.22
Cardinia	7	2.55		5	1.82		1	0.36		165	60.22		75	27.37		8	2.92		13	4.74		274	96.14		11	3.86		285	0.33		184	67.15		90	32.85
Catani	1	0.62		11	6.83		0	0.00		112	69.57		31	19.25		4	2.48		2	1.24		161	95.83		7	4.17		168	0.19		122	75.78		39	24.22
Clyde	7	1.30		20	3.72		4	0.74		349	64.99		122	22.72		23	4.28		12	2.23		537	94.54		31	5.46		568	0.65		375	69.83		162	30.17
Corinella	16	2.10		33	4.33		7	0.92		291	38.19		361	47.38		26	3.41		28	3.67		762	96.33		29	3.67		791	0.90		340	44.62		422	55.38
Cowes	22	0.82		46	1.72		18	0.67		1346	50.45		855	32.05		140	5.25		241	9.03		2668	96.74		90	3.26		2758	3.15		1506	56.45		1162	43.55
Cranbourne (Flinders)	10	1.95		12	2.33		7	1.36		238	46.30		193	37.55		32	6.23		22	4.28		514	93.12		38	6.88		552	0.63		280	54.47		234	45.53
Cranbourne South	9	0.95		16	1.68		8	0.84		585	61.45		266	27.94		35	3.68		33	3.47		952	96.36		36	3.64		988	1.13		633	66.49		319	33.51
Crib Point	16	1.35		42	3.56		7	0.59		490	41.49		513	43.44		65	5.50		48	4.06		1181	96.64		41	3.36		1222	1.39		559	47.33		622	52.67
Dalyston	3	0.92		14	4.31		3	0.92		184	56.62		83	25.54		10	3.08		28	8.62		325	97.01		10	2.99		335	0.38		205	63.08		120	36.92
Devon Meadows	20	1.38		38	2.62		11	0.76		790	54.52		464	32.02		78	5.38		48	3.31		1449	96.47		53	3.53		1502	1.71		874	60.32		575	39.68
Dromana	26	0.90		39	1.35		37	1.28		1441	49.93		1027	35.59		159	5.51		157	5.44		2886	95.31		142	4.69		3028	3.46		1625	56.31		1261	43.69
Dromana Beach	4	0.70		14	2.44		2	0.35		286	49.83		187	32.58		24	4.18		57	9.93		574	95.67		26	4.33		600	0.68		320	55.75		254	44.25
Flinders	5	0.93		8	1.49		1	0.19		291	54.09		128	23.79		27	5.02		78	14.50		538	96.24		21	3.76		559	0.64		326	60.59		212	39.41
Glen Alvie	0	0.00		5	5.81		4	4.65		52	60.47		16	18.60		5	5.81		4	4.65		86	97.73		2	2.27		88	0.10		60	69.77		26	30.23
Grantville	5	0.78		25	3.91		3	0.47		295	46.09		266	41.56		20	3.13		26	4.06		640	95.38		31	4.62		671	0.77		321	50.16		319	49.84
Hastings	42	1.57		100	3.74		24	0.90		1114	41.68		1111	41.56		147	5.50		135	5.05		2673	94.99		141	5.01		2814	3.21		1273	47.62		1400	52.38
Kernot	0	0.00		3	2.33		1	0.78		93	72.09		22	17.05		5	3.88		5	3.88		129	94.85		7	5.15		136	0.16		100	77.52		29	22.48
Kilcunda	3	1.49		12	5.94		0	0.00		92	45.54		74	36.63		8	3.96		13	6.44		202	98.54		3	1.46		205	0.23		106	52.48		96	47.52
Kooweerup	16	1.59		62	6.16		7	0.70		568	56.41		286	28.40		45	4.47		23	2.28		1007	93.41		71	6.59		1078	1.23		620	61.57		387	38.43
Lang Lang	11	1.12		50	5.11		13	1.33		607	62.00		251	25.64		28	2.86		19	1.94		979	94.96		52	5.04		1031	1.18		663	67.72		316	32.28
McCrae	6	0.76		13	1.66		3	0.38		437	55.67		232	29.55		29	3.69		65	8.28		785	97.39		21	2.61		806	0.92		478	60.89		307	39.11
Main Ridge	0	0.00		0	0.00		1	0.47		132	61.68		60	28.04		6	2.80		15	7.01		214	97.72		5	2.28		219	0.25		140	65.42		74	34.58
Melbourne (Flinders)	0	0.00		0	0.00		0	0.00		14	35.90		11	28.21		8	20.51		6	15.38		39	97.50		1	2.50		40	0.05		20	51.28		19	48.72
Merricks North	0	0.00		2	0.81		1	0.41		140	56.91		70	28.46		10	4.07		23	9.35		246	98.80		3	1.20		249	0.28		152	61.79		94	38.21
Moorooduc	6	1.14		5	0.95		3	0.57		358	68.06		104	19.77		25	4.75		25	4.75		526	96.16		21	3.84		547	0.62		386	73.38		140	26.62
Mt Erin (Flinders)	9	0.91		12	1.21		3	0.30		578	58.50		305	30.87		48	4.86		33	3.34		988	97.53		25	2.47		1013	1.16		618	62.55		370	37.45
Mt Martha	19	0.54		26	0.74		16	0.45		2074	58.97		876	24.91		232	6.60		274	7.79		3517	97.18		102	2.82		3619	4.13		2247	63.89		1270	36.11
Mt Martha North (Flinders)	30	1.13		44	1.65		11	0.41		1469	55.23		757	28.46		182	6.84		167	6.28		2660	96.83		87	3.17		2747	3.14		1643	61.77		1017	38.23
Newhaven	9	1.05		24	2.79		2	0.23		378	43.90		335	38.91		28	3.25		85	9.87		861	96.63		30	3.37		891	1.02		413	47.97		448	52.03
Nyora	7	1.20		21	3.60		5	0.86		299	51.20		202	34.59		23	3.94		27	4.62		584	96.69		20	3.31		604	0.69		333	57.02		251	42.98
Pearcedale	17	0.87		48	2.45		16	0.82		996	50.82		657	33.52		128	6.53		98	5.00		1960	96.55		70	3.45		2030	2.32		1118	57.04		842	42.96
Portsea	0	0.00		3	1.19		0	0.00		186	73.52		46	18.18		5	1.98		13	5.14		253	95.11		13	4.89		266	0.30		192	75.89		61	24.11
Red Hill	6	0.50		13	1.08		1	0.08		613	50.87		317	26.31		103	8.55		152	12.61		1205	96.79		40	3.21		1245	1.42		699	58.01		506	41.99
Rhyll	2	0.37		11	2.04		2	0.37		329	61.04		140	25.97		15	2.78		40	7.42		539	96.42		20	3.58		559	0.64		344	63.82		195	36.18
Rosebud	17	1.34		27	2.14		10	0.79		585	46.28		499	39.48		69	5.46		57	4.51		1264	94.40		75	5.60		1339	1.53		662	52.37		602	47.63
Rosebud East	25	1.28		39	2.00		17	0.87		810	41.62		785	40.34		139	7.14		131	6.73		1946	95.58		90	4.42		2036	2.32		935	48.05		1011	51.95
Rosebud South	13	0.63		39	1.89		15	0.73		1093	52.90		648	31.36		127	6.15		131	6.34		2066	95.96		87	4.04		2153	2.46		1208	58.47		858	41.53
Rosebud West	30	1.28		52	2.22		7	0.30		1015	43.39		975	41.68		151	6.46		109	4.66		2339	95.94		99	4.06		2438	2.78		1162	49.68		1177	50.32
Rye	33	0.89		82	2.20		19	0.51		1698	45.57		1486	39.88		178	4.78		230	6.17		3726	95.32		183	4.68		3909	4.46		1874	50.30		1852	49.70
Safety Beach	9	0.66		30	2.18		6	0.44		733	53.39		482	35.11		65	4.73		48	3.50		1373	96.83		45	3.17		1418	1.62		798	58.12		575	41.88
St Andrews Beach	3	0.70		9	2.11		0	0.00		189	44.37		148	34.74		31	7.28		46	10.80		426	94.46		25	5.54		451	0.51		215	50.47		211	49.53
San Remo	8	1.04		12	1.56		1	0.13		404	52.40		244	31.65		29	3.76		73	9.47		771	97.59		19	2.41		790	0.90		431	55.90		340	44.10
Shoreham	1	0.29		2	0.58		0	0.00		161	46.67		110	31.88		16	4.64		55	15.94		345	97.46		9	2.54		354	0.40		181	52.46		164	47.54
Somers	7	0.90		10	1.29		1	0.13		387	49.87		223	28.74		82	10.57		66	8.51		776	97.73		18	2.27		794	0.91		448	57.73		328	42.27
Somerville East	22	0.89		47	1.90		23	0.93		1326	53.49		773	31.18		197	7.95		91	3.67		2479	95.27		123	4.73		2602	2.97		1484	59.86		995	40.14
Somerville West	16	0.60		60	2.26		14	0.53		1504	56.54		768	28.87		187	7.03		111	4.17		2660	96.06		109	3.94		2769	3.16		1681	63.20		979	36.80
Sorrento	12	0.98		13	1.06		6	0.49		737	60.31		283	23.16		64	5.24		107	8.76		1222	96.52		44	3.48		1266	1.44		801	65.55		421	34.45
