House of Representatives - 2001 Election: Victoria																																																					
First Preference Votes and TCP 																																																					
By Candidate by Polling Place																																																					

Gippsland (83845)																																																					
	JAGO			FRESHWATER			MCCUBBIN			EVANS			BUCKLEY			THORPE			WILLIAMS			BOLITHO			TREASURE			# MCGAURAN			ROBINSON			AITKEN			FORMAL			INFORMAL			TOTAL										
	John			Michael			Jo			Phillip J			Ben			Marjorie			Frank			Bill			Doug			Peter			Phillip			Chris												Two Candidate Preferred							
	IND			HAN			DEM			IND			IND			IND			CEC			ALP			IND			NP			IND			GRN												 BOLITHO ALP			# MCGAURAN NP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Alberton	5	1.58		9	2.85		14	4.43		1	0.32		13	4.11		1	0.32		1	0.32		76	24.05		22	6.96		167	52.85		0	0.00		7	2.22		316	91.86		28	8.14		344	0.41		116	36.71		200	63.29			
Arawata	5	3.88		3	2.33		8	6.20		6	4.65		1	0.78		0	0.00		0	0.00		15	11.63		13	10.08		71	55.04		1	0.78		6	4.65		129	97.73		3	2.27		132	0.16		30	23.26		99	76.74			
Bairnsdale	31	1.61		97	5.04		98	5.10		116	6.03		38	1.98		42	2.18		14	0.73		510	26.52		92	4.78		749	38.95		21	1.09		115	5.98		1923	92.85		148	7.15		2071	2.47		898	46.70		1025	53.30			
Bairnsdale East	10	1.98		70	13.83		13	2.57		22	4.35		20	3.95		2	0.40		5	0.99		176	34.78		22	4.35		142	28.06		10	1.98		14	2.77		506	92.00		44	8.00		550	0.66		283	55.93		223	44.07			
Bairnsdale West	45	1.63		164	5.93		107	3.87		141	5.10		76	2.75		52	1.88		15	0.54		708	25.59		155	5.60		1215	43.91		23	0.83		66	2.39		2767	94.89		149	5.11		2916	3.48		1160	41.92		1607	58.08			
Bemm River	1	1.27		8	10.13		2	2.53		1	1.27		1	1.27		1	1.27		0	0.00		19	24.05		3	3.80		39	49.37		2	2.53		2	2.53		79	95.18		4	4.82		83	0.10		32	40.51		47	59.49			
Bena	2	0.96		9	4.33		4	1.92		7	3.37		1	0.48		1	0.48		1	0.48		25	12.02		9	4.33		139	66.83		4	1.92		6	2.88		208	95.85		9	4.15		217	0.26		50	24.04		158	75.96			
Benambra	1	0.77		1	0.77		1	0.77		2	1.54		19	14.62		1	0.77		0	0.00		13	10.00		5	3.85		86	66.15		1	0.77		0	0.00		130	95.59		6	4.41		136	0.16		26	20.00		104	80.00
Bendoc	3	3.57		12	14.29		1	1.19		2	2.38		6	7.14		2	2.38		0	0.00		9	10.71		4	4.76		43	51.19		0	0.00		2	2.38		84	95.45		4	4.55		88	0.10		28	33.33		56	66.67
Berrys Creek	0	0.00		3	2.83		2	1.89		0	0.00		3	2.83		3	2.83		0	0.00		3	2.83		7	6.60		76	71.70		0	0.00		9	8.49		106	95.50		5	4.50		111	0.13		11	10.38		95	89.62
Boisdale	2	1.10		8	4.42		14	7.73		4	2.21		2	1.10		1	0.55		0	0.00		24	13.26		25	13.81		90	49.72		1	0.55		10	5.52		181	94.27		11	5.73		192	0.23		61	33.70		120	66.30
Bonang	1	1.69		7	11.86		1	1.69		1	1.69		2	3.39		3	5.08		0	0.00		7	11.86		1	1.69		24	40.68		1	1.69		11	18.64		59	93.65		4	6.35		63	0.08		23	38.98		36	61.02
Briagolong	11	2.17		24	4.73		32	6.31		4	0.79		15	2.96		1	0.20		1	0.20		120	23.67		50	9.86		182	35.90		2	0.39		65	12.82		507	96.02		21	3.98		528	0.63		253	49.90		254	50.10
Bruthen	4	0.57		56	7.95		21	2.98		31	4.40		31	4.40		17	2.41		2	0.28		204	28.98		41	5.82		233	33.10		12	1.70		52	7.39		704	93.74		47	6.26		751	0.90		377	53.55		327	46.45
Buchan	2	0.85		13	5.56		7	2.99		5	2.14		4	1.71		7	2.99		0	0.00		84	35.90		15	6.41		88	37.61		0	0.00		9	3.85		234	94.35		14	5.65		248	0.30		112	47.86		122	52.14
Bundalaguah	8	2.90		12	4.35		16	5.80		6	2.17		3	1.09		2	0.72		1	0.36		43	15.58		26	9.42		154	55.80		0	0.00		5	1.81		276	94.85		15	5.15		291	0.35		73	26.45		203	73.55
Cann River	6	2.58		12	5.15		4	1.72		9	3.86		12	5.15		3	1.29		0	0.00		55	23.61		18	7.73		100	42.92		2	0.86		12	5.15		233	92.46		19	7.54		252	0.30		102	43.78		131	56.22
Cape Paterson	4	0.96		8	1.91		20	4.78		7	1.67		3	0.72		1	0.24		0	0.00		179	42.82		14	3.35		127	30.38		0	0.00		55	13.16		418	95.22		21	4.78		439	0.52		258	61.72		160	38.28
Carrajung South	2	1.71		6	5.13		6	5.13		0	0.00		3	2.56		1	0.85		0	0.00		20	17.09		17	14.53		48	41.03		0	0.00		14	11.97		117	97.50		3	2.50		120	0.14		47	40.17		70	59.83
Cobains	5	2.44		7	3.41		5	2.44		7	3.41		9	4.39		1	0.49		0	0.00		20	9.76		39	19.02		111	54.15		0	0.00		1	0.49		205	97.16		6	2.84		211	0.25		55	26.83		150	73.17
