House of Representatives - 2001 Election: Victoria																																
First Preference Votes and TCP																																
By Candidate by Polling Place																																

Goldstein (89948)																																
	# KEMP			POWNING			NEWELL			STEGLEY			PUSZKA			FORMAL			INFORMAL			TOTAL										
	David			Rachel			Michaela Clare			Kristin			Teresa												Two Candidate Preferred							
	LP			ALP			DEM			IND			GRN												# KEMP LP			 POWNING ALP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Beaumaris	941	64.76		254	17.48		101	6.95		86	5.92		71	4.89		1453	97.58		36	2.42		1489	1.75		1050	72.26		403	27.74			
Beaumaris Central	2071	62.66		669	20.24		212	6.41		175	5.30		178	5.39		3305	97.55		83	2.45		3388	3.99		2257	68.29		1048	31.71			
Beaumaris East (Goldstein)	700	55.25		324	25.57		85	6.71		79	6.24		79	6.24		1267	97.31		35	2.69		1302	1.53		792	62.51		475	37.49			
Beaumaris North	630	59.32		238	22.41		85	8.00		74	6.97		35	3.30		1062	98.15		20	1.85		1082	1.27		721	67.89		341	32.11			
Bentleigh	1335	45.70		1040	35.60		243	8.32		121	4.14		182	6.23		2921	97.04		89	2.96		3010	3.54		1524	52.17		1397	47.83			
Bentleigh Central (Goldstein)	564	45.74		456	36.98		84	6.81		63	5.11		66	5.35		1233	95.73		55	4.27		1288	1.52		628	50.93		605	49.07			
Bentleigh West	842	43.36		696	35.84		169	8.70		121	6.23		114	5.87		1942	96.33		74	3.67		2016	2.37		996	51.29		946	48.71			
Black Rock	957	56.00		420	24.58		115	6.73		84	4.92		133	7.78		1709	97.94		36	2.06		1745	2.05		1061	62.08		648	37.92
Black Rock South	1045	62.88		341	20.52		98	5.90		97	5.84		81	4.87		1662	97.14		49	2.86		1711	2.01		1154	69.43		508	30.57
Brighton	2312	61.08		719	19.00		246	6.50		259	6.84		249	6.58		3785	97.90		81	2.10		3866	4.55		2589	68.40		1196	31.60
Brighton Beach	1318	68.04		258	13.32		89	4.59		154	7.95		118	6.09		1937	98.27		34	1.73		1971	2.32		1465	75.63		472	24.37
Brighton East	1071	55.15		508	26.16		142	7.31		103	5.30		118	6.08		1942	96.62		68	3.38		2010	2.37		1193	61.43		749	38.57
Brighton High	591	55.81		241	22.76		79	7.46		97	9.16		51	4.82		1059	98.42		17	1.58		1076	1.27		686	64.78		373	35.22
Carnegie	502	37.02		533	39.31		117	8.63		75	5.53		129	9.51		1356	96.72		46	3.28		1402	1.65		582	42.92		774	57.08
Cheltenham (Goldstein)	577	50.79		347	30.55		79	6.95		70	6.16		63	5.55		1136	96.93		36	3.07		1172	1.38		637	56.07		499	43.93
Cheltenham West	337	40.90		288	34.95		71	8.62		71	8.62		57	6.92		824	97.51		21	2.49		845	0.99		405	49.15		419	50.85
Dendy	1576	62.94		483	19.29		175	6.99		149	5.95		121	4.83		2504	97.43		66	2.57		2570	3.03		1766	70.53		738	29.47
Elsternwick South	482	46.26		280	26.87		72	6.91		95	9.12		113	10.84		1042	97.02		32	2.98		1074	1.26		577	55.37		465	44.63
Gardenvale	1546	60.49		417	16.31		170	6.65		221	8.65		202	7.90		2556	97.04		78	2.96		2634	3.10		1767	69.13		789	30.87
Glenhuntly	1541	53.10		872	30.05		196	6.75		119	4.10		174	6.00		2902	95.81		127	4.19		3029	3.57		1717	59.17		1185	40.83
Glenhuntly East	920	40.23		900	39.35		182	7.96		117	5.12		168	7.35		2287	96.34		87	3.66		2374	2.80		1041	45.52		1246	54.48
Hampton	1415	53.90		632	24.08		203	7.73		173	6.59		202	7.70		2625	97.69		62	2.31		2687	3.16		1601	60.99		1024	39.01
Hampton Central	722	47.88		427	28.32		111	7.36		117	7.76		131	8.69		1508	96.98		47	3.02		1555	1.83		823	54.58		685	45.42
Hemming	200	42.74		188	40.17		21	4.49		37	7.91		22	4.70		468	97.30		13	2.70		481	0.57		222	47.44		246	52.56
Highett	936	39.69		976	41.39		198	8.40		124	5.26		124	5.26		2358	96.40		88	3.60		2446	2.88		1099	46.61		1259	53.39
Highett West	882	46.27		612	32.11		172	9.02		134	7.03		106	5.56		1906	97.05		58	2.95		1964	2.31		1011	53.04		895	46.96
Holloway	571	54.33		261	24.83		84	7.99		70	6.66		65	6.18		1051	97.77		24	2.23		1075	1.27		659	62.70		392	37.30
Landcox	684	50.33		367	27.01		120	8.83		95	6.99		93	6.84		1359	96.38		51	3.62		1410	1.66		782	57.54		577	42.46
Ludstone	1018	47.04		673	31.10		203	9.38		143	6.61		127	5.87		2164	97.04		66	2.96		2230	2.63		1178	54.44		986	45.56
McKinnon	1268	45.88		960	34.73		174	6.30		179	6.48		183	6.62		2764	96.14		111	3.86		2875	3.39		1443	52.21		1321	47.79
McKinnon East	708	41.72		644	37.95		140	8.25		73	4.30		132	7.78		1697	97.58		42	2.42		1739	2.05		810	47.73		887	52.27
Melbourne (Goldstein)	50	53.76		22	23.66		8	8.60		4	4.30		9	9.68		93	96.88		3	3.13		96	0.11		57	61.29		36	38.71
Middle Brighton	1750	66.19		402	15.20		161	6.09		182	6.88		149	5.64		2644	97.78		60	2.22		2704	3.18		1944	73.52		700	26.48
Moorabbin West	641	39.45		684	42.09		137	8.43		98	6.03		65	4.00		1625	96.96		51	3.04		1676	1.97		748	46.03		877	53.97
Ormond	576	41.38		541	38.86		122	8.76		67	4.81		86	6.18		1392	96.94		44	3.06		1436	1.69		653	46.91		739	53.09
Ormond West	800	45.07		614	34.59		158	8.90		114	6.42		89	5.01		1775	96.73		60	3.27		1835	2.16		924	52.06		851	47.94
Sandringham	946	51.84		462	25.32		153	8.38		124	6.79		140	7.67		1825	96.71		62	3.29		1887	2.22		1082	59.29		743	40.71
Sandringham North	815	48.92		456	27.37		133	7.98		115	6.90		147	8.82		1666	97.83		37	2.17		1703	2.01		922	55.34		744	44.66
Special Hospitals	197	65.02		81	26.73		12	3.96		5	1.65		8	2.64		303	98.06		6	1.94		309	0.36		201	66.34		102	33.66
Total Ordinary	36037	52.15		19286	27.91		5120	7.41		4284	6.20		4380	6.34		69107	97.11		2055	2.89		71162	83.79		40767	58.99		28340	41.01			
ABSENT	2483	48.21		1404	27.26		545	10.58		181	3.51		537	10.43		5150	96.75		173	3.25		5323	6.27		2920	56.70		2230	43.30			
POSTAL	2658	65.45		909	22.38		238	5.86		130	3.20		126	3.10		4061	99.41		24	0.59		4085	4.81		2820	69.44		1241	30.56			
PRE_POLL	2182	55.59		1038	26.45		278	7.08		197	5.02		230	5.86		3925	97.88		85	2.12		4010	4.72		2417	61.58		1508	38.42			
PROVISIONAL	175	51.78		93	27.51		34	10.06		15	4.44		21	6.21		338	96.02		14	3.98		352	0.41		198	58.58		140	41.42			
Division Summary	43535	52.72		22730	27.52		6215	7.53		4807	5.82		5294	6.41		82581	97.23		2351	2.77		84932	94.42		49122	59.48		33459	40.52			
																																
																																
																																
																																
																																
