House of Representatives - 2001 Election: Victoria																																			
First Preference Votes and TCP																																			
By Candidate by Polling Place																																			

Holt (88172)																																			
	MORGAN			WOOD			PATRINOS			FORD			# BYRNE			DICKSON			FORMAL			INFORMAL			TOTAL										
	Polly			Jason			Theos			Gordon W			Anthony			Lynne												Two Candidate Preferred							
	DEM			LP			GRN						ALP			CTA												 WOOD LP			# BYRNE ALP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Chandler	103	4.51		635	27.79		45	1.97		27	1.18		1465	64.11		10	0.44		2285	95.05		119	4.95		2404	2.89		715	31.29		1570	68.71			
Cleeland	118	4.79		637	25.86		101	4.10		25	1.02		1532	62.20		50	2.03		2463	93.83		162	6.17		2625	3.16		761	30.90		1702	69.10			
Coomoora	217	5.38		1053	26.10		73	1.81		38	0.94		2631	65.22		22	0.55		4034	95.10		208	4.90		4242	5.10		1206	29.90		2828	70.10			
Coral Park	186	5.90		906	28.73		71	2.25		41	1.30		1903	60.34		47	1.49		3154	95.49		149	4.51		3303	3.97		1049	33.26		2105	66.74			
Dandenong	95	4.75		660	32.97		61	3.05		36	1.80		1115	55.69		35	1.75		2002	94.17		124	5.83		2126	2.56		760	37.96		1242	62.04			
Dandenong South	91	4.93		303	16.40		27	1.46		33	1.79		1375	74.45		18	0.97		1847	91.98		161	8.02		2008	2.41		397	21.49		1450	78.51			
Dandenong West (Holt)	75	6.58		281	24.65		37	3.25		21	1.84		700	61.40		26	2.28		1140	91.49		106	8.51		1246	1.50		344	30.18		796	69.82			
Douglas	51	6.42		172	21.66		29	3.65		7	0.88		529	66.62		6	0.76		794	95.20		40	4.80		834	1.00		211	26.57		583	73.43
Doveton	136	6.61		522	25.38		48	2.33		39	1.90		1261	61.30		51	2.48		2057	92.91		157	7.09		2214	2.66		649	31.55		1408	68.45
Doveton North	89	6.11		310	21.29		32	2.20		28	1.92		963	66.14		34	2.34		1456	93.21		106	6.79		1562	1.88		375	25.76		1081	74.24
Doveton West	62	5.03		294	23.86		24	1.95		29	2.35		787	63.88		36	2.92		1232	92.63		98	7.37		1330	1.60		360	29.22		872	70.78
Endeavour Hills	212	6.54		1084	33.43		90	2.78		28	0.86		1768	54.52		61	1.88		3243	95.07		168	4.93		3411	4.10		1271	39.19		1972	60.81
Endeavour Hills East	366	7.30		1696	33.84		150	2.99		31	0.62		2640	52.67		129	2.57		5012	95.65		228	4.35		5240	6.30		2002	39.94		3010	60.06
Endeavour Hills North	101	6.07		643	38.62		39	2.34		19	1.14		823	49.43		40	2.40		1665	96.63		58	3.37		1723	2.07		735	44.14		930	55.86
Fountain Gate	277	7.99		1279	36.88		62	1.79		29	0.84		1754	50.58		67	1.93		3468	95.25		173	4.75		3641	4.38		1468	42.33		2000	57.67
Gleneagles	275	7.36		1131	30.28		76	2.03		29	0.78		2109	56.47		115	3.08		3735	95.26		186	4.74		3921	4.71		1363	36.49		2372	63.51
Hallam	296	8.23		1211	33.68		89	2.47		44	1.22		1869	51.97		87	2.42		3596	94.86		195	5.14		3791	4.56		1434	39.88		2162	60.12
Hampton Park	166	5.39		959	31.16		76	2.47		42	1.36		1779	57.80		56	1.82		3078	95.65		140	4.35		3218	3.87		1110	36.06		1968	63.94
Hampton Park East	354	8.29		1294	30.30		163	3.82		42	0.98		2349	55.00		69	1.62		4271	96.17		170	3.83		4441	5.34		1531	35.85		2740	64.15
Keysborough	66	4.55		434	29.91		34	2.34		17	1.17		888	61.20		12	0.83		1451	95.46		69	4.54		1520	1.83		486	33.49		965	66.51
Maralinga	94	5.27		438	24.54		42	2.35		18	1.01		1178	65.99		15	0.84		1785	94.59		102	5.41		1887	2.27		512	28.68		1273	71.32
Maramba	224	6.49		1529	44.32		63	1.83		26	0.75		1517	43.97		91	2.64		3450	96.64		120	3.36		3570	4.29		1734	50.26		1716	49.74
Melbourne (Holt)	12	19.35		23	37.10		5	8.06		0	0.00		19	30.65		3	4.84		62	93.94		4	6.06		66	0.08		33	53.23		29	46.77
Narre Warren (Holt)	223	7.86		1217	42.90		65	2.29		26	0.92		1250	44.06		56	1.97		2837	95.36		138	4.64		2975	3.58		1398	49.28		1439	50.72			
Noble Park	110	4.71		564	24.13		74	3.17		27	1.16		1527	65.34		35	1.50		2337	94.20		144	5.80		2481	2.98		672	28.75		1665	71.25			
Southvale	70	4.86		360	25.02		46	3.20		12	0.83		935	64.98		16	1.11		1439	94.92		77	5.08		1516	1.82		420	29.19		1019	70.81			
Wallarano	240	6.93		980	28.30		104	3.00		27	0.78		2074	59.89		38	1.10		3463	94.72		193	5.28		3656	4.39		1143	33.01		2320	66.99			
Special Hospitals	22	8.33		130	49.24		4	1.52		4	1.52		99	37.50		5	1.89		264	92.63		21	7.37		285	0.34		153	57.95		111	42.05			
Total Ordinary	4331	6.40		20745	30.68		1730	2.56		745	1.10		38839	57.44		1230	1.82		67620	94.92		3616	5.08		71236	85.63		24292	35.92		43328	64.08			
ABSENT	522	10.37		1693	33.62		257	5.10		84	1.67		2352	46.71		127	2.52		5035	94.63		286	5.37		5321	6.40		2175	43.20		2860	56.80			
POSTAL	142	5.56		977	38.27		54	2.12		25	0.98		1303	51.04		52	2.04		2553	97.78		58	2.22		2611	3.14		1106	43.32		1447	56.68			
PRE_POLL	192	6.40		1035	34.48		82	2.73		17	0.57		1588	52.90		88	2.93		3002	97.40		80	2.60		3082	3.70		1205	40.14		1797	59.86			
PROVISIONAL	53	6.06		171	19.57		26	2.97		9	1.03		599	68.54		16	1.83		874	92.68		69	7.32		943	1.13		228	26.09		646	73.91			
Division Summary	5240	6.63		24621	31.13		2149	2.72		880	1.11		44681	56.50		1513	1.91		79084	95.06		4109	4.94		83193	94.35		29006	36.68		50078	63.32			
																																			
																																			
																																			
																																			
																																			
