House of Representatives - 2001 Election: Victoria																																
First Preference Votes and TCP 																																
By Candidate by Polling Place																																

Hotham (89090)																																
	BENNETT			HALL			RUFFOLO			JOSS			# CREAN			FORMAL			INFORMAL			TOTAL										
	Ollie			Simon Joseph			Priscilla			Jessica			Simon												Two Candidate Preferred							
	GRN			CEC			LP			DEM			ALP												 RUFFOLO LP			# CREAN ALP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Bentleigh Central (Hotham)	99	4.06		24	0.99		1039	42.65		210	8.62		1064	43.68		2436	96.25		95	3.75		2531	3.00		1173	48.15		1263	51.85			
Bentleigh East	66	3.24		7	0.34		954	46.81		117	5.74		894	43.87		2038	96.22		80	3.78		2118	2.51		1026	50.34		1012	49.66			
Carnegie East	151	6.71		14	0.62		831	36.93		160	7.11		1094	48.62		2250	96.86		73	3.14		2323	2.75		923	41.02		1327	58.98			
Cheltenham East (Hotham)	93	4.01		8	0.34		1062	45.78		141	6.08		1016	43.79		2320	96.59		82	3.41		2402	2.84		1158	49.91		1162	50.09			
Cheltenham North	108	4.35		7	0.28		992	40.00		163	6.57		1210	48.79		2480	95.02		130	4.98		2610	3.09		1069	43.10		1411	56.90			
Clarinda	69	2.80		16	0.65		541	21.94		102	4.14		1738	70.48		2466	95.92		105	4.08		2571	3.04		622	25.22		1844	74.78			
Clarinda South	68	2.59		9	0.34		474	18.07		100	3.81		1972	75.18		2623	96.61		92	3.39		2715	3.21		523	19.94		2100	80.06			
Clayton South	114	3.28		23	0.66		692	19.92		116	3.34		2529	72.80		3474	95.94		147	4.06		3621	4.29		790	22.74		2684	77.26
Clayton West	64	6.01		11	1.03		270	25.35		46	4.32		674	63.29		1065	96.38		40	3.62		1105	1.31		312	29.30		753	70.70
Coatesville	180	4.80		29	0.77		1571	41.92		238	6.35		1730	46.16		3748	96.18		149	3.82		3897	4.61		1720	45.89		2028	54.11
Dingley Village	126	2.94		14	0.33		2529	59.01		227	5.30		1390	32.43		4286	96.49		156	3.51		4442	5.26		2689	62.74		1597	37.26
Heatherhill	49	2.53		20	1.03		374	19.30		67	3.46		1428	73.68		1938	95.52		91	4.48		2029	2.40		426	21.98		1512	78.02
Heatherton North	33	2.67		4	0.32		439	35.58		39	3.16		719	58.27		1234	95.88		53	4.12		1287	1.52		468	37.93		766	62.07
Hughesdale	181	6.54		15	0.54		874	31.58		216	7.80		1482	53.54		2768	96.72		94	3.28		2862	3.39		995	35.95		1773	64.05
Hughesdale South	86	4.14		10	0.48		794	38.21		129	6.21		1059	50.96		2078	97.24		59	2.76		2137	2.53		881	42.40		1197	57.60
Kingston Heath	58	2.67		14	0.64		919	42.23		138	6.34		1047	48.12		2176	96.58		77	3.42		2253	2.67		1005	46.19		1171	53.81
Kingswood	68	3.52		3	0.16		1079	55.82		105	5.43		678	35.08		1933	96.94		61	3.06		1994	2.36		1148	59.39		785	40.61
Melbourne (Hotham)	5	9.26		1	1.85		13	24.07		7	12.96		28	51.85		54	94.74		3	5.26		57	0.07		17	31.48		37	68.52
Mentone Park	62	5.07		6	0.49		545	44.53		70	5.72		541	44.20		1224	96.38		46	3.62		1270	1.50		604	49.35		620	50.65
Moorabbin Heights	84	3.87		15	0.69		852	39.21		157	7.23		1065	49.01		2173	96.62		76	3.38		2249	2.66		945	43.49		1228	56.51
Moorabbin South	89	6.96		6	0.47		538	42.10		76	5.95		569	44.52		1278	96.53		46	3.47		1324	1.57		590	46.17		688	53.83
Moorabbin South East	125	5.89		8	0.38		895	42.16		103	4.85		992	46.73		2123	96.94		67	3.06		2190	2.59		964	45.41		1159	54.59
Murrumbeena South	113	4.79		11	0.47		1032	43.75		158	6.70		1045	44.30		2359	96.68		81	3.32		2440	2.89		1127	47.77		1232	52.23
Oakleigh (Hotham)	30	7.44		2	0.50		120	29.78		20	4.96		231	57.32		403	97.82		9	2.18		412	0.49		139	34.49		264	65.51			
Oakleigh Central	88	6.06		4	0.28		470	32.39		68	4.69		821	56.58		1451	97.38		39	2.62		1490	1.76		523	36.04		928	63.96			
Oakleigh South	82	4.38		28	1.50		598	31.94		78	4.17		1086	58.01		1872	96.94		59	3.06		1931	2.29		654	34.94		1218	65.06			
