House of Representatives - 2001 Election: Victoria																																												
First Preference Votes and TCP																																												
By Candidate by Polling Place																																												

Indi (85758)																																												
	ADAMS			MURDOCH			BENNETTS			CHUCK			SEYMOUR			WARDLE			CHAMBERS			# PANOPOULOS			MCINTOSH			FORMAL			INFORMAL			TOTAL										
	Pat			Barbara			Lyn			Robert			Philip John			Michael			Don			Sophie			Nelson												Two Candidate Preferred							
				ALP			HAN			DEM			CTA			GRN			NP			LP			IND												 MURDOCH ALP			# PANOPOULOS LP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Arcadia	2	1.50		23	17.29		10	7.52		3	2.26		0	0.00		1	0.75		24	18.05		69	51.88		1	0.75		133	95.00		7	5.00		140	0.17		34	25.56		99	74.44			
Baddaginnie	0	0.00		69	30.26		6	2.63		5	2.19		0	0.00		5	2.19		52	22.81		84	36.84		7	3.07		228	94.21		14	5.79		242	0.30		93	40.79		135	59.21			
Baranduda	1	0.17		123	20.57		21	3.51		22	3.68		4	0.67		24	4.01		51	8.53		287	47.99		65	10.87		598	95.37		29	4.63		627	0.76		194	32.44		404	67.56			
Barnawartha	2	0.32		128	20.22		40	6.32		16	2.53		11	1.74		19	3.00		105	16.59		222	35.07		90	14.22		633	95.05		33	4.95		666	0.81		215	33.97		418	66.03			
Beechworth	16	0.86		634	34.23		82	4.43		103	5.56		21	1.13		148	7.99		198	10.69		488	26.35		162	8.75		1852	93.11		137	6.89		1989	2.43		1002	54.10		850	45.90			
Benalla	45	1.56		899	31.19		108	3.75		102	3.54		24	0.83		111	3.85		251	8.71		1280	44.41		62	2.15		2882	94.99		152	5.01		3034	3.70		1178	40.87		1704	59.13			
Benalla District Hospital	1	2.44		9	21.95		1	2.44		0	0.00		2	4.88		0	0.00		9	21.95		19	46.34		0	0.00		41	95.35		2	4.65		43	0.05		10	24.39		31	75.61			
Benalla West	28	1.09		798	31.03		63	2.45		82	3.19		25	0.97		76	2.95		247	9.60		1169	45.45		84	3.27		2572	94.45		151	5.55		2723	3.32		1001	38.92		1571	61.08
Bethanga	3	0.59		87	17.23		27	5.35		22	4.36		4	0.79		17	3.37		40	7.92		243	48.12		62	12.28		505	96.01		21	3.99		526	0.64		145	28.71		360	71.29
Bonegilla	3	0.82		78	21.37		17	4.66		13	3.56		4	1.10		11	3.01		44	12.05		159	43.56		36	9.86		365	96.05		15	3.95		380	0.46		120	32.88		245	67.12
Boorhaman	1	0.67		14	9.33		5	3.33		4	2.67		1	0.67		3	2.00		48	32.00		65	43.33		9	6.00		150	93.75		10	6.25		160	0.20		24	16.00		126	84.00
Boosey	0	0.00		17	14.41		3	2.54		9	7.63		0	0.00		1	0.85		27	22.88		60	50.85		1	0.85		118	97.52		3	2.48		121	0.15		27	22.88		91	77.12
Bright	11	0.76		400	27.82		59	4.10		45	3.13		12	0.83		109	7.58		126	8.76		620	43.12		56	3.89		1438	93.80		95	6.20		1533	1.87		584	40.61		854	59.39
Bullioh	0	0.00		24	17.14		4	2.86		3	2.14		2	1.43		2	1.43		18	12.86		55	39.29		32	22.86		140	98.59		2	1.41		142	0.17		42	30.00		98	70.00
Bundalong	3	1.24		56	23.14		10	4.13		0	0.00		0	0.00		6	2.48		57	23.55		95	39.26		15	6.20		242	96.80		8	3.20		250	0.30		74	30.58		168	69.42
Caniambo	1	1.35		7	9.46		5	6.76		1	1.35		0	0.00		1	1.35		18	24.32		41	55.41		0	0.00		74	93.67		5	6.33		79	0.10		12	16.22		62	83.78
Cheshunt	0	0.00		44	28.21		2	1.28		4	2.56		0	0.00		5	3.21		49	31.41		51	32.69		1	0.64		156	93.98		10	6.02		166	0.20		54	34.62		102	65.38
Chiltern	4	0.44		398	44.12		45	4.99		30	3.33		11	1.22		25	2.77		74	8.20		265	29.38		50	5.54		902	94.75		50	5.25		952	1.16		513	56.87		389	43.13
Corryong	14	1.35		233	22.51		39	3.77		22	2.13		13	1.26		15	1.45		87	8.41		479	46.28		133	12.85		1035	95.66		47	4.34		1082	1.32		328	31.69		707	68.31
Cudgewa	2	0.88		32	14.16		12	5.31		2	0.88		2	0.88		1	0.44		32	14.16		108	47.79		35	15.49		226	98.26		4	1.74		230	0.28		46	20.35		180	79.65
Dederang	0	0.00		32	13.39		7	2.93		5	2.09		14	5.86		1	0.42		39	16.32		103	43.10		38	15.90		239	98.35		4	1.65		243	0.30		54	22.59		185	77.41
Devenish	0	0.00		35	24.65		8	5.63		2	1.41		3	2.11		2	1.41		34	23.94		51	35.92		7	4.93		142	95.30		7	4.70		149	0.18		41	28.87		101	71.13
Eldorado	2	0.90		50	22.52		14	6.31		11	4.95		2	0.90		14	6.31		29	13.06		82	36.94		18	8.11		222	94.87		12	5.13		234	0.29		91	40.99		131	59.01
Eskdale	0	0.00		38	15.70		12	4.96		5	2.07		0	0.00		4	1.65		45	18.60		101	41.74		37	15.29		242	95.65		11	4.35		253	0.31		54	22.31		188	77.69
Euroa	113	4.93		656	28.62		111	4.84		35	1.53		15	0.65		81	3.53		246	10.73		975	42.54		60	2.62		2292	94.63		130	5.37		2422	2.95		906	39.53		1386	60.47
Everton	0	0.00		35	20.11		6	3.45		7	4.02		0	0.00		14	8.05		40	22.99		50	28.74		22	12.64		174	98.86		2	1.14		176	0.21		64	36.78		110	63.22
Falls Creek	0	0.00		10	18.87		0	0.00		5	9.43		0	0.00		4	7.55		3	5.66		24	45.28		7	13.21		53	98.15		1	1.85		54	0.07		18	33.96		35	66.04
Gapsted	2	1.29		39	25.16		4	2.58		1	0.65		1	0.65		7	4.52		28	18.06		59	38.06		14	9.03		155	92.26		13	7.74		168	0.20		60	38.71		95	61.29
Glenrowan	10	1.41		169	23.80		25	3.52		40	5.63		17	2.39		27	3.80		109	15.35		283	39.86		30	4.23		710	97.26		20	2.74		730	0.89		250	35.21		460	64.79
Goorambat	1	0.56		30	16.95		9	5.08		4	2.26		2	1.13		3	1.69		52	29.38		73	41.24		3	1.69		177	92.67		14	7.33		191	0.23		45	25.42		132	74.58
Greta Valley	1	0.66		29	19.21		2	1.32		7	4.64		3	1.99		3	1.99		45	29.80		51	33.77		10	6.62		151	96.18		6	3.82		157	0.19		47	31.13		104	68.87
Harrietville	0	0.00		54	30.34		7	3.93		2	1.12		2	1.12		15	8.43		10	5.62		75	42.13		13	7.30		178	93.68		12	6.32		190	0.23		78	43.82		100	56.18
Invergordon	4	1.09		52	14.21		20	5.46		9	2.46		7	1.91		3	0.82		87	23.77		172	46.99		12	3.28		366	94.82		20	5.18		386	0.47		70	19.13		296	80.87
Katandra West	3	0.58		82	15.92		26	5.05		17	3.30		1	0.19		11	2.14		123	23.88		222	43.11		30	5.83		515	94.67		29	5.33		544	0.66		124	24.08		391	75.92
Kergunyah	1	0.45		26	11.71		3	1.35		6	2.70		2	0.90		5	2.25		37	16.67		96	43.24		46	20.72		222	96.52		8	3.48		230	0.28		60	27.03		162	72.97
Kiewa	1	0.18		84	15.53		16	2.96		9	1.66		8	1.48		13	2.40		71	13.12		227	41.96		112	20.70		541	94.58		31	5.42		572	0.70		142	26.25		399	73.75
Londrigan	0	0.00		35	21.88		5	3.13		9	5.63		3	1.88		7	4.38		41	25.63		50	31.25		10	6.25		160	94.67		9	5.33		169	0.21		63	39.38		97	60.63
Lurg	1	0.56		65	36.31		7	3.91		8	4.47		4	2.23		6	3.35		23	12.85		62	34.64		3	1.68		179	94.21		11	5.79		190	0.23		77	43.02		102	56.98
Markwood	1	0.44		55	24.12		9	3.95		12	5.26		2	0.88		9	3.95		46	20.18		82	35.96		12	5.26		228	95.40		11	4.60		239	0.29		78	34.21		150	65.79
Melbourne (Indi)	2	2.99		24	35.82		1	1.49		7	10.45		1	1.49		8	11.94		4	5.97		19	28.36		1	1.49		67	95.71		3	4.29		70	0.09		39	58.21		28	41.79
Milawa	1	0.30		55	16.32		12	3.56		18	5.34		2	0.59		12	3.56		99	29.38		119	35.31		19	5.64		337	93.35		24	6.65		361	0.44		96	28.49		241	71.51
Mitta Mitta	2	1.23		28	17.28		10	6.17		1	0.62		0	0.00		3	1.85		20	12.35		72	44.44		26	16.05		162	97.59		4	2.41		166	0.20		37	22.84		125	77.16
Molyullah	1	1.08		20	21.51		6	6.45		3	3.23		1	1.08		1	1.08		19	20.43		40	43.01		2	2.15		93	98.94		1	1.06		94	0.11		30	32.26		63	67.74
Mongans Bridge	0	0.00		17	13.08		5	3.85		2	1.54		11	8.46		8	6.15		10	7.69		46	35.38		31	23.85		130	95.59		6	4.41		136	0.17		40	30.77		90	69.23
Mount Beauty	7	0.71		357	36.13		34	3.44		34	3.44		16	1.62		70	7.09		40	4.05		352	35.63		78	7.89		988	94.27		60	5.73		1048	1.28		492	49.80		496	50.20
Mount Hotham	0	0.00		1	5.56		0	0.00		4	22.22		0	0.00		3	16.67		0	0.00		10	55.56		0	0.00		18	94.74		1	5.26		19	0.02		6	33.33		12	66.67
Moyhu	3	0.63		91	19.00		15	3.13		10	2.09		0	0.00		13	2.71		113	23.59		219	45.72		15	3.13		479	97.56		12	2.44		491	0.60		129	26.93		350	73.07
Mudgegonga	3	1.99		29	19.21		5	3.31		6	3.97		1	0.66		6	3.97		22	14.57		51	33.77		28	18.54		151	96.79		5	3.21		156	0.19		50	33.11		101	66.89
Myrrhee	1	1.03		16	16.49		4	4.12		3	3.09		0	0.00		8	8.25		23	23.71		37	38.14		5	5.15		97	97.98		2	2.02		99	0.12		32	32.99		65	67.01
Myrtleford	29	1.25		687	29.50		95	4.08		83	3.56		25	1.07		62	2.66		313	13.44		896	38.47		139	5.97		2329	92.09		200	7.91		2529	3.08		932	40.02		1397	59.98
Oxley	2	0.57		59	16.95		13	3.74		25	7.18		2	0.57		10	2.87		96	27.59		121	34.77		20	5.75		348	95.34		17	4.66		365	0.45		103	29.60		245	70.40
Porepunkah	4	0.64		153	24.48		24	3.84		23	3.68		8	1.28		34	5.44		83	13.28		258	41.28		38	6.08		625	93.70		42	6.30		667	0.81		241	38.56		384	61.44
Rutherglen	10	0.66		422	27.87		43	2.84		32	2.11		11	0.73		45	2.97		383	25.30		460	30.38		108	7.13		1514	94.27		92	5.73		1606	1.96		605	39.96		909	60.04
St James	0	0.00		29	14.57		8	4.02		3	1.51		2	1.01		5	2.51		63	31.66		80	40.20		9	4.52		199	93.43		14	6.57		213	0.26		40	20.10		159	79.90
Sandy Creek	3	1.91		37	23.57		2	1.27		2	1.27		2	1.27		5	3.18		17	10.83		59	37.58		30	19.11		157	96.32		6	3.68		163	0.20		57	36.31		100	63.69
Springhurst	2	0.90		47	21.17		9	4.05		6	2.70		4	1.80		8	3.60		51	22.97		77	34.68		18	8.11		222	94.87		12	5.13		234	0.29		72	32.43		150	67.57
Stanley	1	0.48		64	30.48		5	2.38		6	2.86		1	0.48		29	13.81		25	11.90		62	29.52		17	8.10		210	98.59		3	1.41		213	0.26		110	52.38		100	47.62
Strathbogie	2	0.89		54	24.11		13	5.80		5	2.23		2	0.89		17	7.59		36	16.07		80	35.71		15	6.70		224	96.97		7	3.03		231	0.28		81	36.16		143	63.84
Swanpool	8	2.22		91	25.28		17	4.72		7	1.94		1	0.28		21	5.83		72	20.00		126	35.00		17	4.72		360	94.24		22	5.76		382	0.47		132	36.67		228	63.33
Tallangatta	5	0.62		173	21.57		48	5.99		17	2.12		6	0.75		31	3.87		81	10.10		316	39.40		125	15.59		802	94.35		48	5.65		850	1.04		277	34.54		525	65.46
Tallangatta Valley	1	0.97		11	10.68		2	1.94		1	0.97		0	0.00		4	3.88		11	10.68		53	51.46		20	19.42		103	98.10		2	1.90		105	0.13		20	19.42		83	80.58
