House of Representatives - 2001 Election: Victoria																																									
First Preference Votes and TCP																																									
By Candidate by Polling Place																																									

Isaacs (82675)																																									
	OAKLEY			BROOK			# CORCORAN			STANTON			GROVES			SHEPHERDSON			BUJEYA			FLETCHER			FORMAL			INFORMAL			TOTAL										
	Shirly			Patricia			Ann			Heather			John			Michael			Darren			Haydn												Two Candidate Preferred							
	IND			IND			ALP			CEC			HAN			LP			GRN			DEM												# CORCORAN ALP			 SHEPHERDSON LP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Aspendale	31	1.17		9	0.34		1046	39.34		10	0.38		40	1.50		1227	46.15		122	4.59		174	6.54		2659	96.03		110	3.97		2769	3.49		1314	49.42		1345	50.58			
Aspendale Gardens	25	0.96		12	0.46		1185	45.61		6	0.23		28	1.08		1064	40.95		67	2.58		211	8.12		2598	95.06		135	4.94		2733	3.44		1411	54.31		1187	45.69			
Aspendale North	9	0.98		5	0.54		319	34.67		0	0.00		18	1.96		441	47.93		80	8.70		48	5.22		920	95.63		42	4.37		962	1.21		436	47.39		484	52.61			
Beaumaris East (Isaacs)	19	0.82		12	0.52		809	34.90		5	0.22		18	0.78		1140	49.18		122	5.26		193	8.33		2318	95.79		102	4.21		2420	3.05		1048	45.21		1270	54.79			
Belvedere Park (Isaacs)	51	2.14		12	0.50		1160	48.58		11	0.46		48	2.01		867	36.31		109	4.56		130	5.44		2388	94.87		129	5.13		2517	3.17		1402	58.71		986	41.29			
Bonbeach	19	1.75		15	1.38		462	42.46		1	0.09		22	2.02		410	37.68		51	4.69		108	9.93		1088	95.19		55	4.81		1143	1.44		618	56.80		470	43.20			
Carrum	18	1.02		13	0.74		837	47.48		6	0.34		43	2.44		623	35.34		105	5.96		118	6.69		1763	96.29		68	3.71		1831	2.30		1051	59.61		712	40.39			
Carrum Downs	19	1.43		7	0.53		647	48.65		6	0.45		38	2.86		486	36.54		29	2.18		98	7.37		1330	95.34		65	4.66		1395	1.76		777	58.42		553	41.58
Chelsea	17	1.32		12	0.93		592	46.00		3	0.23		23	1.79		508	39.47		55	4.27		77	5.98		1287	94.01		82	5.99		1369	1.72		714	55.48		573	44.52
Chelsea Central	39	1.40		15	0.54		1334	47.75		7	0.25		40	1.43		993	35.54		165	5.91		201	7.19		2794	95.65		127	4.35		2921	3.68		1660	59.41		1134	40.59
Chelsea Heights	47	1.24		32	0.84		1773	46.79		9	0.24		62	1.64		1397	36.87		122	3.22		347	9.16		3789	94.58		217	5.42		4006	5.04		2195	57.93		1594	42.07
Cheltenham (Isaacs)	13	1.20		6	0.56		401	37.16		5	0.46		10	0.93		503	46.62		54	5.00		87	8.06		1079	96.43		40	3.57		1119	1.41		519	48.10		560	51.90
Cheltenham East (Isaacs)	4	0.90		4	0.90		200	44.94		4	0.90		3	0.67		200	44.94		9	2.02		21	4.72		445	94.48		26	5.52		471	0.59		230	51.69		215	48.31
