House of Representatives - 2001 Election: Victoria																																			
First Preference Votes and TCP 																																			
By Candidate by Polling Place																																			

Jagajaga (88073)																																			
	WIGG			GALLAGHER			JONES			ROBERTS			# MACKLIN			SCHOREL-HLAVKA			FORMAL			INFORMAL			TOTAL										
	Peter			Paul			Brett Lloyd			Samantha			Jenny			Gary												Two Candidate Preferred							
	DEM			CEC			LP			GRN			ALP			IND												 JONES LP			# MACKLIN ALP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Banyule	141	5.72		7	0.28		1014	41.12		131	5.31		1158	46.96		15	0.61		2466	96.29		95	3.71		2561	3.04		1080	43.80		1386	56.20			
Briar Hill	188	7.30		8	0.31		1052	40.87		172	6.68		1132	43.98		22	0.85		2574	96.59		91	3.41		2665	3.16		1172	45.53		1402	54.47			
Bundoora	82	4.16		5	0.25		642	32.54		74	3.75		1156	58.59		14	0.71		1973	95.73		88	4.27		2061	2.45		710	35.99		1263	64.01			
Eaglemont	58	4.30		2	0.15		704	52.23		96	7.12		486	36.05		2	0.15		1348	97.68		32	2.32		1380	1.64		739	54.82		609	45.18			
Eltham	346	8.77		4	0.10		1686	42.74		348	8.82		1540	39.04		21	0.53		3945	97.41		105	2.59		4050	4.81		1875	47.53		2070	52.47			
Eltham East	322	10.02		5	0.16		1379	42.92		229	7.13		1255	39.06		23	0.72		3213	97.42		85	2.58		3298	3.91		1539	47.90		1674	52.10			
Eltham North	153	7.79		7	0.36		842	42.87		190	9.67		764	38.90		8	0.41		1964	96.51		71	3.49		2035	2.42		933	47.51		1031	52.49			
Eltham Woods	54	6.44		2	0.24		413	49.23		54	6.44		309	36.83		7	0.83		839	97.22		24	2.78		863	1.02		449	53.52		390	46.48
Fairy Hills	69	5.14		1	0.07		668	49.78		111	8.27		483	35.99		10	0.75		1342	97.88		29	2.12		1371	1.63		725	54.02		617	45.98
Glen Katherine	229	7.33		6	0.19		1481	47.41		140	4.48		1251	40.04		17	0.54		3124	96.84		102	3.16		3226	3.83		1614	51.66		1510	48.34
Golf Links	48	4.22		2	0.18		517	45.47		90	7.92		471	41.42		9	0.79		1137	96.36		43	3.64		1180	1.40		567	49.87		570	50.13
Grace Park	112	8.42		6	0.45		502	37.74		67	5.04		629	47.29		14	1.05		1330	95.07		69	4.93		1399	1.66		568	42.71		762	57.29
Greensborough Central	86	7.68		7	0.63		426	38.04		58	5.18		531	47.41		12	1.07		1120	95.81		49	4.19		1169	1.39		488	43.57		632	56.43
Haig	79	3.93		15	0.75		493	24.53		124	6.17		1280	63.68		19	0.95		2010	93.88		131	6.12		2141	2.54		548	27.26		1462	72.74
Heidelberg	240	7.30		11	0.33		1320	40.17		253	7.70		1433	43.61		29	0.88		3286	96.31		126	3.69		3412	4.05		1473	44.83		1813	55.17
Heidelberg North	110	4.48		12	0.49		418	17.01		118	4.80		1784	72.58		16	0.65		2458	94.10		154	5.90		2612	3.10		496	20.18		1962	79.82
Heidelberg West	55	3.98		6	0.43		330	23.86		74	5.35		903	65.29		15	1.08		1383	94.79		76	5.21		1459	1.73		369	26.68		1014	73.32
Ivanhoe	209	7.45		8	0.29		1020	36.34		285	10.15		1256	44.75		29	1.03		2807	96.26		109	3.74		2916	3.46		1152	41.04		1655	58.96
Ivanhoe East	158	6.65		5	0.21		1170	49.24		197	8.29		837	35.23		9	0.38		2376	96.70		81	3.30		2457	2.92		1257	52.90		1119	47.10
Ivanhoe West	54	3.12		8	0.46		448	25.90		104	6.01		1104	63.82		12	0.69		1730	94.85		94	5.15		1824	2.16		488	28.21		1242	71.79
Lower Plenty	98	5.08		11	0.57		1074	55.62		110	5.70		619	32.06		19	0.98		1931	96.17		77	3.83		2008	2.38		1141	59.09		790	40.91
Macleod	241	7.57		10	0.31		1190	37.40		171	5.37		1547	48.62		23	0.72		3182	95.67		144	4.33		3326	3.95		1328	41.73		1854	58.27
Melbourne (Jagajaga)	11	10.48		0	0.00		27	25.71		23	21.90		42	40.00		2	1.90		105	98.13		2	1.87		107	0.13		40	38.10		65	61.90
Montmorency	307	8.40		10	0.27		1489	40.74		269	7.36		1548	42.35		32	0.88		3655	95.66		166	4.34		3821	4.54		1663	45.50		1992	54.50			
Montmorency South	149	8.86		3	0.18		653	38.82		128	7.61		740	44.00		9	0.54		1682	96.44		62	3.56		1744	2.07		726	43.16		956	56.84			
Repatriation Hospital	13	4.80		2	0.74		70	25.83		14	5.17		171	63.10		1	0.37		271	96.10		11	3.90		282	0.33		79	29.15		192	70.85			
Research (Jagajaga)	89	6.71		6	0.45		660	49.74		117	8.82		440	33.16		15	1.13		1327	96.37		50	3.63		1377	1.63		732	55.16		595	44.84			
Rosanna	111	5.31		7	0.33		930	44.48		135	6.46		896	42.85		12	0.57		2091	96.76		70	3.24		2161	2.56		999	47.78		1092	52.22			
Rosanna East	33	3.53		1	0.11		431	46.10		39	4.17		421	45.03		10	1.07		935	97.29		26	2.71		961	1.14		457	48.88		478	51.12			
Telfer Reserve	22	3.96		1	0.18		183	32.97		15	2.70		328	59.10		6	1.08		555	95.36		27	4.64		582	0.69		196	35.32		359	64.68			
Viewbank	179	8.11		8	0.36		926	41.94		116	5.25		971	43.98		8	0.36		2208	95.09		114	4.91		2322	2.76		1009	45.70		1199	54.30			
Warringal Parklands	22	3.31		2	0.30		304	45.71		44	6.62		286	43.01		7	1.05		665	97.65		16	2.35		681	0.81		326	49.02		339	50.98			
Watsonia	176	6.80		13	0.50		949	36.64		123	4.75		1305	50.39		24	0.93		2590	95.71		116	4.29		2706	3.21		1061	40.97		1529	59.03			
Watsonia Central	52	5.43		2	0.21		333	34.76		47	4.91		514	53.65		10	1.04		958	95.99		40	4.01		998	1.18		368	38.41		590	61.59			
Watsonia South	51	4.35		4	0.34		422	35.98		37	3.15		645	54.99		14	1.19		1173	96.78		39	3.22		1212	1.44		456	38.87		717	61.13			
Yallambie	191	7.54		2	0.08		1231	48.62		82	3.24		1000	39.49		26	1.03		2532	96.02		105	3.98		2637	3.13		1352	53.40		1180	46.60			
Special Hospitals	9	4.31		2	0.96		102	48.80		3	1.44		89	42.58		4	1.91		209	95.43		10	4.57		219	0.26		113	54.07		96	45.93			
Total Ordinary	4547	6.64		211	0.31		27499	40.15		4388	6.41		31324	45.73		525	0.77		68494	96.17		2729	3.83		71223	84.53		30288	44.22		38206	55.78			
ABSENT	451	9.41		32	0.67		1786	37.25		462	9.64		1993	41.56		71	1.48		4795	96.15		192	3.85		4987	5.92		2119	44.19		2676	55.81			
POSTAL	189	4.49		8	0.19		1752	41.65		129	3.07		2094	49.79		34	0.81		4206	98.48		65	1.52		4271	5.07		1873	44.53		2333	55.47			
PRE_POLL	215	6.28		14	0.41		1488	43.48		182	5.32		1486	43.42		37	1.08		3422	97.83		76	2.17		3498	4.15		1624	47.46		1798	52.54			
PROVISIONAL	19	7.12		1	0.37		94	35.21		17	6.37		130	48.69		6	2.25		267	97.09		8	2.91		275	0.33		110	41.20		157	58.80			
Division Summary	5421	6.68		266	0.33		32619	40.18		5178	6.38		37027	45.61		673	0.83		81184	96.36		3070	3.64		84254	95.66		36014	44.36		45170	55.64			
																																			
																																			
																																			
																																			
																																			
