House of Representatives - 2001 Election: Victoria																													
First Preference Votes and TCP 																													
By Candidate by Polling Place																													

Kooyong (87128)																													
	# GEORGIOU			CAMPBELL			SHARP			WILSON			FORMAL			INFORMAL			TOTAL										
	Petro			Peter			Ari			Tom												Two Candidate Preferred							
	LP			GRN			DEM			ALP												# GEORGIOU LP			 WILSON ALP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Auburn	742	48.59		170	11.13		102	6.68		513	33.60		1527	95.80		67	4.20		1594	1.93		813	53.24		714	46.76			
Auburn North	1371	49.37		344	12.39		266	9.58		796	28.66		2777	97.47		72	2.53		2849	3.46		1536	55.31		1241	44.69			
Auburn South	1911	58.71		355	10.91		270	8.29		719	22.09		3255	97.69		77	2.31		3332	4.04		2109	64.79		1146	35.21			
Balwyn	1466	60.16		238	9.77		140	5.74		593	24.33		2437	97.29		68	2.71		2505	3.04		1591	65.29		846	34.71			
Balwyn Central	886	60.44		111	7.57		93	6.34		376	25.65		1466	97.15		43	2.85		1509	1.83		944	64.39		522	35.61			
Balwyn North	1718	53.45		274	8.53		192	5.97		1030	32.05		3214	97.07		97	2.93		3311	4.02		1870	58.18		1344	41.82			
Balwyn North Central	1011	63.03		111	6.92		106	6.61		376	23.44		1604	96.39		60	3.61		1664	2.02		1099	68.52		505	31.48			
Balwyn North East	2154	56.24		362	9.45		247	6.45		1067	27.86		3830	97.11		114	2.89		3944	4.78		2348	61.31		1482	38.69
Balwyn North West	809	57.46		126	8.95		68	4.83		405	28.76		1408	96.64		49	3.36		1457	1.77		869	61.72		539	38.28
Balwyn West	903	51.63		189	10.81		130	7.43		527	30.13		1749	97.17		51	2.83		1800	2.18		1007	57.58		742	42.42
Boroondara	1241	56.10		166	7.50		147	6.65		658	29.75		2212	97.49		57	2.51		2269	2.75		1347	60.90		865	39.10
Camberwell East	659	61.53		81	7.56		94	8.78		237	22.13		1071	98.26		19	1.74		1090	1.32		718	67.04		353	32.96
Camberwell North	1315	64.81		181	8.92		162	7.98		371	18.28		2029	97.92		43	2.08		2072	2.51		1442	71.07		587	28.93
Canterbury North	867	54.29		169	10.58		137	8.58		424	26.55		1597	97.86		35	2.14		1632	1.98		958	59.99		639	40.01
Canterbury South	1596	54.32		376	12.80		229	7.79		737	25.09		2938	97.80		66	2.20		3004	3.64		1797	61.16		1141	38.84
Chatham	878	51.74		196	11.55		140	8.25		483	28.46		1697	98.15		32	1.85		1729	2.10		975	57.45		722	42.55
Cotham	1427	64.48		225	10.17		166	7.50		395	17.85		2213	97.27		62	2.73		2275	2.76		1574	71.13		639	28.87
Deepdene	747	62.62		131	10.98		80	6.71		235	19.70		1193	98.11		23	1.89		1216	1.48		811	67.98		382	32.02
Glenferrie	1375	47.14		429	14.71		299	10.25		814	27.91		2917	97.40		78	2.60		2995	3.63		1596	54.71		1321	45.29
Glenferrie Central	708	48.63		206	14.15		151	10.37		391	26.85		1456	97.46		38	2.54		1494	1.81		790	54.26		666	45.74
Glenferrie South	880	63.68		153	11.07		102	7.38		247	17.87		1382	97.60		34	2.40		1416	1.72		971	70.26		411	29.74
Hartwell	984	49.67		225	11.36		147	7.42		625	31.55		1981	97.39		53	2.61		2034	2.47		1099	55.48		882	44.52
Hawthorn	1335	50.08		362	13.58		222	8.33		747	28.02		2666	96.88		86	3.13		2752	3.34		1507	56.53		1159	43.47
Highfield Park	1024	52.22		209	10.66		160	8.16		568	28.96		1961	97.76		45	2.24		2006	2.43		1146	58.44		815	41.56			
Hyde Park	600	48.66		148	12.00		103	8.35		382	30.98		1233	96.40		46	3.60		1279	1.55		684	55.47		549	44.53			
Kew	1590	45.79		402	11.58		339	9.76		1141	32.86		3472	96.71		118	3.29		3590	4.35		1786	51.44		1686	48.56			
Kew East	740	49.40		140	9.35		125	8.34		493	32.91		1498	97.46		39	2.54		1537	1.86		809	54.01		689	45.99			
Kew North	1179	48.82		287	11.88		178	7.37		771	31.93		2415	97.26		68	2.74		2483	3.01		1317	54.53		1098	45.47			
Kew South	1298	54.20		307	12.82		200	8.35		590	24.63		2395	97.56		60	2.44		2455	2.98		1454	60.71		941	39.29			
Melbourne (Kooyong)	73	43.45		27	16.07		19	11.31		49	29.17		168	95.45		8	4.55		176	0.21		84	50.00		84	50.00			
Studley Park	977	61.52		158	9.95		111	6.99		342	21.54		1588	98.02		32	1.98		1620	1.97		1057	66.56		531	33.44			
Surrey Hills West	734	53.07		185	13.38		111	8.03		353	25.52		1383	97.60		34	2.40		1417	1.72		822	59.44		561	40.56			
Willison	705	60.10		96	8.18		73	6.22		299	25.49		1173	97.99		24	2.01		1197	1.45		752	64.11		421	35.89			
Special Hospitals	385	67.78		21	3.70		13	2.29		149	26.23		568	98.27		10	1.73		578	0.70		405	71.30		163	28.70			
Total Ordinary	36288	54.59		7160	10.77		5122	7.71		17903	26.93		66473	97.35		1808	2.65		68281	82.83		40087	60.31		26386	39.69			
ABSENT	3125	51.83		863	14.31		670	11.11		1371	22.74		6029	97.12		179	2.88		6208	7.53		3624	60.11		2405	39.89			
POSTAL	2598	67.87		211	5.51		231	6.03		788	20.59		3828	98.79		47	1.21		3875	4.70		2768	72.31		1060	27.69			
PRE_POLL	2054	56.43		328	9.01		316	8.68		942	25.88		3640	97.95		76	2.05		3716	4.51		2265	62.23		1375	37.77			
PROVISIONAL	179	51.00		45	12.82		35	9.97		92	26.21		351	98.04		7	1.96		358	0.43		200	56.98		151	43.02			
Division Summary	44244	55.08		8607	10.72		6374	7.94		21096	26.26		80321	97.43		2117	2.57		82438	94.62		48944	60.94		31377	39.06			
																													
																													
																													
																													
																													
