House of Representatives - 2001 Election: Victoria																																			
First Preference Votes and TCP 																																			
By Candidate by Polling Place																																			

Mallee (81774)																																			
	KELLY			ZIGOURAS			RIVENDELL			MACKLEY			# FORREST			DOUGLASS			FORMAL			INFORMAL			TOTAL										
	Timothy			John			Julie			Bob			John			Ross												Two Candidate Preferred							
	DEM			ALP			GRN			HAN			NP			IND												 ZIGOURAS ALP			# FORREST NP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Antwerp	2	2.02		6	6.06		2	2.02		10	10.10		78	78.79		1	1.01		99	98.02		2	1.98		101	0.13		12	12.12		87	87.88			
Apsley	9	3.18		57	20.14		2	0.71		41	14.49		169	59.72		5	1.77		283	96.26		11	3.74		294	0.37		83	29.33		200	70.67			
Berriwillock	4	2.58		20	12.90		0	0.00		9	5.81		120	77.42		2	1.29		155	99.36		1	0.64		156	0.20		30	19.35		125	80.65			
Beulah	3	0.99		25	8.28		1	0.33		16	5.30		249	82.45		8	2.65		302	98.69		4	1.31		306	0.39		33	10.93		269	89.07			
Beverford	15	4.21		63	17.70		9	2.53		27	7.58		231	64.89		11	3.09		356	98.34		6	1.66		362	0.46		82	23.03		274	76.97			
Birchip	14	2.32		102	16.89		5	0.83		32	5.30		410	67.88		41	6.79		604	96.18		24	3.82		628	0.80		138	22.85		466	77.15			
Boundary Bend	4	3.60		15	13.51		3	2.70		15	13.51		69	62.16		5	4.50		111	97.37		3	2.63		114	0.14		22	19.82		89	80.18			
Brim	1	0.65		9	5.88		0	0.00		12	7.84		125	81.70		6	3.92		153	95.63		7	4.38		160	0.20		12	7.84		141	92.16
Brimpaen	0	0.00		5	9.09		2	3.64		10	18.18		36	65.45		2	3.64		55	98.21		1	1.79		56	0.07		8	14.55		47	85.45
Cabarita	24	4.36		88	16.00		14	2.55		50	9.09		331	60.18		43	7.82		550	95.32		27	4.68		577	0.73		150	27.27		400	72.73
Cardross	13	2.67		117	24.02		17	3.49		64	13.14		241	49.49		35	7.19		487	94.20		30	5.80		517	0.66		175	35.93		312	64.07
Charlton	52	5.68		131	14.32		24	2.62		69	7.54		617	67.43		22	2.40		915	96.42		34	3.58		949	1.21		231	25.25		684	74.75
Culgoa	1	0.96		20	19.23		1	0.96		5	4.81		73	70.19		4	3.85		104	98.11		2	1.89		106	0.13		22	21.15		82	78.85
Cullulleraine	0	0.00		23	21.50		1	0.93		7	6.54		72	67.29		4	3.74		107	98.17		2	1.83		109	0.14		28	26.17		79	73.83
Dadswells Bridge	3	3.23		13	13.98		4	4.30		17	18.28		54	58.06		2	2.15		93	97.89		2	2.11		95	0.12		24	25.81		69	74.19
Dimboola	51	4.64		348	31.67		21	1.91		113	10.28		513	46.68		53	4.82		1099	95.57		51	4.43		1150	1.46		482	43.86		617	56.14
Donald	28	2.44		207	18.06		19	1.66		80	6.98		746	65.10		66	5.76		1146	97.53		29	2.47		1175	1.49		288	25.13		858	74.87
Dooen	6	4.29		10	7.14		3	2.14		18	12.86		97	69.29		6	4.29		140	97.22		4	2.78		144	0.18		26	18.57		114	81.43
Edenhope	32	3.92		174	21.30		17	2.08		91	11.14		470	57.53		33	4.04		817	96.69		28	3.31		845	1.07		266	32.56		551	67.44
Gerang Gerung	2	2.25		7	7.87		3	3.37		17	19.10		57	64.04		3	3.37		89	96.74		3	3.26		92	0.12		12	13.48		77	86.52
Goroke	8	2.38		58	17.26		6	1.79		42	12.50		211	62.80		11	3.27		336	97.39		9	2.61		345	0.44		92	27.38		244	72.62
Harrow	8	3.35		34	14.23		13	5.44		18	7.53		160	66.95		6	2.51		239	97.95		5	2.05		244	0.31		56	23.43		183	76.57
Haven	24	3.60		89	13.34		17	2.55		97	14.54		419	62.82		21	3.15		667	96.53		24	3.47		691	0.88		159	23.84		508	76.16
Hopetoun	13	2.32		71	12.68		6	1.07		28	5.00		405	72.32		37	6.61		560	96.72		19	3.28		579	0.74		105	18.75		455	81.25
Horsham	237	6.39		759	20.46		102	2.75		290	7.82		2237	60.31		84	2.26		3709	96.82		122	3.18		3831	4.87		1109	29.90		2600	70.10
Horsham North	79	5.18		434	28.46		40	2.62		156	10.23		757	49.64		59	3.87		1525	96.83		50	3.17		1575	2.00		614	40.26		911	59.74
Horsham West	70	4.34		338	20.95		32	1.98		102	6.32		1024	63.48		47	2.91		1613	97.34		44	2.66		1657	2.11		471	29.20		1142	70.80
Irymple	83	3.76		398	18.01		53	2.40		218	9.86		1282	58.01		176	7.96		2210	96.89		71	3.11		2281	2.90		655	29.64		1555	70.36
Jeparit	11	3.35		66	20.12		9	2.74		19	5.79		214	65.24		9	2.74		328	93.98		21	6.02		349	0.44		84	25.61		244	74.39
Jung	3	3.80		18	22.78		2	2.53		13	16.46		41	51.90		2	2.53		79	97.53		2	2.47		81	0.10		25	31.65		54	68.35
Kaniva	28	3.64		90	11.70		13	1.69		93	12.09		506	65.80		39	5.07		769	97.22		22	2.78		791	1.01		164	21.33		605	78.67
Koorlong	8	2.15		64	17.20		15	4.03		58	15.59		219	58.87		8	2.15		372	95.88		16	4.12		388	0.49		112	30.11		260	69.89
Laharum	11	6.40		37	21.51		18	10.47		22	12.79		80	46.51		4	2.33		172	97.18		5	2.82		177	0.23		77	44.77		95	55.23
Lake Boga	35	4.90		130	18.18		25	3.50		67	9.37		435	60.84		23	3.22		715	93.83		47	6.17		762	0.97		211	29.51		504	70.49
Litchfield	1	1.25		6	7.50		0	0.00		8	10.00		59	73.75		6	7.50		80	96.39		3	3.61		83	0.11		9	11.25		71	88.75
Manangatang	11	3.50		30	9.55		2	0.64		23	7.32		236	75.16		12	3.82		314	96.02		13	3.98		327	0.42		54	17.20		260	82.80
