House of Representatives - 2001 Election: Victoria																																			
First Preference Votes and TCP																																			
By Candidate by Polling Place																																			

McEwen (89021)																																			
	SALTER			ROMAGNESI			MACLEOD			# BAILEY			LODWICK			CARDEN			FORMAL			INFORMAL			TOTAL										
	Alan A			Jim			Andrew			Fran			Bill			Tony												Two Candidate Preferred							
	HAN			GRN			ALP			LP			IND			DEM												 MACLEOD ALP			# BAILEY LP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Alexandra	27	1.66		31	1.90		557	34.19		916	56.23		12	0.74		86	5.28		1629	95.65		74	4.35		1703	1.99		650	39.90		979	60.10			
Arthurs Creek	11	3.03		23	6.34		90	24.79		225	61.98		4	1.10		10	2.75		363	97.84		8	2.16		371	0.43		118	32.51		245	67.49			
Avenel	20	3.24		22	3.56		239	38.67		316	51.13		9	1.46		12	1.94		618	96.11		25	3.89		643	0.75		279	45.15		339	54.85			
Badger Creek	34	2.71		109	8.68		467	37.18		542	43.15		7	0.56		97	7.72		1256	96.10		51	3.90		1307	1.52		647	51.51		609	48.49			
Beveridge	7	2.95		5	2.11		104	43.88		105	44.30		3	1.27		13	5.49		237	95.95		10	4.05		247	0.29		123	51.90		114	48.10			
Bonnie Doon	13	4.32		11	3.65		88	29.24		182	60.47		3	1.00		4	1.33		301	96.17		12	3.83		313	0.36		109	36.21		192	63.79			
Broadford	84	4.11		91	4.45		961	47.02		779	38.11		59	2.89		70	3.42		2044	94.89		110	5.11		2154	2.51		1159	56.70		885	43.30			
Buxton	3	1.22		10	4.08		68	27.76		155	63.27		0	0.00		9	3.67		245	95.70		11	4.30		256	0.30		84	34.29		161	65.71
Christmas Hills	4	3.13		18	14.06		53	41.41		39	30.47		5	3.91		9	7.03		128	97.71		3	2.29		131	0.15		85	66.41		43	33.59
Clonbinane	6	2.60		9	3.90		115	49.78		81	35.06		9	3.90		11	4.76		231	97.06		7	2.94		238	0.28		140	60.61		91	39.39
Craigieburn	111	2.33		140	2.94		2872	60.25		1426	29.91		54	1.13		164	3.44		4767	95.17		242	4.83		5009	5.84		3164	66.37		1603	33.63
Craigieburn South	89	3.65		89	3.65		1480	60.66		665	27.25		20	0.82		97	3.98		2440	95.20		123	4.80		2563	2.99		1678	68.77		762	31.23
Diamond Creek	58	2.13		151	5.54		1023	37.50		1250	45.82		28	1.03		218	7.99		2728	96.60		96	3.40		2824	3.29		1317	48.28		1411	51.72
Diamond Creek East	67	2.58		130	5.01		964	37.15		1279	49.29		26	1.00		129	4.97		2595	96.72		88	3.28		2683	3.13		1180	45.47		1415	54.53
Dixons Creek	7	3.41		12	5.85		41	20.00		129	62.93		3	1.46		13	6.34		205	99.03		2	0.97		207	0.24		61	29.76		144	70.24
Don Valley	10	4.00		8	3.20		74	29.60		146	58.40		1	0.40		11	4.40		250	96.15		10	3.85		260	0.30		94	37.60		156	62.40
Doreen	3	0.70		18	4.20		93	21.68		285	66.43		11	2.56		19	4.43		429	98.39		7	1.61		436	0.51		123	28.67		306	71.33
Eden Park	10	1.85		16	2.96		206	38.08		280	51.76		5	0.92		24	4.44		541	96.78		18	3.22		559	0.65		241	44.55		300	55.45
Eildon	15	2.73		9	1.64		189	34.36		273	49.64		6	1.09		58	10.55		550	97.69		13	2.31		563	0.66		234	42.55		316	57.45
Flowerdale	7	1.91		21	5.72		152	41.42		168	45.78		5	1.36		14	3.81		367	97.09		11	2.91		378	0.44		188	51.23		179	48.77
Gladysdale	11	3.07		23	6.42		131	36.59		175	48.88		5	1.40		13	3.63		358	93.96		23	6.04		381	0.44		163	45.53		195	54.47
Glenburn	20	8.44		14	5.91		62	26.16		129	54.43		3	1.27		9	3.80		237	94.42		14	5.58		251	0.29		89	37.55		148	62.45
Healesville	114	3.37		330	9.77		1273	37.69		1413	41.83		45	1.33		203	6.01		3378	94.99		178	5.01		3556	4.15		1733	51.30		1645	48.70
Hoddles Creek	7	2.23		20	6.37		77	24.52		184	58.60		4	1.27		22	7.01		314	96.02		13	3.98		327	0.38		105	33.44		209	66.56
Hurstbridge	27	1.23		257	11.73		895	40.85		884	40.35		19	0.87		109	4.97		2191	96.60		77	3.40		2268	2.64		1202	54.86		989	45.14
