House of Representatives - 2001 Election: Victoria																																						
First Preference Votes and TCP 																																						
By Candidate by Polling Place																																						

McMillan (85551)																																						
	HOWELL			ROBERTS			FORBES			WALL			FARRAR			# ZAHRA			HOLTMAN			FORMAL			INFORMAL			TOTAL										
	Betty			David			Jim			David			Jenny			Christian			John F												Two Candidate Preferred							
				NP			LP			DEM			GRN			ALP			HAN												 FORBES LP			# ZAHRA ALP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Bona Vista	1	0.51		14	7.14		115	58.67		6	3.06		10	5.10		43	21.94		7	3.57		196	98.49		3	1.51		199	0.24		140	71.43		56	28.57			
Boolarra	4	0.60		37	5.55		233	34.93		23	3.45		56	8.40		289	43.33		25	3.75		667	97.37		18	2.63		685	0.83		294	44.08		373	55.92			
Buln Buln	2	0.53		23	6.10		197	52.25		16	4.24		22	5.84		101	26.79		16	4.24		377	98.43		6	1.57		383	0.47		239	63.40		138	36.60			
Bunyip	12	0.93		22	1.71		659	51.20		51	3.96		46	3.57		451	35.04		46	3.57		1287	95.26		64	4.74		1351	1.65		746	57.96		541	42.04			
Churchill	89	2.97		48	1.60		736	24.54		121	4.03		165	5.50		1691	56.39		149	4.97		2999	96.43		111	3.57		3110	3.79		949	31.64		2050	68.36			
Cloverlea	0	0.00		10	7.19		78	56.12		5	3.60		4	2.88		33	23.74		9	6.47		139	98.58		2	1.42		141	0.17		99	71.22		40	28.78			
Cora Lynn	0	0.00		5	3.60		99	71.22		4	2.88		1	0.72		22	15.83		8	5.76		139	99.29		1	0.71		140	0.17		109	78.42		30	21.58			
Darnum	5	1.43		18	5.14		200	57.14		15	4.29		10	2.86		85	24.29		17	4.86		350	95.11		18	4.89		368	0.45		242	69.14		108	30.86
Drouin	52	1.40		89	2.39		1944	52.30		165	4.44		127	3.42		1181	31.77		159	4.28		3717	96.72		126	3.28		3843	4.68		2259	60.77		1458	39.23
Drouin South	3	0.57		32	6.07		318	60.34		26	4.93		10	1.90		109	20.68		29	5.50		527	96.34		20	3.66		547	0.67		395	74.95		132	25.05
Drouin West	5	1.72		15	5.17		151	52.07		13	4.48		9	3.10		81	27.93		16	5.52		290	97.64		7	2.36		297	0.36		190	65.52		100	34.48
Ellinbank	1	0.35		16	5.54		169	58.48		8	2.77		10	3.46		74	25.61		11	3.81		289	96.01		12	3.99		301	0.37		206	71.28		83	28.72
Erica	5	2.46		10	4.93		59	29.06		3	1.48		14	6.90		93	45.81		19	9.36		203	95.75		9	4.25		212	0.26		88	43.35		115	56.65
Garfield	6	0.92		5	0.77		368	56.44		17	2.61		21	3.22		213	32.67		22	3.37		652	95.60		30	4.40		682	0.83		404	61.96		248	38.04
Hallora	0	0.00		8	10.26		55	70.51		2	2.56		1	1.28		10	12.82		2	2.56		78	93.98		5	6.02		83	0.10		65	83.33		13	16.67
Hazelwood North	6	0.90		42	6.29		273	40.87		26	3.89		20	2.99		277	41.47		24	3.59		668	96.25		26	3.75		694	0.85		346	51.80		322	48.20
Hill End	0	0.00		5	4.24		59	50.00		7	5.93		3	2.54		41	34.75		3	2.54		118	98.33		2	1.67		120	0.15		69	58.47		49	41.53
Iona	0	0.00		5	4.95		57	56.44		4	3.96		2	1.98		33	32.67		0	0.00		101	98.06		2	1.94		103	0.13		63	62.38		38	37.62
Jindivick	6	2.17		12	4.33		137	49.46		6	2.17		23	8.30		83	29.96		10	3.61		277	96.18		11	3.82		288	0.35		167	60.29		110	39.71
Labertouche	3	1.35		10	4.48		126	56.50		6	2.69		6	2.69		65	29.15		7	3.14		223	96.54		8	3.46		231	0.28		142	63.68		81	36.32
Lillico	4	1.56		6	2.34		170	66.41		9	3.52		4	1.56		54	21.09		9	3.52		256	96.24		10	3.76		266	0.32		187	73.05		69	26.95
Longwarry	11	1.53		40	5.56		328	45.62		23	3.20		23	3.20		265	36.86		29	4.03		719	94.23		44	5.77		763	0.93		408	56.75		311	43.25
Maryknoll	2	0.64		7	2.24		167	53.35		12	3.83		14	4.47		102	32.59		9	2.88		313	95.72		14	4.28		327	0.40		193	61.66		120	38.34
Melbourne (McMillan)	1	2.63		0	0.00		12	31.58		4	10.53		6	15.79		15	39.47		0	0.00		38	100.00		0	0.00		38	0.05		14	36.84		24	63.16
Moe	83	2.46		34	1.01		837	24.79		115	3.41		108	3.20		2085	61.76		114	3.38		3376	95.94		143	4.06		3519	4.29		1046	30.98		2330	69.02
Moe Central	29	1.83		24	1.51		286	18.01		63	3.97		33	2.08		1098	69.14		55	3.46		1588	96.71		54	3.29		1642	2.00		379	23.87		1209	76.13
Moe West	11	1.06		16	1.54		258	24.83		51	4.91		34	3.27		619	59.58		50	4.81		1039	95.76		46	4.24		1085	1.32		336	32.34		703	67.66
Morwell	54	3.60		32	2.13		469	31.23		71	4.73		41	2.73		773	51.46		62	4.13		1502	96.41		56	3.59		1558	1.90		594	39.55		908	60.45
Morwell Central	85	2.90		49	1.67		738	25.22		148	5.06		95	3.25		1713	58.54		98	3.35		2926	95.59		135	4.41		3061	3.73		931	31.82		1995	68.18
Morwell Estate	57	2.28		54	2.16		661	26.47		95	3.80		74	2.96		1509	60.43		47	1.88		2497	95.52		117	4.48		2614	3.19		797	31.92		1700	68.08
Morwell North	9	2.05		9	2.05		100	22.73		14	3.18		21	4.77		268	60.91		19	4.32		440	97.56		11	2.44		451	0.55		124	28.18		316	71.82
Nar Nar Goon	5	0.86		17	2.93		310	53.36		22	3.79		12	2.07		197	33.91		18	3.10		581	96.99		18	3.01		599	0.73		347	59.72		234	40.28
Nar Nar Goon North	1	0.38		1	0.38		156	59.32		5	1.90		11	4.18		80	30.42		9	3.42		263	95.99		11	4.01		274	0.33		168	63.88		95	36.12
Narracan	4	2.09		23	12.04		69	36.13		6	3.14		11	5.76		62	32.46		16	8.38		191	97.95		4	2.05		195	0.24		108	56.54		83	43.46
Neerim Junction	5	2.29		5	2.29		118	54.13		7	3.21		13	5.96		63	28.90		7	3.21		218	95.61		10	4.39		228	0.28		133	61.01		85	38.99
Neerim South	8	1.06		24	3.17		405	53.57		26	3.44		31	4.10		236	31.22		26	3.44		756	97.17		22	2.83		778	0.95		472	62.43		284	37.57
Newborough	32	1.40		24	1.05		596	26.08		105	4.60		64	2.80		1405	61.49		59	2.58		2285	96.58		81	3.42		2366	2.88		699	30.59		1586	69.41
Newborough East	20	1.49		9	0.67		270	20.18		46	3.44		29	2.17		927	69.28		37	2.77		1338	97.10		40	2.90		1378	1.68		313	23.39		1025	76.61
