House of Representatives - 2001 Election: Victoria																																			
First Preference Votes and TCP 																																			
By Candidate by Polling Place																																			

Melbourne (95848)																																			
	# TANNER			FERRARI			JOLLY			CURR			FRANTZESKOS			MCKENNA			FORMAL			INFORMAL			TOTAL										
	Lindsay James			James Stephen			Stephen			Pamela			Con			Brent												Two Candidate Preferred							
	ALP									GRN			LP			DEM												# TANNER ALP			 FRANTZESKOS LP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Abbotsford	624	50.32		11	0.89		24	1.94		236	19.03		245	19.76		100	8.06		1240	96.88		40	3.13		1280	1.47		955	77.02		285	22.98			
Ascot Vale	435	75.00		3	0.52		2	0.34		34	5.86		74	12.76		32	5.52		580	93.10		43	6.90		623	0.71		491	84.66		89	15.34			
Ascot Vale Central	1107	54.11		10	0.49		31	1.52		125	6.11		615	30.06		158	7.72		2046	96.01		85	3.99		2131	2.44		1340	65.49		706	34.51			
Ascot Vale East	1061	54.66		19	0.98		25	1.29		199	10.25		503	25.91		134	6.90		1941	94.54		112	5.46		2053	2.35		1366	70.38		575	29.62			
Ascot Vale West	725	51.45		13	0.92		16	1.14		113	8.02		447	31.72		95	6.74		1409	95.59		65	4.41		1474	1.69		904	64.16		505	35.84			
Brunswick East	725	52.61		24	1.74		20	1.45		214	15.53		276	20.03		119	8.64		1378	95.03		72	4.97		1450	1.66		1056	76.63		322	23.37			
Brunswick South	587	58.35		10	0.99		14	1.39		145	14.41		182	18.09		68	6.76		1006	95.81		44	4.19		1050	1.20		789	78.43		217	21.57			
Brunswick South East	591	48.32		11	0.90		13	1.06		251	20.52		247	20.20		110	8.99		1223	96.68		42	3.32		1265	1.45		928	75.88		295	24.12
Brunswick South West	1132	51.50		6	0.27		47	2.14		288	13.10		562	25.57		163	7.42		2198	95.07		114	4.93		2312	2.65		1568	71.34		630	28.66
Carlton	1095	58.68		6	0.32		25	1.34		236	12.65		331	17.74		173	9.27		1866	94.91		100	5.09		1966	2.25		1454	77.92		412	22.08
