House of Representatives - 2001 Election: Victoria																																
First Preference Votes and TCP 																																
By Candidate by Polling Place																																

Menzies (84613)																																
	WATSON			# ANDREWS			GRIFFIN			RYAN			VASILOPOULOS			FORMAL			INFORMAL			TOTAL										
	Barry			Kevin			Brendan			Michael			Olga												Two Candidate Preferred							
	GRN			LP			NGST			DEM			ALP												# ANDREWS LP			 VASILOPOULOS ALP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Beverley Hills	178	6.02		1404	47.50		52	1.76		195	6.60		1127	38.13		2956	95.76		131	4.24		3087	3.82		1574	53.25		1382	46.75			
Bulleen	207	5.87		1518	43.08		49	1.39		179	5.08		1571	44.58		3524	95.40		170	4.60		3694	4.57		1676	47.56		1848	52.44			
Bulleen West	38	4.57		348	41.88		11	1.32		37	4.45		397	47.77		831	95.85		36	4.15		867	1.07		376	45.25		455	54.75			
Donburn	46	4.29		604	56.29		14	1.30		56	5.22		353	32.90		1073	97.19		31	2.81		1104	1.37		649	60.48		424	39.52			
Doncaster	127	4.99		1201	47.23		29	1.14		184	7.24		1002	39.40		2543	95.96		107	4.04		2650	3.28		1334	52.46		1209	47.54			
Doncaster Central	137	4.54		1429	47.33		46	1.52		160	5.30		1247	41.31		3019	96.15		121	3.85		3140	3.89		1551	51.37		1468	48.63			
Doncaster East	191	3.52		2608	48.06		74	1.36		394	7.26		2159	39.79		5426	96.39		203	3.61		5629	6.97		2928	53.96		2498	46.04			
Doncaster Gardens	71	3.98		823	46.11		30	1.68		105	5.88		756	42.35		1785	96.75		60	3.25		1845	2.28		908	50.87		877	49.13
Doncaster Heights	47	3.58		680	51.75		14	1.07		67	5.10		506	38.51		1314	97.05		40	2.95		1354	1.68		721	54.87		593	45.13
Doncaster Park	31	4.29		340	47.03		11	1.52		40	5.53		301	41.63		723	96.79		24	3.21		747	0.92		365	50.48		358	49.52
Doncaster South	63	4.62		667	48.90		8	0.59		90	6.60		536	39.30		1364	97.29		38	2.71		1402	1.74		735	53.89		629	46.11
Doncaster West	107	5.54		822	42.55		17	0.88		105	5.43		881	45.60		1932	95.60		89	4.40		2021	2.50		914	47.31		1018	52.69
Donvale	112	3.35		2140	63.94		30	0.90		235	7.02		830	24.80		3347	97.44		88	2.56		3435	4.25		2342	69.97		1005	30.03
Gumnut Gully	34	3.57		545	57.25		11	1.16		63	6.62		299	31.41		952	97.04		29	2.96		981	1.21		584	61.34		368	38.66
Lower Templestowe	93	5.72		721	44.31		25	1.54		114	7.01		674	41.43		1627	96.79		54	3.21		1681	2.08		827	50.83		800	49.17
Manningham	53	4.03		754	57.29		25	1.90		52	3.95		432	32.83		1316	96.27		51	3.73		1367	1.69		810	61.55		506	38.45
Melbourne (Menzies)	9	10.71		46	54.76		2	2.38		5	5.95		22	26.19		84	92.31		7	7.69		91	0.11		51	60.71		33	39.29
Milgate	101	4.12		1386	56.59		26	1.06		166	6.78		770	31.44		2449	97.34		67	2.66		2516	3.11		1524	62.23		925	37.77
Park Orchards	212	9.64		1353	61.50		18	0.82		151	6.86		466	21.18		2200	97.09		66	2.91		2266	2.80		1504	68.36		696	31.64
Ringwood North (Menzies)	70	7.23		613	63.33		11	1.14		78	8.06		196	20.25		968	98.57		14	1.43		982	1.22		688	71.07		280	28.93
Serpell	130	4.15		1850	59.12		45	1.44		131	4.19		973	31.10		3129	96.43		116	3.57		3245	4.02		1965	62.80		1164	37.20
Templestowe	93	5.29		1025	58.30		13	0.74		112	6.37		515	29.29		1758	96.12		71	3.88		1829	2.26		1120	63.71		638	36.29
Templestowe Heights	322	6.39		2566	50.95		55	1.09		367	7.29		1726	34.27		5036	95.40		243	4.60		5279	6.53		2904	57.66		2132	42.34
Templestowe Park	80	3.02		1607	60.71		27	1.02		224	8.46		709	26.79		2647	96.57		94	3.43		2741	3.39		1772	66.94		875	33.06			
Templestowe Valley	109	6.70		812	49.91		15	0.92		87	5.35		604	37.12		1627	96.62		57	3.38		1684	2.08		894	54.95		733	45.05			
The Pines	57	3.60		942	59.47		20	1.26		78	4.92		487	30.74		1584	96.82		52	3.18		1636	2.02		998	63.01		586	36.99			
Tunstall	80	5.71		728	51.93		19	1.36		67	4.78		508	36.23		1402	96.96		44	3.04		1446	1.79		793	56.56		609	43.44			
Warrandyte	342	13.14		1332	51.19		28	1.08		210	8.07		690	26.52		2602	97.27		73	2.73		2675	3.31		1516	58.26		1086	41.74			
Warrandyte South	38	9.00		264	62.56		9	2.13		23	5.45		88	20.85		422	97.69		10	2.31		432	0.53		292	69.19		130	30.81			
Warranwood	137	6.20		1240	56.08		25	1.13		197	8.91		612	27.68		2211	97.49		57	2.51		2268	2.81		1408	63.68		803	36.32			
Wonga Park	121	6.75		1181	65.90		28	1.56		124	6.92		338	18.86		1792	97.60		44	2.40		1836	2.27		1321	73.72		471	26.28			
Yarraleen	102	5.14		996	50.23		28	1.41		114	5.75		743	37.47		1983	94.70		111	5.30		2094	2.59		1110	55.98		873	44.02			
Special Hospitals	26	3.99		462	70.97		11	1.69		12	1.84		140	21.51		651	94.90		35	5.10		686	0.85		485	74.50		166	25.50			
Total Ordinary	3564	5.38		35007	52.82		826	1.25		4222	6.37		22658	34.19		66277	96.46		2433	3.54		68710	85.04		38639	58.30		27638	41.70			
ABSENT	421	8.88		2384	50.31		154	3.25		476	10.04		1304	27.52		4739	96.28		183	3.72		4922	6.09		2804	59.17		1935	40.83			
POSTAL	116	3.64		2076	65.10		59	1.85		171	5.36		767	24.05		3189	98.52		48	1.48		3237	4.01		2220	69.61		969	30.39			
PRE_POLL	187	5.32		1951	55.46		92	2.62		223	6.34		1065	30.27		3518	97.16		103	2.84		3621	4.48		2148	61.06		1370	38.94			
PROVISIONAL	13	4.55		147	51.40		4	1.40		21	7.34		101	35.31		286	94.39		17	5.61		303	0.38		166	58.04		120	41.96			
Division Summary	4301	5.51		41565	53.28		1135	1.45		5113	6.55		25895	33.19		78009	96.55		2784	3.45		80793	95.49		45977	58.94		32032	41.06			
																													
																													
																													
																													
																													
