House of Representatives - 2001 Election: Victoria																																												
First Preference Votes and TCP 																																												
By Candidate by Polling Place																																												

Moncrieff (89483)																																												
	TOBIAS			CARROLL			# CIOBO			DOUGLAS			CHATTERJEE			ALECKSON			MILLAR			DERRICK			HEPBURN			FORMAL			INFORMAL			TOTAL										
	Josephine			Maurie			Steven			Susie			Victoria			Maxwell A			Lesley			Kari			Dean												Two Candidate Preferred							
	IND			IND			LP			NP			ALP			IND			HAN			DEM			GRN												# CIOBO LP			 CHATTERJEE ALP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Aquinas	12	3.23		2	0.54		167	44.89		52	13.98		83	22.31		3	0.81		18	4.84		20	5.38		15	4.03		372	95.88		16	4.12		388	0.46		248	66.67		124	33.33			
Arundel	149	2.82		26	0.49		2958	55.99		238	4.51		1205	22.81		32	0.61		288	5.45		276	5.22		111	2.10		5283	93.17		387	6.83		5670	6.77		3609	68.31		1674	31.69			
Arundel East	34	3.21		7	0.66		469	44.25		90	8.49		331	31.23		10	0.94		58	5.47		46	4.34		15	1.42		1060	92.58		85	7.42		1145	1.37		633	59.72		427	40.28			
Ashmore	91	2.44		9	0.24		1844	49.53		345	9.27		841	22.59		14	0.38		221	5.94		202	5.43		156	4.19		3723	91.03		367	8.97		4090	4.89		2467	66.26		1256	33.74			
Ashmore West	81	3.33		13	0.53		1140	46.82		199	8.17		646	26.53		11	0.45		153	6.28		104	4.27		88	3.61		2435	94.02		155	5.98		2590	3.09		1532	62.92		903	37.08			
Benowa	100	2.56		13	0.33		2266	57.95		311	7.95		742	18.98		18	0.46		182	4.65		148	3.79		130	3.32		3910	91.12		381	8.88		4291	5.13		2831	72.40		1079	27.60			
Brisbane City (Moncrieff)	0	0.00		0	0.00		33	56.90		5	8.62		10	17.24		0	0.00		0	0.00		5	8.62		5	8.62		58	93.55		4	6.45		62	0.07		40	68.97		18	31.03			
Broadbeach (Moncrieff)	44	2.84		8	0.52		873	56.43		70	4.52		313	20.23		5	0.32		59	3.81		86	5.56		89	5.75		1547	91.43		145	8.57		1692	2.02		1095	70.78		452	29.22
Carrara	27	3.43		3	0.38		392	49.81		66	8.39		187	23.76		1	0.13		52	6.61		34	4.32		25	3.18		787	93.47		55	6.53		842	1.01		519	65.95		268	34.05
Chevron Island	46	2.66		7	0.40		983	56.76		129	7.45		352	20.32		9	0.52		71	4.10		71	4.10		64	3.70		1732	91.21		167	8.79		1899	2.27		1219	70.38		513	29.62
