House of Representatives - 2001 Election: Victoria																																			
First Preference Votes and TCP 																																			
By Candidate by Polling Place																																			

Murray (85651)																																			
	BUSH			# STONE			JONES			HELLEMONS			CALDER			TAYLOR			FORMAL			INFORMAL			TOTAL										
	Simon			Sharman			David			Robert			Alan			Elizabeth Mary												Two Candidate Preferred							
	IND			LP			GRN			HAN			ALP			DEM												# STONE LP			 CALDER ALP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Ardmona	10	2.33		294	68.53		17	3.96		8	1.86		91	21.21		9	2.10		429	97.50		11	2.50		440	0.53		313	72.96		116	27.04			
Ballendella	4	2.45		132	80.98		7	4.29		5	3.07		11	6.75		4	2.45		163	95.88		7	4.12		170	0.21		144	88.34		19	11.66			
Bamawm	5	2.58		160	82.47		5	2.58		1	0.52		16	8.25		7	3.61		194	96.52		7	3.48		201	0.24		166	85.57		28	14.43			
Bamawm Extension	1	0.64		133	84.71		2	1.27		7	4.46		10	6.37		4	2.55		157	97.52		4	2.48		161	0.20		139	88.54		18	11.46			
Barmah	3	1.54		93	47.69		5	2.56		18	9.23		69	35.38		7	3.59		195	97.50		5	2.50		200	0.24		108	55.38		87	44.62			
Boort	13	1.87		519	74.78		10	1.44		28	4.03		107	15.42		17	2.45		694	97.47		18	2.53		712	0.86		555	79.97		139	20.03			
Bunbartha	4	2.45		124	76.07		4	2.45		5	3.07		22	13.50		4	2.45		163	99.39		1	0.61		164	0.20		132	80.98		31	19.02			
Byrneside	10	4.10		195	79.92		4	1.64		11	4.51		20	8.20		4	1.64		244	99.19		2	0.81		246	0.30		214	87.70		30	12.30
Calivil	1	0.69		121	83.45		4	2.76		6	4.14		7	4.83		6	4.14		145	98.64		2	1.36		147	0.18		132	91.03		13	8.97
Cobram	79	2.61		1910	63.16		51	1.69		134	4.43		757	25.03		93	3.08		3024	95.39		146	4.61		3170	3.84		2097	69.35		927	30.65
Cohuna	42	2.18		1466	75.92		20	1.04		66	3.42		313	16.21		24	1.24		1931	96.74		65	3.26		1996	2.42		1561	80.84		370	19.16
Colbinabbin	1	0.40		211	84.74		7	2.81		4	1.61		24	9.64		2	0.80		249	96.51		9	3.49		258	0.31		217	87.15		32	12.85
Congupna	25	5.01		340	68.14		12	2.40		11	2.20		84	16.83		27	5.41		499	95.78		22	4.22		521	0.63		377	75.55		122	24.45
Cooma	1	0.59		152	89.94		0	0.00		6	3.55		6	3.55		4	2.37		169	97.69		4	2.31		173	0.21		160	94.67		9	5.33
Dhurringile	5	3.03		129	78.18		1	0.61		6	3.64		18	10.91		6	3.64		165	98.80		2	1.20		167	0.20		139	84.24		26	15.76
Dingee	4	1.83		168	76.71		4	1.83		18	8.22		21	9.59		4	1.83		219	96.48		8	3.52		227	0.28		190	86.76		29	13.24
Dingwall	1	0.96		85	81.73		4	3.85		10	9.62		4	3.85		0	0.00		104	97.20		3	2.80		107	0.13		95	91.35		9	8.65
Dookie	19	6.67		189	66.32		13	4.56		11	3.86		44	15.44		9	3.16		285	98.62		4	1.38		289	0.35		215	75.44		70	24.56
Echuca	59	2.82		1405	67.26		56	2.68		70	3.35		432	20.68		67	3.21		2089	96.85		68	3.15		2157	2.62		1541	73.77		548	26.23
Echuca Central	21	2.54		584	70.62		27	3.26		21	2.54		151	18.26		23	2.78		827	96.95		26	3.05		853	1.03		630	76.18		197	23.82
Echuca East	80	3.76		1212	56.98		47	2.21		101	4.75		598	28.11		89	4.18		2127	96.51		77	3.49		2204	2.67		1375	64.65		752	35.35
Echuca South	62	3.53		1126	64.05		27	1.54		66	3.75		414	23.55		63	3.58		1758	95.60		81	4.40		1839	2.23		1245	70.82		513	29.18
Echuca Village	13	4.66		214	76.70		3	1.08		12	4.30		32	11.47		5	1.79		279	98.24		5	1.76		284	0.34		235	84.23		44	15.77
Echuca West	21	4.83		330	75.86		4	0.92		23	5.29		49	11.26		8	1.84		435	95.81		19	4.19		454	0.55		367	84.37		68	15.63
Girgarre	12	2.85		339	80.52		6	1.43		14	3.33		41	9.74		9	2.14		421	96.78		14	3.22		435	0.53		361	85.75		60	14.25
Gowrie Street	91	4.16		1296	59.26		55	2.51		80	3.66		599	27.39		66	3.02		2187	95.96		92	4.04		2279	2.76		1459	66.71		728	33.29
Grahamvale	7	3.66		137	71.73		1	0.52		6	3.14		31	16.23		9	4.71		191	96.95		6	3.05		197	0.24		152	79.58		39	20.42
Gunbower	10	2.64		249	65.70		10	2.64		18	4.75		86	22.69		6	1.58		379	95.47		18	4.53		397	0.48		281	74.14		98	25.86
Guthrie Street	42	3.08		977	71.58		29	2.12		33	2.42		242	17.73		42	3.08		1365	97.01		42	2.99		1407	1.71		1055	77.29		310	22.71
Katamatite	10	3.17		239	75.87		4	1.27		15	4.76		43	13.65		4	1.27		315	96.04		13	3.96		328	0.40		266	84.44		49	15.56
Katunga	13	2.81		373	80.74		4	0.87		8	1.73		53	11.47		11	2.38		462	97.88		10	2.12		472	0.57		394	85.28		68	14.72
Kerang	68	3.53		1349	69.97		22	1.14		102	5.29		342	17.74		45	2.33		1928	96.88		62	3.12		1990	2.41		1504	78.01		424	21.99
Kerang North	23	2.67		629	72.89		15	1.74		33	3.82		152	17.61		11	1.27		863	96.97		27	3.03		890	1.08		667	77.29		196	22.71
Kialla	13	2.79		321	68.88		17	3.65		28	6.01		67	14.38		20	4.29		466	97.69		11	2.31		477	0.58		363	77.90		103	22.10
Kialla Park	10	2.00		328	65.47		21	4.19		12	2.40		119	23.75		11	2.20		501	97.09		15	2.91		516	0.63		353	70.46		148	29.54
Kialla West	16	3.62		309	69.91		12	2.71		20	4.52		79	17.87		6	1.36		442	97.57		11	2.43		453	0.55		331	74.89		111	25.11
Knight Street	53	2.71		1323	67.53		44	2.25		56	2.86		391	19.96		92	4.70		1959	95.84		85	4.16		2044	2.48		1439	73.46		520	26.54
Koondrook	27	3.67		513	69.70		8	1.09		34	4.62		145	19.70		9	1.22		736	96.46		27	3.54		763	0.93		561	76.22		175	23.78
Koyuga	3	2.11		112	78.87		1	0.70		9	6.34		16	11.27		1	0.70		142	95.95		6	4.05		148	0.18		118	83.10		24	16.90
Kyabram	63	2.60		1613	66.46		52	2.14		144	5.93		489	20.15		66	2.72		2427	96.20		96	3.80		2523	3.06		1810	74.58		617	25.42
Kyabram West	27	1.80		1082	72.18		35	2.33		53	3.54		268	17.88		34	2.27		1499	96.52		54	3.48		1553	1.88		1169	77.99		330	22.01
Ky Valley	3	1.12		228	85.07		4	1.49		7	2.61		14	5.22		12	4.48		268	95.04		14	4.96		282	0.34		241	89.93		27	10.07
Lake Charm	5	1.98		165	65.22		8	3.16		25	9.88		47	18.58		3	1.19		253	95.83		11	4.17		264	0.32		186	73.52		67	26.48
Lalbert	4	3.17		105	83.33		1	0.79		6	4.76		9	7.14		1	0.79		126	99.21		1	0.79		127	0.15		114	90.48		12	9.52
Lancaster	7	2.11		259	78.25		9	2.72		18	5.44		33	9.97		5	1.51		331	99.10		3	0.90		334	0.40		284	85.80		47	14.20
Leitchville	10	2.00		410	82.16		6	1.20		26	5.21		44	8.82		3	0.60		499	96.52		18	3.48		517	0.63		438	87.78		61	12.22
Lemnos	15	3.94		295	77.43		2	0.52		10	2.62		52	13.65		7	1.84		381	94.54		22	5.46		403	0.49		319	83.73		62	16.27
Lockington	9	1.51		453	75.88		6	1.01		31	5.19		85	14.24		13	2.18		597	96.92		19	3.08		616	0.75		492	82.41		105	17.59
Macorna	1	0.85		103	88.03		1	0.85		3	2.56		6	5.13		3	2.56		117	99.15		1	0.85		118	0.14		110	94.02		7	5.98
Melbourne (Murray)	2	2.82		43	60.56		9	12.68		0	0.00		12	16.90		5	7.04		71	98.61		1	1.39		72	0.09		51	71.83		20	28.17
Merrigum	19	4.10		317	68.47		14	3.02		10	2.16		89	19.22		14	3.02		463	93.91		30	6.09		493	0.60		349	75.38		114	24.62
Mitiamo	3	2.70		74	66.67		0	0.00		8	7.21		25	22.52		1	0.90		111	95.69		5	4.31		116	0.14		81	72.97		30	27.03
Mooroopna	53	3.62		842	57.55		24	1.64		59	4.03		436	29.80		49	3.35		1463	96.63		51	3.37		1514	1.84		931	63.64		532	36.36
