House of Representatives - 2001 Election: Victoria 																																									
First Preference Votes and TCP 																																									
By Candidate by Polling Place																																									

Wannon (82915)																																									
	MCDONALD			PACKER			O'BRIEN			BLAIR			WITNEY			SCHMIDT			# HAWKER			MORROW			FORMAL			INFORMAL			TOTAL										
	Leigh			Amanda Elise			Robert			Gillian			Ricky			Olive			David			Richard												Two Candidate Preferred							
	IND			DEM			IND			GRN			LEF			HAN			LP			ALP												# HAWKER LP			 MORROW ALP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Allansford	9	1.20		24	3.20		17	2.27		38	5.07		8	1.07		20	2.67		434	57.87		200	26.67		750	96.53		27	3.47		777	0.97		480	64.00		270	36.00			
Ararat	73	2.43		63	2.10		13	0.43		69	2.30		38	1.27		88	2.93		1154	38.44		1504	50.10		3002	96.06		123	3.94		3125	3.90		1319	43.94		1683	56.06			
Ararat West	22	1.32		76	4.55		9	0.54		54	3.24		12	0.72		27	1.62		729	43.68		740	44.34		1669	97.03		51	2.97		1720	2.15		829	49.67		840	50.33			
Balmoral	12	3.74		14	4.36		3	0.93		8	2.49		7	2.18		9	2.80		154	47.98		114	35.51		321	96.69		11	3.31		332	0.41		180	56.07		141	43.93			
Beaufort	14	1.21		49	4.24		1	0.09		28	2.42		10	0.87		49	4.24		530	45.85		475	41.09		1156	95.07		60	4.93		1216	1.52		619	53.55		537	46.45			
Bolwarra	9	1.80		14	2.80		7	1.40		12	2.40		4	0.80		15	3.00		251	50.20		188	37.60		500	95.79		22	4.21		522	0.65		280	56.00		220	44.00			
Branxholme	10	4.39		7	3.07		4	1.75		6	2.63		2	0.88		9	3.95		126	55.26		64	28.07		228	97.85		5	2.15		233	0.29		149	65.35		79	34.65			
Buangor	2	1.32		5	3.31		0	0.00		2	1.32		1	0.66		6	3.97		88	58.28		47	31.13		151	98.69		2	1.31		153	0.19		97	64.24		54	35.76
Byaduk	12	10.91		2	1.82		0	0.00		4	3.64		0	0.00		5	4.55		72	65.45		15	13.64		110	96.49		4	3.51		114	0.14		88	80.00		22	20.00
Camperdown	44	1.75		115	4.57		21	0.83		94	3.73		36	1.43		44	1.75		1414	56.18		749	29.76		2517	96.25		98	3.75		2615	3.26		1605	63.77		912	36.23
Cape Clear	2	0.88		5	2.20		2	0.88		2	0.88		1	0.44		12	5.29		116	51.10		87	38.33		227	92.28		19	7.72		246	0.31		130	57.27		97	42.73
Caramut	5	2.34		4	1.87		0	0.00		7	3.27		3	1.40		12	5.61		125	58.41		58	27.10		214	96.83		7	3.17		221	0.28		145	67.76		69	32.24
Carpendeit	5	3.29		2	1.32		1	0.66		5	3.29		0	0.00		10	6.58		98	64.47		31	20.39		152	94.41		9	5.59		161	0.20		116	76.32		36	23.68
Casterton	45	2.76		37	2.27		11	0.67		32	1.96		15	0.92		47	2.88		854	52.39		589	36.13		1630	94.71		91	5.29		1721	2.15		959	58.83		671	41.17
Cavendish	15	4.52		2	0.60		5	1.51		8	2.41		6	1.81		10	3.01		214	64.46		72	21.69		332	95.95		14	4.05		346	0.43		245	73.80		87	26.20
Cobden	20	1.37		29	1.99		11	0.75		37	2.53		17	1.16		39	2.67		966	66.16		341	23.36		1460	94.38		87	5.62		1547	1.93		1060	72.60		400	27.40
Coleraine	28	3.01		18	1.93		4	0.43		19	2.04		11	1.18		23	2.47		453	48.66		375	40.28		931	95.00		49	5.00		980	1.22		512	54.99		419	45.01
Condah	8	4.97		0	0.00		1	0.62		2	1.24		2	1.24		6	3.73		101	62.73		41	25.47		161	95.27		8	4.73		169	0.21		112	69.57		49	30.43
Dartmoor	7	2.09		7	2.09		0	0.00		6	1.79		3	0.90		26	7.76		167	49.85		119	35.52		335	94.37		20	5.63		355	0.44		196	58.51		139	41.49
Dergholm	2	2.00		3	3.00		0	0.00		0	0.00		0	0.00		6	6.00		73	73.00		16	16.00		100	96.15		4	3.85		104	0.13		79	79.00		21	21.00
Derrinallum	6	1.47		6	1.47		2	0.49		12	2.93		6	1.47		16	3.91		256	62.59		105	25.67		409	96.46		15	3.54		424	0.53		288	70.42		121	29.58
Dunkeld	25	5.31		19	4.03		4	0.85		19	4.03		2	0.42		14	2.97		273	57.96		115	24.42		471	97.11		14	2.89		485	0.61		309	65.61		162	34.39
Ecklin South	5	2.08		2	0.83		3	1.25		3	1.25		2	0.83		9	3.75		198	82.50		18	7.50		240	97.17		7	2.83		247	0.31		213	88.75		27	11.25
Elmhurst	7	5.51		1	0.79		1	0.79		2	1.57		1	0.79		4	3.15		71	55.91		40	31.50		127	96.21		5	3.79		132	0.16		82	64.57		45	35.43
Glenthompson	8	3.62		3	1.36		1	0.45		6	2.71		3	1.36		6	2.71		121	54.75		73	33.03		221	95.26		11	4.74		232	0.29		138	62.44		83	37.56
Hamilton	146	4.56		92	2.87		29	0.90		86	2.68		45	1.40		77	2.40		1569	48.95		1161	36.22		3205	96.62		112	3.38		3317	4.14		1837	57.32		1368	42.68
Hamilton Central	6	2.01		10	3.34		2	0.67		12	4.01		0	0.00		4	1.34		180	60.20		85	28.43		299	99.01		3	0.99		302	0.38		199	66.56		100	33.44
Hamilton East	33	5.18		14	2.20		3	0.47		12	1.88		3	0.47		17	2.67		309	48.51		246	38.62		637	96.66		22	3.34		659	0.82		351	55.10		286	44.90
Hamilton North	40	8.40		20	4.20		5	1.05		7	1.47		6	1.26		12	2.52		207	43.49		179	37.61		476	95.58		22	4.42		498	0.62		260	54.62		216	45.38
Hawkesdale	7	2.15		4	1.23		4	1.23		10	3.08		11	3.38		13	4.00		210	64.62		66	20.31		325	96.73		11	3.27		336	0.42		233	71.69		92	28.31
Heywood	57	4.60		19	1.53		8	0.65		16	1.29		20	1.61		36	2.91		654	52.78		429	34.62		1239	95.38		60	4.62		1299	1.62		736	59.40		503	40.60
Kennedy Street	34	2.28		40	2.68		9	0.60		55	3.69		16	1.07		46	3.08		602	40.35		690	46.25		1492	94.37		89	5.63		1581	1.97		699	46.85		793	53.15
Kings College	17	1.26		30	2.22		22	1.63		56	4.15		18	1.33		26	1.92		809	59.88		373	27.61		1351	96.57		48	3.43		1399	1.75		894	66.17		457	33.83
Koroit	23	1.57		50	3.41		18	1.23		66	4.50		51	3.48		40	2.73		760	51.84		458	31.24		1466	94.95		78	5.05		1544	1.93		867	59.14		599	40.86
