House of Representatives - 2001 Election: Victoria																																			
First Preference Votes and TCP																																			
By Candidate by Polling Place																																			

Wills (88553)																																			
	ISHERWOOD			GLANZ			DI NATALE			# THOMSON		VALASINAVICIUS				STONE			FORMAL			INFORMAL			TOTAL										
	Craig			David			Richard			Kelvin			Vytautas Charles			Robert												Two Candidate Preferred							
	CEC						GRN			ALP			LP			DEM												# THOMSON ALP			 VALASINAVICIUS LP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Anstey	12	1.43		20	2.38		186	22.17		418	49.82		131	15.61		72	8.58		839	96.22		33	3.78		872	1.05		677	80.69		162	19.31			
Brunswick North	67	1.75		95	2.48		492	12.83		2267	59.10		623	16.24		292	7.61		3836	95.23		192	4.77		4028	4.86		3060	79.77		776	20.23			
Brunswick North East	28	1.47		35	1.84		413	21.73		997	52.45		308	16.20		120	6.31		1901	94.77		105	5.23		2006	2.42		1544	81.22		357	18.78			
Brunswick North West	17	1.42		33	2.76		163	13.62		652	54.47		257	21.47		75	6.27		1197	93.66		81	6.34		1278	1.54		895	74.77		302	25.23			
Coburg	51	2.49		43	2.10		168	8.21		1293	63.17		393	19.20		99	4.84		2047	94.11		128	5.89		2175	2.62		1582	77.28		465	22.72			
Coburg East	40	2.08		25	1.30		233	12.14		1096	57.08		444	23.13		82	4.27		1920	92.22		162	7.78		2082	2.51		1421	74.01		499	25.99			
Coburg North	64	2.27		47	1.67		231	8.19		1789	63.44		541	19.18		148	5.25		2820	93.94		182	6.06		3002	3.62		2195	77.84		625	22.16			
Coburg South	10	1.52		10	1.52		47	7.15		422	64.23		141	21.46		27	4.11		657	94.26		40	5.74		697	0.84		496	75.49		161	24.51
Coburg West	71	1.96		41	1.13		389	10.73		2047	56.45		774	21.35		304	8.38		3626	95.02		190	4.98		3816	4.60		2700	74.46		926	25.54
Essendon (Wills)	4	0.33		11	0.91		90	7.43		529	43.65		508	41.91		70	5.78		1212	95.36		59	4.64		1271	1.53		640	52.81		572	47.19
Essendon North	14	1.21		5	0.43		56	4.85		535	46.32		462	40.00		83	7.19		1155	95.38		56	4.62		1211	1.46		641	55.50		514	44.50
Essendon South	28	0.97		16	0.56		246	8.56		1274	44.33		1069	37.20		241	8.39		2874	96.44		106	3.56		2980	3.60		1649	57.38		1225	42.62
Fawkner East	42	2.17		26	1.34		88	4.55		1376	71.15		340	17.58		62	3.21		1934	93.34		138	6.66		2072	2.50		1540	79.63		394	20.37
Fawkner North	56	2.10		27	1.01		143	5.36		1826	68.44		520	19.49		96	3.60		2668	91.87		236	8.13		2904	3.50		2074	77.74		594	22.26
Gaffney	5	1.00		16	3.20		15	3.00		273	54.60		166	33.20		25	5.00		500	95.79		22	4.21		522	0.63		318	63.60		182	36.40
Glenbervie	6	0.69		4	0.46		60	6.90		403	46.32		347	39.89		50	5.75		870	95.71		39	4.29		909	1.10		492	56.55		378	43.45
Glenroy	15	1.02		31	2.12		53	3.62		865	59.04		424	28.94		77	5.26		1465	94.15		91	5.85		1556	1.88		998	68.12		467	31.88
Glenroy Central	32	1.84		27	1.55		63	3.62		1052	60.43		475	27.28		92	5.28		1741	93.25		126	6.75		1867	2.25		1212	69.62		529	30.38
Glenroy East	43	2.08		35	1.69		47	2.27		1306	63.03		507	24.47		134	6.47		2072	93.67		140	6.33		2212	2.67		1495	72.15		577	27.85
Glenroy North	31	1.84		22	1.30		55	3.26		1232	72.99		295	17.48		53	3.14		1688	91.84		150	8.16		1838	2.22		1350	79.98		338	20.02
Gowrie Park	36	2.53		27	1.90		51	3.58		986	69.24		280	19.66		44	3.09		1424	93.25		103	6.75		1527	1.84		1108	77.81		316	22.19
Hadfield	21	1.74		15	1.24		45	3.73		787	65.20		291	24.11		48	3.98		1207	94.22		74	5.78		1281	1.55		875	72.49		332	27.51
Lake Park	2	0.58		3	0.86		13	3.75		256	73.78		63	18.16		10	2.88		347	94.04		22	5.96		369	0.45		278	80.12		69	19.88
Melbourne (Wills)	5	4.55		2	1.82		16	14.55		49	44.55		23	20.91		15	13.64		110	89.43		13	10.57		123	0.15		77	70.00		33	30.00
Melville	7	0.78		18	2.01		96	10.71		519	57.92		208	23.21		48	5.36		896	95.93		38	4.07		934	1.13		649	72.43		247	27.57
Merlynston	28	2.73		4	0.39		36	3.51		662	64.59		252	24.59		43	4.20		1025	93.52		71	6.48		1096	1.32		747	72.88		278	27.12
Mitchell	22	1.51		31	2.12		185	12.67		877	60.07		263	18.01		82	5.62		1460	94.38		87	5.62		1547	1.87		1144	78.36		316	21.64
Moomba Park	50	2.79		29	1.62		58	3.23		1146	63.92		444	24.76		66	3.68		1793	92.66		142	7.34		1935	2.33		1301	72.56		492	27.44
Moonee Ponds North	30	1.40		11	0.51		182	8.50		1074	50.14		635	29.65		210	9.80		2142	95.92		91	4.08		2233	2.69		1411	65.87		731	34.13
Moreland	36	1.72		27	1.29		281	13.41		1229	58.64		428	20.42		95	4.53		2096	94.50		122	5.50		2218	2.68		1609	76.77		487	23.23
Pascoe Vale	46	1.21		37	0.98		121	3.19		2174	57.30		1098	28.94		318	8.38		3794	94.71		212	5.29		4006	4.83		2552	67.26		1242	32.74
Pascoe Vale Central	9	1.09		8	0.97		39	4.74		478	58.15		240	29.20		48	5.84		822	96.59		29	3.41		851	1.03		560	68.13		262	31.87
Pascoe Vale North	42	1.85		31	1.37		118	5.20		1379	60.78		574	25.30		125	5.51		2269	93.49		158	6.51		2427	2.93		1623	71.53		646	28.47
Pascoe Vale South	32	1.06		23	0.77		219	7.29		1609	53.53		890	29.61		233	7.75		3006	95.95		127	4.05		3133	3.78		1983	65.97		1023	34.03
Pascoe Vale West	24	1.61		17	1.14		55	3.69		843	56.54		497	33.33		55	3.69		1491	94.67		84	5.33		1575	1.90		947	63.51		544	36.49
Strathmore	21	0.78		13	0.48		129	4.79		1048	38.94		1259	46.79		221	8.21		2691	97.18		78	2.82		2769	3.34		1314	48.83		1377	51.17
Strathmore North	19	0.94		10	0.49		76	3.74		1012	49.85		816	40.20		97	4.78		2030	95.35		99	4.65		2129	2.57		1155	56.90		875	43.10
Strathmore South	5	0.62		1	0.12		44	5.42		306	37.68		393	48.40		63	7.76		812	97.25		23	2.75		835	1.01		385	47.41		427	52.59
Special Hospitals	1	7.14		1	7.14		0	0.00		6	42.86		6	42.86		0	0.00		14	93.33		1	6.67		15	0.02		7	50.00		7	50.00
Total Ordinary	1072	1.61		877	1.32		5002	7.53		38092	57.32		17385	26.16		4023	6.05		66451	94.52		3850	5.48		70301	84.83		46704	70.28		19747	29.72			
ABSENT	174	3.24		98	1.82		671	12.49		2396	44.61		1449	26.98		583	10.85		5371	95.65		244	4.35		5615	6.78		3566	66.39		1805	33.61			
POSTAL	33	1.20		20	0.73		103	3.75		1447	52.73		974	35.50		167	6.09		2744	98.11		53	1.89		2797	3.38		1665	60.68		1079	39.32			
