House of Representatives - 2001 Election: Victoria							
Swing to ALP							
By Division by Polling Place						
							
Aston							
							
Polling Place	Formal	BOLAND		PEARCE		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Bayswater	2460	1298	52.76	1162	47.24	-0.59	
Bayswater South	1252	601	48.00	651	52.00	-2.25	
Bayswater West	1858	870	46.82	988	53.18	-2.05	
Blackwood Park	1417	648	45.73	769	54.27	-4.71	
Charlesworth Park	3332	1407	42.23	1925	57.77	0.76	
Eastmont	1722	704	40.88	1018	59.12	-4.27	
Flamingo	2142	824	38.47	1318	61.53	-2.64	
Heany Park	3959	1735	43.82	2224	56.18	1.49	
Heathmont (Aston)	834	338	40.53	496	59.47	-1.35
Heathmont East	1126	452	40.14	674	59.86	-2.77
Heathmont High	1491	625	41.92	866	58.08	0.09
Karoo	2199	969	44.07	1230	55.93	-1.78
Knox Gardens	3026	1310	43.29	1716	56.71	-0.72
Knoxfield	3143	1516	48.23	1627	51.77	-1.99
Knoxfield North	1464	642	43.85	822	56.15	-4.10
Lysterfield	1610	607	37.70	1003	62.30	-1.44
Melbourne (Aston)	48	21	43.75	27	56.25	-15.51
Morack	2243	903	40.26	1340	59.74	-0.32
Mountain Gate	3478	1680	48.30	1798	51.70	-2.89
Park Ridge	2186	986	45.11	1200	54.89	-0.39
Parkmore	2544	1259	49.49	1285	50.51	-2.99
Rowville	4292	1908	44.45	2384	55.55	-2.02
Rowville East	3194	1423	44.55	1771	55.45	-2.13
Scoresby	2959	1383	46.74	1576	53.26	-3.89
Scoresby East	1156	458	39.62	698	60.38	-10.13	
Special Hospital Team 1	76	21	27.63	55	72.37	-19.27	
Special Hospital Team 2	82	18	21.95	64	78.05	-6.43	
Special Hospital Team 3	92	35	38.04	57	61.96	-	
Studfield East	2897	1432	49.43	1465	50.57	-1.71	
Templeton	1897	891	46.97	1006	53.03	-3.61	
Vermont	834	353	42.33	481	57.67	0.42	
Wantirna	2053	858	41.79	1195	58.21	-5.44	
Wantirna Heights	1267	534	42.15	733	57.85	-4.58	
Wantirna High	3212	1326	41.28	1886	58.72	-1.01	
Wantirna South	2382	1021	42.86	1361	57.14	-0.92	
Weeden Heights	2506	1017	40.58	1489	59.42	-1.51	
