Senate - 2001 Election: Victoria																																																																																																																																																																																																																																																											
 First Preference Votes by Candidate																																																																																																																																																																																																																																																											
By Polling Place																																																																																																																																																																																																																																																											
Ballarat (85877)																																																																																																																																																																																																																																																											

		   	 A liberals for forests												 B Democratic Labor Party (DLP) of Australia																					 C Phil Cleary - Independent Australia												 D Citizens Electoral Council of Australia												 E 												 F 												 G Pauline Hanson's One Nation												 H Liberal/National Party																								 I Unity - Say No To Hanson															 J 												 K Australian Labor Party (Victorian Branch)																	 L Christian Democratic Party (Fred Nile Group)												 M Australian Democrats																		 N 												 O Hope Party Australia												 P Australian Greens																		 Q 															
	    		TICKET VOTES			PATHY			LUGG			Group Total			TICKET VOTES			MULHOLLAND			CREA			KING			MAURUS			WELLS			Group Total			TICKET VOTES			CLEARY			ZOMBOLAS			Group Total			TICKET VOTES			ISHERWOOD			BARWICK			Group Total			TICKET VOTES			TOSCANO			REGHENZANI			Group Total			TICKET VOTES			RASKOVY			KENNEDY			Group Total			TICKET VOTES			SPENCER			MCINTYRE			Group Total			TICKET VOTES			# ALSTON			# KEMP			# PATTERSON			HAWKER			DE MARCHI			TRAN			Group Total			TICKET VOTES			LEE			WOLOWSKI			COPE			Group Total			TICKET VOTES			BAKER			BARBER			Group Total			TICKET VOTES			# RAY			# MARSHALL		MURPHY			CHONG			Group Total			TICKET VOTES			GRAHAM			JAGO			Group Total			TICKET VOTES			# ALLISON			HARCOURT			WARK			ALESICH			Group Total			TICKET VOTES			DAVIS			BROCAS			Group Total			TICKET VOTES			PETHERBRIDGE			POYNTON			Group Total			TICKET VOTES			KINNEAR			MULLANE			MATHEW			CONOR			Group Total			TICKET VOTES			THORNE			PEART			DEWBERRY			Group Total			
	    					Suresh			John									John			Pat			Gail			Rosemary			Ken									Phil			Eileen									Noelene			Robert									Joseph			Stephen									Steve			Elizabeth									Robyn			Neville									Richard Kenneth Robert			Rod			Kay			Tim			Dino			Duc-Dung									Wellington			Diana			Bill									A.T.			Pam									Robert			Gavin		Ted			Robert									Murray			Arnold Hartley									Lyn			Pierre			David			Simone									Craig			Donna									Tim			Lee-anne									Scott			Eleisha			Dinesh			Liz									Alison			Sarah			Tony						
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		
	Alfredton		11	2.00		0	0.00		0	0.00		11	2.00		7	1.27		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		7	1.27		0	0.00		1	0.18		0	0.00		1	0.18		0	0.00		0	0.00		0	0.00		0	0.00		1	0.18		0	0.00		0	0.00		1	0.18		0	0.00		0	0.00		0	0.00		0	0.00		11	2.00		1	0.18		0	0.00		12	2.18		268	48.64		4	0.73		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		272	49.36		1	0.18		0	0.00		0	0.00		0	0.00		1	0.18		0	0.00		0	0.00		0	0.00		0	0.00		186	33.76		2	0.36		0	0.00	0	0.00		0	0.00		188	34.12		13	2.36		1	0.18		0	0.00		14	2.54		28	5.08		1	0.18		0	0.00		0	0.00		0	0.00		29	5.26		0	0.00		0	0.00		0	0.00		0	0.00		1	0.18		0	0.00		0	0.00		1	0.18		11	2.00		3	0.54		0	0.00		0	0.00		0	0.00		14	2.54		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		
	Alfredton West		42	1.84		2	0.09		0	0.00		44	1.93		20	0.88		1	0.04		0	0.00		0	0.00		0	0.00		0	0.00		21	0.92		9	0.40		4	0.18		0	0.00		13	0.57		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.04		0	0.00		1	0.04		2	0.09		0	0.00		0	0.00		2	0.09		30	1.32		3	0.13		0	0.00		33	1.45		1278	56.13		13	0.57		0	0.00		1	0.04		0	0.00		1	0.04		0	0.00		1293	56.79		3	0.13		1	0.04		0	0.00		0	0.00		4	0.18		0	0.00		0	0.00		0	0.00		0	0.00		608	26.70		8	0.35		1	0.04	1	0.04		0	0.00		618	27.14		8	0.35		1	0.04		1	0.04		10	0.44		145	6.37		7	0.31		0	0.00		0	0.00		0	0.00		152	6.68		0	0.00		0	0.00		0	0.00		0	0.00		1	0.04		0	0.00		0	0.00		1	0.04		80	3.51		4	0.18		0	0.00		0	0.00		0	0.00		84	3.69		1	0.04		0	0.00		0	0.00		0	0.00		1	0.04		
	Amphitheatre		3	1.67		1	0.56		0	0.00		4	2.22		1	0.56		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.56		2	1.11		1	0.56		0	0.00		3	1.67		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		12	6.67		0	0.00		0	0.00		12	6.67		105	58.33		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		105	58.33		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		35	19.44		1	0.56		1	0.56	0	0.00		0	0.00		37	20.56		0	0.00		0	0.00		0	0.00		0	0.00		7	3.89		0	0.00		0	0.00		0	0.00		0	0.00		7	3.89		0	0.00		0	0.00		0	0.00		0	0.00		1	0.56		0	0.00		0	0.00		1	0.56		9	5.00		1	0.56		0	0.00		0	0.00		0	0.00		10	5.56		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		
	Ascot		2	1.26		1	0.63		0	0.00		3	1.89		6	3.77		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		6	3.77		2	1.26		1	0.63		0	0.00		3	1.89		0	0.00		0	0.00		0	0.00		0	0.00		1	0.63		0	0.00		0	0.00		1	0.63		0	0.00		0	0.00		0	0.00		0	0.00		5	3.14		0	0.00		0	0.00		5	3.14		106	66.67		1	0.63		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		107	67.30		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		15	9.43		0	0.00		0	0.00	1	0.63		0	0.00		16	10.06		2	1.26		0	0.00		0	0.00		2	1.26		5	3.14		2	1.26		0	0.00		0	0.00		0	0.00		7	4.40		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		8	5.03		1	0.63		0	0.00		0	0.00		0	0.00		9	5.66		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		
	Avoca		19	2.38		1	0.13		0	0.00		20	2.50		18	2.25		0	0.00		0	0.00		1	0.13		0	0.00		0	0.00		19	2.38		5	0.63		3	0.38		0	0.00		8	1.00		0	0.00		1	0.13		0	0.00		1	0.13		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		32	4.00		7	0.88		1	0.13		40	5.00		360	45.00		5	0.63		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		365	45.63		2	0.25		0	0.00		0	0.00		1	0.13		3	0.38		0	0.00		0	0.00		0	0.00		0	0.00		282	35.25		6	0.75		0	0.00	0	0.00		0	0.00		288	36.00		0	0.00		1	0.13		0	0.00		1	0.13		23	2.88		2	0.25		0	0.00		0	0.00		0	0.00		25	3.13		0	0.00		0	0.00		0	0.00		0	0.00		1	0.13		0	0.00		0	0.00		1	0.13		26	3.25		3	0.38		0	0.00		0	0.00		0	0.00		29	3.63		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		
	Ballan		29	1.82		2	0.13		0	0.00		31	1.94		45	2.82		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		45	2.82		13	0.81		4	0.25		0	0.00		17	1.07		1	0.06		0	0.00		0	0.00		1	0.06		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		62	3.88		3	0.19		0	0.00		65	4.07		582	36.47		5	0.31		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		587	36.78		5	0.31		0	0.00		0	0.00		0	0.00		5	0.31		3	0.19		0	0.00		0	0.00		3	0.19		620	38.85		4	0.25		0	0.00	1	0.06		0	0.00		625	39.16		10	0.63		1	0.06		0	0.00		11	0.69		86	5.39		5	0.31		0	0.00		0	0.00		1	0.06		92	5.76		0	0.00		0	0.00		0	0.00		0	0.00		2	0.13		0	0.00		0	0.00		2	0.13		104	6.52		8	0.50		0	0.00		0	0.00		0	0.00		112	7.02		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		
	Ballarat		27	1.67		5	0.31		0	0.00		32	1.98		31	1.92		1	0.06		0	0.00		1	0.06		0	0.00		0	0.00		33	2.04		18	1.11		4	0.25		0	0.00		22	1.36		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		23	1.42		3	0.19		0	0.00		26	1.61		596	36.84		11	0.68		0	0.00		1	0.06		3	0.19		0	0.00		0	0.00		611	37.76		3	0.19		0	0.00		0	0.00		0	0.00		3	0.19		2	0.12		0	0.00		0	0.00		2	0.12		531	32.82		5	0.31		1	0.06	1	0.06		0	0.00		538	33.25		11	0.68		2	0.12		0	0.00		13	0.80		153	9.46		8	0.49		0	0.00		0	0.00		2	0.12		163	10.07		0	0.00		0	0.00		0	0.00		0	0.00		6	0.37		0	0.00		0	0.00		6	0.37		152	9.39		16	0.99		0	0.00		0	0.00		0	0.00		168	10.38		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		
	Ballarat North		52	2.02		1	0.04		0	0.00		53	2.06		43	1.67		2	0.08		1	0.04		1	0.04		0	0.00		0	0.00		47	1.82		27	1.05		1	0.04		0	0.00		28	1.09		3	0.12		0	0.00		0	0.00		3	0.12		1	0.04		0	0.00		0	0.00		1	0.04		0	0.00		0	0.00		0	0.00		0	0.00		39	1.51		2	0.08		1	0.04		42	1.63		1129	43.81		19	0.74		0	0.00		0	0.00		2	0.08		0	0.00		0	0.00		1150	44.63		6	0.23		0	0.00		0	0.00		0	0.00		6	0.23		2	0.08		2	0.08		0	0.00		4	0.16		951	36.90		8	0.31		1	0.04	0	0.00		0	0.00		960	37.25		6	0.23		4	0.16		1	0.04		11	0.43		148	5.74		8	0.31		0	0.00		0	0.00		0	0.00		156	6.05		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		90	3.49		21	0.81		1	0.04		1	0.04		2	0.08		115	4.46		1	0.04		0	0.00		0	0.00		0	0.00		1	0.04	
	Ballarat North West		25	1.39		2	0.11		0	0.00		27	1.50		20	1.11		1	0.06		0	0.00		0	0.00		0	0.00		0	0.00		21	1.17		21	1.17		13	0.72		0	0.00		34	1.89		2	0.11		1	0.06		0	0.00		3	0.17		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		18	1.00		4	0.22		0	0.00		22	1.22		964	53.53		9	0.50		0	0.00		3	0.17		0	0.00		0	0.00		2	0.11		978	54.30		2	0.11		0	0.00		0	0.00		0	0.00		2	0.11		0	0.00		0	0.00		0	0.00		0	0.00		391	21.71		11	0.61		1	0.06	1	0.06		1	0.06		405	22.49		10	0.56		2	0.11		0	0.00		12	0.67		120	6.66		15	0.83		1	0.06		0	0.00		1	0.06		137	7.61		0	0.00		0	0.00		0	0.00		0	0.00		2	0.11		0	0.00		0	0.00		2	0.11		136	7.55		20	1.11		1	0.06		0	0.00		1	0.06		158	8.77		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00	
	Ballarat South		27	2.14		3	0.24		0	0.00		30	2.38		31	2.46		1	0.08		0	0.00		0	0.00		0	0.00		0	0.00		32	2.54		13	1.03		6	0.48		0	0.00		19	1.51		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.08		0	0.00		0	0.00		1	0.08		38	3.02		1	0.08		0	0.00		39	3.10		418	33.20		7	0.56		0	0.00		0	0.00		1	0.08		0	0.00		0	0.00		426	33.84		7	0.56		0	0.00		0	0.00		0	0.00		7	0.56		1	0.08		0	0.00		0	0.00		1	0.08		560	44.48		3	0.24		0	0.00	0	0.00		0	0.00		563	44.72		4	0.32		2	0.16		0	0.00		6	0.48		60	4.77		3	0.24		0	0.00		0	0.00		0	0.00		63	5.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.08		0	0.00		0	0.00		1	0.08		65	5.16		5	0.40		0	0.00		0	0.00		0	0.00		70	5.56		1	0.08		0	0.00		0	0.00		0	0.00		1	0.08	
