Senate - 2001 Election: Victoria																																																																																																																																																																																																																																																												
First Preference Votes by Candidate																																																																																																																																																																																																																																																												
 By Polling Place																																																																																																																																																																																																																																																												
Bendigo (88150)																																																																																																																																																																																																																																																												

		   	 A liberals for forests												 B Democratic Labor Party (DLP) of Australia																					 C Phil Cleary - Independent Australia												 D Citizens Electoral Council of Australia												 E 												 F 												 G Pauline Hanson's One Nation												 H Liberal/National Party																								 I Unity - Say No To Hanson															 J 												 K Australian Labor Party (Victorian Branch)																		 L Christian Democratic Party (Fred Nile Group)												 M Australian Democrats																		 N 												 O Hope Party Australia												 P Australian Greens																		 Q 															
	    		TICKET VOTES			PATHY			LUGG			Group Total			TICKET VOTES			MULHOLLAND			CREA			KING			MAURUS			WELLS			Group Total			TICKET VOTES			CLEARY			ZOMBOLAS			Group Total			TICKET VOTES			ISHERWOOD			BARWICK			Group Total			TICKET VOTES			TOSCANO			REGHENZANI			Group Total			TICKET VOTES			RASKOVY			KENNEDY			Group Total			TICKET VOTES			SPENCER			MCINTYRE			Group Total			TICKET VOTES			# ALSTON			# KEMP			# PATTERSON			HAWKER			DE MARCHI			TRAN			Group Total			TICKET VOTES			LEE			WOLOWSKI			COPE			Group Total			TICKET VOTES			BAKER			BARBER			Group Total			TICKET VOTES			# RAY			# MARSHALL			MURPHY			CHONG			Group Total			TICKET VOTES			GRAHAM			JAGO			Group Total			TICKET VOTES			# ALLISON			HARCOURT			WARK			ALESICH			Group Total			TICKET VOTES			DAVIS			BROCAS			Group Total			TICKET VOTES			PETHERBRIDGE			POYNTON			Group Total			TICKET VOTES			KINNEAR			MULLANE			MATHEW			CONOR			Group Total			TICKET VOTES			THORNE			PEART			DEWBERRY			Group Total			
	    					Suresh			John									John			Pat			Gail			Rosemary			Ken									Phil			Eileen									Noelene			Robert									Joseph			Stephen									Steve			Elizabeth									Robyn			Neville									Richard Kenneth Robert			Rod			Kay			Tim			Dino			Duc-Dung									Wellington			Diana			Bill									A.T.			Pam									Robert			Gavin			Ted			Robert									Murray			Arnold Hartley									Lyn			Pierre			David			Simone									Craig			Donna									Tim			Lee-anne									Scott			Eleisha			Dinesh			Liz									Alison			Sarah			Tony						
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		
	Axedale		10	1.85		0	0.00		0	0.00		10	1.85		9	1.66		1	0.18		0	0.00		0	0.00		0	0.00		0	0.00		10	1.85		11	2.03		1	0.18		0	0.00		12	2.21		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		20	3.69		2	0.37		0	0.00		22	4.06		274	50.55		2	0.37		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		276	50.92		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.37		1	0.18		0	0.00		3	0.55		151	27.86		2	0.37		0	0.00		0	0.00		0	0.00		153	28.23		7	1.29		0	0.00		1	0.18		8	1.48		27	4.98		0	0.00		0	0.00		0	0.00		0	0.00		27	4.98		0	0.00		0	0.00		0	0.00		0	0.00		1	0.18		0	0.00		0	0.00		1	0.18		18	3.32		2	0.37		0	0.00		0	0.00		0	0.00		20	3.69		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		
	Bealiba		1	0.54		0	0.00		0	0.00		1	0.54		4	2.15		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	2.15		2	1.08		0	0.00		0	0.00		2	1.08		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		17	9.14		1	0.54		0	0.00		18	9.68		92	49.46		1	0.54		0	0.00		0	0.00		0	0.00		0	0.00		1	0.54		94	50.54		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		54	29.03		1	0.54		0	0.00		0	0.00		0	0.00		55	29.57		0	0.00		0	0.00		0	0.00		0	0.00		4	2.15		0	0.00		0	0.00		0	0.00		0	0.00		4	2.15		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	2.15		3	1.61		0	0.00		0	0.00		1	0.54		8	4.30		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		
	Bendigo Base Hospital		9	3.61		0	0.00		0	0.00		9	3.61		7	2.81		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		7	2.81		3	1.20		1	0.40		0	0.00		4	1.61		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		5	2.01		0	0.00		0	0.00		5	2.01		83	33.33		2	0.80		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		85	34.14		2	0.80		0	0.00		0	0.00		0	0.00		2	0.80		0	0.00		0	0.00		0	0.00		0	0.00		94	37.75		1	0.40		0	0.00		0	0.00		0	0.00		95	38.15		6	2.41		0	0.00		0	0.00		6	2.41		17	6.83		2	0.80		0	0.00		0	0.00		0	0.00		19	7.63		0	0.00		0	0.00		0	0.00		0	0.00		15	6.02		0	0.00		0	0.00		15	6.02		0	0.00		2	0.80		0	0.00		0	0.00		0	0.00		2	0.80		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		
	Bendigo Central		30	1.60		2	0.11		1	0.05		33	1.76		26	1.39		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		26	1.39		23	1.23		5	0.27		0	0.00		28	1.50		0	0.00		0	0.00		0	0.00		0	0.00		2	0.11		0	0.00		0	0.00		2	0.11		1	0.05		0	0.00		0	0.00		1	0.05		36	1.92		2	0.11		0	0.00		38	2.03		687	36.70		7	0.37		1	0.05		2	0.11		0	0.00		0	0.00		0	0.00		697	37.23		3	0.16		0	0.00		0	0.00		0	0.00		3	0.16		4	0.21		0	0.00		1	0.05		5	0.27		599	32.00		4	0.21		0	0.00		4	0.21		1	0.05		608	32.48		33	1.76		2	0.11		0	0.00		35	1.87		175	9.35		9	0.48		0	0.00		1	0.05		0	0.00		185	9.88		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.05		0	0.00		1	0.05		186	9.94		19	1.01		1	0.05		0	0.00		2	0.11		208	11.11		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		
	Bendigo East		11	1.60		0	0.00		0	0.00		11	1.60		15	2.18		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		15	2.18		10	1.45		2	0.29		0	0.00		12	1.74		1	0.15		0	0.00		0	0.00		1	0.15		1	0.15		0	0.00		0	0.00		1	0.15		0	0.00		0	0.00		0	0.00		0	0.00		22	3.20		0	0.00		0	0.00		22	3.20		261	37.94		1	0.15		0	0.00		0	0.00		1	0.15		0	0.00		0	0.00		263	38.23		1	0.15		0	0.00		0	0.00		0	0.00		1	0.15		2	0.29		0	0.00		0	0.00		2	0.29		296	43.02		0	0.00		0	0.00		0	0.00		0	0.00		296	43.02		10	1.45		1	0.15		0	0.00		11	1.60		27	3.92		1	0.15		0	0.00		0	0.00		0	0.00		28	4.07		0	0.00		0	0.00		0	0.00		0	0.00		1	0.15		0	0.00		0	0.00		1	0.15		19	2.76		3	0.44		0	0.00		0	0.00		0	0.00		22	3.20		1	0.15		0	0.00		0	0.00		0	0.00		1	0.15		
	Bendigo North		19	2.30		1	0.12		0	0.00		20	2.42		19	2.30		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		19	2.30		6	0.73		2	0.24		0	0.00		8	0.97		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.24		0	0.00		0	0.00		2	0.24		24	2.90		0	0.00		0	0.00		24	2.90		263	31.80		2	0.24		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		265	32.04		2	0.24		0	0.00		0	0.00		0	0.00		2	0.24		6	0.73		0	0.00		0	0.00		6	0.73		399	48.25		6	0.73		0	0.00		0	0.00		0	0.00		405	48.97		7	0.85		0	0.00		0	0.00		7	0.85		34	4.11		3	0.36		0	0.00		0	0.00		0	0.00		37	4.47		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		27	3.26		5	0.60		0	0.00		0	0.00		0	0.00		32	3.87		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		
	Big Hill		10	2.01		1	0.20		0	0.00		11	2.21		9	1.81		1	0.20		0	0.00		0	0.00		0	0.00		0	0.00		10	2.01		2	0.40		1	0.20		0	0.00		3	0.60		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		18	3.61		1	0.20		0	0.00		19	3.82		225	45.18		3	0.60		1	0.20		0	0.00		0	0.00		0	0.00		0	0.00		229	45.98		3	0.60		0	0.00		0	0.00		0	0.00		3	0.60		2	0.40		2	0.40		0	0.00		4	0.80		150	30.12		2	0.40		0	0.00		0	0.00		0	0.00		152	30.52		11	2.21		0	0.00		1	0.20		12	2.41		20	4.02		4	0.80		0	0.00		0	0.00		0	0.00		24	4.82		0	0.00		0	0.00		0	0.00		0	0.00		1	0.20		0	0.00		0	0.00		1	0.20		28	5.62		2	0.40		0	0.00		0	0.00		0	0.00		30	6.02		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		
	Bowenvale		5	2.08		1	0.42		0	0.00		6	2.50		5	2.08		1	0.42		0	0.00		0	0.00		0	0.00		0	0.00		6	2.50		2	0.83		1	0.42		0	0.00		3	1.25		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		10	4.17		1	0.42		0	0.00		11	4.58		110	45.83		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		110	45.83		1	0.42		0	0.00		0	0.00		0	0.00		1	0.42		1	0.42		0	0.00		0	0.00		1	0.42		84	35.00		0	0.00		0	0.00		0	0.00		0	0.00		84	35.00		0	0.00		0	0.00		0	0.00		0	0.00		9	3.75		2	0.83		0	0.00		0	0.00		0	0.00		11	4.58		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		7	2.92		0	0.00		0	0.00		0	0.00		0	0.00		7	2.92		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00	
	Bridgewater		8	1.92		1	0.24		0	0.00		9	2.16		9	2.16		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		9	2.16		2	0.48		1	0.24		0	0.00		3	0.72		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		28	6.73		1	0.24		0	0.00		29	6.97		227	54.57		3	0.72		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		230	55.29		1	0.24		0	0.00		0	0.00		0	0.00		1	0.24		0	0.00		0	0.00		0	0.00		0	0.00		94	22.60		0	0.00		0	0.00		0	0.00		1	0.24		95	22.84		8	1.92		3	0.72		0	0.00		11	2.64		17	4.09		1	0.24		0	0.00		0	0.00		0	0.00		18	4.33		0	0.00		0	0.00		0	0.00		0	0.00		1	0.24		0	0.00		0	0.00		1	0.24		10	2.40		0	0.00		0	0.00		0	0.00		0	0.00		10	2.40		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00	
	California Gully		13	1.26		1	0.10		0	0.00		14	1.35		23	2.22		1	0.10		0	0.00		0	0.00		0	0.00		0	0.00		24	2.32		10	0.97		1	0.10		0	0.00		11	1.06		1	0.10		0	0.00		0	0.00		1	0.10		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		47	4.54		4	0.39		0	0.00		51	4.93		306	29.57		3	0.29		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		309	29.86		3	0.29		0	0.00		0	0.00		0	0.00		3	0.29		13	1.26		0	0.00		0	0.00		13	1.26		492	47.54		3	0.29		0	0.00		0	0.00		0	0.00		495	47.83		22	2.13		3	0.29		0	0.00		25	2.42		42	4.06		0	0.00		0	0.00		0	0.00		0	0.00		42	4.06		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		41	3.96		4	0.39		1	0.10		0	0.00		1	0.10		47	4.54		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00	
