Senate - 2001 Election: Victoria																																																																																																																																																																																																																																																												
First Preference Votes by Candidate 																																																																																																																																																																																																																																																												
By Polling Place																																																																																																																																																																																																																																																												
Gippsland (83845)																																																																																																																																																																																																																																																												
		   	 A liberals for forests												 B Democratic Labor Party (DLP) of Australia																					 C Phil Cleary - Independent Australia												 D Citizens Electoral Council of Australia												 E 												 F 												 G Pauline Hanson's One Nation												 H Liberal/National Party																								 I Unity - Say No To Hanson															 J 												 K Australian Labor Party (Victorian Branch)																		 L Christian Democratic Party (Fred Nile Group)												 M Australian Democrats																		 N 												 O Hope Party Australia												 P Australian Greens																		 Q 															
	    		TICKET VOTES			PATHY			LUGG			Group Total			TICKET VOTES			MULHOLLAND			CREA			KING			MAURUS			WELLS			Group Total			TICKET VOTES			CLEARY			ZOMBOLAS			Group Total			TICKET VOTES			ISHERWOOD			BARWICK			Group Total			TICKET VOTES			TOSCANO			REGHENZANI			Group Total			TICKET VOTES			RASKOVY			KENNEDY			Group Total			TICKET VOTES			SPENCER			MCINTYRE			Group Total			TICKET VOTES			# ALSTON			# KEMP			# PATTERSON			HAWKER			DE MARCHI			TRAN			Group Total			TICKET VOTES			LEE			WOLOWSKI			COPE			Group Total			TICKET VOTES			BAKER			BARBER			Group Total			TICKET VOTES			# RAY			# MARSHALL			MURPHY			CHONG			Group Total			TICKET VOTES			GRAHAM			JAGO			Group Total			TICKET VOTES			# ALLISON			HARCOURT			WARK			ALESICH			Group Total			TICKET VOTES			DAVIS			BROCAS			Group Total			TICKET VOTES			PETHERBRIDGE			POYNTON			Group Total			TICKET VOTES			KINNEAR			MULLANE			MATHEW			CONOR			Group Total			TICKET VOTES			THORNE			PEART			DEWBERRY			Group Total			
	    					Suresh			John									John			Pat			Gail			Rosemary			Ken									Phil			Eileen									Noelene			Robert									Joseph			Stephen									Steve			Elizabeth									Robyn			Neville									Richard Kenneth Robert			Rod			Kay			Tim			Dino			Duc-Dung									Wellington			Diana			Bill									A.T.			Pam									Robert			Gavin			Ted			Robert									Murray			Arnold Hartley									Lyn			Pierre			David			Simone									Craig			Donna									Tim			Lee-anne									Scott			Eleisha			Dinesh			Liz									Alison			Sarah			Tony						
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		
	Alberton		9	2.80		0	0.00		0	0.00		9	2.80		2	0.62		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.62		9	2.80		0	0.00		0	0.00		9	2.80		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		14	4.35		1	0.31		0	0.00		15	4.66		171	53.11		1	0.31		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		172	53.42		1	0.31		0	0.00		0	0.00		0	0.00		1	0.31		1	0.31		0	0.00		0	0.00		1	0.31		87	27.02		1	0.31		0	0.00		0	0.00		0	0.00		88	27.33		1	0.31		0	0.00		0	0.00		1	0.31		16	4.97		1	0.31		0	0.00		0	0.00		0	0.00		17	5.28		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		5	1.55		1	0.31		0	0.00		0	0.00		0	0.00		6	1.86		1	0.31		0	0.00		0	0.00		0	0.00		1	0.31		
	Arawata		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		5	3.85		0	0.00		0	0.00		5	3.85		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		5	3.85		0	0.00		0	0.00		5	3.85		81	62.31		1	0.77		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		82	63.08		1	0.77		0	0.00		0	0.00		0	0.00		1	0.77		0	0.00		0	0.00		0	0.00		0	0.00		11	8.46		0	0.00		0	0.00		0	0.00		0	0.00		11	8.46		1	0.77		0	0.00		0	0.00		1	0.77		16	12.31		2	1.54		0	0.00		0	0.00		0	0.00		18	13.85		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		6	4.62		1	0.77		0	0.00		0	0.00		0	0.00		7	5.38		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		
	Bairnsdale		48	2.43		6	0.30		0	0.00		54	2.74		38	1.93		3	0.15		0	0.00		1	0.05		0	0.00		0	0.00		42	2.13		45	2.28		6	0.30		0	0.00		51	2.58		11	0.56		0	0.00		0	0.00		11	0.56		2	0.10		0	0.00		0	0.00		2	0.10		0	0.00		0	0.00		0	0.00		0	0.00		122	6.18		7	0.35		1	0.05		130	6.59		838	42.47		9	0.46		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		847	42.93		9	0.46		2	0.10		0	0.00		0	0.00		11	0.56		1	0.05		0	0.00		0	0.00		1	0.05		534	27.07		6	0.30		0	0.00		0	0.00		0	0.00		540	27.37		5	0.25		2	0.10		0	0.00		7	0.35		114	5.78		7	0.35		0	0.00		0	0.00		0	0.00		121	6.13		2	0.10		0	0.00		0	0.00		2	0.10		4	0.20		0	0.00		0	0.00		4	0.20		126	6.39		18	0.91		1	0.05		0	0.00		2	0.10		147	7.45		2	0.10		0	0.00		0	0.00		0	0.00		2	0.10		
	Bairnsdale East		13	2.53		0	0.00		0	0.00		13	2.53		10	1.95		1	0.19		0	0.00		0	0.00		0	0.00		0	0.00		11	2.14		13	2.53		2	0.39		0	0.00		15	2.92		1	0.19		0	0.00		0	0.00		1	0.19		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		67	13.04		1	0.19		0	0.00		68	13.23		174	33.85		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		174	33.85		6	1.17		0	0.00		1	0.19		0	0.00		7	1.36		0	0.00		0	0.00		0	0.00		0	0.00		195	37.94		1	0.19		0	0.00		0	0.00		0	0.00		196	38.13		0	0.00		0	0.00		0	0.00		0	0.00		14	2.72		1	0.19		0	0.00		0	0.00		0	0.00		15	2.92		1	0.19		0	0.00		0	0.00		1	0.19		2	0.39		0	0.00		0	0.00		2	0.39		10	1.95		1	0.19		0	0.00		0	0.00		0	0.00		11	2.14		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		
	Bairnsdale West		80	2.85		5	0.18		0	0.00		85	3.03		61	2.17		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		61	2.17		64	2.28		7	0.25		0	0.00		71	2.53		10	0.36		0	0.00		0	0.00		10	0.36		0	0.00		0	0.00		0	0.00		0	0.00		1	0.04		0	0.00		0	0.00		1	0.04		208	7.40		8	0.28		1	0.04		217	7.73		1337	47.60		6	0.21		1	0.04		2	0.07		2	0.07		0	0.00		1	0.04		1349	48.02		11	0.39		0	0.00		0	0.00		0	0.00		11	0.39		1	0.04		0	0.00		0	0.00		1	0.04		715	25.45		10	0.36		0	0.00		0	0.00		0	0.00		725	25.81		15	0.53		1	0.04		1	0.04		17	0.61		152	5.41		10	0.36		0	0.00		0	0.00		0	0.00		162	5.77		0	0.00		0	0.00		0	0.00		0	0.00		5	0.18		0	0.00		0	0.00		5	0.18		81	2.88		8	0.28		1	0.04		1	0.04		1	0.04		92	3.28		2	0.07		0	0.00		0	0.00		0	0.00		2	0.07		
	Bemm River		5	6.25		0	0.00		0	0.00		5	6.25		2	2.50		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	2.50		3	3.75		0	0.00		0	0.00		3	3.75		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		11	13.75		1	1.25		0	0.00		12	15.00		34	42.50		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		34	42.50		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		20	25.00		0	0.00		0	0.00		0	0.00		0	0.00		20	25.00		0	0.00		0	0.00		0	0.00		0	0.00		2	2.50		0	0.00		0	0.00		0	0.00		0	0.00		2	2.50		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	1.25		0	0.00		0	0.00		0	0.00		0	0.00		1	1.25		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		
	Bena		4	1.90		0	0.00		0	0.00		4	1.90		3	1.43		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	1.43		1	0.48		0	0.00		0	0.00		1	0.48		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.48		0	0.00		0	0.00		1	0.48		10	4.76		0	0.00		0	0.00		10	4.76		142	67.62		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		142	67.62		2	0.95		0	0.00		0	0.00		0	0.00		2	0.95		1	0.48		0	0.00		0	0.00		1	0.48		31	14.76		1	0.48		0	0.00		0	0.00		0	0.00		32	15.24		2	0.95		0	0.00		0	0.00		2	0.95		5	2.38		0	0.00		0	0.00		0	0.00		0	0.00		5	2.38		0	0.00		0	0.00		0	0.00		0	0.00		1	0.48		0	0.00		0	0.00		1	0.48		4	1.90		1	0.48		0	0.00		0	0.00		0	0.00		5	2.38		1	0.48		0	0.00		0	0.00		0	0.00		1	0.48		
	Benambra		6	4.55		0	0.00		0	0.00		6	4.55		1	0.76		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.76		1	0.76		0	0.00		0	0.00		1	0.76		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		5	3.79		1	0.76		0	0.00		6	4.55		88	66.67		2	1.52		0	0.00		1	0.76		0	0.00		0	0.00		0	0.00		91	68.94		0	0.00		1	0.76		0	0.00		0	0.00		1	0.76		0	0.00		0	0.00		0	0.00		0	0.00		20	15.15		0	0.00		0	0.00		0	0.00		0	0.00		20	15.15		1	0.76		2	1.52		0	0.00		3	2.27		1	0.76		1	0.76		0	0.00		0	0.00		0	0.00		2	1.52		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.76		0	0.00		0	0.00		0	0.00		0	0.00		1	0.76		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		
	Bendoc		7	8.05		0	0.00		0	0.00		7	8.05		1	1.15		1	1.15		0	0.00		0	0.00		0	0.00		0	0.00		2	2.30		0	0.00		0	0.00		0	0.00		0	0.00		1	1.15		0	0.00		0	0.00		1	1.15		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		13	14.94		1	1.15		0	0.00		14	16.09		46	52.87		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		46	52.87		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		11	12.64		0	0.00		0	0.00		0	0.00		0	0.00		11	12.64		0	0.00		0	0.00		0	0.00		0	0.00		3	3.45		0	0.00		0	0.00		0	0.00		0	0.00		3	3.45		1	1.15		0	0.00		0	0.00		1	1.15		0	0.00		0	0.00		0	0.00		0	0.00		1	1.15		1	1.15		0	0.00		0	0.00		0	0.00		2	2.30		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00	
	Berrys Creek		1	0.93		0	0.00		0	0.00		1	0.93		1	0.93		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.93		4	3.74		0	0.00		0	0.00		4	3.74		1	0.93		0	0.00		0	0.00		1	0.93		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	2.80		2	1.87		0	0.00		5	4.67		79	73.83		1	0.93		1	0.93		0	0.00		0	0.00		0	0.00		0	0.00		81	75.70		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	3.74		0	0.00		0	0.00		0	0.00		0	0.00		4	3.74		1	0.93		0	0.00		0	0.00		1	0.93		3	2.80		1	0.93		0	0.00		0	0.00		0	0.00		4	3.74		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	2.80		2	1.87		0	0.00		0	0.00		0	0.00		5	4.67		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00	
	Boisdale		4	2.23		0	0.00		0	0.00		4	2.23		4	2.23		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	2.23		4	2.23		2	1.12		0	0.00		6	3.35		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		16	8.94		2	1.12		0	0.00		18	10.06		98	54.75		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		98	54.75		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		29	16.20		0	0.00		0	0.00		0	0.00		0	0.00		29	16.20		0	0.00		0	0.00		0	0.00		0	0.00		11	6.15		0	0.00		0	0.00		0	0.00		0	0.00		11	6.15		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		9	5.03		0	0.00		0	0.00		0	0.00		0	0.00		9	5.03		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00	
	Bonang		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	1.69		0	0.00		0	0.00		1	1.69		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		8	13.56		1	1.69		0	0.00		9	15.25		22	37.29		1	1.69		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		23	38.98		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		8	13.56		1	1.69		0	0.00		0	0.00		0	0.00		9	15.25		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		15	25.42		2	3.39		0	0.00		0	0.00		0	0.00		17	28.81		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00	
	Briagolong		8	1.58		0	0.00		0	0.00		8	1.58		13	2.56		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		13	2.56		6	1.18		4	0.79		0	0.00		10	1.97		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.20		0	0.00		0	0.00		1	0.20		32	6.31		4	0.79		0	0.00		36	7.10		212	41.81		4	0.79		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		216	42.60		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		104	20.51		8	1.58		0	0.00		0	0.00		1	0.20		113	22.29		3	0.59		0	0.00		0	0.00		3	0.59		37	7.30		2	0.39		0	0.00		0	0.00		0	0.00		39	7.69		1	0.20		0	0.00		0	0.00		1	0.20		0	0.00		0	0.00		0	0.00		0	0.00		60	11.83		5	0.99		0	0.00		0	0.00		0	0.00		65	12.82		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00	
	Bruthen		23	3.22		2	0.28		1	0.14		26	3.64		7	0.98		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		7	0.98		27	3.78		0	0.00		0	0.00		27	3.78		0	0.00		1	0.14		0	0.00		1	0.14		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		76	10.63		3	0.42		0	0.00		79	11.05		266	37.20		2	0.28		0	0.00		1	0.14		0	0.00		0	0.00		0	0.00		269	37.62		1	0.14		0	0.00		0	0.00		0	0.00		1	0.14		1	0.14		0	0.00		0	0.00		1	0.14		196	27.41		1	0.14		0	0.00		0	0.00		0	0.00		197	27.55		1	0.14		0	0.00		0	0.00		1	0.14		45	6.29		2	0.28		0	0.00		0	0.00		0	0.00		47	6.57		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		50	6.99		6	0.84		0	0.00		0	0.00		0	0.00		56	7.83		0	0.00		0	0.00		1	0.14		0	0.00		1	0.14	
	Buchan		7	2.89		0	0.00		0	0.00		7	2.89		4	1.65		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	1.65		10	4.13		0	0.00		0	0.00		10	4.13		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		20	8.26		3	1.24		0	0.00		23	9.50		104	42.98		1	0.41		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		105	43.39		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		69	28.51		1	0.41		0	0.00		0	0.00		0	0.00		70	28.93		0	0.00		0	0.00		0	0.00		0	0.00		12	4.96		2	0.83		0	0.00		0	0.00		0	0.00		14	5.79		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		7	2.89		1	0.41		0	0.00		0	0.00		0	0.00		8	3.31		1	0.41		0	0.00		0	0.00		0	0.00		1	0.41	
	Bundalaguah		6	2.16		0	0.00		0	0.00		6	2.16		1	0.36		0	0.00		0	0.00		0	0.00		1	0.36		0	0.00		2	0.72		9	3.24		1	0.36		0	0.00		10	3.60		1	0.36		0	0.00		0	0.00		1	0.36		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		17	6.12		2	0.72		0	0.00		19	6.83		163	58.63		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		163	58.63		2	0.72		0	0.00		0	0.00		0	0.00		2	0.72		0	0.00		0	0.00		0	0.00		0	0.00		43	15.47		1	0.36		0	0.00		0	0.00		0	0.00		44	15.83		0	0.00		0	0.00		0	0.00		0	0.00		19	6.83		0	0.00		0	0.00		1	0.36		0	0.00		20	7.19		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		7	2.52		2	0.72		0	0.00		0	0.00		1	0.36		10	3.60		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00	
	Cann River		19	8.12		0	0.00		0	0.00		19	8.12		6	2.56		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		6	2.56		3	1.28		1	0.43		0	0.00		4	1.71		0	0.00		1	0.43		0	0.00		1	0.43		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		15	6.41		4	1.71		0	0.00		19	8.12		95	40.60		1	0.43		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		96	41.03		1	0.43		0	0.00		0	0.00		0	0.00		1	0.43		1	0.43		0	0.00		0	0.00		1	0.43		53	22.65		3	1.28		0	0.00		0	0.00		0	0.00		56	23.93		4	1.71		2	0.85		0	0.00		6	2.56		10	4.27		3	1.28		0	0.00		0	0.00		0	0.00		13	5.56		0	0.00		0	0.00		0	0.00		0	0.00		1	0.43		0	0.00		0	0.00		1	0.43		9	3.85		2	0.85		0	0.00		0	0.00		0	0.00		11	4.70		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00	
	Cape Paterson		8	1.87		0	0.00		0	0.00		8	1.87		6	1.41		1	0.23		0	0.00		0	0.00		0	0.00		0	0.00		7	1.64		7	1.64		0	0.00		0	0.00		7	1.64		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		9	2.11		1	0.23		0	0.00		10	2.34		142	33.26		2	0.47		0	0.00		1	0.23		0	0.00		0	0.00		0	0.00		145	33.96		1	0.23		0	0.00		0	0.00		0	0.00		1	0.23		2	0.47		0	0.00		0	0.00		2	0.47		168	39.34		1	0.23		0	0.00		0	0.00		0	0.00		169	39.58		0	0.00		0	0.00		0	0.00		0	0.00		29	6.79		1	0.23		0	0.00		0	0.00		0	0.00		30	7.03		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		44	10.30		3	0.70		0	0.00		0	0.00		0	0.00		47	11.01		1	0.23		0	0.00		0	0.00		0	0.00		1	0.23	
	Carrajung South		1	0.85		0	0.00		0	0.00		1	0.85		1	0.85		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.85		1	0.85		0	0.00		0	0.00		1	0.85		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		9	7.69		1	0.85		0	0.00		10	8.55		57	48.72		2	1.71		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		59	50.43		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		20	17.09		2	1.71		0	0.00		0	0.00		0	0.00		22	18.80		2	1.71		0	0.00		0	0.00		2	1.71		4	3.42		2	1.71		0	0.00		0	0.00		0	0.00		6	5.13		0	0.00		0	0.00		0	0.00		0	0.00		1	0.85		0	0.00		0	0.00		1	0.85		14	11.97		0	0.00		0	0.00		0	0.00		0	0.00		14	11.97		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00	
