Senate - 2001 Election: Victoria 																																																																																																																																																																																																																																																												
First Preference Votes by Candidate 																																																																																																																																																																																																																																																												
By Polling Place																																																																																																																																																																																																																																																												
Indi (85758)																																																																																																																																																																																																																																																												
		   	 A liberals for forests												 B Democratic Labor Party (DLP) of Australia																					 C Phil Cleary - Independent Australia												 D Citizens Electoral Council of Australia												 E 												 F 												 G Pauline Hanson's One Nation												 H Liberal/National Party																								 I Unity - Say No To Hanson															 J 												 K Australian Labor Party (Victorian Branch)																		 L Christian Democratic Party (Fred Nile Group)												 M Australian Democrats																		 N 												 O Hope Party Australia												 P Australian Greens																		 Q 															
	    		TICKET VOTES			PATHY			LUGG			Group Total			TICKET VOTES			MULHOLLAND			CREA			KING			MAURUS			WELLS			Group Total			TICKET VOTES			CLEARY			ZOMBOLAS			Group Total			TICKET VOTES			ISHERWOOD			BARWICK			Group Total			TICKET VOTES			TOSCANO			REGHENZANI			Group Total			TICKET VOTES			RASKOVY			KENNEDY			Group Total			TICKET VOTES			SPENCER			MCINTYRE			Group Total			TICKET VOTES			# ALSTON			# KEMP			# PATTERSON			HAWKER			DE MARCHI			TRAN			Group Total			TICKET VOTES			LEE			WOLOWSKI			COPE			Group Total			TICKET VOTES			BAKER			BARBER			Group Total			TICKET VOTES			# RAY			# MARSHALL			MURPHY			CHONG			Group Total			TICKET VOTES			GRAHAM			JAGO			Group Total			TICKET VOTES			# ALLISON			HARCOURT			WARK			ALESICH			Group Total			TICKET VOTES			DAVIS			BROCAS			Group Total			TICKET VOTES			PETHERBRIDGE			POYNTON			Group Total			TICKET VOTES			KINNEAR			MULLANE			MATHEW			CONOR			Group Total			TICKET VOTES			THORNE			PEART			DEWBERRY			Group Total			
	    					Suresh			John									John			Pat			Gail			Rosemary			Ken									Phil			Eileen									Noelene			Robert									Joseph			Stephen									Steve			Elizabeth									Robyn			Neville									Richard Kenneth Robert			Rod			Kay			Tim			Dino			Duc-Dung									Wellington			Diana			Bill									A.T.			Pam									Robert			Gavin			Ted			Robert									Murray			Arnold Hartley									Lyn			Pierre			David			Simone									Craig			Donna									Tim			Lee-anne									Scott			Eleisha			Dinesh			Liz									Alison			Sarah			Tony						
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		
	Arcadia		2	1.53		0	0.00		0	0.00		2	1.53		1	0.76		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.76		1	0.76		0	0.00		0	0.00		1	0.76		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		14	10.69		1	0.76		0	0.00		15	11.45		86	65.65		1	0.76		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		87	66.41		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		18	13.74		0	0.00		0	0.00		0	0.00		0	0.00		18	13.74		0	0.00		0	0.00		0	0.00		0	0.00		6	4.58		0	0.00		0	0.00		0	0.00		0	0.00		6	4.58		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.76		0	0.00		0	0.00		0	0.00		0	0.00		1	0.76		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		
	Baddaginnie		3	1.28		0	0.00		0	0.00		3	1.28		4	1.71		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	1.71		5	2.14		0	0.00		0	0.00		5	2.14		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		7	2.99		2	0.85		0	0.00		9	3.85		135	57.69		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		135	57.69		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		59	25.21		1	0.43		0	0.00		0	0.00		0	0.00		60	25.64		0	0.00		0	0.00		0	0.00		0	0.00		11	4.70		0	0.00		0	0.00		0	0.00		0	0.00		11	4.70		0	0.00		0	0.00		0	0.00		0	0.00		1	0.43		0	0.00		0	0.00		1	0.43		4	1.71		2	0.85		0	0.00		0	0.00		0	0.00		6	2.56		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		
	Baranduda		16	2.64		0	0.00		0	0.00		16	2.64		4	0.66		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	0.66		7	1.15		0	0.00		0	0.00		7	1.15		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.16		0	0.00		0	0.00		1	0.16		23	3.79		2	0.33		0	0.00		25	4.12		348	57.33		8	1.32		0	0.00		0	0.00		1	0.16		0	0.00		0	0.00		357	58.81		3	0.49		0	0.00		0	0.00		0	0.00		3	0.49		0	0.00		0	0.00		0	0.00		0	0.00		108	17.79		8	1.32		0	0.00		0	0.00		0	0.00		116	19.11		2	0.33		1	0.16		0	0.00		3	0.49		41	6.75		6	0.99		0	0.00		0	0.00		0	0.00		47	7.74		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		24	3.95		4	0.66		0	0.00		0	0.00		0	0.00		28	4.61		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		
	Barnawartha		20	3.09		0	0.00		0	0.00		20	3.09		11	1.70		1	0.15		0	0.00		0	0.00		0	0.00		0	0.00		12	1.85		10	1.55		1	0.15		0	0.00		11	1.70		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		46	7.11		7	1.08		0	0.00		53	8.19		336	51.93		5	0.77		0	0.00		1	0.15		0	0.00		0	0.00		0	0.00		342	52.86		1	0.15		0	0.00		0	0.00		0	0.00		1	0.15		0	0.00		0	0.00		0	0.00		0	0.00		134	20.71		1	0.15		0	0.00		0	0.00		0	0.00		135	20.87		9	1.39		6	0.93		0	0.00		15	2.32		31	4.79		3	0.46		0	0.00		0	0.00		0	0.00		34	5.26		0	0.00		0	0.00		0	0.00		0	0.00		1	0.15		0	0.00		0	0.00		1	0.15		22	3.40		1	0.15		0	0.00		0	0.00		0	0.00		23	3.55		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		
	Beechworth		43	2.28		4	0.21		0	0.00		47	2.49		54	2.86		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		54	2.86		34	1.80		2	0.11		0	0.00		36	1.91		1	0.05		0	0.00		0	0.00		1	0.05		1	0.05		0	0.00		0	0.00		1	0.05		1	0.05		0	0.00		0	0.00		1	0.05		116	6.15		3	0.16		0	0.00		119	6.31		639	33.88		6	0.32		1	0.05		0	0.00		0	0.00		0	0.00		0	0.00		646	34.25		6	0.32		0	0.00		0	0.00		0	0.00		6	0.32		2	0.11		0	0.00		0	0.00		2	0.11		570	30.22		9	0.48		1	0.05		0	0.00		0	0.00		580	30.75		19	1.01		2	0.11		0	0.00		21	1.11		147	7.79		18	0.95		0	0.00		0	0.00		1	0.05		166	8.80		1	0.05		0	0.00		0	0.00		1	0.05		0	0.00		0	0.00		0	0.00		0	0.00		177	9.38		20	1.06		1	0.05		0	0.00		0	0.00		198	10.50		4	0.21		0	0.00		0	0.00		0	0.00		4	0.21		
	Benalla		59	2.05		4	0.14		0	0.00		63	2.19		60	2.09		2	0.07		0	0.00		0	0.00		0	0.00		0	0.00		62	2.16		34	1.18		2	0.07		0	0.00		36	1.25		3	0.10		0	0.00		0	0.00		3	0.10		3	0.10		0	0.00		0	0.00		3	0.10		0	0.00		0	0.00		0	0.00		0	0.00		98	3.41		9	0.31		0	0.00		107	3.73		1457	50.73		11	0.38		0	0.00		1	0.03		1	0.03		0	0.00		0	0.00		1470	51.18		8	0.28		1	0.03		0	0.00		0	0.00		9	0.31		7	0.24		2	0.07		0	0.00		9	0.31		784	27.30		10	0.35		0	0.00		0	0.00		0	0.00		794	27.65		16	0.56		3	0.10		0	0.00		19	0.66		142	4.94		8	0.28		0	0.00		1	0.03		0	0.00		151	5.26		0	0.00		0	0.00		0	0.00		0	0.00		1	0.03		0	0.00		0	0.00		1	0.03		127	4.42		12	0.42		0	0.00		0	0.00		1	0.03		140	4.87		2	0.07		0	0.00		0	0.00		0	0.00		2	0.07		
	Benalla District Hospital		0	0.00		0	0.00		0	0.00		0	0.00		3	7.50		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	7.50		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	2.50		0	0.00		0	0.00		1	2.50		21	52.50		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		21	52.50		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		11	27.50		0	0.00		0	0.00		0	0.00		0	0.00		11	27.50		2	5.00		0	0.00		0	0.00		2	5.00		2	5.00		0	0.00		0	0.00		0	0.00		0	0.00		2	5.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		
	Benalla West		54	2.10		2	0.08		1	0.04		57	2.21		36	1.40		2	0.08		0	0.00		0	0.00		0	0.00		0	0.00		38	1.47		32	1.24		3	0.12		0	0.00		35	1.36		2	0.08		0	0.00		1	0.04		3	0.12		0	0.00		0	0.00		0	0.00		0	0.00		3	0.12		0	0.00		0	0.00		3	0.12		90	3.49		3	0.12		1	0.04		94	3.65		1338	51.92		11	0.43		1	0.04		1	0.04		1	0.04		0	0.00		0	0.00		1352	52.46		7	0.27		0	0.00		0	0.00		0	0.00		7	0.27		1	0.04		0	0.00		0	0.00		1	0.04		719	27.90		16	0.62		1	0.04		1	0.04		0	0.00		737	28.60		22	0.85		4	0.16		0	0.00		26	1.01		130	5.04		8	0.31		0	0.00		0	0.00		0	0.00		138	5.36		2	0.08		0	0.00		0	0.00		2	0.08		2	0.08		0	0.00		0	0.00		2	0.08		70	2.72		10	0.39		0	0.00		1	0.04		0	0.00		81	3.14		1	0.04		0	0.00		0	0.00		0	0.00		1	0.04		
	Bethanga		11	2.17		0	0.00		0	0.00		11	2.17		5	0.99		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		5	0.99		6	1.18		1	0.20		0	0.00		7	1.38		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		37	7.30		6	1.18		0	0.00		43	8.48		282	55.62		3	0.59		0	0.00		1	0.20		1	0.20		0	0.00		0	0.00		287	56.61		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		89	17.55		0	0.00		0	0.00		0	0.00		0	0.00		89	17.55		4	0.79		1	0.20		0	0.00		5	0.99		30	5.92		6	1.18		0	0.00		0	0.00		0	0.00		36	7.10		0	0.00		0	0.00		0	0.00		0	0.00		4	0.79		0	0.00		0	0.00		4	0.79		15	2.96		5	0.99		0	0.00		0	0.00		0	0.00		20	3.94		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00	
	Bonegilla		11	2.98		2	0.54		0	0.00		13	3.52		6	1.63		1	0.27		0	0.00		0	0.00		0	0.00		0	0.00		7	1.90		4	1.08		1	0.27		0	0.00		5	1.36		1	0.27		0	0.00		0	0.00		1	0.27		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		26	7.05		2	0.54		0	0.00		28	7.59		200	54.20		1	0.27		0	0.00		0	0.00		0	0.00		1	0.27		0	0.00		202	54.74		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		72	19.51		1	0.27		0	0.00		0	0.00		0	0.00		73	19.78		2	0.54		1	0.27		0	0.00		3	0.81		16	4.34		2	0.54		0	0.00		0	0.00		0	0.00		18	4.88		0	0.00		0	0.00		0	0.00		0	0.00		1	0.27		0	0.00		0	0.00		1	0.27		18	4.88		0	0.00		0	0.00		0	0.00		0	0.00		18	4.88		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00	
