Senate - 2001 Election: Victoria																																																																																																																																																																																																																																																												
First Preference Votes by Candidate 																																																																																																																																																																																																																																																												
By Polling Place																																																																																																																																																																																																																																																												
Mallee (81774)																																																																																																																																																																																																																																																												
		   	 A liberals for forests												 B Democratic Labor Party (DLP) of Australia																					 C Phil Cleary - Independent Australia												 D Citizens Electoral Council of Australia												 E 												 F 												 G Pauline Hanson's One Nation												 H Liberal/National Party																								 I Unity - Say No To Hanson															 J 												 K Australian Labor Party (Victorian Branch)																		 L Christian Democratic Party (Fred Nile Group)												 M Australian Democrats																		 N 												 O Hope Party Australia												 P Australian Greens																		 Q 															
	    		TICKET VOTES			PATHY			LUGG			Group Total			TICKET VOTES			MULHOLLAND			CREA			KING			MAURUS			WELLS			Group Total			TICKET VOTES			CLEARY			ZOMBOLAS			Group Total			TICKET VOTES			ISHERWOOD			BARWICK			Group Total			TICKET VOTES			TOSCANO			REGHENZANI			Group Total			TICKET VOTES			RASKOVY			KENNEDY			Group Total			TICKET VOTES			SPENCER			MCINTYRE			Group Total			TICKET VOTES			# ALSTON			# KEMP			# PATTERSON			HAWKER			DE MARCHI			TRAN			Group Total			TICKET VOTES			LEE			WOLOWSKI			COPE			Group Total			TICKET VOTES			BAKER			BARBER			Group Total			TICKET VOTES			# RAY			# MARSHALL			MURPHY			CHONG			Group Total			TICKET VOTES			GRAHAM			JAGO			Group Total			TICKET VOTES			# ALLISON			HARCOURT			WARK			ALESICH			Group Total			TICKET VOTES			DAVIS			BROCAS			Group Total			TICKET VOTES			PETHERBRIDGE			POYNTON			Group Total			TICKET VOTES			KINNEAR			MULLANE			MATHEW			CONOR			Group Total			TICKET VOTES			THORNE			PEART			DEWBERRY			Group Total			
	    					Suresh			John									John			Pat			Gail			Rosemary			Ken									Phil			Eileen									Noelene			Robert									Joseph			Stephen									Steve			Elizabeth									Robyn			Neville									Richard Kenneth Robert			Rod			Kay			Tim			Dino			Duc-Dung									Wellington			Diana			Bill									A.T.			Pam									Robert			Gavin			Ted			Robert									Murray			Arnold Hartley									Lyn			Pierre			David			Simone									Craig			Donna									Tim			Lee-anne									Scott			Eleisha			Dinesh			Liz									Alison			Sarah			Tony						
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		
	Antwerp		7	6.93		0	0.00		0	0.00		7	6.93		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		6	5.94		1	0.99		0	0.00		7	6.93		76	75.25		0	0.00		1	0.99		0	0.00		0	0.00		0	0.00		0	0.00		77	76.24		1	0.99		0	0.00		0	0.00		0	0.00		1	0.99		0	0.00		0	0.00		0	0.00		0	0.00		7	6.93		0	0.00		0	0.00		0	0.00		0	0.00		7	6.93		0	0.00		0	0.00		0	0.00		0	0.00		2	1.98		0	0.00		0	0.00		0	0.00		0	0.00		2	1.98		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		
	Apsley		11	3.82		0	0.00		0	0.00		11	3.82		2	0.69		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.69		3	1.04		0	0.00		0	0.00		3	1.04		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		29	10.07		1	0.35		0	0.00		30	10.42		165	57.29		1	0.35		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		166	57.64		1	0.35		0	0.00		0	0.00		0	0.00		1	0.35		0	0.00		0	0.00		0	0.00		0	0.00		62	21.53		1	0.35		0	0.00		0	0.00		0	0.00		63	21.88		2	0.69		0	0.00		0	0.00		2	0.69		6	2.08		0	0.00		0	0.00		0	0.00		0	0.00		6	2.08		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	1.39		0	0.00		0	0.00		0	0.00		0	0.00		4	1.39		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		
	Berriwillock		16	10.60		2	1.32		0	0.00		18	11.92		1	0.66		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.66		3	1.99		2	1.32		0	0.00		5	3.31		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		5	3.31		1	0.66		0	0.00		6	3.97		88	58.28		1	0.66		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		89	58.94		1	0.66		0	0.00		0	0.00		0	0.00		1	0.66		1	0.66		0	0.00		0	0.00		1	0.66		24	15.89		0	0.00		0	0.00		0	0.00		0	0.00		24	15.89		0	0.00		0	0.00		0	0.00		0	0.00		5	3.31		0	0.00		0	0.00		0	0.00		0	0.00		5	3.31		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.66		0	0.00		0	0.00		0	0.00		1	0.66		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		
	Beulah		21	7.00		1	0.33		0	0.00		22	7.33		1	0.33		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.33		3	1.00		0	0.00		0	0.00		3	1.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.33		0	0.00		0	0.00		1	0.33		16	5.33		0	0.00		0	0.00		16	5.33		220	73.33		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		220	73.33		2	0.67		0	0.00		0	0.00		0	0.00		2	0.67		0	0.00		0	0.00		0	0.00		0	0.00		24	8.00		0	0.00		0	0.00		0	0.00		0	0.00		24	8.00		4	1.33		0	0.00		0	0.00		4	1.33		6	2.00		0	0.00		0	0.00		0	0.00		0	0.00		6	2.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.33		0	0.00		0	0.00		0	0.00		0	0.00		1	0.33		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		
	Beverford		16	4.53		2	0.57		0	0.00		18	5.10		4	1.13		0	0.00		0	0.00		1	0.28		0	0.00		0	0.00		5	1.42		6	1.70		1	0.28		0	0.00		7	1.98		1	0.28		0	0.00		0	0.00		1	0.28		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		29	8.22		0	0.00		0	0.00		29	8.22		211	59.77		2	0.57		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		213	60.34		1	0.28		0	0.00		0	0.00		0	0.00		1	0.28		2	0.57		0	0.00		0	0.00		2	0.57		60	17.00		0	0.00		0	0.00		0	0.00		0	0.00		60	17.00		0	0.00		0	0.00		0	0.00		0	0.00		7	1.98		0	0.00		0	0.00		0	0.00		0	0.00		7	1.98		1	0.28		0	0.00		0	0.00		1	0.28		0	0.00		0	0.00		0	0.00		0	0.00		5	1.42		3	0.85		0	0.00		0	0.00		0	0.00		8	2.27		0	0.00		1	0.28		0	0.00		0	0.00		1	0.28		
	Birchip		54	8.97		2	0.33		0	0.00		56	9.30		12	1.99		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		12	1.99		10	1.66		0	0.00		0	0.00		10	1.66		1	0.17		0	0.00		0	0.00		1	0.17		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.17		0	0.00		1	0.17		28	4.65		2	0.33		0	0.00		30	4.98		350	58.14		4	0.66		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		354	58.80		3	0.50		0	0.00		0	0.00		0	0.00		3	0.50		0	0.00		0	0.00		0	0.00		0	0.00		104	17.28		1	0.17		0	0.00		0	0.00		0	0.00		105	17.44		3	0.50		0	0.00		0	0.00		3	0.50		16	2.66		1	0.17		0	0.00		0	0.00		0	0.00		17	2.82		0	0.00		0	0.00		0	0.00		0	0.00		1	0.17		0	0.00		0	0.00		1	0.17		8	1.33		0	0.00		0	0.00		0	0.00		0	0.00		8	1.33		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		
	Boundary Bend		10	8.93		0	0.00		0	0.00		10	8.93		2	1.79		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	1.79		1	0.89		0	0.00		0	0.00		1	0.89		0	0.00		1	0.89		0	0.00		1	0.89		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		14	12.50		2	1.79		0	0.00		16	14.29		53	47.32		4	3.57		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		57	50.89		1	0.89		0	0.00		0	0.00		0	0.00		1	0.89		0	0.00		0	0.00		0	0.00		0	0.00		15	13.39		1	0.89		0	0.00		0	0.00		0	0.00		16	14.29		2	1.79		0	0.00		0	0.00		2	1.79		4	3.57		0	0.00		0	0.00		1	0.89		0	0.00		5	4.46		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.89		0	0.00		0	0.00		0	0.00		0	0.00		1	0.89		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		
	Brim		15	9.62		0	0.00		0	0.00		15	9.62		4	2.56		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	2.56		1	0.64		0	0.00		0	0.00		1	0.64		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		7	4.49		1	0.64		1	0.64		9	5.77		113	72.44		0	0.00		0	0.00		0	0.00		2	1.28		0	0.00		0	0.00		115	73.72		1	0.64		0	0.00		0	0.00		0	0.00		1	0.64		0	0.00		1	0.64		0	0.00		1	0.64		8	5.13		0	0.00		0	0.00		0	0.00		0	0.00		8	5.13		0	0.00		0	0.00		0	0.00		0	0.00		1	0.64		0	0.00		0	0.00		0	0.00		0	0.00		1	0.64		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.64		0	0.00		0	0.00		0	0.00		0	0.00		1	0.64		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		
	Brimpaen		1	1.79		0	0.00		0	0.00		1	1.79		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		9	16.07		0	0.00		1	1.79		10	17.86		36	64.29		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		36	64.29		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		5	8.93		0	0.00		0	0.00		0	0.00		0	0.00		5	8.93		0	0.00		0	0.00		0	0.00		0	0.00		1	1.79		1	1.79		0	0.00		0	0.00		0	0.00		2	3.57		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	3.57		0	0.00		0	0.00		0	0.00		0	0.00		2	3.57		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00	
	Cabarita		69	12.71		2	0.37		0	0.00		71	13.08		13	2.39		1	0.18		0	0.00		0	0.00		0	0.00		0	0.00		14	2.58		7	1.29		0	0.00		0	0.00		7	1.29		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		45	8.29		2	0.37		1	0.18		48	8.84		263	48.43		2	0.37		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		265	48.80		1	0.18		0	0.00		0	0.00		0	0.00		1	0.18		1	0.18		0	0.00		0	0.00		1	0.18		92	16.94		1	0.18		0	0.00		0	0.00		0	0.00		93	17.13		5	0.92		0	0.00		1	0.18		6	1.10		21	3.87		0	0.00		0	0.00		0	0.00		0	0.00		21	3.87		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		15	2.76		0	0.00		0	0.00		0	0.00		0	0.00		15	2.76		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00	
	Cardross		38	7.63		0	0.00		0	0.00		38	7.63		11	2.21		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		11	2.21		8	1.61		0	0.00		0	0.00		8	1.61		1	0.20		0	0.00		0	0.00		1	0.20		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		71	14.26		1	0.20		1	0.20		73	14.66		197	39.56		1	0.20		0	0.00		1	0.20		2	0.40		0	0.00		0	0.00		201	40.36		3	0.60		0	0.00		0	0.00		0	0.00		3	0.60		1	0.20		0	0.00		0	0.00		1	0.20		119	23.90		1	0.20		0	0.00		0	0.00		0	0.00		120	24.10		5	1.00		0	0.00		1	0.20		6	1.20		17	3.41		5	1.00		0	0.00		0	0.00		0	0.00		22	4.42		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		14	2.81		0	0.00		0	0.00		0	0.00		0	0.00		14	2.81		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00	
	Charlton		116	13.00		0	0.00		0	0.00		116	13.00		30	3.36		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		30	3.36		16	1.79		1	0.11		0	0.00		17	1.91		0	0.00		0	0.00		0	0.00		0	0.00		2	0.22		0	0.00		0	0.00		2	0.22		0	0.00		0	0.00		0	0.00		0	0.00		47	5.27		2	0.22		0	0.00		49	5.49		482	54.04		9	1.01		0	0.00		0	0.00		1	0.11		0	0.00		0	0.00		492	55.16		5	0.56		0	0.00		0	0.00		0	0.00		5	0.56		2	0.22		0	0.00		0	0.00		2	0.22		126	14.13		4	0.45		0	0.00		1	0.11		0	0.00		131	14.69		2	0.22		0	0.00		0	0.00		2	0.22		26	2.91		1	0.11		0	0.00		0	0.00		0	0.00		27	3.03		1	0.11		0	0.00		0	0.00		1	0.11		0	0.00		0	0.00		0	0.00		0	0.00		15	1.68		3	0.34		0	0.00		0	0.00		0	0.00		18	2.02		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00	
	Culgoa		7	6.86		0	0.00		0	0.00		7	6.86		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.98		1	0.98		0	0.00		2	1.96		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		5	4.90		0	0.00		0	0.00		5	4.90		63	61.76		1	0.98		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		64	62.75		1	0.98		0	0.00		0	0.00		0	0.00		1	0.98		0	0.00		0	0.00		0	0.00		0	0.00		18	17.65		1	0.98		0	0.00		0	0.00		0	0.00		19	18.63		1	0.98		0	0.00		0	0.00		1	0.98		1	0.98		0	0.00		0	0.00		0	0.00		0	0.00		1	0.98		0	0.00		0	0.00		0	0.00		0	0.00		1	0.98		0	0.00		0	0.00		1	0.98		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.98		1	0.98	
	Cullulleraine		12	11.11		0	0.00		0	0.00		12	11.11		3	2.78		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	2.78		2	1.85		0	0.00		0	0.00		2	1.85		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		9	8.33		0	0.00		0	0.00		9	8.33		54	50.00		1	0.93		0	0.00		0	0.00		1	0.93		0	0.00		0	0.00		56	51.85		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		19	17.59		0	0.00		0	0.00		0	0.00		0	0.00		19	17.59		1	0.93		0	0.00		1	0.93		2	1.85		5	4.63		0	0.00		0	0.00		0	0.00		0	0.00		5	4.63		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00	
	Dadswells Bridge		6	6.45		0	0.00		0	0.00		6	6.45		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		11	11.83		2	2.15		1	1.08		14	15.05		51	54.84		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		51	54.84		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	1.08		0	0.00		0	0.00		1	1.08		16	17.20		0	0.00		0	0.00		0	0.00		0	0.00		16	17.20		0	0.00		0	0.00		0	0.00		0	0.00		1	1.08		0	0.00		0	0.00		0	0.00		0	0.00		1	1.08		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	4.30		0	0.00		0	0.00		0	0.00		0	0.00		4	4.30		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00	
	Dimboola		81	7.52		2	0.19		2	0.19		85	7.89		36	3.34		2	0.19		0	0.00		0	0.00		0	0.00		0	0.00		38	3.53		15	1.39		3	0.28		0	0.00		18	1.67		2	0.19		0	0.00		0	0.00		2	0.19		1	0.09		0	0.00		0	0.00		1	0.09		2	0.19		0	0.00		0	0.00		2	0.19		104	9.66		3	0.28		0	0.00		107	9.94		392	36.40		2	0.19		0	0.00		0	0.00		3	0.28		0	0.00		0	0.00		397	36.86		5	0.46		0	0.00		0	0.00		0	0.00		5	0.46		14	1.30		2	0.19		0	0.00		16	1.49		335	31.10		3	0.28		0	0.00		0	0.00		0	0.00		338	31.38		4	0.37		0	0.00		0	0.00		4	0.37		36	3.34		2	0.19		0	0.00		0	0.00		0	0.00		38	3.53		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		23	2.14		1	0.09		0	0.00		0	0.00		0	0.00		24	2.23		2	0.19		0	0.00		0	0.00		0	0.00		2	0.19	
	Donald		79	7.02		3	0.27		2	0.18		84	7.46		17	1.51		2	0.18		0	0.00		0	0.00		0	0.00		0	0.00		19	1.69		12	1.07		4	0.36		0	0.00		16	1.42		1	0.09		0	0.00		0	0.00		1	0.09		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		81	7.19		4	0.36		0	0.00		85	7.55		637	56.57		3	0.27		1	0.09		0	0.00		1	0.09		0	0.00		0	0.00		642	57.02		4	0.36		0	0.00		0	0.00		0	0.00		4	0.36		0	0.00		0	0.00		1	0.09		1	0.09		202	17.94		4	0.36		0	0.00		0	0.00		0	0.00		206	18.29		2	0.18		2	0.18		1	0.09		5	0.44		34	3.02		6	0.53		0	0.00		0	0.00		0	0.00		40	3.55		0	0.00		0	0.00		0	0.00		0	0.00		1	0.09		0	0.00		0	0.00		1	0.09		21	1.87		1	0.09		0	0.00		0	0.00		0	0.00		22	1.95		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00	
	Dooen		7	4.86		0	0.00		0	0.00		7	4.86		4	2.78		1	0.69		0	0.00		0	0.00		0	0.00		0	0.00		5	3.47		4	2.78		0	0.00		0	0.00		4	2.78		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		13	9.03		1	0.69		1	0.69		15	10.42		94	65.28		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		94	65.28		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.69		0	0.00		0	0.00		1	0.69		11	7.64		0	0.00		0	0.00		0	0.00		0	0.00		11	7.64		0	0.00		0	0.00		0	0.00		0	0.00		4	2.78		1	0.69		0	0.00		0	0.00		0	0.00		5	3.47		0	0.00		0	0.00		0	0.00		0	0.00		1	0.69		0	0.00		0	0.00		1	0.69		1	0.69		0	0.00		0	0.00		0	0.00		0	0.00		1	0.69		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00	
	Edenhope		84	10.31		1	0.12		0	0.00		85	10.43		21	2.58		1	0.12		0	0.00		0	0.00		0	0.00		0	0.00		22	2.70		11	1.35		1	0.12		0	0.00		12	1.47		1	0.12		0	0.00		0	0.00		1	0.12		0	0.00		0	0.00		0	0.00		0	0.00		1	0.12		0	0.00		0	0.00		1	0.12		80	9.82		7	0.86		0	0.00		87	10.67		383	46.99		6	0.74		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		389	47.73		2	0.25		0	0.00		0	0.00		0	0.00		2	0.25		1	0.12		0	0.00		0	0.00		1	0.12		167	20.49		5	0.61		0	0.00		0	0.00		0	0.00		172	21.10		1	0.12		0	0.00		0	0.00		1	0.12		24	2.94		0	0.00		0	0.00		0	0.00		0	0.00		24	2.94		0	0.00		0	0.00		0	0.00		0	0.00		1	0.12		0	0.00		0	0.00		1	0.12		14	1.72		2	0.25		0	0.00		0	0.00		0	0.00		16	1.96		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00	
