Senate - 2001 Election: Victoria																																																																																																																																																																																																																																																												
First Preference Votes by Candidate																																																																																																																																																																																																																																																												
By Polling Place																																																																																																																																																																																																																																																												
McEwen (89021)																																																																																																																																																																																																																																																												

		   	 A liberals for forests												 B Democratic Labor Party (DLP) of Australia																					 C Phil Cleary - Independent Australia												 D Citizens Electoral Council of Australia												 E 												 F 												 G Pauline Hanson's One Nation												 H Liberal/National Party																								 I Unity - Say No To Hanson															 J 												 K Australian Labor Party (Victorian Branch)																		 L Christian Democratic Party (Fred Nile Group)												 M Australian Democrats																		 N 												 O Hope Party Australia												 P Australian Greens																		 Q 															
	    		TICKET VOTES			PATHY			LUGG			Group Total			TICKET VOTES			MULHOLLAND			CREA			KING			MAURUS			WELLS			Group Total			TICKET VOTES			CLEARY			ZOMBOLAS			Group Total			TICKET VOTES			ISHERWOOD			BARWICK			Group Total			TICKET VOTES			TOSCANO			REGHENZANI			Group Total			TICKET VOTES			RASKOVY			KENNEDY			Group Total			TICKET VOTES			SPENCER			MCINTYRE			Group Total			TICKET VOTES			# ALSTON			# KEMP			# PATTERSON			HAWKER			DE MARCHI			TRAN			Group Total			TICKET VOTES			LEE			WOLOWSKI			COPE			Group Total			TICKET VOTES			BAKER			BARBER			Group Total			TICKET VOTES			# RAY			# MARSHALL			MURPHY			CHONG			Group Total			TICKET VOTES			GRAHAM			JAGO			Group Total			TICKET VOTES			# ALLISON			HARCOURT			WARK			ALESICH			Group Total			TICKET VOTES			DAVIS			BROCAS			Group Total			TICKET VOTES			PETHERBRIDGE			POYNTON			Group Total			TICKET VOTES			KINNEAR			MULLANE			MATHEW			CONOR			Group Total			TICKET VOTES			THORNE			PEART			DEWBERRY			Group Total			
	    					Suresh			John									John			Pat			Gail			Rosemary			Ken									Phil			Eileen									Noelene			Robert									Joseph			Stephen									Steve			Elizabeth									Robyn			Neville									Richard Kenneth Robert			Rod			Kay			Tim			Dino			Duc-Dung									Wellington			Diana			Bill									A.T.			Pam									Robert			Gavin			Ted			Robert									Murray			Arnold Hartley									Lyn			Pierre			David			Simone									Craig			Donna									Tim			Lee-anne									Scott			Eleisha			Dinesh			Liz									Alison			Sarah			Tony						
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		
	Alexandra		37	2.33		2	0.13		0	0.00		39	2.46		19	1.20		2	0.13		0	0.00		0	0.00		0	0.00		0	0.00		21	1.32		14	0.88		2	0.13		0	0.00		16	1.01		3	0.19		0	0.00		0	0.00		3	0.19		1	0.06		0	0.00		0	0.00		1	0.06		1	0.06		0	0.00		0	0.00		1	0.06		35	2.21		5	0.32		0	0.00		40	2.52		790	49.84		7	0.44		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		797	50.28		7	0.44		0	0.00		0	0.00		0	0.00		7	0.44		2	0.13		0	0.00		0	0.00		2	0.13		479	30.22		9	0.57		0	0.00		1	0.06		0	0.00		489	30.85		5	0.32		1	0.06		0	0.00		6	0.38		106	6.69		12	0.76		0	0.00		0	0.00		0	0.00		118	7.44		1	0.06		0	0.00		0	0.00		1	0.06		1	0.06		0	0.00		0	0.00		1	0.06		36	2.27		7	0.44		0	0.00		0	0.00		0	0.00		43	2.71		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		
	Arthurs Creek		3	0.84		2	0.56		0	0.00		5	1.40		2	0.56		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.56		6	1.69		3	0.84		0	0.00		9	2.53		1	0.28		0	0.00		0	0.00		1	0.28		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		6	1.69		2	0.56		0	0.00		8	2.25		202	56.74		5	1.40		0	0.00		2	0.56		0	0.00		0	0.00		0	0.00		209	58.71		2	0.56		0	0.00		0	0.00		0	0.00		2	0.56		0	0.00		0	0.00		0	0.00		0	0.00		69	19.38		1	0.28		0	0.00		0	0.00		1	0.28		71	19.94		3	0.84		1	0.28		0	0.00		4	1.12		16	4.49		0	0.00		0	0.00		0	0.00		0	0.00		16	4.49		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		23	6.46		4	1.12		0	0.00		1	0.28		1	0.28		29	8.15		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		
	Avenel		8	1.34		2	0.33		0	0.00		10	1.67		13	2.17		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		13	2.17		5	0.84		1	0.17		0	0.00		6	1.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.17		0	0.00		0	0.00		1	0.17		24	4.01		1	0.17		0	0.00		25	4.18		283	47.32		4	0.67		0	0.00		2	0.33		1	0.17		0	0.00		0	0.00		290	48.49		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	0.50		0	0.00		0	0.00		3	0.50		192	32.11		6	1.00		0	0.00		0	0.00		0	0.00		198	33.11		1	0.17		0	0.00		0	0.00		1	0.17		12	2.01		6	1.00		0	0.00		0	0.00		0	0.00		18	3.01		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		28	4.68		4	0.67		0	0.00		0	0.00		1	0.17		33	5.52		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		
	Badger Creek		35	2.83		2	0.16		0	0.00		37	2.99		18	1.46		1	0.08		0	0.00		0	0.00		0	0.00		0	0.00		19	1.54		12	0.97		0	0.00		0	0.00		12	0.97		0	0.00		0	0.00		0	0.00		0	0.00		2	0.16		0	0.00		0	0.00		2	0.16		0	0.00		0	0.00		0	0.00		0	0.00		34	2.75		3	0.24		0	0.00		37	2.99		461	37.27		6	0.49		0	0.00		1	0.08		0	0.00		0	0.00		0	0.00		468	37.83		1	0.08		0	0.00		0	0.00		0	0.00		1	0.08		1	0.08		1	0.08		0	0.00		2	0.16		405	32.74		3	0.24		0	0.00		0	0.00		0	0.00		408	32.98		9	0.73		1	0.08		0	0.00		10	0.81		115	9.30		5	0.40		0	0.00		0	0.00		0	0.00		120	9.70		0	0.00		0	0.00		0	0.00		0	0.00		1	0.08		1	0.08		0	0.00		2	0.16		105	8.49		13	1.05		0	0.00		0	0.00		0	0.00		118	9.54		1	0.08		0	0.00		0	0.00		0	0.00		1	0.08		
	Beveridge		10	4.35		0	0.00		0	0.00		10	4.35		6	2.61		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		6	2.61		1	0.43		0	0.00		0	0.00		1	0.43		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		11	4.78		0	0.00		0	0.00		11	4.78		89	38.70		1	0.43		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		90	39.13		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		81	35.22		0	0.00		0	0.00		0	0.00		0	0.00		81	35.22		0	0.00		0	0.00		0	0.00		0	0.00		22	9.57		0	0.00		0	0.00		0	0.00		0	0.00		22	9.57		0	0.00		0	0.00		0	0.00		0	0.00		1	0.43		0	0.00		0	0.00		1	0.43		7	3.04		1	0.43		0	0.00		0	0.00		0	0.00		8	3.48		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		
	Bonnie Doon		8	2.68		0	0.00		0	0.00		8	2.68		3	1.01		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	1.01		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		14	4.70		0	0.00		0	0.00		14	4.70		171	57.38		2	0.67		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		173	58.05		2	0.67		0	0.00		0	0.00		0	0.00		2	0.67		1	0.34		0	0.00		0	0.00		1	0.34		69	23.15		0	0.00		0	0.00		0	0.00		0	0.00		69	23.15		1	0.34		0	0.00		0	0.00		1	0.34		12	4.03		0	0.00		0	0.00		0	0.00		0	0.00		12	4.03		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		15	5.03		0	0.00		0	0.00		0	0.00		0	0.00		15	5.03		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		
	Broadford		30	1.48		2	0.10		0	0.00		32	1.58		30	1.48		1	0.05		0	0.00		0	0.00		0	0.00		0	0.00		31	1.53		43	2.13		5	0.25		0	0.00		48	2.38		1	0.05		0	0.00		0	0.00		1	0.05		0	0.00		0	0.00		0	0.00		0	0.00		1	0.05		0	0.00		0	0.00		1	0.05		87	4.30		5	0.25		1	0.05		93	4.60		719	35.58		5	0.25		2	0.10		0	0.00		0	0.00		0	0.00		1	0.05		727	35.97		3	0.15		0	0.00		0	0.00		0	0.00		3	0.15		1	0.05		0	0.00		0	0.00		1	0.05		850	42.06		12	0.59		2	0.10		1	0.05		0	0.00		865	42.80		6	0.30		1	0.05		0	0.00		7	0.35		101	5.00		12	0.59		0	0.00		0	0.00		0	0.00		113	5.59		0	0.00		0	0.00		0	0.00		0	0.00		3	0.15		0	0.00		0	0.00		3	0.15		88	4.35		5	0.25		0	0.00		0	0.00		0	0.00		93	4.60		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		
	Buxton		7	2.89		0	0.00		0	0.00		7	2.89		2	0.83		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.83		2	0.83		0	0.00		0	0.00		2	0.83		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		5	2.07		0	0.00		0	0.00		5	2.07		125	51.65		6	2.48		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		131	54.13		1	0.41		0	0.00		0	0.00		0	0.00		1	0.41		1	0.41		0	0.00		0	0.00		1	0.41		64	26.45		1	0.41		0	0.00		0	0.00		0	0.00		65	26.86		1	0.41		2	0.83		0	0.00		3	1.24		12	4.96		1	0.41		0	0.00		0	0.00		0	0.00		13	5.37		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		9	3.72		2	0.83		1	0.41		0	0.00		0	0.00		12	4.96		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00	
	Christmas Hills		4	3.13		0	0.00		0	0.00		4	3.13		4	3.13		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	3.13		3	2.34		1	0.78		0	0.00		4	3.13		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	3.13		1	0.78		0	0.00		5	3.91		31	24.22		1	0.78		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		32	25.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		34	26.56		1	0.78		0	0.00		0	0.00		0	0.00		35	27.34		0	0.00		0	0.00		0	0.00		0	0.00		12	9.38		3	2.34		0	0.00		0	0.00		0	0.00		15	11.72		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		26	20.31		3	2.34		0	0.00		0	0.00		0	0.00		29	22.66		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00	
	Clonbinane		4	1.74		0	0.00		0	0.00		4	1.74		7	3.04		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		7	3.04		6	2.61		2	0.87		0	0.00		8	3.48		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		6	2.61		0	0.00		0	0.00		6	2.61		71	30.87		1	0.43		0	0.00		1	0.43		1	0.43		0	0.00		0	0.00		74	32.17		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.43		0	0.00		0	0.00		1	0.43		104	45.22		0	0.00		0	0.00		0	0.00		0	0.00		104	45.22		0	0.00		0	0.00		0	0.00		0	0.00		11	4.78		1	0.43		0	0.00		0	0.00		1	0.43		13	5.65		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		11	4.78		2	0.87		0	0.00		0	0.00		0	0.00		13	5.65		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00	
	Craigieburn		72	1.54		1	0.02		1	0.02		74	1.58		153	3.27		0	0.00		1	0.02		1	0.02		0	0.00		0	0.00		155	3.32		51	1.09		5	0.11		0	0.00		56	1.20		4	0.09		0	0.00		0	0.00		4	0.09		3	0.06		0	0.00		0	0.00		3	0.06		1	0.02		0	0.00		0	0.00		1	0.02		97	2.07		5	0.11		0	0.00		102	2.18		1273	27.23		14	0.30		0	0.00		2	0.04		0	0.00		1	0.02		0	0.00		1290	27.59		9	0.19		0	0.00		1	0.02		0	0.00		10	0.21		0	0.00		0	0.00		0	0.00		0	0.00		2583	55.25		9	0.19		1	0.02		0	0.00		0	0.00		2593	55.47		14	0.30		3	0.06		0	0.00		17	0.36		218	4.66		8	0.17		0	0.00		0	0.00		0	0.00		226	4.83		3	0.06		0	0.00		0	0.00		3	0.06		7	0.15		0	0.00		0	0.00		7	0.15		124	2.65		6	0.13		0	0.00		0	0.00		0	0.00		130	2.78		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00	
	Craigieburn South		31	1.29		0	0.00		1	0.04		32	1.33		64	2.66		2	0.08		0	0.00		0	0.00		0	0.00		1	0.04		67	2.78		24	1.00		4	0.17		0	0.00		28	1.16		6	0.25		1	0.04		0	0.00		7	0.29		0	0.00		0	0.00		0	0.00		0	0.00		1	0.04		0	0.00		0	0.00		1	0.04		78	3.24		3	0.12		0	0.00		81	3.37		614	25.51		10	0.42		0	0.00		0	0.00		0	0.00		1	0.04		0	0.00		625	25.97		6	0.25		0	0.00		0	0.00		0	0.00		6	0.25		2	0.08		0	0.00		0	0.00		2	0.08		1314	54.59		8	0.33		0	0.00		1	0.04		0	0.00		1323	54.96		7	0.29		0	0.00		0	0.00		7	0.29		148	6.15		2	0.08		0	0.00		0	0.00		0	0.00		150	6.23		0	0.00		0	0.00		0	0.00		0	0.00		1	0.04		0	0.00		0	0.00		1	0.04		73	3.03		1	0.04		0	0.00		2	0.08		0	0.00		76	3.16		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00	
	Diamond Creek		39	1.44		2	0.07		0	0.00		41	1.52		43	1.59		2	0.07		0	0.00		0	0.00		0	0.00		0	0.00		45	1.66		20	0.74		1	0.04		0	0.00		21	0.78		3	0.11		0	0.00		0	0.00		3	0.11		1	0.04		0	0.00		0	0.00		1	0.04		0	0.00		0	0.00		0	0.00		0	0.00		57	2.11		2	0.07		1	0.04		60	2.22		1094	40.43		22	0.81		1	0.04		0	0.00		0	0.00		2	0.07		1	0.04		1120	41.39		7	0.26		0	0.00		0	0.00		0	0.00		7	0.26		0	0.00		0	0.00		0	0.00		0	0.00		906	33.48		17	0.63		0	0.00		1	0.04		0	0.00		924	34.15		10	0.37		6	0.22		0	0.00		16	0.59		286	10.57		18	0.67		0	0.00		0	0.00		1	0.04		305	11.27		1	0.04		0	0.00		0	0.00		1	0.04		2	0.07		0	0.00		0	0.00		2	0.07		140	5.17		17	0.63		0	0.00		0	0.00		2	0.07		159	5.88		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00	
