Senate - 2001 Election: Victoria																																																																																																																																																																																																																																																												
First Preference Votes by Candidate  																																																																																																																																																																																																																																																												
By Polling Place																																																																																																																																																																																																																																																												
Murray (85651)																																																																																																																																																																																																																																																												
		   	 A liberals for forests												 B Democratic Labor Party (DLP) of Australia																					 C Phil Cleary - Independent Australia												 D Citizens Electoral Council of Australia												 E 												 F 												 G Pauline Hanson's One Nation												 H Liberal/National Party																								 I Unity - Say No To Hanson															 J 												 K Australian Labor Party (Victorian Branch)																		 L Christian Democratic Party (Fred Nile Group)												 M Australian Democrats																		 N 												 O Hope Party Australia												 P Australian Greens																		 Q 															
	    		TICKET VOTES			PATHY			LUGG			Group Total			TICKET VOTES			MULHOLLAND			CREA			KING			MAURUS			WELLS			Group Total			TICKET VOTES			CLEARY			ZOMBOLAS			Group Total			TICKET VOTES			ISHERWOOD			BARWICK			Group Total			TICKET VOTES			TOSCANO			REGHENZANI			Group Total			TICKET VOTES			RASKOVY			KENNEDY			Group Total			TICKET VOTES			SPENCER			MCINTYRE			Group Total			TICKET VOTES			# ALSTON			# KEMP			# PATTERSON			HAWKER			DE MARCHI			TRAN			Group Total			TICKET VOTES			LEE			WOLOWSKI			COPE			Group Total			TICKET VOTES			BAKER			BARBER			Group Total			TICKET VOTES			# RAY			# MARSHALL			MURPHY			CHONG			Group Total			TICKET VOTES			GRAHAM			JAGO			Group Total			TICKET VOTES			# ALLISON			HARCOURT			WARK			ALESICH			Group Total			TICKET VOTES			DAVIS			BROCAS			Group Total			TICKET VOTES			PETHERBRIDGE			POYNTON			Group Total			TICKET VOTES			KINNEAR			MULLANE			MATHEW			CONOR			Group Total			TICKET VOTES			THORNE			PEART			DEWBERRY			Group Total			
	    					Suresh			John									John			Pat			Gail			Rosemary			Ken									Phil			Eileen									Noelene			Robert									Joseph			Stephen									Steve			Elizabeth									Robyn			Neville									Richard Kenneth Robert			Rod			Kay			Tim			Dino			Duc-Dung									Wellington			Diana			Bill									A.T.			Pam									Robert			Gavin			Ted			Robert									Murray			Arnold Hartley									Lyn			Pierre			David			Simone									Craig			Donna									Tim			Lee-anne									Scott			Eleisha			Dinesh			Liz									Alison			Sarah			Tony						
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		
	Ardmona		9	2.18		0	0.00		0	0.00		9	2.18		17	4.12		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		17	4.12		6	1.45		3	0.73		0	0.00		9	2.18		1	0.24		0	0.00		0	0.00		1	0.24		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		13	3.15		10	2.42		0	0.00		23	5.57		245	59.32		1	0.24		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		246	59.56		1	0.24		0	0.00		0	0.00		0	0.00		1	0.24		0	0.00		0	0.00		0	0.00		0	0.00		87	21.07		0	0.00		0	0.00		0	0.00		0	0.00		87	21.07		0	0.00		0	0.00		0	0.00		0	0.00		14	3.39		0	0.00		0	0.00		0	0.00		0	0.00		14	3.39		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		6	1.45		0	0.00		0	0.00		0	0.00		0	0.00		6	1.45		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		
	Ballendella		2	1.27		1	0.63		0	0.00		3	1.90		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		5	3.16		0	0.00		0	0.00		5	3.16		123	77.85		0	0.00		0	0.00		0	0.00		2	1.27		0	0.00		0	0.00		125	79.11		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		17	10.76		0	0.00		0	0.00		0	0.00		0	0.00		17	10.76		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		7	4.43		0	0.00		0	0.00		0	0.00		0	0.00		7	4.43		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		
	Bamawm		1	0.53		1	0.53		0	0.00		2	1.07		1	0.53		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.53		1	0.53		2	1.07		0	0.00		3	1.60		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	2.14		0	0.00		0	0.00		4	2.14		147	78.61		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		147	78.61		1	0.53		0	0.00		0	0.00		0	0.00		1	0.53		0	0.00		0	0.00		0	0.00		0	0.00		19	10.16		2	1.07		0	0.00		0	0.00		0	0.00		21	11.23		1	0.53		0	0.00		0	0.00		1	0.53		5	2.67		0	0.00		0	0.00		0	0.00		0	0.00		5	2.67		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	1.07		0	0.00		0	0.00		0	0.00		0	0.00		2	1.07		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		
	Bamawm Extension		2	1.27		0	0.00		0	0.00		2	1.27		1	0.64		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.64		1	0.64		0	0.00		0	0.00		1	0.64		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		13	8.28		0	0.00		0	0.00		13	8.28		119	75.80		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		119	75.80		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		12	7.64		0	0.00		0	0.00		0	0.00		0	0.00		12	7.64		2	1.27		0	0.00		0	0.00		2	1.27		4	2.55		0	0.00		0	0.00		0	0.00		0	0.00		4	2.55		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	1.91		0	0.00		0	0.00		0	0.00		0	0.00		3	1.91		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		
	Barmah		7	3.70		0	0.00		0	0.00		7	3.70		4	2.12		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	2.12		3	1.59		0	0.00		0	0.00		3	1.59		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		23	12.17		0	0.00		0	0.00		23	12.17		77	40.74		2	1.06		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		79	41.80		1	0.53		0	0.00		0	0.00		0	0.00		1	0.53		0	0.00		0	0.00		0	0.00		0	0.00		58	30.69		0	0.00		0	0.00		0	0.00		0	0.00		58	30.69		1	0.53		0	0.00		0	0.00		1	0.53		7	3.70		0	0.00		0	0.00		0	0.00		0	0.00		7	3.70		0	0.00		0	0.00		0	0.00		0	0.00		1	0.53		0	0.00		0	0.00		1	0.53		5	2.65		0	0.00		0	0.00		0	0.00		0	0.00		5	2.65		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		
	Boort		18	2.70		0	0.00		0	0.00		18	2.70		7	1.05		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		7	1.05		4	0.60		0	0.00		0	0.00		4	0.60		0	0.00		0	0.00		0	0.00		0	0.00		1	0.15		0	0.00		0	0.00		1	0.15		0	0.00		0	0.00		0	0.00		0	0.00		36	5.41		0	0.00		0	0.00		36	5.41		443	66.52		10	1.50		0	0.00		0	0.00		0	0.00		0	0.00		1	0.15		454	68.17		2	0.30		0	0.00		0	0.00		0	0.00		2	0.30		0	0.00		0	0.00		0	0.00		0	0.00		98	14.71		4	0.60		0	0.00		0	0.00		0	0.00		102	15.32		9	1.35		1	0.15		0	0.00		10	1.50		18	2.70		2	0.30		0	0.00		0	0.00		0	0.00		20	3.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		11	1.65		1	0.15		0	0.00		0	0.00		0	0.00		12	1.80		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		
	Bunbartha		2	1.27		0	0.00		0	0.00		2	1.27		1	0.63		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.63		2	1.27		1	0.63		0	0.00		3	1.90		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		9	5.70		0	0.00		0	0.00		9	5.70		111	70.25		1	0.63		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		112	70.89		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		17	10.76		0	0.00		0	0.00		0	0.00		0	0.00		17	10.76		1	0.63		1	0.63		0	0.00		2	1.27		8	5.06		1	0.63		0	0.00		0	0.00		0	0.00		9	5.70		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	1.90		0	0.00		0	0.00		0	0.00		0	0.00		3	1.90		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		
	Byrneside		5	2.04		1	0.41		0	0.00		6	2.45		4	1.63		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	1.63		5	2.04		2	0.82		0	0.00		7	2.86		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		9	3.67		1	0.41		0	0.00		10	4.08		181	73.88		2	0.82		0	0.00		1	0.41		0	0.00		0	0.00		0	0.00		184	75.10		1	0.41		0	0.00		0	0.00		0	0.00		1	0.41		0	0.00		0	0.00		0	0.00		0	0.00		20	8.16		0	0.00		0	0.00		0	0.00		0	0.00		20	8.16		1	0.41		0	0.00		0	0.00		1	0.41		4	1.63		1	0.41		0	0.00		0	0.00		0	0.00		5	2.04		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	1.63		2	0.82		0	0.00		0	0.00		0	0.00		6	2.45		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		
	Calivil		2	1.42		0	0.00		0	0.00		2	1.42		1	0.71		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.71		2	1.42		0	0.00		0	0.00		2	1.42		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		10	7.09		2	1.42		0	0.00		12	8.51		102	72.34		3	2.13		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		105	74.47		1	0.71		0	0.00		0	0.00		0	0.00		1	0.71		2	1.42		0	0.00		0	0.00		2	1.42		8	5.67		0	0.00		0	0.00		0	0.00		0	0.00		8	5.67		0	0.00		0	0.00		0	0.00		0	0.00		4	2.84		1	0.71		0	0.00		0	0.00		0	0.00		5	3.55		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	2.13		0	0.00		0	0.00		0	0.00		0	0.00		3	2.13		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00	
	Cobram		88	2.96		2	0.07		0	0.00		90	3.03		48	1.62		3	0.10		0	0.00		0	0.00		0	0.00		0	0.00		51	1.72		22	0.74		2	0.07		0	0.00		24	0.81		6	0.20		0	0.00		0	0.00		6	0.20		1	0.03		0	0.00		0	0.00		1	0.03		6	0.20		0	0.00		0	0.00		6	0.20		137	4.61		5	0.17		1	0.03		143	4.81		1660	55.87		7	0.24		0	0.00		0	0.00		5	0.17		1	0.03		2	0.07		1675	56.38		9	0.30		0	0.00		0	0.00		0	0.00		9	0.30		0	0.00		1	0.03		0	0.00		1	0.03		763	25.68		19	0.64		0	0.00		0	0.00		2	0.07		784	26.39		12	0.40		0	0.00		0	0.00		12	0.40		101	3.40		2	0.07		0	0.00		0	0.00		1	0.03		104	3.50		0	0.00		0	0.00		1	0.03		1	0.03		4	0.13		0	0.00		0	0.00		4	0.13		57	1.92		3	0.10		0	0.00		0	0.00		0	0.00		60	2.02		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00	
	Cohuna		52	2.79		3	0.16		0	0.00		55	2.95		22	1.18		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		22	1.18		24	1.29		3	0.16		0	0.00		27	1.45		3	0.16		0	0.00		0	0.00		3	0.16		1	0.05		0	0.00		0	0.00		1	0.05		0	0.00		0	0.00		0	0.00		0	0.00		93	4.99		1	0.05		0	0.00		94	5.04		1270	68.10		6	0.32		0	0.00		2	0.11		3	0.16		0	0.00		0	0.00		1281	68.69		8	0.43		0	0.00		0	0.00		0	0.00		8	0.43		0	0.00		1	0.05		0	0.00		1	0.05		292	15.66		3	0.16		1	0.05		0	0.00		0	0.00		296	15.87		7	0.38		0	0.00		0	0.00		7	0.38		39	2.09		3	0.16		0	0.00		0	0.00		1	0.05		43	2.31		0	0.00		0	0.00		0	0.00		0	0.00		1	0.05		0	0.00		0	0.00		1	0.05		20	1.07		2	0.11		1	0.05		0	0.00		2	0.11		25	1.34		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00	
	Colbinabbin		8	3.32		2	0.83		0	0.00		10	4.15		2	0.83		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.83		0	0.00		1	0.41		0	0.00		1	0.41		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		5	2.07		0	0.00		0	0.00		5	2.07		186	77.18		2	0.83		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		188	78.01		2	0.83		0	0.00		0	0.00		0	0.00		2	0.83		0	0.00		0	0.00		0	0.00		0	0.00		21	8.71		0	0.00		0	0.00		0	0.00		0	0.00		21	8.71		1	0.41		0	0.00		0	0.00		1	0.41		2	0.83		2	0.83		0	0.00		0	0.00		0	0.00		4	1.66		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		7	2.90		0	0.00		0	0.00		0	0.00		0	0.00		7	2.90		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00	
	Congupna		13	2.64		0	0.00		0	0.00		13	2.64		7	1.42		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		7	1.42		8	1.63		0	0.00		0	0.00		8	1.63		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		12	2.44		0	0.00		0	0.00		12	2.44		312	63.41		3	0.61		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		315	64.02		3	0.61		0	0.00		0	0.00		0	0.00		3	0.61		1	0.20		0	0.00		0	0.00		1	0.20		74	15.04		4	0.81		0	0.00		2	0.41		0	0.00		80	16.26		5	1.02		2	0.41		0	0.00		7	1.42		29	5.89		3	0.61		0	0.00		0	0.00		0	0.00		32	6.50		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		11	2.24		3	0.61		0	0.00		0	0.00		0	0.00		14	2.85		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00	
	Cooma		3	1.78		0	0.00		0	0.00		3	1.78		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.59		0	0.00		0	0.00		1	0.59		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		9	5.33		2	1.18		0	0.00		11	6.51		132	78.11		1	0.59		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		133	78.70		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		9	5.33		0	0.00		0	0.00		0	0.00		0	0.00		9	5.33		5	2.96		0	0.00		0	0.00		5	2.96		3	1.78		2	1.18		0	0.00		0	0.00		0	0.00		5	2.96		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	1.18		0	0.00		0	0.00		0	0.00		0	0.00		2	1.18		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00	
	Dhurringile		5	3.09		0	0.00		0	0.00		5	3.09		3	1.85		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	1.85		2	1.23		0	0.00		0	0.00		2	1.23		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		8	4.94		0	0.00		0	0.00		8	4.94		115	70.99		2	1.23		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		117	72.22		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		19	11.73		0	0.00		0	0.00		0	0.00		0	0.00		19	11.73		0	0.00		0	0.00		0	0.00		0	0.00		5	3.09		0	0.00		0	0.00		0	0.00		0	0.00		5	3.09		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	1.85		0	0.00		0	0.00		0	0.00		0	0.00		3	1.85		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00	
	Dingee		6	2.75		0	0.00		0	0.00		6	2.75		1	0.46		2	0.92		0	0.00		0	0.00		0	0.00		0	0.00		3	1.38		4	1.83		0	0.00		0	0.00		4	1.83		0	0.00		0	0.00		0	0.00		0	0.00		1	0.46		0	0.00		0	0.00		1	0.46		0	0.00		0	0.00		0	0.00		0	0.00		13	5.96		1	0.46		0	0.00		14	6.42		157	72.02		0	0.00		0	0.00		0	0.00		1	0.46		0	0.00		0	0.00		158	72.48		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		19	8.72		1	0.46		0	0.00		0	0.00		0	0.00		20	9.17		0	0.00		0	0.00		0	0.00		0	0.00		4	1.83		0	0.00		0	0.00		0	0.00		0	0.00		4	1.83		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		5	2.29		3	1.38		0	0.00		0	0.00		0	0.00		8	3.67		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00	
	Dingwall		2	1.96		0	0.00		0	0.00		2	1.96		1	0.98		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.98		2	1.96		0	0.00		0	0.00		2	1.96		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		12	11.76		0	0.00		0	0.00		12	11.76		76	74.51		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		76	74.51		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	1.96		0	0.00		0	0.00		0	0.00		0	0.00		2	1.96		0	0.00		0	0.00		0	0.00		0	0.00		2	1.96		3	2.94		0	0.00		0	0.00		0	0.00		5	4.90		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.98		1	0.98		0	0.00		0	0.00		0	0.00		2	1.96		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00	
	Dookie		10	3.62		0	0.00		0	0.00		10	3.62		2	0.72		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.72		2	0.72		1	0.36		0	0.00		3	1.09		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		18	6.52		4	1.45		0	0.00		22	7.97		160	57.97		5	1.81		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		165	59.78		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		46	16.67		0	0.00		0	0.00		0	0.00		0	0.00		46	16.67		0	0.00		2	0.72		0	0.00		2	0.72		13	4.71		0	0.00		0	0.00		0	0.00		0	0.00		13	4.71		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		11	3.99		1	0.36		0	0.00		0	0.00		0	0.00		12	4.35		1	0.36		0	0.00		0	0.00		0	0.00		1	0.36	
	Echuca		66	3.26		3	0.15		0	0.00		69	3.40		23	1.13		1	0.05		0	0.00		0	0.00		0	0.00		0	0.00		24	1.18		22	1.09		3	0.15		0	0.00		25	1.23		2	0.10		0	0.00		0	0.00		2	0.10		1	0.05		0	0.00		0	0.00		1	0.05		1	0.05		0	0.00		0	0.00		1	0.05		75	3.70		4	0.20		0	0.00		79	3.90		1192	58.81		13	0.64		0	0.00		1	0.05		2	0.10		0	0.00		0	0.00		1208	59.60		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		432	21.31		2	0.10		0	0.00		0	0.00		1	0.05		435	21.46		11	0.54		8	0.39		0	0.00		19	0.94		88	4.34		12	0.59		0	0.00		0	0.00		0	0.00		100	4.93		0	0.00		0	0.00		0	0.00		0	0.00		2	0.10		0	0.00		0	0.00		2	0.10		57	2.81		4	0.20		0	0.00		0	0.00		0	0.00		61	3.01		1	0.05		0	0.00		0	0.00		0	0.00		1	0.05	
