House of Representatives - 2001 Election: Victoria																						
Distribution of Preferences																						
By Polling Place																						
Batman																						
				BHATHAL			FERGUSON			KNEEBONE			LYNCH			DAVIES			BARWICK			
				Alexandra			Martin			Scott			Jackie			John			Wayne			
				GRN			ALP			DEM						LP			CEC			
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total
Alphington                                                     																						
	FIRST			323	23.46		571	41.47		122	8.86		21	1.53		338	24.55		2	0.15		1377
	SECOND			1	50.00		0	0.00		0	0.00		1	50.00		0	0.00			Excluded		2
		TOTAL		324	23.53		571	41.47		122	8.86		22	1.60		338	24.55					1377
	THIRD			15	68.18		2	9.09		2	9.09			Excluded		3	13.64					22
		TOTAL		339	24.62		573	41.61		124	9.01					341	24.76					1377
	FOURTH			80	64.52		24	19.35			Excluded					20	16.13					124
		TOTAL		419	30.43		597	43.36								361	26.22					1377
	FIFTH				Excluded		384	91.65								35	8.35					419
		TOTAL					981	71.24								396	28.76					1377
							Elected															
																						
Alphington North                                               																						
	FIRST			189	13.70		755	54.71		107	7.75		10	0.72		312	22.61		7	0.51		1380
	SECOND			3	42.86		1	14.29		1	14.29		0	0.00		2	28.57			Excluded		7
		TOTAL		192	13.91		756	54.78		108	7.83		10	0.72		314	22.75					1380
	THIRD			4	40.00		1	10.00		1	10.00			Excluded		4	40.00					10
		TOTAL		196	14.20		757	54.86		109	7.90					318	23.04					1380
	FOURTH			69	63.30		27	24.77			Excluded					13	11.93					109
		TOTAL		265	19.20		784	56.81								331	23.99					1380
	FIFTH				Excluded		228	86.04								37	13.96					265
		TOTAL					1012	73.33								368	26.67					1380
							Elected															
																						
Bell                                                           																						
	FIRST			252	13.19		1109	58.06		143	7.49		29	1.52		367	19.21		10	0.52		1910
	SECOND			2	20.00		0	0.00		1	10.00		2	20.00		5	50.00			Excluded		10
		TOTAL		254	13.30		1109	58.06		144	7.54		31	1.62		372	19.48					1910
	THIRD			20	64.52		5	16.13		4	12.90			Excluded		2	6.45					31
		TOTAL		274	14.35		1114	58.32		148	7.75					374	19.58					1910
	FOURTH			106	71.62		33	22.30			Excluded					9	6.08					148
		TOTAL		380	19.90		1147	60.05								383	20.05					1910
	FIFTH				Excluded		341	89.74								39	10.26					380
		TOTAL					1488	77.91								422	22.09					1910
							Elected															
																						
Boldrewood                                                     																						
	FIRST			109	6.38		1150	67.33		78	4.57		11	0.64		355	20.78		5	0.29		1708
	SECOND			2	40.00		0	0.00		0	0.00		2	40.00		1	20.00			Excluded		5
		TOTAL		111	6.50		1150	67.33		78	4.57		13	0.76		356	20.84					1708
	THIRD			6	46.15		3	23.08		2	15.38			Excluded		2	15.38					13
		TOTAL		117	6.85		1153	67.51		80	4.68					358	20.96					1708
	FOURTH			44	55.00		28	35.00			Excluded					8	10.00					80
		TOTAL		161	9.43		1181	69.15								366	21.43					1708
	FIFTH				Excluded		137	85.09								24	14.91					161
		TOTAL					1318	77.17								390	22.83					1708
							Elected															
																						
Burbank                                                        																						
	FIRST			40	3.63		764	69.27		38	3.45		3	0.27		252	22.85		6	0.54		1103
	SECOND			1	16.67		0	0.00		0	0.00		2	33.33		3	50.00			Excluded		6
