House of Representatives - 2001 Election: Victoria																
Distribution of Preferences 																
By Polling Place																
Bruce																
				COLLIS			STEEL			GRIFFIN			ROBYNS			
				David			Reg			Alan			Shaun			
				GRN			LP			ALP			DEM			
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Total
Albany Rise                                                    																
	FIRST			105	3.21		1179	36.06		1729	52.87		257	7.86		3270
	SECOND				Excluded		27	25.71		34	32.38		44	41.90		105
		TOTAL					1206	36.88		1763	53.91		301	9.20		3270
	THIRD						100	33.22		201	66.78			Excluded		301
		TOTAL					1306	39.94		1964	60.06					3270
										Elected						
																
Brandon Park                                                   																
	FIRST			161	5.26		1385	45.26		1305	42.65		209	6.83		3060
	SECOND				Excluded		29	18.01		39	24.22		93	57.76		161
		TOTAL					1414	46.21		1344	43.92		302	9.87		3060
	THIRD						79	26.16		223	73.84			Excluded		302
		TOTAL					1493	48.79		1567	51.21					3060
										Elected						
																
Brentwood                                                      																
	FIRST			148	5.00		1448	48.92		1194	40.34		170	5.74		2960
	SECOND				Excluded		32	21.62		30	20.27		86	58.11		148
		TOTAL					1480	50.00		1224	41.35		256	8.65		2960
	THIRD						81	31.64		175	68.36			Excluded		256
		TOTAL					1561	52.74		1399	47.26					2960
										Elected						
																
Camelot                                                        																
	FIRST			82	5.14		816	51.13		617	38.66		81	5.08		1596
	SECOND				Excluded		15	18.29		21	25.61		46	56.10		82
		TOTAL					831	52.07		638	39.97		127	7.96		1596
	THIRD						53	41.73		74	58.27			Excluded		127
		TOTAL					884	55.39		712	44.61					1596
										Elected						
																
Clareville                                                     																
	FIRST			87	3.90		733	32.90		1281	57.50		127	5.70		2228
	SECOND				Excluded		28	32.18		21	24.14		38	43.68		87
		TOTAL					761	34.16		1302	58.44		165	7.41		2228
	THIRD						50	30.30		115	69.70			Excluded		165
		TOTAL					811	36.40		1417	63.60					2228
										Elected						
																
Dandenong North                                                																
	FIRST			108	3.64		801	26.98		1912	64.40		148	4.98		2969
	SECOND				Excluded		29	26.85		27	25.00		52	48.15		108
		TOTAL					830	27.96		1939	65.31		200	6.74		2969
	THIRD						65	32.50		135	67.50			Excluded		200
		TOTAL					895	30.14		2074	69.86					2969
										Elected						
																
Dandenong West (Bruce)                                         																
	FIRST			26	2.99		269	30.96		516	59.38		58	6.67		869
	SECOND				Excluded		7	26.92		8	30.77		11	42.31		26
		TOTAL					276	31.76		524	60.30		69	7.94		869
	THIRD						27	39.13		42	60.87			Excluded		69
		TOTAL					303	34.87		566	65.13					869
										Elected						
																
Gladeswood                                                     																
	FIRST			90	3.25		1066	38.55		1416	51.21		193	6.98		2765
	SECOND				Excluded		22	24.44		19	21.11		49	54.44		90
		TOTAL					1088	39.35		1435	51.90		242	8.75		2765
	THIRD						89	36.78		153	63.22			Excluded		242
		TOTAL					1177	42.57		1588	57.43					2765
										Elected						
																
Glen Waverley Heights                                          																
	FIRST			64	4.40		662	45.56		636	43.77		91	6.26		1453
	SECOND				Excluded		13	20.31		18	28.13		33	51.56		64
		TOTAL					675	46.46		654	45.01		124	8.53		1453
	THIRD						31	25.00		93	75.00			Excluded		124
		TOTAL					706	48.59		747	51.41					1453
										Elected						
																
Glen Waverley South                                            																
	FIRST			57	4.40		572	44.14		585	45.14		82	6.33		1296
	SECOND				Excluded		16	28.07		13	22.81		28	49.12		57
		TOTAL					588	45.37		598	46.14		110	8.49		1296
	THIRD						37	33.64		73	66.36			Excluded		110
		TOTAL					625	48.23		671	51.77					1296
										Elected						
																
Harrisfield                                                    																
	FIRST			101	3.75		747	27.72		1641	60.89		206	7.64		2695
	SECOND				Excluded		22	21.78		33	32.67		46	45.54		101
		TOTAL					769	28.53		1674	62.12		252	9.35		2695
	THIRD						73	28.97		179	71.03			Excluded		252
		TOTAL					842	31.24		1853	68.76					2695
										Elected						
																
Highvale                                                       																
	FIRST			94	4.45		1115	52.79		756	35.80		147	6.96		2112
	SECOND				Excluded		29	30.85		21	22.34		44	46.81		94
		TOTAL					1144	54.17		777	36.79		191	9.04		2112
	THIRD						72	37.70		119	62.30			Excluded		191
		TOTAL					1216	57.58		896	42.42					2112
										Elected						
																
Jells Park                                                     																
	FIRST			84	3.91		1357	63.09		568	26.41		142	6.60		2151
	SECOND				Excluded		21	25.00		20	23.81		43	51.19		84
		TOTAL					1378	64.06		588	27.34		185	8.60		2151
	THIRD						72	38.92		113	61.08			Excluded		185
		TOTAL					1450	67.41		701	32.59					2151
										Elected						
																
Lyndale                                                        																
	FIRST			118	3.27		1031	28.58		2223	61.61		236	6.54		3608
	SECOND				Excluded		29	24.58		32	27.12		57	48.31		118
		TOTAL					1060	29.38		2255	62.50		293	8.12		3608
	THIRD						100	34.13		193	65.87			Excluded		293
		TOTAL					1160	32.15		2448	67.85					3608
										Elected						
																
Melbourne (Bruce)                                              																
	FIRST			7	7.87		37	41.57		37	41.57		8	8.99		89
	SECOND				Excluded		0	0.00		3	42.86		4	57.14		7
		TOTAL					37	41.57		40	44.94		12	13.48		89
	THIRD						3	25.00		9	75.00			Excluded		12
		TOTAL					40	44.94		49	55.06					89
										Elected						
																
Monash East                                                    																
	FIRST			64	5.44		429	36.45		594	50.47		90	7.65		1177
	SECOND				Excluded		11	17.19		18	28.13		35	54.69		64
		TOTAL					440	37.38		612	52.00		125	10.62		1177
	THIRD						48	38.40		77	61.60			Excluded		125
		TOTAL					488	41.46		689	58.54					1177
										Elected						
																
Mount View                                                     																
	FIRST			215	5.02		2546	59.50		1257	29.38		261	6.10		4279
	SECOND				Excluded		29	13.49		42	19.53		144	66.98		215
		TOTAL					2575	60.18		1299	30.36		405	9.46		4279
	THIRD						123	30.37		282	69.63			Excluded		405
		TOTAL					2698	63.05		1581	36.95					4279
										Elected						
																
Mulgrave                                                       																
	FIRST			74	3.68		775	38.50		1045	51.91		119	5.91		2013
	SECOND				Excluded		16	21.62		15	20.27		43	58.11		74
		TOTAL					791	39.29		1060	52.66		162	8.05		2013
	THIRD						52	32.10		110	67.90			Excluded		162
		TOTAL					843	41.88		1170	58.12					2013
										Elected						
																
Oakwood Park                                                   																
	FIRST			53	4.47		295	24.87		778	65.60		60	5.06		1186
	SECOND				Excluded		12	22.64		12	22.64		29	54.72		53
		TOTAL					307	25.89		790	66.61		89	7.50		1186
	THIRD						29	32.58		60	67.42			Excluded		89
		TOTAL					336	28.33		850	71.67					1186
										Elected						
																
Pinewood (Bruce)                                               																
	FIRST			62	4.94		661	52.67		462	36.81		70	5.58		1255
	SECOND				Excluded		10	16.13		15	24.19		37	59.68		62
		TOTAL					671	53.47		477	38.01		107	8.53		1255
	THIRD						38	35.51		69	64.49			Excluded		107
		TOTAL					709	56.49		546	43.51					1255
										Elected						
																
Rosewood Downs                                                 																
	FIRST			114	3.70		1328	43.05		1414	45.83		229	7.42		3085
	SECOND				Excluded		28	24.56		44	38.60		42	36.84		114
		TOTAL					1356	43.95		1458	47.26		271	8.78		3085
	THIRD						94	34.69		177	65.31			Excluded		271
		TOTAL					1450	47.00		1635	53.00					3085
										Elected						
																
Sandown Park                                                   																
	FIRST			61	3.23		418	22.10		1321	69.86		91	4.81		1891
	SECOND				Excluded		18	29.51		22	36.07		21	34.43		61
		TOTAL					436	23.06		1343	71.02		112	5.92		1891
	THIRD						24	21.43		88	78.57			Excluded		112
		TOTAL					460	24.33		1431	75.67					1891
										Elected						
																
Silverton                                                      																
	FIRST			129	3.25		1009	25.42		2527	63.65		305	7.68		3970
	SECOND				Excluded		24	18.60		42	32.56		63	48.84		129
		TOTAL					1033	26.02		2569	64.71		368	9.27		3970
