House of Representatives - 2001 Election: Victoria																															
Distribution of Preferences 																															
By Polling Place																															
Calwell																															
				ABBOTTO			THEOPHANOUS			BOCHI			LIVESAY			VAMVAKINOU			YOHANNA			BARKER			DERVISH			BULLER			
				John			Andrew			Mohamed Walid			Robert			Maria			Sleiman			Bee			D			Darren			
				NGST			IND						DEM			ALP			CEC			GRN			IND			LP			
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total
Bethal                                                         																															
	FIRST			108	4.70		185	8.05		19	0.83		39	1.70		1528	66.46		27	1.17		32	1.39		90	3.91		271	11.79		2299
	SECOND			1	3.70		2	7.41		1	3.70		2	7.41		5	18.52			Excluded		2	7.41		10	37.04		4	14.81		27
		TOTAL		109	4.74		187	8.13		20	0.87		41	1.78		1533	66.68					34	1.48		100	4.35		275	11.96		2299
	THIRD			3	15.00		6	30.00			Excluded		2	10.00		3	15.00					0	0.00		6	30.00		0	0.00		20
		TOTAL		112	4.87		193	8.39					43	1.87		1536	66.81					34	1.48		106	4.61		275	11.96		2299
	FOURTH			22	20.75		11	10.38					6	5.66		41	38.68					17	16.04			Excluded		9	8.49		106
		TOTAL		134	5.83		204	8.87					49	2.13		1577	68.60					51	2.22					284	12.35		2299
	FIFTH			7	13.73		5	9.80					13	25.49		16	31.37						Excluded					10	19.61		51
		TOTAL		141	6.13		209	9.09					62	2.70		1593	69.29											294	12.79		2299
	SIXTH				Excluded		72	51.06					25	17.73		34	24.11											10	7.09		141
		TOTAL					281	12.22					87	3.78		1627	70.77											304	13.22		2299
	SEVENTH						37	42.53						Excluded		33	37.93											17	19.54		87
		TOTAL					318	13.83								1660	72.21											321	13.96		2299
	EIGHTH							Excluded								262	82.39											56	17.61		318
		TOTAL														1922	83.60											377	16.40		2299
																Elected															
																															
Broadmeadows                                                   																															
	FIRST			76	4.19		194	10.68		28	1.54		36	1.98		1160	63.88		10	0.55		34	1.87		49	2.70		229	12.61		1816
	SECOND			0	0.00		4	40.00		0	0.00		2	20.00		3	30.00			Excluded		1	10.00		0	0.00		0	0.00		10
		TOTAL		76	4.19		198	10.90		28	1.54		38	2.09		1163	64.04					35	1.93		49	2.70		229	12.61		1816
	THIRD			10	35.71		4	14.29			Excluded		5	17.86		5	17.86					1	3.57		3	10.71		0	0.00		28
		TOTAL		86	4.74		202	11.12					43	2.37		1168	64.32					36	1.98		52	2.86		229	12.61		1816
	FOURTH			30	57.69		5	9.62					2	3.85		2	3.85					4	7.69			Excluded		9	17.31		52
		TOTAL		116	6.39		207	11.40					45	2.48		1170	64.43					40	2.20					238	13.11		1816
	FIFTH			10	25.00		5	12.50					13	32.50		8	20.00						Excluded					4	10.00		40
		TOTAL		126	6.94		212	11.67					58	3.19		1178	64.87											242	13.33		1816
	SIXTH				Excluded		90	71.43					11	8.73		14	11.11											11	8.73		126
		TOTAL					302	16.63					69	3.80		1192	65.64											253	13.93		1816
	SEVENTH						32	46.38						Excluded		25	36.23											12	17.39		69
		TOTAL					334	18.39								1217	67.02											265	14.59		1816
	EIGHTH							Excluded								253	75.75											81	24.25		334
		TOTAL														1470	80.95											346	19.05		1816
																Elected															
																															
Broadmeadows North                                             																															
	FIRST			99	2.92		289	8.51		49	1.44		87	2.56		2045	60.22		59	1.74		66	1.94		175	5.15		527	15.52		3396
	SECOND			11	18.64		6	10.17		4	6.78		2	3.39		12	20.34			Excluded		3	5.08		9	15.25		12	20.34		59
		TOTAL		110	3.24		295	8.69		53	1.56		89	2.62		2057	60.57					69	2.03		184	5.42		539	15.87		3396
	THIRD			3	5.66		17	32.08			Excluded		4	7.55		17	32.08					4	7.55		7	13.21		1	1.89		53
		TOTAL		113	3.33		312	9.19					93	2.74		2074	61.07					73	2.15		191	5.62		540	15.90		3396
	FOURTH			73	38.22		21	10.99					5	2.62		53	27.75					15	7.85			Excluded		24	12.57		191
		TOTAL		186	5.48		333	9.81					98	2.89		2127	62.63					88	2.59					564	16.61		3396
	FIFTH			15	17.05		16	18.18					27	30.68		17	19.32						Excluded					13	14.77		88
		TOTAL		201	5.92		349	10.28					125	3.68		2144	63.13											577	16.99		3396
	SIXTH				Excluded		125	62.19					24	11.94		37	18.41											15	7.46		201
		TOTAL					474	13.96					149	4.39		2181	64.22											592	17.43		3396
	SEVENTH						48	32.21						Excluded		67	44.97											34	22.82		149
		TOTAL					522	15.37								2248	66.20											626	18.43		3396
	EIGHTH							Excluded								364	69.73											158	30.27		522
		TOTAL														2612	76.91											784	23.09		3396
																Elected															
																															
Bulla                                                          																															
	FIRST			9	2.60		33	9.54		1	0.29		13	3.76		123	35.55		0	0.00		8	2.31		0	0.00		159	45.95		346
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		9	2.60		33	9.54		1	0.29		13	3.76		123	35.55					8	2.31		0	0.00		159	45.95		346
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		1	100.00		1
		TOTAL		9	2.60		33	9.54					13	3.76		123	35.55					8	2.31		0	0.00		160	46.24		346
	FOURTH			0	0.00		0	0.00					0	0.00		0	0.00					0	0.00			Excluded		0	0.00		0
		TOTAL		9	2.60		33	9.54					13	3.76		123	35.55					8	2.31					160	46.24		346
	FIFTH			0	0.00		1	12.50					4	50.00		1	12.50						Excluded					2	25.00		8
		TOTAL		9	2.60		34	9.83					17	4.91		124	35.84											162	46.82		346
	SIXTH				Excluded		5	55.56					2	22.22		1	11.11											1	11.11		9
		TOTAL					39	11.27					19	5.49		125	36.13											163	47.11		346
	SEVENTH						9	47.37						Excluded		5	26.32											5	26.32		19
		TOTAL					48	13.87								130	37.57											168	48.55		346
	EIGHTH							Excluded								25	52.08											23	47.92		48
		TOTAL														155	44.80											191	55.20		346
																Elected															
																															
Campbellfield                                                  																															
	FIRST			63	3.13		170	8.45		43	2.14		49	2.44		1327	65.99		44	2.19		22	1.09		27	1.34		266	13.23		2011
	SECOND			6	13.64		10	22.73		0	0.00		1	2.27		14	31.82			Excluded		4	9.09		5	11.36		4	9.09		44
		TOTAL		69	3.43		180	8.95		43	2.14		50	2.49		1341	66.68					26	1.29		32	1.59		270	13.43		2011
	THIRD			5	11.63		9	20.93			Excluded		5	11.63		19	44.19					2	4.65		3	6.98		0	0.00		43
		TOTAL		74	3.68		189	9.40					55	2.73		1360	67.63					28	1.39		35	1.74		270	13.43		2011
	FOURTH			10	28.57		4	11.43					3	8.57		5	14.29					10	28.57			Excluded		3	8.57		35
		TOTAL		84	4.18		193	9.60					58	2.88		1365	67.88					38	1.89					273	13.58		2011
	FIFTH			6	15.79		6	15.79					8	21.05		12	31.58						Excluded					6	15.79		38
		TOTAL		90	4.48		199	9.90					66	3.28		1377	68.47											279	13.87		2011
	SIXTH				Excluded		48	53.33					11	12.22		26	28.89											5	5.56		90
		TOTAL					247	12.28					77	3.83		1403	69.77											284	14.12		2011
	SEVENTH						32	41.56						Excluded		43	55.84											2	2.60		77
		TOTAL					279	13.87								1446	71.90											286	14.22		2011
	EIGHTH							Excluded								209	74.91											70	25.09		279
		TOTAL														1655	82.30											356	17.70		2011
																Elected															
																															
Coolaroo                                                       																															
	FIRST			52	2.94		149	8.43		25	1.41		48	2.72		1068	60.44		12	0.68		34	1.92		114	6.45		265	15.00		1767
	SECOND			2	16.67		1	8.33		0	0.00		0	0.00		4	33.33			Excluded		2	16.67		2	16.67		1	8.33		12
		TOTAL		54	3.06		150	8.49		25	1.41		48	2.72		1072	60.67					36	2.04		116	6.56		266	15.05		1767
	THIRD			4	16.00		11	44.00			Excluded		0	0.00		4	16.00					1	4.00		4	16.00		1	4.00		25
		TOTAL		58	3.28		161	9.11					48	2.72		1076	60.89					37	2.09		120	6.79		267	15.11		1767
	FOURTH			53	44.17		14	11.67					1	0.83		26	21.67					14	11.67			Excluded		12	10.00		120
		TOTAL		111	6.28		175	9.90					49	2.77		1102	62.37					51	2.89					279	15.79		1767
	FIFTH			11	21.57		8	15.69					7	13.73		19	37.25						Excluded					6	11.76		51
		TOTAL		122	6.90		183	10.36					56	3.17		1121	63.44											285	16.13		1767
	SIXTH				Excluded		77	63.11					11	9.02		27	22.13											7	5.74		122
		TOTAL					260	14.71					67	3.79		1148	64.97											292	16.53		1767
	SEVENTH						16	23.88						Excluded		34	50.75											17	25.37		67
		TOTAL					276	15.62								1182	66.89											309	17.49		1767
	EIGHTH							Excluded								183	66.30											93	33.70		276
		TOTAL														1365	77.25											402	22.75		1767
																Elected															
																															
Delahey                                                        																															
	FIRST			140	3.59		466	11.96		23	0.59		79	2.03		2564	65.81		8	0.21		49	1.26		33	0.85		534	13.71		3896
	SECOND			0	0.00		2	25.00		0	0.00		1	12.50		3	37.50			Excluded		2	25.00		0	0.00		0	0.00		8
		TOTAL		140	3.59		468	12.01		23	0.59		80	2.05		2567	65.89					51	1.31		33	0.85		534	13.71		3896
	THIRD			7	30.43		5	21.74			Excluded		6	26.09		2	8.70					0	0.00		2	8.70		1	4.35		23
		TOTAL		147	3.77		473	12.14					86	2.21		2569	65.94					51	1.31		35	0.90		535	13.73		3896
	FOURTH			7	20.00		5	14.29					8	22.86		6	17.14					4	11.43			Excluded		5	14.29		35
		TOTAL		154	3.95		478	12.27					94	2.41		2575	66.09					55	1.41					540	13.86		3896
	FIFTH			4	7.27		8	14.55					16	29.09		16	29.09						Excluded					11	20.00		55
		TOTAL		158	4.06		486	12.47					110	2.82		2591	66.50											551	14.14		3896
	SIXTH				Excluded		76	48.10					20	12.66		42	26.58											20	12.66		158
		TOTAL					562	14.43					130	3.34		2633	67.58											571	14.66		3896
	SEVENTH						50	38.46						Excluded		52	40.00											28	21.54		130
		TOTAL					612	15.71								2685	68.92											599	15.37		3896
	EIGHTH							Excluded								449	73.37											163	26.63		612
		TOTAL														3134	80.44											762	19.56		3896
																Elected															
																															
Diggers Rest                                                   																															
	FIRST			31	2.89		83	7.74		1	0.09		42	3.92		521	48.60		2	0.19		26	2.43		11	1.03		355	33.12		1072
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	50.00			Excluded		0	0.00		0	0.00		1	50.00		2
		TOTAL		31	2.89		83	7.74		1	0.09		42	3.92		522	48.69					26	2.43		11	1.03		356	33.21		1072
	THIRD			0	0.00		0	0.00			Excluded		1	100.00		0	0.00					0	0.00		0	0.00		0	0.00		1
		TOTAL		31	2.89		83	7.74					43	4.01		522	48.69					26	2.43		11	1.03		356	33.21		1072
	FOURTH			0	0.00		5	45.45					0	0.00		1	9.09					2	18.18			Excluded		3	27.27		11
		TOTAL		31	2.89		88	8.21					43	4.01		523	48.79					28	2.61					359	33.49		1072
	FIFTH			4	14.29		3	10.71					9	32.14		6	21.43						Excluded					6	21.43		28
		TOTAL		35	3.26		91	8.49					52	4.85		529	49.35											365	34.05		1072
	SIXTH				Excluded		18	51.43					4	11.43		9	25.71											4	11.43		35
		TOTAL					109	10.17					56	5.22		538	50.19											369	34.42		1072
	SEVENTH						22	39.29						Excluded		23	41.07											11	19.64		56
		TOTAL					131	12.22								561	52.33											380	35.45		1072
	EIGHTH							Excluded								76	58.02											55	41.98		131
		TOTAL														637	59.42											435	40.58		1072
																Elected															
																															
Gladstone Park                                                 																															
	FIRST			113	2.78		363	8.94		6	0.15		172	4.24		2015	49.63		20	0.49		136	3.35		57	1.40		1178	29.01		4060
	SECOND			8	40.00		1	5.00		1	5.00		1	5.00		2	10.00			Excluded		2	10.00		4	20.00		1	5.00		20
		TOTAL		121	2.98		364	8.97		7	0.17		173	4.26		2017	49.68					138	3.40		61	1.50		1179	29.04		4060
	THIRD			1	14.29		1	14.29			Excluded		1	14.29		1	14.29					1	14.29		1	14.29		1	14.29		7
		TOTAL		122	3.00		365	8.99					174	4.29		2018	49.70					139	3.42		62	1.53		1180	29.06		4060
	FOURTH			13	20.97		6	9.68					4	6.45		15	24.19					7	11.29			Excluded		17	27.42		62
		TOTAL		135	3.33		371	9.14					178	4.38		2033	50.07					146	3.60					1197	29.48		4060
	FIFTH			16	10.96		69	47.26					20	13.70		30	20.55						Excluded					11	7.53		146
		TOTAL		151	3.72		440	10.84					198	4.88		2063	50.81											1208	29.75		4060
	SIXTH				Excluded		82	54.30					21	13.91		31	20.53											17	11.26		151
		TOTAL					522	12.86					219	5.39		2094	51.58											1225	30.17		4060
	SEVENTH						67	30.59						Excluded		102	46.58											50	22.83		219
		TOTAL					589	14.51								2196	54.09											1275	31.40		4060
	EIGHTH							Excluded								393	66.72											196	33.28		589
		TOTAL														2589	63.77											1471	36.23		4060
																Elected															
																															
Gladstone Views                                                																															
	FIRST			86	3.08		326	11.69		8	0.29		100	3.59		1386	49.71		9	0.32		53	1.90		54	1.94		766	27.47		2788
	SECOND			1	11.11		4	44.44		0	0.00		1	11.11		2	22.22			Excluded		1	11.11		0	0.00		0	0.00		9
		TOTAL		87	3.12		330	11.84		8	0.29		101	3.62		1388	49.78					54	1.94		54	1.94		766	27.47		2788
	THIRD			1	12.50		3	37.50			Excluded		0	0.00		2	25.00					0	0.00		1	12.50		1	12.50		8
		TOTAL		88	3.16		333	11.94					101	3.62		1390	49.86					54	1.94		55	1.97		767	27.51		2788
	FOURTH			23	41.82		2	3.64					4	7.27		8	14.55					3	5.45			Excluded		15	27.27		55
		TOTAL		111	3.98		335	12.02					105	3.77		1398	50.14					57	2.04					782	28.05		2788
	FIFTH			6	10.53		19	33.33					14	24.56		7	12.28						Excluded					11	19.30		57
		TOTAL		117	4.20		354	12.70					119	4.27		1405	50.39											793	28.44		2788
	SIXTH				Excluded		65	55.56					18	15.38		24	20.51											10	8.55		117
		TOTAL					419	15.03					137	4.91		1429	51.26											803	28.80		2788
	SEVENTH						43	31.39						Excluded		61	44.53											33	24.09		137
		TOTAL					462	16.57								1490	53.44											836	29.99		2788
	EIGHTH							Excluded								334	72.29											128	27.71		462
		TOTAL														1824	65.42											964	34.58		2788
																Elected															
																															
Glenroy West                                                   																															
	FIRST			99	3.59		236	8.56		11	0.40		89	3.23		1362	49.38		12	0.44		109	3.95		37	1.34		803	29.12		2758
	SECOND			3	25.00		1	8.33		1	8.33		1	8.33		0	0.00			Excluded		2	16.67		2	16.67		2	16.67		12
		TOTAL		102	3.70		237	8.59		12	0.44		90	3.26		1362	49.38					111	4.02		39	1.41		805	29.19		2758
	THIRD			0	0.00		5	41.67			Excluded		1	8.33		3	25.00					2	16.67		1	8.33		0	0.00		12
		TOTAL		102	3.70		242	8.77					91	3.30		1365	49.49					113	4.10		40	1.45		805	29.19		2758
	FOURTH			5	12.50		5	12.50					5	12.50		6	15.00					8	20.00			Excluded		11	27.50		40
		TOTAL		107	3.88		247	8.96					96	3.48		1371	49.71					121	4.39					816	29.59		2758
	FIFTH			9	7.44		45	37.19					25	20.66		28	23.14						Excluded					14	11.57		121
		TOTAL		116	4.21		292	10.59					121	4.39		1399	50.73											830	30.09		2758
	SIXTH				Excluded		55	47.41					20	17.24		31	26.72											10	8.62		116
		TOTAL					347	12.58					141	5.11		1430	51.85											840	30.46		2758
	SEVENTH						47	33.33						Excluded		68	48.23											26	18.44		141
		TOTAL					394	14.29								1498	54.31											866	31.40		2758
	EIGHTH							Excluded								283	71.83											111	28.17		394
		TOTAL														1781	64.58											977	35.42		2758
																Elected															
																															
Greenvale                                                      																															
	FIRST			129	2.81		354	7.70		15	0.33		226	4.92		1944	42.28		11	0.24		70	1.52		48	1.04		1801	39.17		4598
	SECOND			0	0.00		2	18.18		1	9.09		0	0.00		3	27.27			Excluded		5	45.45		0	0.00		0	0.00		11
		TOTAL		129	2.81		356	7.74		16	0.35		226	4.92		1947	42.34					75	1.63		48	1.04		1801	39.17		4598
	THIRD			4	25.00		1	6.25			Excluded		5	31.25		1	6.25					1	6.25		3	18.75		1	6.25		16
		TOTAL		133	2.89		357	7.76					231	5.02		1948	42.37					76	1.65		51	1.11		1802	39.19		4598
	FOURTH			10	19.61		8	15.69					7	13.73		9	17.65					12	23.53			Excluded		5	9.80		51
		TOTAL		143	3.11		365	7.94					238	5.18		1957	42.56					88	1.91					1807	39.30		4598
	FIFTH			13	14.77		9	10.23					34	38.64		19	21.59						Excluded					13	14.77		88
		TOTAL		156	3.39		374	8.13					272	5.92		1976	42.98											1820	39.58		4598
	SIXTH				Excluded		67	42.95					29	18.59		37	23.72											23	14.74		156
		TOTAL					441	9.59					301	6.55		2013	43.78											1843	40.08		4598
	SEVENTH						91	30.23						Excluded		158	52.49											52	17.28		301
		TOTAL					532	11.57								2171	47.22											1895	41.21		4598
	EIGHTH							Excluded								360	67.67											172	32.33		532
		TOTAL														2531	55.05											2067	44.95		4598
																Elected															
																															
Jacana                                                         																															
	FIRST			54	3.70		156	10.69		8	0.55		57	3.91		827	56.68		10	0.69		25	1.71		30	2.06		292	20.01		1459
	SECOND			4	40.00		1	10.00		0	0.00		0	0.00		2	20.00			Excluded		1	10.00		1	10.00		1	10.00		10
		TOTAL		58	3.98		157	10.76		8	0.55		57	3.91		829	56.82					26	1.78		31	2.12		293	20.08		1459
	THIRD			2	25.00		3	37.50			Excluded		2	25.00		1	12.50					0	0.00		0	0.00		0	0.00		8
		TOTAL		60	4.11		160	10.97					59	4.04		830	56.89					26	1.78		31	2.12		293	20.08		1459
	FOURTH			2	6.45		7	22.58					4	12.90		9	29.03					6	19.35			Excluded		3	9.68		31
		TOTAL		62	4.25		167	11.45					63	4.32		839	57.51					32	2.19					296	20.29		1459
	FIFTH			6	18.75		4	12.50					11	34.38		7	21.88						Excluded					4	12.50		32
		TOTAL		68	4.66		171	11.72					74	5.07		846	57.98											300	20.56		1459
	SIXTH				Excluded		29	42.65					10	14.71		22	32.35											7	10.29		68
		TOTAL					200	13.71					84	5.76		868	59.49											307	21.04		1459
	SEVENTH						37	44.05						Excluded		46	54.76											1	1.19		84
		TOTAL					237	16.24								914	62.65											308	21.11		1459
	EIGHTH							Excluded								180	75.95											57	24.05		237
		TOTAL														1094	74.98											365	25.02		1459
																Elected															
																															
Keilor                                                         																															
	FIRST			81	2.18		405	10.90		2	0.05		114	3.07		1205	32.42		4	0.11		200	5.38		21	0.56		1685	45.33		3717
	SECOND			0	0.00		1	25.00		0	0.00		1	25.00		1	25.00			Excluded		0	0.00		0	0.00		1	25.00		4
		TOTAL		81	2.18		406	10.92		2	0.05		115	3.09		1206	32.45					200	5.38		21	0.56		1686	45.36		3717
	THIRD			0	0.00		0	0.00			Excluded		1	50.00		0	0.00					1	50.00		0	0.00		0	0.00		2
		TOTAL		81	2.18		406	10.92					116	3.12		1206	32.45					201	5.41		21	0.56		1686	45.36		3717
	FOURTH			2	9.52		5	23.81					2	9.52		1	4.76					8	38.10			Excluded		3	14.29		21
		TOTAL		83	2.23		411	11.06					118	3.17		1207	32.47					209	5.62					1689	45.44		3717
	FIFTH			16	7.66		88	42.11					41	19.62		39	18.66						Excluded					25	11.96		209
		TOTAL		99	2.66		499	13.42					159	4.28		1246	33.52											1714	46.11		3717
	SIXTH				Excluded		49	49.49					14	14.14		17	17.17											19	19.19		99
		TOTAL					548	14.74					173	4.65		1263	33.98											1733	46.62		3717
	SEVENTH						70	40.46						Excluded		62	35.84											41	23.70		173
		TOTAL					618	16.63								1325	35.65											1774	47.73		3717
	EIGHTH							Excluded								383	61.97											235	38.03		618
