House of Representatives - 2001 Election: Victoria																									
Distribution of Preferences 																									
By Polling Place																									
Corangamite																									
				HILLS			STRAUSS			HODGE			MCARTHUR			LYGO			ARUNDELL			BJORK-BILLINGS			
				Graham			Nigel			Robyn			Stewart			Iain			Simon			Michael			
				HAN			LFF			DEM			LP			GRN			IND			ALP			
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total
Aireys Inlet                                                   																									
	FIRST			14	2.28		26	4.23		39	6.35		199	32.41		130	21.17		6	0.98		200	32.57		614
	SECOND			0	0.00		0	0.00		2	33.33		0	0.00		3	50.00			Excluded		1	16.67		6
		TOTAL		14	2.28		26	4.23		41	6.68		199	32.41		133	21.66					201	32.74		614
	THIRD			0	0.00			Excluded		0	0.00		7	26.92		18	69.23					1	3.85		26
		TOTAL		14	2.28					41	6.68		206	33.55		151	24.59					202	32.90		614
	FOURTH				Excluded					9	64.29		2	14.29		1	7.14					2	14.29		14
		TOTAL								50	8.14		208	33.88		152	24.76					204	33.22		614
	FIFTH										Excluded		8	16.00		35	70.00					7	14.00		50
		TOTAL											216	35.18		187	30.46					211	34.36		614
	SIXTH												45	24.06			Excluded					142	75.94		187
		TOTAL											261	42.51								353	57.49		614
													Elected												
																									
Alvie                                                          																									
	FIRST			13	7.60		3	1.75		6	3.51		100	58.48		2	1.17		14	8.19		33	19.30		171
	SECOND			1	7.14		2	14.29		1	7.14		4	28.57		4	28.57			Excluded		2	14.29		14
		TOTAL		14	8.19		5	2.92		7	4.09		104	60.82		6	3.51					35	20.47		171
	THIRD			0	0.00			Excluded		3	60.00		2	40.00		0	0.00					0	0.00		5
		TOTAL		14	8.19					10	5.85		106	61.99		6	3.51					35	20.47		171
	FOURTH				Excluded					4	28.57		7	50.00		1	7.14					2	14.29		14
		TOTAL								14	8.19		113	66.08		7	4.09					37	21.64		171
	FIFTH										Excluded		6	42.86		6	42.86					2	14.29		14
		TOTAL											119	69.59		13	7.60					39	22.81		171
	SIXTH												5	38.46			Excluded					8	61.54		13
		TOTAL											124	72.51								47	27.49		171
													Elected												
																									
Anglesea                                                       																									
	FIRST			29	1.97		39	2.65		116	7.88		630	42.77		172	11.68		12	0.81		475	32.25		1473
	SECOND			2	16.67		0	0.00		0	0.00		4	33.33		3	25.00			Excluded		3	25.00		12
		TOTAL		31	2.10		39	2.65		116	7.88		634	43.04		175	11.88					478	32.45		1473
	THIRD			1	2.56			Excluded		3	7.69		9	23.08		21	53.85					5	12.82		39
		TOTAL		32	2.17					119	8.08		643	43.65		196	13.31					483	32.79		1473
	FOURTH				Excluded					12	37.50		10	31.25		3	9.38					7	21.88		32
		TOTAL								131	8.89		653	44.33		199	13.51					490	33.27		1473
	FIFTH										Excluded		21	16.03		87	66.41					23	17.56		131
		TOTAL											674	45.76		286	19.42					513	34.83		1473
	SIXTH												85	29.72			Excluded					201	70.28		286
		TOTAL											759	51.53								714	48.47		1473
													Elected												
																									
Apollo Bay                                                     																									
	FIRST			26	2.30		104	9.21		48	4.25		470	41.63		159	14.08		17	1.51		305	27.02		1129
	SECOND			5	29.41		4	23.53		0	0.00		4	23.53		1	5.88			Excluded		3	17.65		17
		TOTAL		31	2.75		108	9.57		48	4.25		474	41.98		160	14.17					308	27.28		1129
	THIRD			4	3.70			Excluded		12	11.11		17	15.74		67	62.04					8	7.41		108
		TOTAL		35	3.10					60	5.31		491	43.49		227	20.11					316	27.99		1129
	FOURTH				Excluded					16	45.71		9	25.71		5	14.29					5	14.29		35
		TOTAL								76	6.73		500	44.29		232	20.55					321	28.43		1129
	FIFTH										Excluded		29	38.16		22	28.95					25	32.89		76
		TOTAL											529	46.86		254	22.50					346	30.65		1129
	SIXTH												73	28.74			Excluded					181	71.26		254
		TOTAL											602	53.32								527	46.68		1129
													Elected												
																									
Bannockburn                                                    																									
	FIRST			40	2.89		8	0.58		103	7.43		661	47.69		83	5.99		13	0.94		478	34.49		1386
	SECOND			2	15.38		0	0.00		0	0.00		3	23.08		1	7.69			Excluded		7	53.85		13
