House of Representatives - 2001 Election: Victoria																				
Distribution of Preferences																				
By Polling Place																				
Gellibrand																				
				TANN			ROXON			RICHARDS			FINEY			JORQUERA				
				Christopher			Nicola			Rachel			Michele			Jorge				
				LP			ALP			DEM			GRN							
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Albion                                                         																				
	FIRST			515	23.15		1432	64.36		172	7.73		69	3.10		37	1.66		2225	
	SECOND			3	8.11		5	13.51		7	18.92		22	59.46			Excluded		37	
		TOTAL		518	23.28		1437	64.58		179	8.04		91	4.09					2225	
	THIRD			23	12.85		45	25.14			Excluded		111	62.01					179	
		TOTAL		541	24.31		1482	66.61					202	9.08					2225	
	FOURTH			46	22.77		156	77.23						Excluded					202	
		TOTAL		587	26.38		1638	73.62											2225	
							Elected													
																				
Altona East                                                    																				
	FIRST			637	21.01		2070	68.27		183	6.04		92	3.03		50	1.65		3032	
	SECOND			3	6.00		7	14.00		3	6.00		37	74.00			Excluded		50	
		TOTAL		640	21.11		2077	68.50		186	6.13		129	4.25					3032	
	THIRD			31	16.67		47	25.27			Excluded		108	58.06					186	
		TOTAL		671	22.13		2124	70.05					237	7.82					3032	
	FOURTH			31	13.08		206	86.92						Excluded					237	
		TOTAL		702	23.15		2330	76.85											3032	
							Elected													
																				
Altona Gate                                                    																				
	FIRST			493	23.69		1401	67.32		105	5.05		64	3.08		18	0.86		2081	
	SECOND			4	22.22		1	5.56		4	22.22		9	50.00			Excluded		18	
		TOTAL		497	23.88		1402	67.37		109	5.24		73	3.51					2081	
	THIRD			16	14.68		34	31.19			Excluded		59	54.13					109	
		TOTAL		513	24.65		1436	69.01					132	6.34					2081	
	FOURTH			23	17.42		109	82.58						Excluded					132	
		TOTAL		536	25.76		1545	74.24											2081	
							Elected													
																				
Altona North                                                   																				
	FIRST			319	27.48		744	64.08		57	4.91		30	2.58		11	0.95		1161	
	SECOND			2	18.18		3	27.27		3	27.27		3	27.27			Excluded		11	
		TOTAL		321	27.65		747	64.34		60	5.17		33	2.84					1161	
	THIRD			8	13.33		22	36.67			Excluded		30	50.00					60	
		TOTAL		329	28.34		769	66.24					63	5.43					1161	
	FOURTH			11	17.46		52	82.54						Excluded					63	
		TOTAL		340	29.29		821	70.71											1161	
							Elected													
																				
Ardeer                                                         																				
	FIRST			314	27.54		698	61.23		88	7.72		25	2.19		15	1.32		1140	
	SECOND			3	20.00		2	13.33		3	20.00		7	46.67			Excluded		15	
		TOTAL		317	27.81		700	61.40		91	7.98		32	2.81					1140	
	THIRD			7	7.69		23	25.27			Excluded		61	67.03					91	
		TOTAL		324	28.42		723	63.42					93	8.16					1140	
	FOURTH			19	20.43		74	79.57						Excluded					93	
		TOTAL		343	30.09		797	69.91											1140	
							Elected													
																				
Ardeer East (Gellibrand)                                       																				
	FIRST			187	17.53		776	72.73		64	6.00		29	2.72		11	1.03		1067	
	SECOND			3	27.27		0	0.00		2	18.18		6	54.55			Excluded		11	
		TOTAL		190	17.81		776	72.73		66	6.19		35	3.28					1067	
	THIRD			7	10.61		26	39.39			Excluded		33	50.00					66	
		TOTAL		197	18.46		802	75.16					68	6.37					1067	
	FOURTH			21	30.88		47	69.12						Excluded					68	
		TOTAL		218	20.43		849	79.57											1067	
							Elected													
																				
Braybrook                                                      																				
	FIRST			482	18.15		1976	74.43		74	2.79		76	2.86		47	1.77		2655	
	SECOND			1	2.13		14	29.79		7	14.89		25	53.19			Excluded		47	
		TOTAL		483	18.19		1990	74.95		81	3.05		101	3.80					2655	
	THIRD			12	14.81		41	50.62			Excluded		28	34.57					81	
		TOTAL		495	18.64		2031	76.50					129	4.86					2655	
	FOURTH			21	16.28		108	83.72						Excluded					129	
		TOTAL		516	19.44		2139	80.56											2655	
							Elected													
																				
Brooklyn                                                       																				
	FIRST			207	28.83		454	63.23		32	4.46		22	3.06		3	0.42		718	
	SECOND			1	33.33		2	66.67		0	0.00		0	0.00			Excluded		3	
		TOTAL		208	28.97		456	63.51		32	4.46		22	3.06					718	
	THIRD			2	6.25		13	40.63			Excluded		17	53.13					32	
		TOTAL		210	29.25		469	65.32					39	5.43					718	
	FOURTH			13	33.33		26	66.67						Excluded					39	
		TOTAL		223	31.06		495	68.94											718	
							Elected													
																				
Footscray                                                      																				
	FIRST			546	20.81		1746	66.54		150	5.72		151	5.75		31	1.18		2624	
	SECOND			1	3.23		3	9.68		1	3.23		26	83.87			Excluded		31	
		TOTAL		547	20.85		1749	66.65		151	5.75		177	6.75					2624	
	THIRD			20	13.25		47	31.13			Excluded		84	55.63					151	
		TOTAL		567	21.61		1796	68.45					261	9.95					2624	
	FOURTH			39	14.94		222	85.06						Excluded					261	
		TOTAL		606	23.09		2018	76.91											2624	
							Elected													
																				
Footscray Central                                              																				
	FIRST			196	19.23		607	59.57		83	8.15		113	11.09		20	1.96		1019	
	SECOND			6	30.00		2	10.00		3	15.00		9	45.00			Excluded		20	
		TOTAL		202	19.82		609	59.76		86	8.44		122	11.97					1019	
	THIRD			13	15.12		37	43.02			Excluded		36	41.86					86	
		TOTAL		215	21.10		646	63.40					158	15.51					1019	
	FOURTH			17	10.76		141	89.24						Excluded					158	
		TOTAL		232	22.77		787	77.23											1019	
							Elected													
																				
Footscray East                                                 																				
	FIRST			140	21.41		421	64.37		38	5.81		47	7.19		8	1.22		654	
	SECOND			1	12.50		3	37.50		0	0.00		4	50.00			Excluded		8	
		TOTAL		141	21.56		424	64.83		38	5.81		51	7.80					654	
	THIRD			4	10.53		9	23.68			Excluded		25	65.79					38	
		TOTAL		145	22.17		433	66.21					76	11.62					654	
	FOURTH			9	11.84		67	88.16						Excluded					76	
		TOTAL		154	23.55		500	76.45											654	
							Elected													
																				
Footscray North                                                																				
	FIRST			285	23.87		737	61.73		80	6.70		83	6.95		9	0.75		1194	
	SECOND			0	0.00		1	11.11		0	0.00		8	88.89			Excluded		9	
		TOTAL		285	23.87		738	61.81		80	6.70		91	7.62					1194	
	THIRD			11	13.75		22	27.50			Excluded		47	58.75					80	
		TOTAL		296	24.79		760	63.65					138	11.56					1194	
	FOURTH			15	10.87		123	89.13						Excluded					138	
		TOTAL		311	26.05		883	73.95											1194	
							Elected													
																				
Footscray South                                                																				
	FIRST			273	21.63		725	57.45		90	7.13		149	11.81		25	1.98		1262	
	SECOND			2	8.00		4	16.00		1	4.00		18	72.00			Excluded		25	
		TOTAL		275	21.79		729	57.77		91	7.21		167	13.23					1262	
	THIRD			8	8.79		24	26.37			Excluded		59	64.84					91	
		TOTAL		283	22.42		753	59.67					226	17.91					1262	
	FOURTH			38	16.81		188	83.19						Excluded					226	
		TOTAL		321	25.44		941	74.56											1262	
							Elected													
																				
Footscray West                                                 																				
	FIRST			778	22.81		2190	64.20		223	6.54		177	5.19		43	1.26		3411	
	SECOND			5	11.63		8	18.60		4	9.30		26	60.47			Excluded		43	
		TOTAL		783	22.96		2198	64.44		227	6.65		203	5.95					3411	
	THIRD			23	10.13		65	28.63			Excluded		139	61.23					227	
		TOTAL		806	23.63		2263	66.34					342	10.03					3411	
	FOURTH			52	15.20		290	84.80						Excluded					342	
		TOTAL		858	25.15		2553	74.85											3411	
							Elected													
																				
Glengala (Gellibrand)                                          																				
	FIRST			158	20.03		556	70.47		45	5.70		20	2.53		10	1.27		789	
	SECOND			2	20.00		1	10.00		2	20.00		5	50.00			Excluded		10	
		TOTAL		160	20.28		557	70.60		47	5.96		25	3.17					789	
	THIRD			5	10.64		22	46.81			Excluded		20	42.55					47	
		TOTAL		165	20.91		579	73.38					45	5.70					789	
	FOURTH			16	35.56		29	64.44						Excluded					45	
		TOTAL		181	22.94		608	77.06											789	
							Elected													
																				
Kingsville                                                     																				
	FIRST			565	22.61		1481	59.26		183	7.32		235	9.40		35	1.40		2499	
	SECOND			2	5.71		7	20.00		6	17.14		20	57.14			Excluded		35	
		TOTAL		567	22.69		1488	59.54		189	7.56		255	10.20					2499	
	THIRD			16	8.47		54	28.57			Excluded		119	62.96					189	
		TOTAL		583	23.33		1542	61.70					374	14.97					2499	
	FOURTH			62	16.58		312	83.42						Excluded					374	
		TOTAL		645	25.81		1854	74.19											2499	
							Elected													
																				
Kingsville West                                                																				
	FIRST			363	24.41		943	63.42		82	5.51		70	4.71		29	1.95		1487	
	SECOND			3	10.34		7	24.14		0	0.00		19	65.52			Excluded		29	
		TOTAL		366	24.61		950	63.89		82	5.51		89	5.99					1487	
	THIRD			15	18.29		31	37.80			Excluded		36	43.90					82	
		TOTAL		381	25.62		981	65.97					125	8.41					1487	
	FOURTH			15	12.00		110	88.00						Excluded					125	
		TOTAL		396	26.63		1091	73.37											1487	
							Elected													
																				
Maidstone                                                      																				
	FIRST			424	22.41		1291	68.23		108	5.71		39	2.06		30	1.59		1892	
	SECOND			0	0.00		6	20.00		5	16.67		19	63.33			Excluded		30	
		TOTAL		424	22.41		1297	68.55		113	5.97		58	3.07					1892	
	THIRD			13	11.50		41	36.28			Excluded		59	52.21					113	
		TOTAL		437	23.10		1338	70.72					117	6.18					1892	
	FOURTH			28	23.93		89	76.07						Excluded					117	
		TOTAL		465	24.58		1427	75.42											1892	
							Elected													
																				
Maribyrnong                                                    																				
	FIRST			589	35.85		800	48.69		138	8.40		100	6.09		16	0.97		1643	
	SECOND			1	6.25		4	25.00		3	18.75		8	50.00			Excluded		16	
		TOTAL		590	35.91		804	48.93		141	8.58		108	6.57					1643	
	THIRD			19	13.48		37	26.24			Excluded		85	60.28					141	
		TOTAL		609	37.07		841	51.19					193	11.75					1643	
	FOURTH			43	22.28		150	77.72						Excluded					193	
		TOTAL		652	39.68		991	60.32											1643	
							Elected													
																				
Maribyrnong South                                              																				
	FIRST			312	24.49		843	66.17		74	5.81		37	2.90		8	0.63		1274	
	SECOND			1	12.50		1	12.50		2	25.00		4	50.00			Excluded		8	
		TOTAL		313	24.57		844	66.25		76	5.97		41	3.22					1274	
	THIRD			8	10.53		33	43.42			Excluded		35	46.05					76	
		TOTAL		321	25.20		877	68.84					76	5.97					1274	
	FOURTH			10	13.16		66	86.84						Excluded					76	
		TOTAL		331	25.98		943	74.02											1274	
							Elected													
																				
Melbourne (Gellibrand)                                         																				
	FIRST			33	32.35		39	38.24		10	9.80		19	18.63		1	0.98		102	
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00			Excluded		1	
		TOTAL		33	32.35		39	38.24		10	9.80		20	19.61					102	
	THIRD			1	10.00		3	30.00			Excluded		6	60.00					10	
		TOTAL		34	33.33		42	41.18					26	25.49					102	
	FOURTH			5	19.23		21	80.77						Excluded					26	
		TOTAL		39	38.24		63	61.76											102	
							Elected													
																				
Newport                                                        																				
	FIRST			469	26.33		969	54.41		166	9.32		159	8.93		18	1.01		1781	
	SECOND			2	11.11		3	16.67		1	5.56		12	66.67			Excluded		18	
		TOTAL		471	26.45		972	54.58		167	9.38		171	9.60					1781	
	THIRD			13	7.78		60	35.93			Excluded		94	56.29					167	
		TOTAL		484	27.18		1032	57.94					265	14.88					1781	
	FOURTH			53	20.00		212	80.00						Excluded					265	
		TOTAL		537	30.15		1244	69.85											1781	
							Elected													
																				
Newport East                                                   																				
	FIRST			395	26.25		824	54.75		128	8.50		147	9.77		11	0.73		1505	
	SECOND			3	27.27		1	9.09		4	36.36		3	27.27			Excluded		11	
		TOTAL		398	26.45		825	54.82		132	8.77		150	9.97					1505	
	THIRD			13	9.85		32	24.24			Excluded		87	65.91					132	
		TOTAL		411	27.31		857	56.94					237	15.75					1505	
	FOURTH			49	20.68		188	79.32						Excluded					237	
		TOTAL		460	30.56		1045	69.44											1505	
							Elected													
																				
Newport West                                                   																				
	FIRST			435	23.41		1137	61.19		141	7.59		106	5.71		39	2.10		1858	
	SECOND			5	12.82		7	17.95		2	5.13		25	64.10			Excluded		39	
		TOTAL		440	23.68		1144	61.57		143	7.70		131	7.05					1858	
	THIRD			15	10.49		38	26.57			Excluded		90	62.94					143	
		TOTAL		455	24.49		1182	63.62					221	11.89					1858	
	FOURTH			44	19.91		177	80.09						Excluded					221	
		TOTAL		499	26.86		1359	73.14											1858	
							Elected													
																				
Seddon                                                         																				
	FIRST			456	22.25		1132	55.25		183	8.93		259	12.64		19	0.93		2049	
	SECOND			3	15.79		2	10.53		1	5.26		13	68.42			Excluded		19	
