House of Representatives - 2001 Election: Victoria																																									
Distribution of Preferences																																									
By Polling Place																																									
Gippsland																																									
				JAGO			FRESHWATER			MCCUBBIN			EVANS			BUCKLEY			THORPE			WILLIAMS			BOLITHO			TREASURE			MCGAURAN			ROBINSON			AITKEN				
				John			Michael			Jo			Phillip J			Ben			Marjorie			Frank			Bill			Doug			Peter			Phillip			Chris				
				IND			HAN			DEM			IND			IND			IND			CEC			ALP			IND			NP			IND			GRN				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Alberton                                                       																																									
	FIRST			5	1.58		9	2.85		14	4.43		1	0.32		13	4.11		1	0.32		1	0.32		76	24.05		22	6.96		167	52.85		0	0.00		7	2.22		316	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		5	1.58		9	2.85		14	4.43		1	0.32		14	4.43		1	0.32					76	24.05		22	6.96		167	52.85		0	0.00		7	2.22		316	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		5	1.58		9	2.85		14	4.43		1	0.32		14	4.43		1	0.32					76	24.05		22	6.96		167	52.85					7	2.22		316	
	FOURTH			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL		6	1.90		9	2.85		14	4.43		1	0.32		14	4.43								76	24.05		22	6.96		167	52.85					7	2.22		316	
	FIFTH			3	21.43		1	7.14		0	0.00		1	7.14			Excluded								5	35.71		2	14.29		2	14.29					0	0.00		14	
		TOTAL		9	2.85		10	3.16		14	4.43		2	0.63											81	25.63		24	7.59		169	53.48					7	2.22		316	
	SIXTH			0	0.00		0	0.00		1	50.00			Excluded											0	0.00		0	0.00		1	50.00					0	0.00		2	
		TOTAL		9	2.85		10	3.16		15	4.75														81	25.63		24	7.59		170	53.80					7	2.22		316	
	SEVENTH				Excluded		6	66.67		0	0.00														0	0.00		2	22.22		1	11.11					0	0.00		9	
		TOTAL					16	5.06		15	4.75														81	25.63		26	8.23		171	54.11					7	2.22		316	
	EIGHTH						3	20.00			Excluded														4	26.67		2	13.33		3	20.00					3	20.00		15	
		TOTAL					19	6.01																	85	26.90		28	8.86		174	55.06					10	3.16		316	
	NINTH							Excluded																	8	42.11		4	21.05		5	26.32					2	10.53		19	
