House of Representatives - 2001 Election: Victoria																				
Distribution of Preferences																				
By Polling Place																				
Goldstein																				
				KEMP			POWNING			NEWELL			STEGLEY			PUSZKA				
				David			Rachel			Michaela Clare			Kristin			Teresa				
				LP			ALP			DEM			IND			GRN				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Beaumaris                                                      																				
	FIRST			941	64.76		254	17.48		101	6.95		86	5.92		71	4.89		1453	
	SECOND			12	13.95		15	17.44		39	45.35			Excluded		20	23.26		86	
		TOTAL		953	65.59		269	18.51		140	9.64					91	6.26		1453	
	THIRD			16	17.58		24	26.37		51	56.04						Excluded		91	
		TOTAL		969	66.69		293	20.17		191	13.15								1453	
	FOURTH			81	42.41		110	57.59			Excluded								191	
		TOTAL		1050	72.26		403	27.74											1453	
				Elected																
																				
Beaumaris Central                                              																				
	FIRST			2071	62.66		669	20.24		212	6.41		175	5.30		178	5.39		3305	
	SECOND			17	9.71		24	13.71		97	55.43			Excluded		37	21.14		175	
		TOTAL		2088	63.18		693	20.97		309	9.35					215	6.51		3305	
	THIRD			21	9.77		51	23.72		143	66.51						Excluded		215	
		TOTAL		2109	63.81		744	22.51		452	13.68								3305	
	FOURTH			148	32.74		304	67.26			Excluded								452	
		TOTAL		2257	68.29		1048	31.71											3305	
				Elected																
																				
Beaumaris East (Goldstein)                                     																				
	FIRST			700	55.25		324	25.57		85	6.71		79	6.24		79	6.24		1267	
	SECOND			10	12.66		8	10.13		48	60.76			Excluded		13	16.46		79	
		TOTAL		710	56.04		332	26.20		133	10.50					92	7.26		1267	
	THIRD			12	13.04		24	26.09		56	60.87						Excluded		92	
		TOTAL		722	56.99		356	28.10		189	14.92								1267	
	FOURTH			70	37.04		119	62.96			Excluded								189	
		TOTAL		792	62.51		475	37.49											1267	
				Elected																
																				
Beaumaris North                                                																				
	FIRST			630	59.32		238	22.41		85	8.00		74	6.97		35	3.30		1062	
	SECOND			11	14.86		8	10.81		47	63.51			Excluded		8	10.81		74	
		TOTAL		641	60.36		246	23.16		132	12.43					43	4.05		1062	
	THIRD			8	18.60		9	20.93		26	60.47						Excluded		43	
		TOTAL		649	61.11		255	24.01		158	14.88								1062	
	FOURTH			72	45.57		86	54.43			Excluded								158	
		TOTAL		721	67.89		341	32.11											1062	
				Elected																
																				
Bentleigh                                                      																				
	FIRST			1335	45.70		1040	35.60		243	8.32		121	4.14		182	6.23		2921	
	SECOND			6	4.96		20	16.53		75	61.98			Excluded		20	16.53		121	
		TOTAL		1341	45.91		1060	36.29		318	10.89					202	6.92		2921	
	THIRD			13	6.44		43	21.29		146	72.28						Excluded		202	
		TOTAL		1354	46.35		1103	37.76		464	15.88								2921	
	FOURTH			170	36.64		294	63.36			Excluded								464	
		TOTAL		1524	52.17		1397	47.83											2921	
				Elected																
																				
Bentleigh Central (Goldstein)                                  																				
