House of Representatives - 2001 Election: Victoria																													
Distribution of Preferences																													
By Polling Place																													
Isaacs																													
				OAKLEY			BROOK			CORCORAN			STANTON			GROVES			SHEPHERDSON			BUJEYA			FLETCHER				
				Shirly			Patricia			Ann			Heather			John			Michael			Darren			Haydn				
				IND			IND			ALP			CEC			HAN			LP			GRN			DEM				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Aspendale                                                      																													
	FIRST			31	1.17		9	0.34		1046	39.34		10	0.38		40	1.50		1227	46.15		122	4.59		174	6.54		2659	
	SECOND			2	20.00		0	0.00		2	20.00			Excluded		3	30.00		1	10.00		1	10.00		1	10.00		10	
		TOTAL		33	1.24		9	0.34		1048	39.41					43	1.62		1228	46.18		123	4.63		175	6.58		2659	
	THIRD			7	77.78			Excluded		1	11.11					0	0.00		1	11.11		0	0.00		0	0.00		9	
		TOTAL		40	1.50					1049	39.45					43	1.62		1229	46.22		123	4.63		175	6.58		2659	
	FOURTH			9	20.93					8	18.60						Excluded		15	34.88		9	20.93		2	4.65		43	
		TOTAL		49	1.84					1057	39.75								1244	46.78		132	4.96		177	6.66		2659	
	FIFTH				Excluded					27	55.10								7	14.29		7	14.29		8	16.33		49	
		TOTAL								1084	40.77								1251	47.05		139	5.23		185	6.96		2659	
	SIXTH									71	51.08								18	12.95			Excluded		50	35.97		139	
		TOTAL								1155	43.44								1269	47.72					235	8.84		2659	
	SEVENTH									159	67.66								76	32.34						Excluded		235	
		TOTAL								1314	49.42								1345	50.58								2659	
										Elected																			
																													
Aspendale Gardens                                              																													
	FIRST			25	0.96		12	0.46		1185	45.61		6	0.23		28	1.08		1064	40.95		67	2.58		211	8.12		2598	
	SECOND			0	0.00		3	50.00		1	16.67			Excluded		2	33.33		0	0.00		0	0.00		0	0.00		6	
		TOTAL		25	0.96		15	0.58		1186	45.65					30	1.15		1064	40.95		67	2.58		211	8.12		2598	
	THIRD			11	73.33			Excluded		2	13.33					1	6.67		1	6.67		0	0.00		0	0.00		15	
		TOTAL		36	1.39					1188	45.73					31	1.19		1065	40.99		67	2.58		211	8.12		2598	
	FOURTH			7	22.58					10	32.26						Excluded		8	25.81		4	12.90		2	6.45		31	
		TOTAL		43	1.66					1198	46.11								1073	41.30		71	2.73		213	8.20		2598	
	FIFTH				Excluded					25	58.14								4	9.30		11	25.58		3	6.98		43	
		TOTAL								1223	47.07								1077	41.45		82	3.16		216	8.31		2598	
	SIXTH									26	31.71								12	14.63			Excluded		44	53.66		82	
		TOTAL								1249	48.08								1089	41.92					260	10.01		2598	
	SEVENTH									162	62.31								98	37.69						Excluded		260	
		TOTAL								1411	54.31								1187	45.69								2598	
										Elected																			
																													
Aspendale North                                                																													
	FIRST			9	0.98		5	0.54		319	34.67		0	0.00		18	1.96		441	47.93		80	8.70		48	5.22		920	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		9	0.98		5	0.54		319	34.67					18	1.96		441	47.93		80	8.70		48	5.22		920	
	THIRD			3	60.00			Excluded		2	40.00					0	0.00		0	0.00		0	0.00		0	0.00		5	
		TOTAL		12	1.30					321	34.89					18	1.96		441	47.93		80	8.70		48	5.22		920	
	FOURTH			4	22.22					1	5.56						Excluded		8	44.44		3	16.67		2	11.11		18	
		TOTAL		16	1.74					322	35.00								449	48.80		83	9.02		50	5.43		920	
	FIFTH				Excluded					10	62.50								0	0.00		5	31.25		1	6.25		16	
		TOTAL								332	36.09								449	48.80		88	9.57		51	5.54		920	
	SIXTH									47	53.41								9	10.23			Excluded		32	36.36		88	
		TOTAL								379	41.20								458	49.78					83	9.02		920	
	SEVENTH									57	68.67								26	31.33						Excluded		83	
		TOTAL								436	47.39								484	52.61								920	
										Elected																			
																													
Beaumaris East (Isaacs)                                        																													
	FIRST			19	0.82		12	0.52		809	34.90		5	0.22		18	0.78		1140	49.18		122	5.26		193	8.33		2318	
	SECOND			1	20.00		1	20.00		1	20.00			Excluded		1	20.00		0	0.00		1	20.00		0	0.00		5	
		TOTAL		20	0.86		13	0.56		810	34.94					19	0.82		1140	49.18		123	5.31		193	8.33		2318	
	THIRD			8	61.54			Excluded		2	15.38					1	7.69		1	7.69		0	0.00		1	7.69		13	
		TOTAL		28	1.21					812	35.03					20	0.86		1141	49.22		123	5.31		194	8.37		2318	
	FOURTH			3	15.00					3	15.00						Excluded		9	45.00		5	25.00		0	0.00		20	
		TOTAL		31	1.34					815	35.16								1150	49.61		128	5.52		194	8.37		2318	
	FIFTH				Excluded					13	41.94								5	16.13		9	29.03		4	12.90		31	
		TOTAL								828	35.72								1155	49.83		137	5.91		198	8.54		2318	
	SIXTH									39	28.47								12	8.76			Excluded		86	62.77		137	
		TOTAL								867	37.40								1167	50.35					284	12.25		2318	
	SEVENTH									181	63.73								103	36.27						Excluded		284	
		TOTAL								1048	45.21								1270	54.79								2318	
										Elected																			
																													
Belvedere Park (Isaacs)                                        																													
	FIRST			51	2.14		12	0.50		1160	48.58		11	0.46		48	2.01		867	36.31		109	4.56		130	5.44		2388	
	SECOND			6	54.55		1	9.09		2	18.18			Excluded		1	9.09		1	9.09		0	0.00		0	0.00		11	
		TOTAL		57	2.39		13	0.54		1162	48.66					49	2.05		868	36.35		109	4.56		130	5.44		2388	
	THIRD			10	76.92			Excluded		1	7.69					1	7.69		1	7.69		0	0.00		0	0.00		13	
		TOTAL		67	2.81					1163	48.70					50	2.09		869	36.39		109	4.56		130	5.44		2388	
	FOURTH			13	26.00					14	28.00						Excluded		13	26.00		4	8.00		6	12.00		50	
		TOTAL		80	3.35					1177	49.29								882	36.93		113	4.73		136	5.70		2388	
	FIFTH				Excluded					45	56.25								17	21.25		9	11.25		9	11.25		80	
		TOTAL								1222	51.17								899	37.65		122	5.11		145	6.07		2388	
	SIXTH									63	51.64								9	7.38			Excluded		50	40.98		122	
		TOTAL								1285	53.81								908	38.02					195	8.17		2388	
	SEVENTH									117	60.00								78	40.00						Excluded		195	
		TOTAL								1402	58.71								986	41.29								2388	
										Elected																			
																													
Bonbeach                                                       																													
	FIRST			19	1.75		15	1.38		462	42.46		1	0.09		22	2.02		410	37.68		51	4.69		108	9.93		1088	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	100.00		0	0.00		1	
		TOTAL		19	1.75		15	1.38		462	42.46					22	2.02		410	37.68		52	4.78		108	9.93		1088	
	THIRD			12	80.00			Excluded		3	20.00					0	0.00		0	0.00		0	0.00		0	0.00		15	
		TOTAL		31	2.85					465	42.74					22	2.02		410	37.68		52	4.78		108	9.93		1088	
	FOURTH			3	13.64					7	31.82						Excluded		5	22.73		4	18.18		3	13.64		22	
		TOTAL		34	3.13					472	43.38								415	38.14		56	5.15		111	10.20		1088	
	FIFTH				Excluded					19	55.88								5	14.71		4	11.76		6	17.65		34	
		TOTAL								491	45.13								420	38.60		60	5.51		117	10.75		1088	
	SIXTH									30	50.00								10	16.67			Excluded		20	33.33		60	
		TOTAL								521	47.89								430	39.52					137	12.59		1088	
	SEVENTH									97	70.80								40	29.20						Excluded		137	
		TOTAL								618	56.80								470	43.20								1088	
										Elected																			
																													
Carrum                                                         																													
	FIRST			18	1.02		13	0.74		837	47.48		6	0.34		43	2.44		623	35.34		105	5.96		118	6.69		1763	
	SECOND			1	16.67		1	16.67		2	33.33			Excluded		0	0.00		0	0.00		1	16.67		1	16.67		6	
		TOTAL		19	1.08		14	0.79		839	47.59					43	2.44		623	35.34		106	6.01		119	6.75		1763	
	THIRD			9	64.29			Excluded		3	21.43					0	0.00		2	14.29		0	0.00		0	0.00		14	
		TOTAL		28	1.59					842	47.76					43	2.44		625	35.45		106	6.01		119	6.75		1763	
	FOURTH			12	27.91					5	11.63						Excluded		10	23.26		10	23.26		6	13.95		43	
		TOTAL		40	2.27					847	48.04								635	36.02		116	6.58		125	7.09		1763	
