House of Representatives - 2001 Election: Victoria																	
Distribution of Preferences																	
By Polling Place																	
Lalor																	
				HOWE			MCCONNELL			BRIFFA			GILLARD				
				Roger			David V			Tony			Julia				
				DEM			LP			GRN			ALP				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Total	
Altona                                                         																	
	FIRST			274	8.87		1035	33.50		155	5.02		1626	52.62		3090	
	SECOND			51	32.90		17	10.97			Excluded		87	56.13		155	
		TOTAL		325	10.52		1052	34.05					1713	55.44		3090	
	THIRD				Excluded		118	36.31					207	63.69		325	
		TOTAL					1170	37.86					1920	62.14		3090	
													Elected				
																	
Altona Bay                                                     																	
	FIRST			387	8.51		1058	23.28		179	3.94		2921	64.27		4545	
	SECOND			63	35.20		14	7.82			Excluded		102	56.98		179	
		TOTAL		450	9.90		1072	23.59					3023	66.51		4545	
	THIRD				Excluded		117	26.00					333	74.00		450	
		TOTAL					1189	26.16					3356	73.84		4545	
													Elected				
																	
Altona Meadows                                                 																	
	FIRST			287	7.57		797	21.03		125	3.30		2580	68.09		3789	
	SECOND			50	40.00		15	12.00			Excluded		60	48.00		125	
		TOTAL		337	8.89		812	21.43					2640	69.68		3789	
	THIRD				Excluded		132	39.17					205	60.83		337	
		TOTAL					944	24.91					2845	75.09		3789	
													Elected				
																	
Altona West                                                    																	
	FIRST			154	8.23		553	29.54		95	5.07		1070	57.16		1872	
	SECOND			41	43.16		17	17.89			Excluded		37	38.95		95	
		TOTAL		195	10.42		570	30.45					1107	59.13		1872	
	THIRD				Excluded		67	34.36					128	65.64		195	
		TOTAL					637	34.03					1235	65.97		1872	
													Elected				
																	
Ardeer East (Lalor)                                            																	
	FIRST			24	7.08		60	17.70		5	1.47		250	73.75		339	
	SECOND			3	60.00		1	20.00			Excluded		1	20.00		5	
		TOTAL		27	7.96		61	17.99					251	74.04		339	
	THIRD				Excluded		12	44.44					15	55.56		27	
		TOTAL					73	21.53					266	78.47		339	
													Elected				
																	
Ardeer South                                                   																	
	FIRST			206	8.80		385	16.44		45	1.92		1706	72.84		2342	
	SECOND			20	44.44		8	17.78			Excluded		17	37.78		45	
		TOTAL		226	9.65		393	16.78					1723	73.57		2342	
	THIRD				Excluded		91	40.27					135	59.73		226	
		TOTAL					484	20.67					1858	79.33		2342	
													Elected				
																	
Bellbridge                                                     																	
	FIRST			392	8.94		1270	28.97		192	4.38		2530	57.71		4384	
	SECOND			64	33.33		26	13.54			Excluded		102	53.13		192	
		TOTAL		456	10.40		1296	29.56					2632	60.04		4384	
	THIRD				Excluded		180	39.47					276	60.53		456	
		TOTAL					1476	33.67					2908	66.33		4384	
													Elected				
																	
Cambridge                                                      																	
	FIRST			254	8.65		933	31.79		108	3.68		1640	55.88		2935	
	SECOND			50	46.30		13	12.04			Excluded		45	41.67		108	
		TOTAL		304	10.36		946	32.23					1685	57.41		2935	
	THIRD				Excluded		129	42.43					175	57.57		304	
		TOTAL					1075	36.63					1860	63.37		2935	
													Elected				
																	
Derrimut Heath                                                 																	
	FIRST			182	7.82		853	36.66		115	4.94		1177	50.58		2327	
	SECOND			24	20.87		12	10.43			Excluded		79	68.70		115	
		TOTAL		206	8.85		865	37.17					1256	53.98		2327	
	THIRD				Excluded		47	22.82					159	77.18		206	
		TOTAL					912	39.19					1415	60.81		2327	
													Elected				
																	
Exford                                                         																	
	FIRST			7	5.38		59	45.38		6	4.62		58	44.62		130	
	SECOND			5	83.33		0	0.00			Excluded		1	16.67		6	
		TOTAL		12	9.23		59	45.38					59	45.38		130	
	THIRD				Excluded		3	25.00					9	75.00		12	
		TOTAL					62	47.69					68	52.31		130	
													Elected				
																	
Galvin Park                                                    																	
	FIRST			289	8.52		1047	30.86		152	4.48		1905	56.15		3393	
	SECOND			28	18.42		22	14.47			Excluded		102	67.11		152	
		TOTAL		317	9.34		1069	31.51					2007	59.15		3393	
	THIRD				Excluded		119	37.54					198	62.46		317	
		TOTAL					1188	35.01					2205	64.99		3393	
													Elected				
																	
Glengala (Lalor)                                               																	
	FIRST			102	4.61		386	17.45		74	3.35		1650	74.59		2212	
	SECOND			31	41.89		14	18.92			Excluded		29	39.19		74	
		TOTAL		133	6.01		400	18.08					1679	75.90		2212	
	THIRD				Excluded		60	45.11					73	54.89		133	
		TOTAL					460	20.80					1752	79.20		2212	
													Elected				
																	
Glengala South                                                 																	
	FIRST			81	4.45		278	15.28		54	2.97		1406	77.30		1819	
	SECOND			21	38.89		9	16.67			Excluded		24	44.44		54	
		TOTAL		102	5.61		287	15.78					1430	78.61		1819	
	THIRD				Excluded		48	47.06					54	52.94		102	
		TOTAL					335	18.42					1484	81.58		1819	
													Elected				
																	
Glenorden                                                      																	
	FIRST			165	7.05		532	22.74		99	4.23		1543	65.97		2339	
	SECOND			41	41.41		23	23.23			Excluded		35	35.35		99	
		TOTAL		206	8.81		555	23.73					1578	67.46		2339	
	THIRD				Excluded		94	45.63					112	54.37		206	
		TOTAL					649	27.75					1690	72.25		2339	
													Elected				
																	
Iramoo                                                         																	
	FIRST			291	8.61		966	28.58		130	3.85		1993	58.96		3380	
	SECOND			59	45.38		22	16.92			Excluded		49	37.69		130	
		TOTAL		350	10.36		988	29.23					2042	60.41		3380	
	THIRD				Excluded		124	35.43					226	64.57		350	
		TOTAL					1112	32.90					2268	67.10		3380	
													Elected				
																	
Laverton                                                       																	
	FIRST			82	6.96		265	22.50		33	2.80		798	67.74		1178	
	SECOND			14	42.42		10	30.30			Excluded		9	27.27		33	
		TOTAL		96	8.15		275	23.34					807	68.51		1178	
	THIRD				Excluded		45	46.88					51	53.13		96	
		TOTAL					320	27.16					858	72.84		1178	
													Elected				
																	
Laverton North                                                 																	
	FIRST			132	6.62		443	22.22		68	3.41		1351	67.75		1994	
	SECOND			38	55.88		3	4.41			Excluded		27	39.71		68	
		TOTAL		170	8.53		446	22.37					1378	69.11		1994	
	THIRD				Excluded		63	37.06					107	62.94		170	
		TOTAL					509	25.53					1485	74.47		1994	
													Elected				
																	
Little River                                                   																	
	FIRST			25	6.27		181	45.36		28	7.02		165	41.35		399	
	SECOND			14	50.00		4	14.29			Excluded		10	35.71		28	
		TOTAL		39	9.77		185	46.37					175	43.86		399	
	THIRD				Excluded		10	25.64					29	74.36		39	
		TOTAL					195	48.87					204	51.13		399	
													Elected				
																	
Manorvale                                                      																	
	FIRST			231	8.78		969	36.83		78	2.96		1353	51.43		2631	
	SECOND			40	51.28		10	12.82			Excluded		28	35.90		78	
		TOTAL		271	10.30		979	37.21					1381	52.49		2631	
	THIRD				Excluded		96	35.42					175	64.58		271	
		TOTAL					1075	40.86					1556	59.14		2631	
													Elected				
																	
Melbourne (Lalor)                                              																	
	FIRST			9	11.11		27	33.33		11	13.58		34	41.98		81	
	SECOND			4	36.36		3	27.27			Excluded		4	36.36		11	
		TOTAL		13	16.05		30	37.04					38	46.91		81	
