House of Representatives - 2001 Election: Victoria																													
Distribution of Preferences																													
By Polling Place																													
La Trobe																													
				CHARLES			SMITH			HOLLAND			STAINDL			VOIGT			SCOTT			DEAN			ALLEN				
				Bob			Craig			Tony			Philip			Wolfgang			June			Frank			Jason				
				LP			GRN			DEM			ALP			CTA			HAN			IND			IND				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Bayswater East                                                 																													
	FIRST			367	44.81		38	4.64		60	7.33		313	38.22		17	2.08		17	2.08		4	0.49		3	0.37		819	
	SECOND			1	25.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		3	75.00		4	
		TOTAL		368	44.93		38	4.64		60	7.33		313	38.22		17	2.08		17	2.08					6	0.73		819	
	THIRD			0	0.00		0	0.00		3	50.00		0	0.00		0	0.00		3	50.00						Excluded		6	
		TOTAL		368	44.93		38	4.64		63	7.69		313	38.22		17	2.08		20	2.44								819	
	FOURTH			6	35.29		1	5.88		8	47.06		2	11.76			Excluded		0	0.00								17	
		TOTAL		374	45.67		39	4.76		71	8.67		315	38.46					20	2.44								819	
	FIFTH			10	50.00		1	5.00		2	10.00		7	35.00						Excluded								20	
		TOTAL		384	46.89		40	4.88		73	8.91		322	39.32														819	
	SIXTH			6	15.00			Excluded		25	62.50		9	22.50														40	
		TOTAL		390	47.62					98	11.97		331	40.42														819	
	SEVENTH			38	38.78						Excluded		60	61.22														98	
		TOTAL		428	52.26								391	47.74														819	
				Elected																									
																													
Beaconsfield                                                   																													
	FIRST			891	55.31		88	5.46		109	6.77		454	28.18		22	1.37		29	1.80		12	0.74		6	0.37		1611	
	SECOND			0	0.00		1	8.33		0	0.00		0	0.00		0	0.00		1	8.33			Excluded		10	83.33		12	
		TOTAL		891	55.31		89	5.52		109	6.77		454	28.18		22	1.37		30	1.86					16	0.99		1611	
	THIRD			4	25.00		4	25.00		3	18.75		0	0.00		3	18.75		2	12.50						Excluded		16	
		TOTAL		895	55.56		93	5.77		112	6.95		454	28.18		25	1.55		32	1.99								1611	
	FOURTH			9	36.00		1	4.00		9	36.00		0	0.00			Excluded		6	24.00								25	
		TOTAL		904	56.11		94	5.83		121	7.51		454	28.18					38	2.36								1611	
	FIFTH			13	34.21		9	23.68		9	23.68		7	18.42						Excluded								38	
		TOTAL		917	56.92		103	6.39		130	8.07		461	28.62														1611	
	SIXTH			19	18.45			Excluded		66	64.08		18	17.48														103	
		TOTAL		936	58.10					196	12.17		479	29.73														1611	
	SEVENTH			77	39.29						Excluded		119	60.71														196	
		TOTAL		1013	62.88								598	37.12														1611	
				Elected																									
																													
Beaconsfield Upper                                             																													
	FIRST			967	58.39		114	6.88		121	7.31		404	24.40		11	0.66		23	1.39		5	0.30		11	0.66		1656	
	SECOND			1	20.00		1	20.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		3	60.00		5	
		TOTAL		968	58.45		115	6.94		121	7.31		404	24.40		11	0.66		23	1.39					14	0.85		1656	
	THIRD			0	0.00		2	14.29		2	14.29		2	14.29		2	14.29		6	42.86						Excluded		14	
		TOTAL		968	58.45		117	7.07		123	7.43		406	24.52		13	0.79		29	1.75								1656	
	FOURTH			7	53.85		2	15.38		0	0.00		4	30.77			Excluded		0	0.00								13	
		TOTAL		975	58.88		119	7.19		123	7.43		410	24.76					29	1.75								1656	
	FIFTH			6	20.69		8	27.59		6	20.69		9	31.03						Excluded								29	
		TOTAL		981	59.24		127	7.67		129	7.79		419	25.30														1656	
	SIXTH			18	14.17			Excluded		84	66.14		25	19.69														127	
		TOTAL		999	60.33					213	12.86		444	26.81														1656	
	SEVENTH			83	38.97						Excluded		130	61.03														213	
		TOTAL		1082	65.34								574	34.66														1656	
				Elected																									
																													
Belgrave                                                       																													
	FIRST			445	31.95		212	15.22		138	9.91		525	37.69		24	1.72		25	1.79		7	0.50		17	1.22		1393	
	SECOND			0	0.00		0	0.00		1	14.29		0	0.00		0	0.00		1	14.29			Excluded		5	71.43		7	
		TOTAL		445	31.95		212	15.22		139	9.98		525	37.69		24	1.72		26	1.87					22	1.58		1393	
	THIRD			4	18.18		7	31.82		1	4.55		1	4.55		3	13.64		6	27.27						Excluded		22	
		TOTAL		449	32.23		219	15.72		140	10.05		526	37.76		27	1.94		32	2.30								1393	
	FOURTH			14	51.85		2	7.41		4	14.81		6	22.22			Excluded		1	3.70								27	
		TOTAL		463	33.24		221	15.87		144	10.34		532	38.19					33	2.37								1393	
	FIFTH			6	18.18		11	33.33		3	9.09		13	39.39						Excluded								33	
		TOTAL		469	33.67		232	16.65		147	10.55		545	39.12														1393	
	SIXTH			21	9.05			Excluded		146	62.93		65	28.02														232	
		TOTAL		490	35.18					293	21.03		610	43.79														1393	
	SEVENTH			80	27.30						Excluded		213	72.70														293	
		TOTAL		570	40.92								823	59.08														1393	
				Elected																									
																													
Belgrave South                                                 																													
	FIRST			960	45.07		197	9.25		186	8.73		697	32.72		37	1.74		33	1.55		4	0.19		16	0.75		2130	
	SECOND			1	25.00		0	0.00		0	0.00		0	0.00		1	25.00		0	0.00			Excluded		2	50.00		4	
		TOTAL		961	45.12		197	9.25		186	8.73		697	32.72		38	1.78		33	1.55					18	0.85		2130	
	THIRD			4	22.22		3	16.67		6	33.33		0	0.00		2	11.11		3	16.67						Excluded		18	
		TOTAL		965	45.31		200	9.39		192	9.01		697	32.72		40	1.88		36	1.69								2130	
	FOURTH			29	72.50		4	10.00		2	5.00		3	7.50			Excluded		2	5.00								40	
		TOTAL		994	46.67		204	9.58		194	9.11		700	32.86					38	1.78								2130	
	FIFTH			10	26.32		10	26.32		8	21.05		10	26.32						Excluded								38	
		TOTAL		1004	47.14		214	10.05		202	9.48		710	33.33														2130	
	SIXTH			22	10.28			Excluded		146	68.22		46	21.50														214	
		TOTAL		1026	48.17					348	16.34		756	35.49														2130	
	SEVENTH			107	30.75						Excluded		241	69.25														348	
		TOTAL		1133	53.19								997	46.81														2130	
				Elected																									
																													
Berwick                                                        																													
	FIRST			2946	62.80		185	3.94		307	6.54		1138	24.26		36	0.77		54	1.15		12	0.26		13	0.28		4691	
	SECOND			1	8.33		0	0.00		1	8.33		1	8.33		0	0.00		1	8.33			Excluded		8	66.67		12	
		TOTAL		2947	62.82		185	3.94		308	6.57		1139	24.28		36	0.77		55	1.17					21	0.45		4691	
	THIRD			6	28.57		4	19.05		3	14.29		3	14.29		1	4.76		4	19.05						Excluded		21	
		TOTAL		2953	62.95		189	4.03		311	6.63		1142	24.34		37	0.79		59	1.26								4691	
	FOURTH			21	56.76		4	10.81		7	18.92		1	2.70			Excluded		4	10.81								37	
		TOTAL		2974	63.40		193	4.11		318	6.78		1143	24.37					63	1.34								4691	
	FIFTH			27	42.86		10	15.87		9	14.29		17	26.98						Excluded								63	
		TOTAL		3001	63.97		203	4.33		327	6.97		1160	24.73														4691	
	SIXTH			32	15.76			Excluded		123	60.59		48	23.65														203	
		TOTAL		3033	64.66					450	9.59		1208	25.75														4691	
	SEVENTH			184	40.89						Excluded		266	59.11														450	
		TOTAL		3217	68.58								1474	31.42														4691	
				Elected																									
																													
Berwick Lodge                                                  																													
	FIRST			1267	50.92		66	2.65		175	7.03		885	35.57		42	1.69		26	1.05		10	0.40		17	0.68		2488	
	SECOND			0	0.00		1	10.00		0	0.00		0	0.00		0	0.00		2	20.00			Excluded		7	70.00		10	
		TOTAL		1267	50.92		67	2.69		175	7.03		885	35.57		42	1.69		28	1.13					24	0.96		2488	
	THIRD			6	25.00		3	12.50		1	4.17		3	12.50		5	20.83		6	25.00						Excluded		24	
		TOTAL		1273	51.17		70	2.81		176	7.07		888	35.69		47	1.89		34	1.37								2488	
	FOURTH			22	46.81		7	14.89		7	14.89		7	14.89			Excluded		4	8.51								47	
		TOTAL		1295	52.05		77	3.09		183	7.36		895	35.97					38	1.53								2488	
	FIFTH			14	36.84		11	28.95		6	15.79		7	18.42						Excluded								38	
		TOTAL		1309	52.61		88	3.54		189	7.60		902	36.25														2488	
	SIXTH			19	21.59			Excluded		45	51.14		24	27.27														88	
		TOTAL		1328	53.38					234	9.41		926	37.22														2488	
	SEVENTH			105	44.87						Excluded		129	55.13														234	
		TOTAL		1433	57.60								1055	42.40														2488	
				Elected																									
																													
Berwick South                                                  																													
	FIRST			1794	51.67		110	3.17		289	8.32		1141	32.86		49	1.41		53	1.53		17	0.49		19	0.55		3472	
	SECOND			5	29.41		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		12	70.59		17	
		TOTAL		1799	51.81		110	3.17		289	8.32		1141	32.86		49	1.41		53	1.53					31	0.89		3472	
	THIRD			7	22.58		5	16.13		4	12.90		7	22.58		3	9.68		5	16.13						Excluded		31	
		TOTAL		1806	52.02		115	3.31		293	8.44		1148	33.06		52	1.50		58	1.67								3472	
	FOURTH			33	63.46		5	9.62		2	3.85		6	11.54			Excluded		6	11.54								52	
		TOTAL		1839	52.97		120	3.46		295	8.50		1154	33.24					64	1.84								3472	
	FIFTH			23	35.94		16	25.00		10	15.63		15	23.44						Excluded								64	
		TOTAL		1862	53.63		136	3.92		305	8.78		1169	33.67														3472	
	SIXTH			23	16.91			Excluded		90	66.18		23	16.91														136	
		TOTAL		1885	54.29					395	11.38		1192	34.33														3472	
	SEVENTH			184	46.58						Excluded		211	53.42														395	
		TOTAL		2069	59.59								1403	40.41														3472	
				Elected																									
																													
Boronia                                                        																													
	FIRST			876	42.61		105	5.11		171	8.32		830	40.37		24	1.17		29	1.41		5	0.24		16	0.78		2056	
	SECOND			1	20.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		4	80.00		5	
		TOTAL		877	42.66		105	5.11		171	8.32		830	40.37		24	1.17		29	1.41					20	0.97		2056	
	THIRD			3	15.00		5	25.00		3	15.00		1	5.00		3	15.00		5	25.00						Excluded		20	
		TOTAL		880	42.80		110	5.35		174	8.46		831	40.42		27	1.31		34	1.65								2056	
	FOURTH			13	48.15		4	14.81		2	7.41		3	11.11			Excluded		5	18.52								27	
		TOTAL		893	43.43		114	5.54		176	8.56		834	40.56					39	1.90								2056	
	FIFTH			15	38.46		8	20.51		4	10.26		12	30.77						Excluded								39	
		TOTAL		908	44.16		122	5.93		180	8.75		846	41.15														2056	
	SIXTH			14	11.48			Excluded		79	64.75		29	23.77														122	
		TOTAL		922	44.84					259	12.60		875	42.56														2056	
	SEVENTH			92	35.52						Excluded		167	64.48														259	
		TOTAL		1014	49.32								1042	50.68														2056	
				Elected																									
																													
Boronia Central                                                																													
	FIRST			554	43.79		95	7.51		79	6.25		487	38.50		13	1.03		23	1.82		2	0.16		12	0.95		1265	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		2	100.00		2	
		TOTAL		554	43.79		95	7.51		79	6.25		487	38.50		13	1.03		23	1.82					14	1.11		1265	
	THIRD			2	14.29		1	7.14		2	14.29		2	14.29		1	7.14		6	42.86						Excluded		14	
		TOTAL		556	43.95		96	7.59		81	6.40		489	38.66		14	1.11		29	2.29								1265	
	FOURTH			10	71.43		1	7.14		1	7.14		2	14.29			Excluded		0	0.00								14	
		TOTAL		566	44.74		97	7.67		82	6.48		491	38.81					29	2.29								1265	
	FIFTH			11	37.93		7	24.14		5	17.24		6	20.69						Excluded								29	
		TOTAL		577	45.61		104	8.22		87	6.88		497	39.29														1265	
	SIXTH			9	8.65			Excluded		69	66.35		26	25.00														104	
		TOTAL		586	46.32					156	12.33		523	41.34														1265	
	SEVENTH			43	27.56						Excluded		113	72.44														156	
		TOTAL		629	49.72								636	50.28														1265	
				Elected																									
																													
Boronia East                                                   																													
	FIRST			724	39.76		127	6.97		141	7.74		752	41.30		24	1.32		34	1.87		9	0.49		10	0.55		1821	
	SECOND			2	22.22		0	0.00		0	0.00		1	11.11		1	11.11		0	0.00			Excluded		5	55.56		9	
		TOTAL		726	39.87		127	6.97		141	7.74		753	41.35		25	1.37		34	1.87					15	0.82		1821	
	THIRD			4	26.67		5	33.33		3	20.00		1	6.67		1	6.67		1	6.67						Excluded		15	
		TOTAL		730	40.09		132	7.25		144	7.91		754	41.41		26	1.43		35	1.92								1821	
	FOURTH			10	38.46		5	19.23		6	23.08		5	19.23			Excluded		0	0.00								26	
		TOTAL		740	40.64		137	7.52		150	8.24		759	41.68					35	1.92								1821	
	FIFTH			12	34.29		8	22.86		7	20.00		8	22.86						Excluded								35	
		TOTAL		752	41.30		145	7.96		157	8.62		767	42.12														1821	
	SIXTH			23	15.86			Excluded		101	69.66		21	14.48														145	
		TOTAL		775	42.56					258	14.17		788	43.27														1821	
	SEVENTH			86	33.33						Excluded		172	66.67														258	
		TOTAL		861	47.28								960	52.72														1821	
				Elected																									
																													
Boronia North                                                  																													
	FIRST			1130	44.56		156	6.15		204	8.04		952	37.54		25	0.99		36	1.42		15	0.59		18	0.71		2536	
	SECOND			1	6.67		0	0.00		1	6.67		0	0.00		0	0.00		4	26.67			Excluded		9	60.00		15	
		TOTAL		1131	44.60		156	6.15		205	8.08		952	37.54		25	0.99		40	1.58					27	1.06		2536	
	THIRD			7	25.93		3	11.11		4	14.81		5	18.52		1	3.70		7	25.93						Excluded		27	
		TOTAL		1138	44.87		159	6.27		209	8.24		957	37.74		26	1.03		47	1.85								2536	
	FOURTH			10	38.46		5	19.23		4	15.38		2	7.69			Excluded		5	19.23								26	
		TOTAL		1148	45.27		164	6.47		213	8.40		959	37.82					52	2.05								2536	
	FIFTH			14	26.92		12	23.08		9	17.31		17	32.69						Excluded								52	
		TOTAL		1162	45.82		176	6.94		222	8.75		976	38.49														2536	
	SIXTH			20	11.36			Excluded		122	69.32		34	19.32														176	
		TOTAL		1182	46.61					344	13.56		1010	39.83														2536	
	SEVENTH			128	37.21						Excluded		216	62.79														344	
		TOTAL		1310	51.66								1226	48.34														2536	
				Elected																									
																													
Clematis                                                       																													
	FIRST			164	45.94		39	10.92		16	4.48		128	35.85		0	0.00		5	1.40		3	0.84		2	0.56		357	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		3	100.00		3	
		TOTAL		164	45.94		39	10.92		16	4.48		128	35.85		0	0.00		5	1.40					5	1.40		357	
	THIRD			0	0.00		1	20.00		1	20.00		1	20.00		0	0.00		2	40.00						Excluded		5	
		TOTAL		164	45.94		40	11.20		17	4.76		129	36.13		0	0.00		7	1.96								357	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00								0	
		TOTAL		164	45.94		40	11.20		17	4.76		129	36.13					7	1.96								357	
	FIFTH			0	0.00		2	28.57		1	14.29		4	57.14						Excluded								7	
		TOTAL		164	45.94		42	11.76		18	5.04		133	37.25														357	
	SIXTH			4	9.52			Excluded		29	69.05		9	21.43														42	
		TOTAL		168	47.06					47	13.17		142	39.78														357	
	SEVENTH			13	27.66						Excluded		34	72.34														47	
		TOTAL		181	50.70								176	49.30														357	
				Elected																									
																													
Cockatoo                                                       																													
	FIRST			722	37.92		209	10.98		190	9.98		710	37.29		15	0.79		33	1.73		14	0.74		11	0.58		1904	
	SECOND			2	14.29		1	7.14		0	0.00		0	0.00		0	0.00		1	7.14			Excluded		10	71.43		14	
		TOTAL		724	38.03		210	11.03		190	9.98		710	37.29		15	0.79		34	1.79					21	1.10		1904	
	THIRD			3	14.29		2	9.52		3	14.29		1	4.76		4	19.05		8	38.10						Excluded		21	
		TOTAL		727	38.18		212	11.13		193	10.14		711	37.34		19	1.00		42	2.21								1904	
	FOURTH			7	36.84		2	10.53		1	5.26		7	36.84			Excluded		2	10.53								19	
		TOTAL		734	38.55		214	11.24		194	10.19		718	37.71					44	2.31								1904	
	FIFTH			11	25.00		13	29.55		4	9.09		16	36.36						Excluded								44	
		TOTAL		745	39.13		227	11.92		198	10.40		734	38.55														1904	
	SIXTH			23	10.13			Excluded		159	70.04		45	19.82														227	
		TOTAL		768	40.34					357	18.75		779	40.91														1904	
	SEVENTH			102	28.57						Excluded		255	71.43														357	
		TOTAL		870	45.69								1034	54.31														1904	
				Elected																									
																													
Emerald                                                        																													
	FIRST			1463	44.60		369	11.25		325	9.91		1016	30.98		32	0.98		46	1.40		16	0.49		13	0.40		3280	
	SECOND			0	0.00		1	6.25		2	12.50		2	12.50		0	0.00		3	18.75			Excluded		8	50.00		16	
		TOTAL		1463	44.60		370	11.28		327	9.97		1018	31.04		32	0.98		49	1.49					21	0.64		3280	
	THIRD			1	4.76		6	28.57		4	19.05		4	19.05		3	14.29		3	14.29						Excluded		21	
		TOTAL		1464	44.63		376	11.46		331	10.09		1022	31.16		35	1.07		52	1.59								3280	
	FOURTH			22	62.86		2	5.71		6	17.14		5	14.29			Excluded		0	0.00								35	
		TOTAL		1486	45.30		378	11.52		337	10.27		1027	31.31					52	1.59								3280	
	FIFTH			22	42.31		14	26.92		5	9.62		11	21.15						Excluded								52	
		TOTAL		1508	45.98		392	11.95		342	10.43		1038	31.65														3280	
	SIXTH			43	10.97			Excluded		273	69.64		76	19.39														392	
		TOTAL		1551	47.29					615	18.75		1114	33.96														3280	
	SEVENTH			203	33.01						Excluded		412	66.99														615	
		TOTAL		1754	53.48								1526	46.52														3280	
				Elected																									
																													
Fairhills                                                      																													
	FIRST			847	40.66		96	4.61		162	7.78		911	43.73		13	0.62		27	1.30		11	0.53		16	0.77		2083	
	SECOND			0	0.00		1	9.09		1	9.09		1	9.09		0	0.00		2	18.18			Excluded		6	54.55		11	
		TOTAL		847	40.66		97	4.66		163	7.83		912	43.78		13	0.62		29	1.39					22	1.06		2083	
	THIRD			1	4.55		4	18.18		5	22.73		3	13.64		2	9.09		7	31.82						Excluded		22	
		TOTAL		848	40.71		101	4.85		168	8.07		915	43.93		15	0.72		36	1.73								2083	
	FOURTH			8	53.33		1	6.67		3	20.00		3	20.00			Excluded		0	0.00								15	
		TOTAL		856	41.09		102	4.90		171	8.21		918	44.07					36	1.73								2083	
	FIFTH			5	13.89		10	27.78		6	16.67		15	41.67						Excluded								36	
		TOTAL		861	41.33		112	5.38		177	8.50		933	44.79														2083	
	SIXTH			19	16.96			Excluded		74	66.07		19	16.96														112	
		TOTAL		880	42.25					251	12.05		952	45.70														2083	
	SEVENTH			78	31.08						Excluded		173	68.92														251	
		TOTAL		958	45.99								1125	54.01														2083	
				Elected																									
																													
Ferntree Gully                                                 																													
	FIRST			700	43.10		106	6.53		119	7.33		639	39.35		10	0.62		28	1.72		8	0.49		14	0.86		1624	
	SECOND			1	12.50		1	12.50		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		6	75.00		8	
		TOTAL		701	43.17		107	6.59		119	7.33		639	39.35		10	0.62		28	1.72					20	1.23		1624	
	THIRD			5	25.00		6	30.00		0	0.00		6	30.00		2	10.00		1	5.00						Excluded		20	
		TOTAL		706	43.47		113	6.96		119	7.33		645	39.72		12	0.74		29	1.79								1624	
	FOURTH			4	33.33		2	16.67		5	41.67		0	0.00			Excluded		1	8.33								12	
		TOTAL		710	43.72		115	7.08		124	7.64		645	39.72					30	1.85								1624	
	FIFTH			13	43.33		6	20.00		3	10.00		8	26.67						Excluded								30	
		TOTAL		723	44.52		121	7.45		127	7.82		653	40.21														1624	
	SIXTH			13	10.74			Excluded		85	70.25		23	19.01														121	
		TOTAL		736	45.32					212	13.05		676	41.63														1624	
	SEVENTH			72	33.96						Excluded		140	66.04														212	
		TOTAL		808	49.75								816	50.25														1624	
				Elected																									
																													
Ferntree Gully North                                           																													
	FIRST			926	43.27		170	7.94		191	8.93		740	34.58		25	1.17		44	2.06		10	0.47		34	1.59		2140	
	SECOND			0	0.00		1	10.00		1	10.00		1	10.00		1	10.00		1	10.00			Excluded		5	50.00		10	
		TOTAL		926	43.27		171	7.99		192	8.97		741	34.63		26	1.21		45	2.10					39	1.82		2140	
	THIRD			6	15.38		8	20.51		10	25.64		5	12.82		1	2.56		9	23.08						Excluded		39	
		TOTAL		932	43.55		179	8.36		202	9.44		746	34.86		27	1.26		54	2.52								2140	
	FOURTH			6	22.22		5	18.52		7	25.93		6	22.22			Excluded		3	11.11								27	
		TOTAL		938	43.83		184	8.60		209	9.77		752	35.14					57	2.66								2140	
