House of Representatives - 2001 Election: Victoria																							
Distribution of Preferences																							
By Polling Place																							
Mallee																							
				KELLY			ZIGOURAS			RIVENDELL			MACKLEY			FORREST			DOUGLASS				
				Timothy			John			Julie			Bob			John			Ross				
				DEM			ALP			GRN			HAN			NP			IND				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Antwerp                                                        																							
	FIRST			2	2.02		6	6.06		2	2.02		10	10.10		78	78.79		1	1.01		99	
	SECOND			0	0.00		1	50.00			Excluded		0	0.00		1	50.00		0	0.00		2	
		TOTAL		2	2.02		7	7.07					10	10.10		79	79.80		1	1.01		99	
	THIRD			0	0.00		0	0.00					1	100.00		0	0.00			Excluded		1	
		TOTAL		2	2.02		7	7.07					11	11.11		79	79.80					99	
	FOURTH				Excluded		1	50.00					0	0.00		1	50.00					2	
		TOTAL					8	8.08					11	11.11		80	80.81					99	
	FIFTH						4	36.36						Excluded		7	63.64					11	
		TOTAL					12	12.12								87	87.88					99	
																Elected							
																							
Apsley                                                         																							
	FIRST			9	3.18		57	20.14		2	0.71		41	14.49		169	59.72		5	1.77		283	
	SECOND			0	0.00		1	50.00			Excluded		1	50.00		0	0.00		0	0.00		2	
		TOTAL		9	3.18		58	20.49					42	14.84		169	59.72		5	1.77		283	
	THIRD			0	0.00		2	40.00					2	40.00		1	20.00			Excluded		5	
		TOTAL		9	3.18		60	21.20					44	15.55		170	60.07					283	
	FOURTH				Excluded		5	55.56					1	11.11		3	33.33					9	
		TOTAL					65	22.97					45	15.90		173	61.13					283	
	FIFTH						18	40.00						Excluded		27	60.00					45	
		TOTAL					83	29.33								200	70.67					283	
																Elected							
																							
Berriwillock                                                   																							
	FIRST			4	2.58		20	12.90		0	0.00		9	5.81		120	77.42		2	1.29		155	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		4	2.58		20	12.90					9	5.81		120	77.42		2	1.29		155	
	THIRD			0	0.00		0	0.00					2	100.00		0	0.00			Excluded		2	
		TOTAL		4	2.58		20	12.90					11	7.10		120	77.42					155	
	FOURTH				Excluded		4	100.00					0	0.00		0	0.00					4	
		TOTAL					24	15.48					11	7.10		120	77.42					155	
	FIFTH						6	54.55						Excluded		5	45.45					11	
		TOTAL					30	19.35								125	80.65					155	
																Elected							
																							
Beulah                                                         																							
	FIRST			3	0.99		25	8.28		1	0.33		16	5.30		249	82.45		8	2.65		302	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	100.00		1	
		TOTAL		3	0.99		25	8.28					16	5.30		249	82.45		9	2.98		302	
	THIRD			3	33.33		0	0.00					2	22.22		4	44.44			Excluded		9	
		TOTAL		6	1.99		25	8.28					18	5.96		253	83.77					302	
	FOURTH				Excluded		3	50.00					1	16.67		2	33.33					6	
		TOTAL					28	9.27					19	6.29		255	84.44					302	
	FIFTH						5	26.32						Excluded		14	73.68					19	
		TOTAL					33	10.93								269	89.07					302	
																Elected							
																							
Beverford                                                      																							
	FIRST			15	4.21		63	17.70		9	2.53		27	7.58		231	64.89		11	3.09		356	
	SECOND			3	33.33		2	22.22			Excluded		1	11.11		2	22.22		1	11.11		9	
		TOTAL		18	5.06		65	18.26					28	7.87		233	65.45		12	3.37		356	
	THIRD			2	16.67		1	8.33					3	25.00		6	50.00			Excluded		12	
		TOTAL		20	5.62		66	18.54					31	8.71		239	67.13					356	
	FOURTH				Excluded		10	50.00					3	15.00		7	35.00					20	
		TOTAL					76	21.35					34	9.55		246	69.10					356	
	FIFTH						6	17.65						Excluded		28	82.35					34	
		TOTAL					82	23.03								274	76.97					356	
																Elected							
																							
Birchip                                                        																							
	FIRST			14	2.32		102	16.89		5	0.83		32	5.30		410	67.88		41	6.79		604	
	SECOND			3	60.00		1	20.00			Excluded		1	20.00		0	0.00		0	0.00		5	
		TOTAL		17	2.81		103	17.05					33	5.46		410	67.88		41	6.79		604	
	THIRD			0	0.00		5	12.20					21	51.22		15	36.59			Excluded		41	
		TOTAL		17	2.81		108	17.88					54	8.94		425	70.36					604	
	FOURTH				Excluded		7	41.18					2	11.76		8	47.06					17	
		TOTAL					115	19.04					56	9.27		433	71.69					604	
	FIFTH						23	41.07						Excluded		33	58.93					56	
		TOTAL					138	22.85								466	77.15					604	
																Elected							
																							
Boundary Bend                                                  																							
	FIRST			4	3.60		15	13.51		3	2.70		15	13.51		69	62.16		5	4.50		111	
	SECOND			0	0.00		1	33.33			Excluded		1	33.33		1	33.33		0	0.00		3	
		TOTAL		4	3.60		16	14.41					16	14.41		70	63.06		5	4.50		111	
	THIRD			0	0.00		0	0.00					1	20.00		4	80.00			Excluded		5	
		TOTAL		4	3.60		16	14.41					17	15.32		74	66.67					111	
	FOURTH				Excluded		2	50.00					0	0.00		2	50.00					4	
		TOTAL					18	16.22					17	15.32		76	68.47					111	
	FIFTH						4	23.53						Excluded		13	76.47					17	
		TOTAL					22	19.82								89	80.18					111	
																Elected							
																							
Brim                                                           																							
	FIRST			1	0.65		9	5.88		0	0.00		12	7.84		125	81.70		6	3.92		153	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		1	0.65		9	5.88					12	7.84		125	81.70		6	3.92		153	
	THIRD			1	16.67		0	0.00					1	16.67		4	66.67			Excluded		6	
		TOTAL		2	1.31		9	5.88					13	8.50		129	84.31					153	
	FOURTH				Excluded		1	50.00					0	0.00		1	50.00					2	
		TOTAL					10	6.54					13	8.50		130	84.97					153	
	FIFTH						2	15.38						Excluded		11	84.62					13	
		TOTAL					12	7.84								141	92.16					153	
																Elected							
																							
Brimpaen                                                       																							
	FIRST			0	0.00		5	9.09		2	3.64		10	18.18		36	65.45		2	3.64		55	
	SECOND			1	50.00		1	50.00			Excluded		0	0.00		0	0.00		0	0.00		2	
		TOTAL		1	1.82		6	10.91					10	18.18		36	65.45		2	3.64		55	
	THIRD			1	50.00		0	0.00					0	0.00		1	50.00			Excluded		2	
		TOTAL		2	3.64		6	10.91					10	18.18		37	67.27					55	
