House of Representatives - 2001 Election: Queensland																							
Distribution of Preferences																							
By Polling Place																							
Maranoa																							
				WILSON			BOWDEN			ROLLS			MCNICHOL			SCOTT			NEMETH				
				Rhonda			David L			Cindy			Mark			Bruce			Noel				
				DEM			ALP			CEC			HAN			NP			GRN				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Allora                                                         																							
	FIRST			35	3.31		167	15.80		5	0.47		175	16.56		644	60.93		31	2.93		1057	
	SECOND			3	60.00		0	0.00			Excluded		1	20.00		1	20.00		0	0.00		5	
		TOTAL		38	3.60		167	15.80					176	16.65		645	61.02		31	2.93		1057	
	THIRD			9	29.03		8	25.81					5	16.13		9	29.03			Excluded		31	
		TOTAL		47	4.45		175	16.56					181	17.12		654	61.87					1057	
	FOURTH				Excluded		25	53.19					4	8.51		18	38.30					47	
		TOTAL					200	18.92					185	17.50		672	63.58					1057	
	FIFTH						94	50.81						Excluded		91	49.19					185	
		TOTAL					294	27.81								763	72.19					1057	
																Elected							
																							
Amby                                                           																							
	FIRST			0	0.00		7	9.86		0	0.00		16	22.54		48	67.61		0	0.00		71	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		0	0.00		7	9.86					16	22.54		48	67.61		0	0.00		71	
	THIRD			0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0	
		TOTAL		0	0.00		7	9.86					16	22.54		48	67.61					71	
	FOURTH				Excluded		0	0.00					0	0.00		0	0.00					0	
		TOTAL					7	9.86					16	22.54		48	67.61					71	
	FIFTH						8	50.00						Excluded		8	50.00					16	
		TOTAL					15	21.13								56	78.87					71	
																Elected							
																							
Amiens                                                         																							
	FIRST			4	1.60		51	20.40		0	0.00		58	23.20		130	52.00		7	2.80		250	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		4	1.60		51	20.40					58	23.20		130	52.00		7	2.80		250	
	THIRD			3	42.86		2	28.57					1	14.29		1	14.29			Excluded		7	
		TOTAL		7	2.80		53	21.20					59	23.60		131	52.40					250	
	FOURTH				Excluded		4	57.14					0	0.00		3	42.86					7	
		TOTAL					57	22.80					59	23.60		134	53.60					250	
	FIFTH						23	38.98						Excluded		36	61.02					59	
		TOTAL					80	32.00								170	68.00					250	
																Elected							
																							
Anakie                                                         																							
	FIRST			3	3.49		21	24.42		0	0.00		18	20.93		43	50.00		1	1.16		86	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		3	3.49		21	24.42					18	20.93		43	50.00		1	1.16		86	
	THIRD			1	100.00		0	0.00					0	0.00		0	0.00			Excluded		1	
		TOTAL		4	4.65		21	24.42					18	20.93		43	50.00					86	
	FOURTH				Excluded		2	50.00					0	0.00		2	50.00					4	
		TOTAL					23	26.74					18	20.93		45	52.33					86	
	FIFTH						2	11.11						Excluded		16	88.89					18	
		TOTAL					25	29.07								61	70.93					86	
																Elected							
																							
Applethorpe                                                    																							
	FIRST			17	5.01		69	20.35		1	0.29		84	24.78		159	46.90		9	2.65		339	
	SECOND			0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		1	
		TOTAL		17	5.01		70	20.65					84	24.78		159	46.90		9	2.65		339	
	THIRD			4	44.44		2	22.22					3	33.33		0	0.00			Excluded		9	
		TOTAL		21	6.19		72	21.24					87	25.66		159	46.90					339	
	FOURTH				Excluded		10	47.62					1	4.76		10	47.62					21	
		TOTAL					82	24.19					88	25.96		169	49.85					339	
	FIFTH						47	53.41						Excluded		41	46.59					88	
		TOTAL					129	38.05								210	61.95					339	
																Elected							
																							
Augathella                                                     																							
	FIRST			6	2.14		113	40.36		1	0.36		18	6.43		140	50.00		2	0.71		280	
	SECOND			0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00		1	
		TOTAL		6	2.14		113	40.36					19	6.79		140	50.00		2	0.71		280	
	THIRD			2	100.00		0	0.00					0	0.00		0	0.00			Excluded		2	
		TOTAL		8	2.86		113	40.36					19	6.79		140	50.00					280	
	FOURTH				Excluded		5	62.50					1	12.50		2	25.00					8	
		TOTAL					118	42.14					20	7.14		142	50.71					280	
	FIFTH						11	55.00						Excluded		9	45.00					20	
		TOTAL					129	46.07								151	53.93					280	
																Elected							
																							
Ballandean                                                     																							
	FIRST			15	5.05		52	17.51		1	0.34		50	16.84		149	50.17		30	10.10		297	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		1	100.00		0	0.00		1	
		TOTAL		15	5.05		52	17.51					50	16.84		150	50.51		30	10.10		297	
	THIRD			14	46.67		9	30.00					3	10.00		4	13.33			Excluded		30	
		TOTAL		29	9.76		61	20.54					53	17.85		154	51.85					297	
	FOURTH				Excluded		23	79.31					0	0.00		6	20.69					29	
		TOTAL					84	28.28					53	17.85		160	53.87					297	
	FIFTH						29	54.72						Excluded		24	45.28					53	
		TOTAL					113	38.05								184	61.95					297	
																Elected							
																							
Bauhinia Downs                                                 																							
	FIRST			2	1.83		7	6.42		3	2.75		19	17.43		77	70.64		1	0.92		109	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		3	100.00		0	0.00		3	
		TOTAL		2	1.83		7	6.42					19	17.43		80	73.39		1	0.92		109	
	THIRD			0	0.00		0	0.00					1	100.00		0	0.00			Excluded		1	
		TOTAL		2	1.83		7	6.42					20	18.35		80	73.39					109	
	FOURTH				Excluded		1	50.00					0	0.00		1	50.00					2	
		TOTAL					8	7.34					20	18.35		81	74.31					109	
	FIFTH						7	35.00						Excluded		13	65.00					20	
		TOTAL					15	13.76								94	86.24					109	
																Elected							
																							
Bedourie                                                       																							
	FIRST			4	6.35		8	12.70		1	1.59		5	7.94		44	69.84		1	1.59		63	
	SECOND			1	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	
		TOTAL		5	7.94		8	12.70					5	7.94		44	69.84		1	1.59		63	
	THIRD			0	0.00		0	0.00					0	0.00		1	100.00			Excluded		1	
		TOTAL		5	7.94		8	12.70					5	7.94		45	71.43					63	
	FOURTH				Excluded		2	40.00					1	20.00		2	40.00					5	
		TOTAL					10	15.87					6	9.52		47	74.60					63	
	FIFTH						1	16.67						Excluded		5	83.33					6	
