House of Representatives - 2001 Election: Victoria																							
Distribution of Preferences																							
By Polling Place																							
McEwen																							
				SALTER			ROMAGNESI			MACLEOD			BAILEY			LODWICK			CARDEN				
				Alan A			Jim			Andrew			Fran			Bill			Tony				
				HAN			GRN			ALP			LP			IND			DEM				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Alexandra                                                      																							
	FIRST			27	1.66		31	1.90		557	34.19		916	56.23		12	0.74		86	5.28		1629	
	SECOND			2	16.67		1	8.33		2	16.67		3	25.00			Excluded		4	33.33		12	
		TOTAL		29	1.78		32	1.96		559	34.32		919	56.41					90	5.52		1629	
	THIRD				Excluded		4	13.79		10	34.48		11	37.93					4	13.79		29	
		TOTAL					36	2.21		569	34.93		930	57.09					94	5.77		1629	
	FOURTH						52	55.32		18	19.15		24	25.53						Excluded		94	
		TOTAL					88	5.40		587	36.03		954	58.56								1629	
	FIFTH							Excluded		63	71.59		25	28.41								88	
		TOTAL								650	39.90		979	60.10								1629	
													Elected										
																							
Arthurs Creek                                                  																							
	FIRST			11	3.03		23	6.34		90	24.79		225	61.98		4	1.10		10	2.75		363	
	SECOND			1	25.00		0	0.00		0	0.00		1	25.00			Excluded		2	50.00		4	
		TOTAL		12	3.31		23	6.34		90	24.79		226	62.26					12	3.31		363	
	THIRD				Excluded		2	16.67		0	0.00		7	58.33					3	25.00		12	
		TOTAL					25	6.89		90	24.79		233	64.19					15	4.13		363	
	FOURTH						5	33.33		3	20.00		7	46.67						Excluded		15	
		TOTAL					30	8.26		93	25.62		240	66.12								363	
	FIFTH							Excluded		25	83.33		5	16.67								30	
		TOTAL								118	32.51		245	67.49								363	
													Elected										
																							
Avenel                                                         																							
	FIRST			20	3.24		22	3.56		239	38.67		316	51.13		9	1.46		12	1.94		618	
	SECOND			4	44.44		0	0.00		1	11.11		2	22.22			Excluded		2	22.22		9	
		TOTAL		24	3.88		22	3.56		240	38.83		318	51.46					14	2.27		618	
	THIRD				Excluded		6	25.00		3	12.50		10	41.67					5	20.83		24	
		TOTAL					28	4.53		243	39.32		328	53.07					19	3.07		618	
	FOURTH						8	42.11		4	21.05		7	36.84						Excluded		19	
		TOTAL					36	5.83		247	39.97		335	54.21								618	
	FIFTH							Excluded		32	88.89		4	11.11								36	
		TOTAL								279	45.15		339	54.85								618	
													Elected										
																							
Badger Creek                                                   																							
	FIRST			34	2.71		109	8.68		467	37.18		542	43.15		7	0.56		97	7.72		1256	
	SECOND			0	0.00		2	28.57		1	14.29		0	0.00			Excluded		4	57.14		7	
		TOTAL		34	2.71		111	8.84		468	37.26		542	43.15					101	8.04		1256	
	THIRD				Excluded		10	29.41		9	26.47		8	23.53					7	20.59		34	
		TOTAL					121	9.63		477	37.98		550	43.79					108	8.60		1256	
	FOURTH						73	67.59		20	18.52		15	13.89						Excluded		108	
		TOTAL					194	15.45		497	39.57		565	44.98								1256	
	FIFTH							Excluded		150	77.32		44	22.68								194	
		TOTAL								647	51.51		609	48.49								1256	
													Elected										
																							
Beveridge                                                      																							
	FIRST			7	2.95		5	2.11		104	43.88		105	44.30		3	1.27		13	5.49		237	
	SECOND			0	0.00		0	0.00		1	33.33		1	33.33			Excluded		1	33.33		3	
		TOTAL		7	2.95		5	2.11		105	44.30		106	44.73					14	5.91		237	
	THIRD				Excluded		3	42.86		1	14.29		2	28.57					1	14.29		7	
		TOTAL					8	3.38		106	44.73		108	45.57					15	6.33		237	
	FOURTH						7	46.67		3	20.00		5	33.33						Excluded		15	
		TOTAL					15	6.33		109	45.99		113	47.68								237	
	FIFTH							Excluded		14	93.33		1	6.67								15	
		TOTAL								123	51.90		114	48.10								237	
													Elected										
																							
Bonnie Doon                                                    																							
	FIRST			13	4.32		11	3.65		88	29.24		182	60.47		3	1.00		4	1.33		301	
	SECOND			0	0.00		2	66.67		0	0.00		0	0.00			Excluded		1	33.33		3	
		TOTAL		13	4.32		13	4.32		88	29.24		182	60.47					5	1.66		301	
	THIRD				Excluded		4	30.77		4	30.77		4	30.77					1	7.69		13	
		TOTAL					17	5.65		92	30.56		186	61.79					6	1.99		301	
	FOURTH						2	33.33		4	66.67		0	0.00						Excluded		6	
		TOTAL					19	6.31		96	31.89		186	61.79								301	
	FIFTH							Excluded		13	68.42		6	31.58								19	
		TOTAL								109	36.21		192	63.79								301	
													Elected										
																							
Broadford                                                      																							
	FIRST			84	4.11		91	4.45		961	47.02		779	38.11		59	2.89		70	3.42		2044	
	SECOND			4	6.78		11	18.64		11	18.64		18	30.51			Excluded		15	25.42		59	
		TOTAL		88	4.31		102	4.99		972	47.55		797	38.99					85	4.16		2044	
	THIRD				Excluded		26	29.55		25	28.41		26	29.55					11	12.50		88	
		TOTAL					128	6.26		997	48.78		823	40.26					96	4.70		2044	
	FOURTH						45	46.88		28	29.17		23	23.96						Excluded		96	
