House of Representatives - 2001 Election: Victoria																				
Distribution of Preferences																				
By Polling Place																				
Menzies																				
				WATSON			ANDREWS			GRIFFIN			RYAN			VASILOPOULOS				
				Barry			Kevin			Brendan			Michael			Olga				
				GRN			LP			NGST			DEM			ALP				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Beverley Hills                                                 																				
	FIRST			178	6.02		1404	47.50		52	1.76		195	6.60		1127	38.13		2956	
	SECOND			14	26.92		11	21.15			Excluded		10	19.23		17	32.69		52	
		TOTAL		192	6.50		1415	47.87					205	6.94		1144	38.70		2956	
	THIRD				Excluded		39	20.31					117	60.94		36	18.75		192	
		TOTAL					1454	49.19					322	10.89		1180	39.92		2956	
	FOURTH						120	37.27						Excluded		202	62.73		322	
		TOTAL					1574	53.25								1382	46.75		2956	
							Elected													
																				
Bulleen                                                        																				
	FIRST			207	5.87		1518	43.08		49	1.39		179	5.08		1571	44.58		3524	
	SECOND			16	32.65		13	26.53			Excluded		8	16.33		12	24.49		49	
		TOTAL		223	6.33		1531	43.44					187	5.31		1583	44.92		3524	
	THIRD				Excluded		51	22.87					112	50.22		60	26.91		223	
		TOTAL					1582	44.89					299	8.48		1643	46.62		3524	
	FOURTH						94	31.44						Excluded		205	68.56		299	
		TOTAL					1676	47.56								1848	52.44		3524	
							Elected													
																				
Bulleen West                                                   																				
	FIRST			38	4.57		348	41.88		11	1.32		37	4.45		397	47.77		831	
	SECOND			5	45.45		1	9.09			Excluded		2	18.18		3	27.27		11	
		TOTAL		43	5.17		349	42.00					39	4.69		400	48.13		831	
	THIRD				Excluded		7	16.28					23	53.49		13	30.23		43	
		TOTAL					356	42.84					62	7.46		413	49.70		831	
	FOURTH						20	32.26						Excluded		42	67.74		62	
		TOTAL					376	45.25								455	54.75		831	
							Elected													
																				
Donburn                                                        																				
	FIRST			46	4.29		604	56.29		14	1.30		56	5.22		353	32.90		1073	
	SECOND			2	14.29		3	21.43			Excluded		4	28.57		5	35.71		14	
		TOTAL		48	4.47		607	56.57					60	5.59		358	33.36		1073	
	THIRD				Excluded		20	41.67					16	33.33		12	25.00		48	
		TOTAL					627	58.43					76	7.08		370	34.48		1073	
	FOURTH						22	28.95						Excluded		54	71.05		76	
		TOTAL					649	60.48								424	39.52		1073	
							Elected													
																				
Doncaster                                                      																				
	FIRST			127	4.99		1201	47.23		29	1.14		184	7.24		1002	39.40		2543	
	SECOND			7	24.14		10	34.48			Excluded		5	17.24		7	24.14		29	
		TOTAL		134	5.27		1211	47.62					189	7.43		1009	39.68		2543	
	THIRD				Excluded		25	18.66					78	58.21		31	23.13		134	
		TOTAL					1236	48.60					267	10.50		1040	40.90		2543	
	FOURTH						98	36.70						Excluded		169	63.30		267	
		TOTAL					1334	52.46								1209	47.54		2543	
							Elected													
																				
Doncaster Central                                              																				
	FIRST			137	4.54		1429	47.33		46	1.52		160	5.30		1247	41.31		3019	
	SECOND			18	39.13		9	19.57			Excluded		8	17.39		11	23.91		46	
		TOTAL		155	5.13		1438	47.63					168	5.56		1258	41.67		3019	
	THIRD				Excluded		36	23.23					76	49.03		43	27.74		155	
		TOTAL					1474	48.82					244	8.08		1301	43.09		3019	
	FOURTH						77	31.56						Excluded		167	68.44		244	
		TOTAL					1551	51.37								1468	48.63		3019	
							Elected													
																				
Doncaster East                                                 																				
	FIRST			191	3.52		2608	48.06		74	1.36		394	7.26		2159	39.79		5426	
	SECOND			14	18.92		21	28.38			Excluded		12	16.22		27	36.49		74	
		TOTAL		205	3.78		2629	48.45					406	7.48		2186	40.29		5426	
	THIRD				Excluded		48	23.41					103	50.24		54	26.34		205	
		TOTAL					2677	49.34					509	9.38		2240	41.28		5426	
	FOURTH						251	49.31						Excluded		258	50.69		509	
		TOTAL					2928	53.96								2498	46.04		5426	
							Elected													
																				
Doncaster Gardens                                              																				
	FIRST			71	3.98		823	46.11		30	1.68		105	5.88		756	42.35		1785	
	SECOND			9	30.00		5	16.67			Excluded		6	20.00		10	33.33		30	
		TOTAL		80	4.48		828	46.39					111	6.22		766	42.91		1785	
	THIRD				Excluded		17	21.25					39	48.75		24	30.00		80	
		TOTAL					845	47.34					150	8.40		790	44.26		1785	
	FOURTH						63	42.00						Excluded		87	58.00		150	
		TOTAL					908	50.87								877	49.13		1785	
							Elected													
																				
Doncaster Heights                                              																				
	FIRST			47	3.58		680	51.75		14	1.07		67	5.10		506	38.51		1314	
	SECOND			2	14.29		3	21.43			Excluded		3	21.43		6	42.86		14	
		TOTAL		49	3.73		683	51.98					70	5.33		512	38.96		1314	
	THIRD				Excluded		10	20.41					27	55.10		12	24.49		49	
		TOTAL					693	52.74					97	7.38		524	39.88		1314	
	FOURTH						28	28.87						Excluded		69	71.13		97	
		TOTAL					721	54.87								593	45.13		1314	
							Elected													
																				
Doncaster Park                                                 																				
	FIRST			31	4.29		340	47.03		11	1.52		40	5.53		301	41.63		723	
	SECOND			3	27.27		2	18.18			Excluded		2	18.18		4	36.36		11	
		TOTAL		34	4.70		342	47.30					42	5.81		305	42.19		723	
	THIRD				Excluded		5	14.71					16	47.06		13	38.24		34	
		TOTAL					347	47.99					58	8.02		318	43.98		723	
	FOURTH						18	31.03						Excluded		40	68.97		58	
		TOTAL					365	50.48								358	49.52		723	
							Elected													
																				
Doncaster South                                                																				
	FIRST			63	4.62		667	48.90		8	0.59		90	6.60		536	39.30		1364	
	SECOND			1	12.50		1	12.50			Excluded		5	62.50		1	12.50		8	
		TOTAL		64	4.69		668	48.97					95	6.96		537	39.37		1364	
	THIRD				Excluded		22	34.38					28	43.75		14	21.88		64	
		TOTAL					690	50.59					123	9.02		551	40.40		1364	
	FOURTH						45	36.59						Excluded		78	63.41		123	
		TOTAL					735	53.89								629	46.11		1364	
							Elected													
																				
Doncaster West                                                 																				
	FIRST			107	5.54		822	42.55		17	0.88		105	5.43		881	45.60		1932	
	SECOND			9	52.94		3	17.65			Excluded		2	11.76		3	17.65		17	
		TOTAL		116	6.00		825	42.70					107	5.54		884	45.76		1932	
	THIRD				Excluded		32	27.59					45	38.79		39	33.62		116	
		TOTAL					857	44.36					152	7.87		923	47.77		1932	
	FOURTH						57	37.50						Excluded		95	62.50		152	
		TOTAL					914	47.31								1018	52.69		1932	
							Elected													
																				
Donvale                                                        																				
	FIRST			112	3.35		2140	63.94		30	0.90		235	7.02		830	24.80		3347	
	SECOND			9	30.00		5	16.67			Excluded		10	33.33		6	20.00		30	
		TOTAL		121	3.62		2145	64.09					245	7.32		836	24.98		3347	
	THIRD				Excluded		31	25.62					57	47.11		33	27.27		121	
		TOTAL					2176	65.01					302	9.02		869	25.96		3347	
	FOURTH						166	54.97						Excluded		136	45.03		302	
		TOTAL					2342	69.97								1005	30.03		3347	
							Elected													
																				
Gumnut Gully                                                   																				
	FIRST			34	3.57		545	57.25		11	1.16		63	6.62		299	31.41		952	
	SECOND			3	27.27		3	27.27			Excluded		3	27.27		2	18.18		11	
		TOTAL		37	3.89		548	57.56					66	6.93		301	31.62		952	
	THIRD				Excluded		18	48.65					13	35.14		6	16.22		37	
		TOTAL					566	59.45					79	8.30		307	32.25		952	
	FOURTH						18	22.78						Excluded		61	77.22		79	
		TOTAL					584	61.34								368	38.66		952	
							Elected													
																				
Lower Templestowe                                              																				
	FIRST			93	5.72		721	44.31		25	1.54		114	7.01		674	41.43		1627	
	SECOND			9	36.00		7	28.00			Excluded		5	20.00		4	16.00		25	
		TOTAL		102	6.27		728	44.74					119	7.31		678	41.67		1627	
	THIRD				Excluded		30	29.41					53	51.96		19	18.63		102	
		TOTAL					758	46.59					172	10.57		697	42.84		1627	
	FOURTH						69	40.12						Excluded		103	59.88		172	
		TOTAL					827	50.83								800	49.17		1627	
							Elected													
																				
Manningham                                                     																				
	FIRST			53	4.03		754	57.29		25	1.90		52	3.95		432	32.83		1316	
	SECOND			8	32.00		9	36.00			Excluded		6	24.00		2	8.00		25	
		TOTAL		61	4.64		763	57.98					58	4.41		434	32.98		1316	
	THIRD				Excluded		11	18.03					13	21.31		37	60.66		61	
		TOTAL					774	58.81					71	5.40		471	35.79		1316	
	FOURTH						36	50.70						Excluded		35	49.30		71	
		TOTAL					810	61.55								506	38.45		1316	
							Elected													
																				
Melbourne (Menzies)                                            																				
	FIRST			9	10.71		46	54.76		2	2.38		5	5.95		22	26.19		84	
	SECOND			1	50.00		0	0.00			Excluded		1	50.00		0	0.00		2	
		TOTAL		10	11.90		46	54.76					6	7.14		22	26.19		84	
	THIRD				Excluded		2	20.00					6	60.00		2	20.00		10	
		TOTAL					48	57.14					12	14.29		24	28.57		84	
	FOURTH						3	25.00						Excluded		9	75.00		12	
		TOTAL					51	60.71								33	39.29		84	
							Elected													
																				
Milgate                                                        																				
	FIRST			101	4.12		1386	56.59		26	1.06		166	6.78		770	31.44		2449	
	SECOND			8	30.77		6	23.08			Excluded		8	30.77		4	15.38		26	
		TOTAL		109	4.45		1392	56.84					174	7.10		774	31.60		2449	
	THIRD				Excluded		29	26.61					55	50.46		25	22.94		109	
		TOTAL					1421	58.02					229	9.35		799	32.63		2449	
	FOURTH						103	44.98						Excluded		126	55.02		229	
		TOTAL					1524	62.23								925	37.77		2449	
							Elected													
																				
Park Orchards                                                  																				
	FIRST			212	9.64		1353	61.50		18	0.82		151	6.86		466	21.18		2200	
	SECOND			5	27.78		5	27.78			Excluded		6	33.33		2	11.11		18	
		TOTAL		217	9.86		1358	61.73					157	7.14		468	21.27		2200	
	THIRD				Excluded		36	16.59					127	58.53		54	24.88		217	
		TOTAL					1394	63.36					284	12.91		522	23.73		2200	
	FOURTH						110	38.73						Excluded		174	61.27		284	
		TOTAL					1504	68.36								696	31.64		2200	
