House of Representatives - 2001 Election: Victoria																							
Distribution of Preferences																							
By Polling Place																							
Murray																							
				BUSH			STONE			JONES			HELLEMONS			CALDER			TAYLOR				
				Simon			Sharman			David			Robert			Alan			Elizabeth Mary				
				IND			LP			GRN			HAN			ALP			DEM				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Ardmona                                                        																							
	FIRST			10	2.33		294	68.53		17	3.96		8	1.86		91	21.21		9	2.10		429	
	SECOND			5	29.41		4	23.53			Excluded		1	5.88		4	23.53		3	17.65		17	
		TOTAL		15	3.50		298	69.46					9	2.10		95	22.14		12	2.80		429	
	THIRD				Excluded		3	20.00					4	26.67		4	26.67		4	26.67		15	
		TOTAL					301	70.16					13	3.03		99	23.08		16	3.73		429	
	FOURTH						7	53.85						Excluded		4	30.77		2	15.38		13	
		TOTAL					308	71.79								103	24.01		18	4.20		429	
	FIFTH						5	27.78								13	72.22			Excluded		18	
		TOTAL					313	72.96								116	27.04					429	
							Elected																
																							
Ballendella                                                    																							
	FIRST			4	2.45		132	80.98		7	4.29		5	3.07		11	6.75		4	2.45		163	
	SECOND			4	57.14		1	14.29			Excluded		0	0.00		2	28.57		0	0.00		7	
		TOTAL		8	4.91		133	81.60					5	3.07		13	7.98		4	2.45		163	
	THIRD				Excluded		3	37.50					2	25.00		2	25.00		1	12.50		8	
		TOTAL					136	83.44					7	4.29		15	9.20		5	3.07		163	
	FOURTH						3	42.86						Excluded		3	42.86		1	14.29		7	
		TOTAL					139	85.28								18	11.04		6	3.68		163	
	FIFTH						5	83.33								1	16.67			Excluded		6	
		TOTAL					144	88.34								19	11.66					163	
							Elected																
																							
Bamawm                                                         																							
	FIRST			5	2.58		160	82.47		5	2.58		1	0.52		16	8.25		7	3.61		194	
	SECOND			0	0.00		1	20.00			Excluded		0	0.00		2	40.00		2	40.00		5	
		TOTAL		5	2.58		161	82.99					1	0.52		18	9.28		9	4.64		194	
	THIRD				Excluded		2	40.00					1	20.00		1	20.00		1	20.00		5	
		TOTAL					163	84.02					2	1.03		19	9.79		10	5.15		194	
	FOURTH						1	50.00						Excluded		0	0.00		1	50.00		2	
		TOTAL					164	84.54								19	9.79		11	5.67		194	
	FIFTH						2	18.18								9	81.82			Excluded		11	
		TOTAL					166	85.57								28	14.43					194	
							Elected																
																							
Bamawm Extension                                               																							
	FIRST			1	0.64		133	84.71		2	1.27		7	4.46		10	6.37		4	2.55		157	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		2	100.00		2	
		TOTAL		1	0.64		133	84.71					7	4.46		10	6.37		6	3.82		157	
	THIRD				Excluded		1	100.00					0	0.00		0	0.00		0	0.00		1	
		TOTAL					134	85.35					7	4.46		10	6.37		6	3.82		157	
	FOURTH						3	42.86						Excluded		2	28.57		2	28.57		7	
		TOTAL					137	87.26								12	7.64		8	5.10		157	
