House of Representatives - 2001 Election: Victoria 																						
Distribution of Preferences																						
By Polling Place																						
Wills																						
				ISHERWOOD			GLANZ			DI NATALE			THOMSON			VALASINAVICIUS			STONE			
				Craig			David			Richard			Kelvin			Vytautas Charles			Robert			
				CEC						GRN			ALP			LP			DEM			
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total
Anstey                                                         																						
	FIRST			12	1.43		20	2.38		186	22.17		418	49.82		131	15.61		72	8.58		839
	SECOND			1	5.00			Excluded		15	75.00		2	10.00		0	0.00		2	10.00		20
		TOTAL		13	1.55					201	23.96		420	50.06		131	15.61		74	8.82		839
	THIRD				Excluded					12	92.31		1	7.69		0	0.00		0	0.00		13
		TOTAL								213	25.39		421	50.18		131	15.61		74	8.82		839
	FOURTH									44	59.46		21	28.38		9	12.16			Excluded		74
		TOTAL								257	30.63		442	52.68		140	16.69					839
	FIFTH										Excluded		235	91.44		22	8.56					257
		TOTAL											677	80.69		162	19.31					839
													Elected									
																						
Brunswick North                                                																						
	FIRST			67	1.75		95	2.48		492	12.83		2267	59.10		623	16.24		292	7.61		3836
	SECOND			16	16.84			Excluded		51	53.68		16	16.84		4	4.21		8	8.42		95
		TOTAL		83	2.16					543	14.16		2283	59.52		627	16.35		300	7.82		3836
	THIRD				Excluded					58	69.88		14	16.87		7	8.43		4	4.82		83
		TOTAL								601	15.67		2297	59.88		634	16.53		304	7.92		3836
	FOURTH									182	59.87		73	24.01		49	16.12			Excluded		304
		TOTAL								783	20.41		2370	61.78		683	17.81					3836
	FIFTH										Excluded		690	88.12		93	11.88					783
		TOTAL											3060	79.77		776	20.23					3836
													Elected									
																						
Brunswick North East                                           																						
	FIRST			28	1.47		35	1.84		413	21.73		997	52.45		308	16.20		120	6.31		1901
	SECOND			3	8.57			Excluded		25	71.43		3	8.57		1	2.86		3	8.57		35
		TOTAL		31	1.63					438	23.04		1000	52.60		309	16.25		123	6.47		1901
	THIRD				Excluded					24	77.42		3	9.68		3	9.68		1	3.23		31
		TOTAL								462	24.30		1003	52.76		312	16.41		124	6.52		1901
	FOURTH									67	54.03		46	37.10		11	8.87			Excluded		124
		TOTAL								529	27.83		1049	55.18		323	16.99					1901
	FIFTH										Excluded		495	93.57		34	6.43					529
		TOTAL											1544	81.22		357	18.78					1901
