Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Aston (90211)																																																															

		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Bayswater		52	2.16		75	3.11		22	0.91		3	0.12		0	0.00		1	0.04		58	2.41		910	37.79		5	0.21		2	0.08		920	38.21		22	0.91		218	9.05		0	0.00		3	0.12		116	4.82		0	0.00		1	0.04		2408	93.92		156	6.08		2564	2.93
Bayswater South		24	1.99		27	2.23		18	1.49		5	0.41		0	0.00		0	0.00		29	2.40		521	43.09		3	0.25		0	0.00		431	35.65		13	1.08		87	7.20		0	0.00		2	0.17		48	3.97		0	0.00		1	0.08		1209	94.16		75	5.84		1284	1.47
Bayswater West		22	1.22		36	1.99		12	0.66		4	0.22		0	0.00		3	0.17		42	2.33		836	46.29		6	0.33		1	0.06		641	35.49		14	0.78		125	6.92		1	0.06		3	0.17		60	3.32		0	0.00		0	0.00		1806	93.38		128	6.62		1934	2.21
Blackwood Park		21	1.51		30	2.15		16	1.15		1	0.07		1	0.07		1	0.07		26	1.87		625	44.87		2	0.14		0	0.00		488	35.03		6	0.43		117	8.40		1	0.07		2	0.14		56	4.02		0	0.00		0	0.00		1393	94.70		78	5.30		1471	1.68
Charlesworth Park		51	1.57		56	1.73		14	0.43		4	0.12		3	0.09		2	0.06		18	0.55		1626	50.09		12	0.37		4	0.12		1001	30.84		22	0.68		273	8.41		3	0.09		1	0.03		156	4.81		0	0.00		0	0.00		3246	94.44		191	5.56		3437	3.92
Eastmont		18	1.07		24	1.43		8	0.48		0	0.00		1	0.06		2	0.12		19	1.13		860	51.25		3	0.18		3	0.18		520	30.99		6	0.36		150	8.94		0	0.00		1	0.06		63	3.75		0	0.00		0	0.00		1678	94.96		89	5.04		1767	2.02
Flamingo		32	1.54		37	1.79		13	0.63		1	0.05		0	0.00		1	0.05		12	0.58		1111	53.62		7	0.34		0	0.00		628	30.31		23	1.11		165	7.96		0	0.00		0	0.00		42	2.03		0	0.00		0	0.00		2072	94.22		127	5.78		2199	2.51
Heany Park		67	1.73		107	2.76		17	0.44		5	0.13		1	0.03		1	0.03		47	1.21		1857	47.92		10	0.26		0	0.00		1339	34.55		25	0.65		297	7.66		0	0.00		2	0.05		97	2.50		0	0.00		3	0.08		3875	94.31		234	5.69		4109	4.69
Heathmont (Aston)		15	1.88		10	1.25		11	1.38		1	0.13		0	0.00		0	0.00		13	1.63		389	48.69		2	0.25		0	0.00		204	25.53		12	1.50		84	10.51		0	0.00		3	0.38		55	6.88		0	0.00		0	0.00		799	93.56		55	6.44		854	0.98
Heathmont East		24	2.17		14	1.27		11	1.00		1	0.09		0	0.00		0	0.00		19	1.72		543	49.14		0	0.00		3	0.27		296	26.79		10	0.90		113	10.23		0	0.00		4	0.36		67	6.06		0	0.00		0	0.00		1105	95.92		47	4.08		1152	1.32
Heathmont High		17	1.15		18	1.21		13	0.88		3	0.20		1	0.07		2	0.13		24	1.62		715	48.25		1	0.07		1	0.07		410	27.67		9	0.61		173	11.67		0	0.00		5	0.34		89	6.01		0	0.00		1	0.07		1482	97.31		41	2.69		1523	1.74
Karoo		41	1.88		35	1.61		12	0.55		2	0.09		3	0.14		2	0.09		32	1.47		1029	47.25		13	0.60		0	0.00		773	35.49		17	0.78		180	8.26		0	0.00		0	0.00		38	1.74		0	0.00		1	0.05		2178	95.74		97	4.26		2275	2.60
Knoxfield		49	1.58		55	1.78		20	0.65		2	0.06		1	0.03		2	0.06		78	2.52		1303	42.11		14	0.45		2	0.06		1085	35.07		27	0.87		312	10.08		0	0.00		2	0.06		141	4.56		0	0.00		1	0.03		3094	95.11		159	4.89		3253	3.71
Knoxfield North		24	1.66		27	1.87		15	1.04		2	0.14		0	0.00		0	0.00		37	2.56		697	48.30		7	0.49		1	0.07		457	31.67		7	0.49		121	8.39		0	0.00		3	0.21		44	3.05		1	0.07		0	0.00		1443	95.37		70	4.63		1513	1.73
Knox Gardens		51	1.73		48	1.63		17	0.58		2	0.07		1	0.03		0	0.00		35	1.19		1411	47.86		17	0.58		0	0.00		987	33.48		23	0.78		273	9.26		0	0.00		2	0.07		81	2.75		0	0.00		0	0.00		2948	94.73		164	5.27		3112	3.55
Lysterfield		22	1.38		26	1.63		10	0.63		2	0.13		2	0.13		1	0.06		24	1.50		866	54.26		2	0.13		1	0.06		471	29.51		9	0.56		128	8.02		0	0.00		0	0.00		32	2.01		0	0.00		0	0.00		1596	95.97		67	4.03		1663	1.90
Melbourne (Aston)		3	6.12		2	4.08		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		20	40.82		0	0.00		0	0.00		17	34.69		1	2.04		5	10.20		0	0.00		0	0.00		1	2.04		0	0.00		0	0.00		49	96.08		2	3.92		51	0.06
Morack		41	1.85		32	1.45		22	0.99		3	0.14		2	0.09		0	0.00		39	1.76		1093	49.41		5	0.23		1	0.05		638	28.84		9	0.41		193	8.73		0	0.00		3	0.14		128	5.79		1	0.05		2	0.09		2212	95.97		93	4.03		2305	2.63
Mountain Gate		64	1.88		79	2.32		62	1.82		4	0.12		1	0.03		4	0.12		80	2.35		1388	40.84		6	0.18		3	0.09		1227	36.10		20	0.59		337	9.91		0	0.00		4	0.12		118	3.47		1	0.03		1	0.03		3399	93.35		242	6.65		3641	4.16
Parkmore		41	1.65		69	2.77		23	0.92		5	0.20		0	0.00		1	0.04		33	1.33		1039	41.74		10	0.40		0	0.00		915	36.76		24	0.96		201	8.08		1	0.04		3	0.12		124	4.98		0	0.00		0	0.00		2489	94.75		138	5.25		2627	3.00
