Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Ballarat (85877)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Alfredton		11	2.00		7	1.27		1	0.18		0	0.00		1	0.18		0	0.00		12	2.18		272	49.36		1	0.18		0	0.00		188	34.12		14	2.54		29	5.26		0	0.00		1	0.18		14	2.54		0	0.00		0	0.00		551	94.84		30	5.16		581	0.70
Alfredton West		44	1.93		21	0.92		13	0.57		0	0.00		1	0.04		2	0.09		33	1.45		1293	56.79		4	0.18		0	0.00		618	27.14		10	0.44		152	6.68		0	0.00		1	0.04		84	3.69		1	0.04		0	0.00		2277	96.69		78	3.31		2355	2.84
Amphitheatre		4	2.22		1	0.56		3	1.67		0	0.00		0	0.00		0	0.00		12	6.67		105	58.33		0	0.00		0	0.00		37	20.56		0	0.00		7	3.89		0	0.00		1	0.56		10	5.56		0	0.00		0	0.00		180	94.74		10	5.26		190	0.23
Ascot		3	1.89		6	3.77		3	1.89		0	0.00		1	0.63		0	0.00		5	3.14		107	67.30		0	0.00		0	0.00		16	10.06		2	1.26		7	4.40		0	0.00		0	0.00		9	5.66		0	0.00		0	0.00		159	95.78		7	4.22		166	0.20
Avoca		20	2.50		19	2.38		8	1.00		1	0.13		0	0.00		0	0.00		40	5.00		365	45.63		3	0.38		0	0.00		288	36.00		1	0.13		25	3.13		0	0.00		1	0.13		29	3.63		0	0.00		0	0.00		800	93.13		59	6.87		859	1.03
Ballan		31	1.94		45	2.82		17	1.07		1	0.06		0	0.00		0	0.00		65	4.07		587	36.78		5	0.31		3	0.19		625	39.16		11	0.69		92	5.76		0	0.00		2	0.13		112	7.02		0	0.00		0	0.00		1596	92.58		128	7.42		1724	2.08
Ballarat		32	1.98		33	2.04		22	1.36		0	0.00		0	0.00		0	0.00		26	1.61		611	37.76		3	0.19		2	0.12		538	33.25		13	0.80		163	10.07		0	0.00		6	0.37		168	10.38		0	0.00		1	0.06		1618	95.01		85	4.99		1703	2.05
Ballarat North		53	2.06		47	1.82		28	1.09		3	0.12		1	0.04		0	0.00		42	1.63		1150	44.63		6	0.23		4	0.16		960	37.25		11	0.43		156	6.05		0	0.00		0	0.00		115	4.46		1	0.04		0	0.00		2577	95.80		113	4.20		2690	3.24
Ballarat North West		27	1.50		21	1.17		34	1.89		3	0.17		0	0.00		0	0.00		22	1.22		978	54.30		2	0.11		0	0.00		405	22.49		12	0.67		137	7.61		0	0.00		2	0.11		158	8.77		0	0.00		0	0.00		1801	96.16		72	3.84		1873	2.26
Ballarat South		30	2.38		32	2.54		19	1.51		0	0.00		0	0.00		1	0.08		39	3.10		426	33.84		7	0.56		1	0.08		563	44.72		6	0.48		63	5.00		0	0.00		1	0.08		70	5.56		1	0.08		0	0.00		1259	92.92		96	7.08		1355	1.63
Ballarat South West		37	1.78		41	1.98		25	1.21		0	0.00		0	0.00		1	0.05		31	1.50		890	42.93		6	0.29		3	0.14		734	35.41		14	0.68		142	6.85		0	0.00		1	0.05		148	7.14		0	0.00		0	0.00		2073	95.05		108	4.95		2181	2.63
Black Hill		57	2.18		58	2.22		37	1.42		0	0.00		0	0.00		0	0.00		63	2.41		1017	38.94		5	0.19		0	0.00		921	35.26		17	0.65		211	8.08		1	0.04		1	0.04		223	8.54		1	0.04		0	0.00		2612	95.19		132	4.81		2744	3.30
Blackwood		6	2.22		4	1.48		1	0.37		0	0.00		0	0.00		0	0.00		8	2.96		83	30.74		1	0.37		0	0.00		98	36.30		1	0.37		20	7.41		0	0.00		2	0.74		46	17.04		0	0.00		0	0.00		270	96.09		11	3.91		281	0.34
Brown Hill		45	2.27		57	2.87		17	0.86		2	0.10		0	0.00		1	0.05		58	2.92		732	36.90		5	0.25		1	0.05		818	41.23		11	0.55		113	5.70		0	0.00		0	0.00		123	6.20		1	0.05		0	0.00		1984	95.34		97	4.66		2081	2.51
Bungaree		4	1.17		4	1.17		4	1.17		0	0.00		0	0.00		0	0.00		11	3.21		211	61.52		1	0.29		0	0.00		71	20.70		0	0.00		15	4.37		0	0.00		1	0.29		21	6.12		0	0.00		0	0.00		343	94.23		21	5.77		364	0.44
Buninyong		45	1.91		27	1.15		40	1.70		0	0.00		0	0.00		0	0.00		55	2.34		945	40.14		3	0.13		3	0.13		802	34.07		15	0.64		184	7.82		1	0.04		2	0.08		227	9.64		0	0.00		5	0.21		2354	95.81		103	4.19		2457	2.96
Burrumbeet		6	3.61		0	0.00		3	1.81		0	0.00		0	0.00		0	0.00		7	4.22		112	67.47		0	0.00		0	0.00		29	17.47		1	0.60		5	3.01		0	0.00		0	0.00		3	1.81		0	0.00		0	0.00		166	93.26		12	6.74		178	0.21
Canadian		27	1.35		53	2.66		19	0.95		0	0.00		1	0.05		1	0.05		41	2.05		659	33.02		1	0.05		2	0.10		970	48.60		9	0.45		90	4.51		0	0.00		0	0.00		120	6.01		1	0.05		2	0.10		1996	95.37		97	4.63		2093	2.52
Clarkes Hill		3	1.63		3	1.63		1	0.54		0	0.00		0	0.00		0	0.00		7	3.80		132	71.74		0	0.00		0	0.00		30	16.30		0	0.00		4	2.17		0	0.00		0	0.00		4	2.17		0	0.00		0	0.00		184	97.35		5	2.65		189	0.23
Clunes		30	3.13		18	1.88		9	0.94		0	0.00		0	0.00		2	0.21		54	5.64		318	33.23		2	0.21		2	0.21		413	43.16		5	0.52		41	4.28		0	0.00		0	0.00		61	6.37		1	0.10		1	0.10		957	94.10		60	5.90		1017	1.22
